,Date,Open,High,Low,Close
1981,2024-10-30,11.6,11.6,10.6,10.9
1980,2024-10-29,10.7,11.0,10.5,10.7
1979,2024-10-28,11.8,11.8,10.2,10.6
1978,2024-10-25,12.0,12.1,11.0,11.8
1977,2024-10-24,12.3,12.3,12.0,12.0
1976,2024-10-23,12.6,12.6,12.1,12.4
1975,2024-10-22,12.9,12.9,12.5,12.6
1974,2024-10-21,13.2,13.3,12.7,12.8
1973,2024-10-18,14.0,14.0,12.9,12.9
1972,2024-10-17,13.0,13.0,12.7,13.0
1971,2024-10-16,13.0,13.1,12.8,13.0
1970,2024-10-15,12.9,13.5,12.9,13.1
1969,2024-10-14,13.0,14.0,13.0,13.3
1968,2024-10-11,13.0,13.0,12.7,12.9
1967,2024-10-10,13.0,13.1,12.8,13.0
1966,2024-10-09,13.2,13.2,12.8,13.1
1965,2024-10-08,13.0,13.2,12.7,12.8
1964,2024-10-07,12.5,13.1,12.5,13.0
1963,2024-10-04,12.7,12.7,12.3,12.3
1962,2024-10-03,13.0,13.6,12.0,12.4
1961,2024-10-02,13.6,13.8,13.0,13.3
1960,2024-10-01,12.5,14.2,12.5,13.6
1959,2024-09-30,13.0,13.0,12.4,12.5
1958,2024-09-27,13.2,13.7,12.4,13.0
1957,2024-09-26,13.8,14.3,12.6,12.9
1956,2024-09-25,13.4,13.4,13.1,13.4
1955,2024-09-24,11.6,11.7,11.6,11.7
1954,2024-09-23,9.3,10.3,9.3,10.3
1953,2024-09-20,9.3,9.3,9.0,9.0
1952,2024-09-19,9.1,9.3,8.9,9.1
1951,2024-09-18,9.2,9.2,8.8,9.1
1950,2024-09-17,9.1,9.1,8.5,9.1
1949,2024-09-16,9.4,9.4,8.9,9.0
1948,2024-09-13,9.6,9.6,9.2,9.2
1947,2024-09-12,9.5,9.7,9.4,9.5
1946,2024-09-11,9.0,10.2,9.0,9.6
1945,2024-09-10,9.0,9.3,8.6,9.0
1944,2024-09-09,9.4,9.7,9.0,9.0
1943,2024-09-06,9.4,9.5,9.3,9.4
1942,2024-09-05,9.7,9.8,9.3,9.5
1941,2024-09-04,9.8,9.9,9.5,9.8
1940,2024-08-30,9.8,10.2,9.8,10.0
1939,2024-08-29,9.7,10.2,9.7,10.0
1938,2024-08-28,9.9,10.0,9.5,9.8
1937,2024-08-27,9.9,10.2,9.5,9.9
1936,2024-08-26,10.0,10.1,9.8,10.0
1935,2024-08-23,10.1,10.3,9.9,10.2
1934,2024-08-22,10.8,10.8,9.8,10.0
1933,2024-08-21,10.7,10.8,10.2,10.2
1932,2024-08-20,11.0,11.0,10.4,10.6
1931,2024-08-19,10.5,10.7,10.4,10.6
1930,2024-08-16,10.1,10.6,10.1,10.2
1929,2024-08-15,10.3,10.4,10.0,10.1
1928,2024-08-14,10.6,10.7,10.3,10.6
1927,2024-08-13,10.7,10.8,10.4,10.6
1926,2024-08-12,10.8,11.0,10.6,11.0
1925,2024-08-09,11.4,11.4,10.8,10.8
1924,2024-08-08,11.0,11.3,10.7,10.9
1923,2024-08-07,11.5,11.5,10.5,11.1
1922,2024-08-06,10.8,11.4,10.2,10.8
1921,2024-08-05,12.0,12.0,10.0,10.4
1920,2024-08-02,11.3,11.9,11.0,11.8
1919,2024-08-01,12.0,12.0,11.0,11.4
