,Date,Open,High,Low,Close,Volume
1981,2024-10-30,11.6,11.6,10.6,10.9,69500
1980,2024-10-29,10.7,11.0,10.5,10.7,76400
1979,2024-10-28,11.8,11.8,10.2,10.6,127400
1978,2024-10-25,12.0,12.1,11.0,11.8,29300
1977,2024-10-24,12.3,12.3,12.0,12.0,59900
1976,2024-10-23,12.6,12.6,12.1,12.4,36400
1975,2024-10-22,12.9,12.9,12.5,12.6,54600
1974,2024-10-21,13.2,13.3,12.7,12.8,51000
1973,2024-10-18,14.0,14.0,12.9,12.9,33700
1972,2024-10-17,13.0,13.0,12.7,13.0,23400
1971,2024-10-16,13.0,13.1,12.8,13.0,42900
1970,2024-10-15,12.9,13.5,12.9,13.1,15400
1969,2024-10-14,13.0,14.0,13.0,13.3,111000
1968,2024-10-11,13.0,13.0,12.7,12.9,37000
1967,2024-10-10,13.0,13.1,12.8,13.0,43200
1966,2024-10-09,13.2,13.2,12.8,13.1,69500
1965,2024-10-08,13.0,13.2,12.7,12.8,57400
1964,2024-10-07,12.5,13.1,12.5,13.0,55400
1963,2024-10-04,12.7,12.7,12.3,12.3,35900
1962,2024-10-03,13.0,13.6,12.0,12.4,95900
1961,2024-10-02,13.6,13.8,13.0,13.3,126700
1960,2024-10-01,12.5,14.2,12.5,13.6,157900
1959,2024-09-30,13.0,13.0,12.4,12.5,119900
1958,2024-09-27,13.2,13.7,12.4,13.0,97500
1957,2024-09-26,13.8,14.3,12.6,12.9,305400
1956,2024-09-25,13.4,13.4,13.1,13.4,273400
1955,2024-09-24,11.6,11.7,11.6,11.7,25000
1954,2024-09-23,9.3,10.3,9.3,10.3,120900
1953,2024-09-20,9.3,9.3,9.0,9.0,14300
1952,2024-09-19,9.1,9.3,8.9,9.1,60700
1951,2024-09-18,9.2,9.2,8.8,9.1,23800
1950,2024-09-17,9.1,9.1,8.5,9.1,7900
1949,2024-09-16,9.4,9.4,8.9,9.0,39600
1948,2024-09-13,9.6,9.6,9.2,9.2,17300
1947,2024-09-12,9.5,9.7,9.4,9.5,19600
1946,2024-09-11,9.0,10.2,9.0,9.6,39900
1945,2024-09-10,9.0,9.3,8.6,9.0,36300
1944,2024-09-09,9.4,9.7,9.0,9.0,43400
1943,2024-09-06,9.4,9.5,9.3,9.4,25300
1942,2024-09-05,9.7,9.8,9.3,9.5,19900
1941,2024-09-04,9.8,9.9,9.5,9.8,41000
1940,2024-08-30,9.8,10.2,9.8,10.0,33000
1939,2024-08-29,9.7,10.2,9.7,10.0,43700
1938,2024-08-28,9.9,10.0,9.5,9.8,51900
1937,2024-08-27,9.9,10.2,9.5,9.9,27600
1936,2024-08-26,10.0,10.1,9.8,10.0,33800
1935,2024-08-23,10.1,10.3,9.9,10.2,26500
1934,2024-08-22,10.8,10.8,9.8,10.0,61100
1933,2024-08-21,10.7,10.8,10.2,10.2,55700
1932,2024-08-20,11.0,11.0,10.4,10.6,81900
1931,2024-08-19,10.5,10.7,10.4,10.6,29700
1930,2024-08-16,10.1,10.6,10.1,10.2,53900
1929,2024-08-15,10.3,10.4,10.0,10.1,54000
1928,2024-08-14,10.6,10.7,10.3,10.6,50400
1927,2024-08-13,10.7,10.8,10.4,10.6,22700
