,Date,Open,High,Low,Close
4684,2025-10-17,41.5,41.95,40.7,40.8
4683,2025-10-16,41.7,42.25,41.15,41.35
4682,2025-10-15,41.1,41.75,40.85,41.45
4681,2025-10-14,42.35,43.3,41.0,41.0
4680,2025-10-13,40.15,41.7,40.0,41.35
4679,2025-10-10,40.9,41.5,40.6,40.7
4678,2025-10-09,41.25,41.3,40.55,40.65
4677,2025-10-08,41.75,42.5,40.55,41.2
4676,2025-10-07,41.0,41.35,40.55,40.8
4675,2025-10-06,38.5,40.25,38.45,40.25
4674,2025-10-03,37.75,38.2,37.2,37.65
4673,2025-10-02,38.65,38.95,37.7,37.85
4672,2025-10-01,38.85,39.2,38.45,38.6
4671,2025-09-30,37.6,38.8,37.3,38.55
4670,2025-09-29,38.05,38.2,37.2,37.55
4669,2025-09-26,38.9,38.95,38.0,38.0
4668,2025-09-25,39.5,39.65,39.0,39.0
4667,2025-09-24,38.52,39.25,37.59,39.25
4666,2025-09-23,38.42,39.11,38.42,38.42
4665,2025-09-22,39.5,39.74,38.23,38.33
4664,2025-09-19,39.98,40.23,39.35,39.35
4663,2025-09-18,39.84,40.37,39.3,39.79
4662,2025-09-17,40.37,40.62,39.5,39.59
4661,2025-09-16,41.93,41.93,40.57,40.57
4660,2025-09-15,41.06,41.59,40.42,41.15
4659,2025-09-12,41.79,41.84,40.52,40.86
4658,2025-09-11,40.76,41.54,38.81,41.4
4657,2025-09-10,41.74,42.32,40.62,41.4
4656,2025-09-09,39.54,40.96,38.33,40.96
4655,2025-09-08,39.3,40.57,39.11,39.2
4654,2025-09-05,41.69,42.32,39.5,39.5
4653,2025-09-04,40.57,41.54,40.13,41.25
4652,2025-09-03,41.15,41.59,39.89,40.32
4651,2025-08-29,41.88,43.06,41.15,41.15
4650,2025-08-28,39.5,40.96,39.15,40.96
4649,2025-08-27,39.45,40.18,39.11,39.25
4648,2025-08-26,35.64,38.23,35.25,38.23
4647,2025-08-25,35.5,36.86,34.96,35.74
4646,2025-08-22,35.55,35.89,34.47,34.86
4645,2025-08-21,35.3,36.96,35.2,36.13
4644,2025-08-20,35.84,35.89,33.64,35.2
4643,2025-08-19,34.62,36.37,34.62,35.84
4642,2025-08-18,35.69,35.89,34.77,34.91
4641,2025-08-15,36.47,36.62,35.35,35.64
4640,2025-08-14,36.08,36.86,35.2,35.89
4639,2025-08-13,36.13,36.23,34.72,35.84
4638,2025-08-12,36.96,37.01,35.5,35.84
4637,2025-08-11,34.91,36.81,34.42,36.57
4636,2025-08-08,34.81,36.28,34.23,34.62
4635,2025-08-07,34.91,34.91,33.89,34.28
4634,2025-08-06,33.89,34.42,33.55,34.42
4633,2025-08-05,33.55,35.01,31.69,33.79
4632,2025-08-04,31.69,33.16,31.6,33.16
4631,2025-08-01,33.16,33.94,32.28,32.38
4630,2025-07-31,33.25,33.74,32.28,33.35
4629,2025-07-30,32.77,33.3,31.89,33.06
4628,2025-07-29,35.2,35.3,32.47,32.47
4627,2025-07-28,33.94,34.96,33.6,34.91
4626,2025-07-25,31.35,33.25,31.21,33.16
4625,2025-07-24,31.5,31.55,30.57,31.21
4624,2025-07-23,31.5,32.52,31.11,31.45
