,Date,Open,High,Low,Close
3612,2025-10-17,30.3,30.5,30.3,30.3
3611,2025-10-16,30.4,30.4,30.3,30.3
3610,2025-10-15,30.6,30.6,30.6,30.6
3609,2025-10-14,31.0,31.0,31.0,31.0
3608,2025-10-13,31.0,31.0,30.5,30.9
3607,2025-10-10,31.0,31.0,30.5,30.9
3606,2025-10-09,30.9,30.9,30.9,30.9
3605,2025-10-08,31.0,31.0,31.0,31.0
3604,2025-10-07,31.0,31.0,31.0,31.0
3603,2025-10-06,30.5,31.0,30.5,31.0
3602,2025-10-03,30.5,31.4,30.5,31.4
3601,2025-10-02,30.5,30.5,30.5,30.5
3600,2025-10-01,31.0,31.0,30.9,30.9
3599,2025-09-30,31.0,31.0,30.8,31.0
3598,2025-09-26,33.0,34.0,31.0,31.9
3597,2025-09-25,31.1,32.2,31.1,32.2
3596,2025-09-24,33.0,33.0,32.2,32.2
3595,2025-09-23,32.0,33.0,32.0,33.0
3594,2025-09-22,31.3,31.3,31.0,31.0
3593,2025-09-19,31.0,31.6,31.0,31.2
3592,2025-09-18,31.0,31.5,31.0,31.5
3591,2025-09-17,31.5,31.5,31.5,31.5
3590,2025-09-16,31.1,31.7,31.1,31.6
3589,2025-09-15,31.4,31.5,31.0,31.1
3588,2025-09-12,31.1,31.4,31.1,31.4
3587,2025-09-11,31.1,31.1,31.0,31.0
3586,2025-09-10,30.2,31.4,30.2,31.2
3585,2025-09-09,30.5,30.7,29.8,30.7
3584,2025-09-08,30.8,31.0,30.8,30.9
3583,2025-09-05,31.3,31.5,31.3,31.4
3582,2025-09-04,31.3,31.5,30.8,31.4
3581,2025-09-03,31.9,31.9,31.2,31.6
3580,2025-08-29,32.4,32.4,31.4,32.0
3579,2025-08-28,33.9,33.9,31.7,32.0
3578,2025-08-27,33.53,33.98,33.53,33.89
3577,2025-08-26,33.89,34.25,32.62,33.98
3576,2025-08-25,35.25,35.25,33.35,33.44
3575,2025-08-22,35.34,35.79,34.8,34.89
3574,2025-08-21,33.98,35.16,33.98,35.07
3573,2025-08-20,34.44,34.44,32.53,32.99
3572,2025-08-19,31.54,33.44,31.54,32.44
3571,2025-08-18,31.45,31.45,30.36,31.45
3570,2025-08-15,31.54,31.54,30.99,31.45
3569,2025-08-14,31.72,31.72,31.26,31.35
3568,2025-08-13,31.63,31.72,31.54,31.72
3567,2025-08-12,31.54,31.54,31.54,31.54
3566,2025-08-11,31.63,31.63,31.54,31.54
3565,2025-08-08,31.35,31.9,31.35,31.54
3564,2025-08-07,31.63,31.72,30.36,31.26
3563,2025-08-06,31.72,31.72,31.72,31.72
3562,2025-08-05,31.72,31.81,31.72,31.81
3561,2025-08-04,32.08,32.08,32.08,32.08
3560,2025-08-01,32.08,32.08,32.08,32.08
3559,2025-07-31,32.08,32.08,32.08,32.08
3558,2025-07-30,31.63,31.63,31.63,31.63
3557,2025-07-29,32.17,32.17,31.81,31.81
3556,2025-07-28,32.08,32.17,32.08,32.17
3555,2025-07-25,31.9,32.44,31.9,32.17
3554,2025-07-24,31.81,31.81,31.63,31.63
3553,2025-07-23,31.72,31.99,31.72,31.72
3552,2025-07-22,31.72,31.72,31.72,31.72
3551,2025-07-21,31.72,31.72,31.63,31.63
3550,2025-07-18,31.54,32.17,31.54,31.72
3549,2025-07-17,31.54,31.54,31.54,31.54
3548,2025-07-16,31.72,31.72,31.35,31.45
3547,2025-07-15,31.72,31.9,31.72,31.72
3546,2025-07-14,31.72,32.44,31.72,31.81
3545,2025-07-11,31.81,31.81,31.54,31.54
3544,2025-07-10,31.9,31.9,31.72,31.72
3543,2025-07-09,31.81,31.9,31.81,31.81
3542,2025-07-08,31.72,32.08,31.72,31.9
3541,2025-07-07,31.63,31.63,31.63,31.63
3540,2025-07-04,31.54,31.72,31.54,31.63
3539,2025-07-03,31.45,31.45,31.45,31.45
3538,2025-07-02,31.35,31.72,31.35,31.45
3537,2025-07-01,31.9,31.9,31.63,31.63
3536,2025-06-30,32.17,32.17,30.99,32.17
3535,2025-06-27,31.08,31.72,31.08,31.72
3534,2025-06-26,31.45,32.44,31.45,32.17
3533,2025-06-25,31.45,31.63,31.45,31.54
3532,2025-06-24,31.54,31.54,31.54,31.54
3531,2025-06-23,31.54,31.54,31.54,31.54
3530,2025-06-20,31.63,31.63,31.45,31.45
3529,2025-06-19,31.45,31.45,31.45,31.45
3528,2025-06-18,31.63,31.63,31.45,31.45
3527,2025-06-17,31.35,31.63,31.35,31.63
3526,2025-06-16,31.26,31.35,31.17,31.35
3525,2025-06-13,31.54,31.54,31.35,31.54
3524,2025-06-12,31.45,31.63,31.45,31.45
3523,2025-06-11,31.63,31.72,31.54,31.72
3522,2025-06-10,31.54,31.54,31.54,31.54
3521,2025-06-09,31.45,31.63,31.45,31.54
3520,2025-06-06,31.54,31.63,31.54,31.63
3519,2025-06-05,31.45,31.63,31.45,31.63
