,Date,Open,High,Low,Close,Volume
3617,2025-10-24,30.7,30.9,30.5,30.9,9300
3616,2025-10-23,30.4,31.0,30.4,31.0,1000
3615,2025-10-22,30.0,30.0,30.0,30.0,2000
3614,2025-10-21,30.3,30.3,30.0,30.0,7300
3613,2025-10-20,30.4,30.4,30.1,30.1,8900
3612,2025-10-17,30.3,30.5,30.3,30.3,1700
3611,2025-10-16,30.4,30.4,30.3,30.3,2000
3610,2025-10-15,30.6,30.6,30.6,30.6,3000
3609,2025-10-14,31.0,31.0,31.0,31.0,200
3608,2025-10-13,31.0,31.0,30.5,30.9,9500
3607,2025-10-10,31.0,31.0,30.5,30.9,5100
3606,2025-10-09,30.9,30.9,30.9,30.9,200
3605,2025-10-08,31.0,31.0,31.0,31.0,100
3604,2025-10-07,31.0,31.0,31.0,31.0,100
3603,2025-10-06,30.5,31.0,30.5,31.0,3400
3602,2025-10-03,30.5,31.4,30.5,31.4,600
3601,2025-10-02,30.5,30.5,30.5,30.5,500
3600,2025-10-01,31.0,31.0,30.9,30.9,400
3599,2025-09-30,31.0,31.0,30.8,31.0,3600
3598,2025-09-26,33.0,34.0,31.0,31.9,3200
3597,2025-09-25,31.1,32.2,31.1,32.2,3600
3596,2025-09-24,33.0,33.0,32.2,32.2,600
3595,2025-09-23,32.0,33.0,32.0,33.0,700
3594,2025-09-22,31.3,31.3,31.0,31.0,8200
3593,2025-09-19,31.0,31.6,31.0,31.2,4600
3592,2025-09-18,31.0,31.5,31.0,31.5,3300
3591,2025-09-17,31.5,31.5,31.5,31.5,17500
3590,2025-09-16,31.1,31.7,31.1,31.6,13800
3589,2025-09-15,31.4,31.5,31.0,31.1,8100
3588,2025-09-12,31.1,31.4,31.1,31.4,20900
3587,2025-09-11,31.1,31.1,31.0,31.0,46700
3586,2025-09-10,30.2,31.4,30.2,31.2,17600
3585,2025-09-09,30.5,30.7,29.8,30.7,20002
3584,2025-09-08,30.8,31.0,30.8,30.9,8400
3583,2025-09-05,31.3,31.5,31.3,31.4,6701
3582,2025-09-04,31.3,31.5,30.8,31.4,23010
3581,2025-09-03,31.9,31.9,31.2,31.6,86810
3580,2025-08-29,32.4,32.4,31.4,32.0,66139
3579,2025-08-28,33.9,33.9,31.7,32.0,38335
3578,2025-08-27,33.53,33.98,33.53,33.89,34687
3577,2025-08-26,33.89,34.25,32.62,33.98,30269
3576,2025-08-25,35.25,35.25,33.35,33.44,31854
3575,2025-08-22,35.34,35.79,34.8,34.89,156209
3574,2025-08-21,33.98,35.16,33.98,35.07,223501
3573,2025-08-20,34.44,34.44,32.53,32.99,45010
3572,2025-08-19,31.54,33.44,31.54,32.44,50402
3571,2025-08-18,31.45,31.45,30.36,31.45,27400
3570,2025-08-15,31.54,31.54,30.99,31.45,2401
3569,2025-08-14,31.72,31.72,31.26,31.35,23300
3568,2025-08-13,31.63,31.72,31.54,31.72,12634
3567,2025-08-12,31.54,31.54,31.54,31.54,10100
3566,2025-08-11,31.63,31.63,31.54,31.54,9201
3565,2025-08-08,31.35,31.9,31.35,31.54,18100
3564,2025-08-07,31.63,31.72,30.36,31.26,16100
3563,2025-08-06,31.72,31.72,31.72,31.72,501
3562,2025-08-05,31.72,31.81,31.72,31.81,11100
3561,2025-08-04,32.08,32.08,32.08,32.08,1
3560,2025-08-01,32.08,32.08,32.08,32.08,0
3559,2025-07-31,32.08,32.08,32.08,32.08,102
3558,2025-07-30,31.63,31.63,31.63,31.63,100
3557,2025-07-29,32.17,32.17,31.81,31.81,9202
3556,2025-07-28,32.08,32.17,32.08,32.17,10500
3555,2025-07-25,31.9,32.44,31.9,32.17,36600
3554,2025-07-24,31.81,31.81,31.63,31.63,2207
3553,2025-07-23,31.72,31.99,31.72,31.72,10701
3552,2025-07-22,31.72,31.72,31.72,31.72,1000
3551,2025-07-21,31.72,31.72,31.63,31.63,3801
3550,2025-07-18,31.54,32.17,31.54,31.72,22790
3549,2025-07-17,31.54,31.54,31.54,31.54,5000
3548,2025-07-16,31.72,31.72,31.35,31.45,19400
3547,2025-07-15,31.72,31.9,31.72,31.72,6200
3546,2025-07-14,31.72,32.44,31.72,31.81,7401
3545,2025-07-11,31.81,31.81,31.54,31.54,6201
3544,2025-07-10,31.9,31.9,31.72,31.72,5900
3543,2025-07-09,31.81,31.9,31.81,31.81,2400
3542,2025-07-08,31.72,32.08,31.72,31.9,21000
3541,2025-07-07,31.63,31.63,31.63,31.63,200
3540,2025-07-04,31.54,31.72,31.54,31.63,3700
3539,2025-07-03,31.45,31.45,31.45,31.45,1500
3538,2025-07-02,31.35,31.72,31.35,31.45,2500
3537,2025-07-01,31.9,31.9,31.63,31.63,4000
3536,2025-06-30,32.17,32.17,30.99,32.17,7600
3535,2025-06-27,31.08,31.72,31.08,31.72,1200
3534,2025-06-26,31.45,32.44,31.45,32.17,24701
3533,2025-06-25,31.45,31.63,31.45,31.54,33100
3532,2025-06-24,31.54,31.54,31.54,31.54,2000
3531,2025-06-23,31.54,31.54,31.54,31.54,131
3530,2025-06-20,31.63,31.63,31.45,31.45,3500
3529,2025-06-19,31.45,31.45,31.45,31.45,100
3528,2025-06-18,31.63,31.63,31.45,31.45,4510
3527,2025-06-17,31.35,31.63,31.35,31.63,1600
3526,2025-06-16,31.26,31.35,31.17,31.35,2200
3525,2025-06-13,31.54,31.54,31.35,31.54,14200
3524,2025-06-12,31.45,31.63,31.45,31.45,5118
3523,2025-06-11,31.63,31.72,31.54,31.72,6900
3522,2025-06-10,31.54,31.54,31.54,31.54,5602
3521,2025-06-09,31.45,31.63,31.45,31.54,55100
3520,2025-06-06,31.54,31.63,31.54,31.63,13200
3519,2025-06-05,31.45,31.63,31.45,31.63,5000
3518,2025-06-04,31.26,31.54,31.26,31.54,4200
3517,2025-06-03,31.54,31.63,31.26,31.63,18700
3516,2025-06-02,31.63,31.72,29.9,31.63,15500
3515,2025-05-30,31.45,31.72,31.45,31.45,16800
3514,2025-05-29,31.72,31.72,31.45,31.72,5600
3513,2025-05-28,31.72,31.9,31.35,31.9,5400
3512,2025-05-27,31.72,31.81,31.63,31.63,10200
3511,2025-05-26,31.54,31.9,31.54,31.9,5900
3510,2025-05-23,31.54,31.63,31.54,31.63,2800
3509,2025-05-22,31.72,31.72,30.81,30.81,2600
3508,2025-05-21,31.72,31.72,31.54,31.63,3000
3507,2025-05-20,31.81,31.81,31.54,31.54,13100
3506,2025-05-19,31.9,31.9,31.63,31.63,23400
3505,2025-05-16,31.45,32.17,31.45,31.72,63822
3504,2025-05-15,31.26,31.54,31.26,31.45,13000
3503,2025-05-14,30.27,30.36,30.0,30.36,5300
3502,2025-05-13,30.09,30.09,30.09,30.09,14900
3501,2025-05-12,30.54,30.54,30.0,30.0,17308
3500,2025-05-09,30.54,30.54,30.0,30.0,15201
3499,2025-05-08,30.36,31.72,30.36,31.72,13100
3498,2025-05-07,30.09,31.08,30.09,31.08,4101
3497,2025-05-06,31.72,31.72,30.9,30.9,3100
3496,2025-05-05,32.62,32.62,30.18,31.26,25600
3495,2025-04-29,30.81,31.26,30.45,31.08,36700
3494,2025-04-28,30.81,30.81,29.72,30.0,36204
3493,2025-04-25,30.81,30.81,29.54,29.72,2700
3492,2025-04-24,28.36,29.45,28.27,29.18,27316
3491,2025-04-23,28.27,28.36,28.18,28.36,12910
3490,2025-04-22,28.45,29.0,28.0,28.0,35400
3489,2025-04-21,28.09,28.36,28.09,28.36,501
3488,2025-04-18,29.27,29.36,28.18,29.36,1830
3487,2025-04-17,28.45,28.91,28.45,28.91,15400
3486,2025-04-16,28.45,28.82,28.09,28.55,25400
3485,2025-04-15,27.64,28.45,27.64,28.45,1710
3484,2025-04-14,28.18,28.64,28.18,28.55,9200
3483,2025-04-11,28.09,28.09,28.09,28.09,34000
3482,2025-04-10,27.64,27.91,27.64,27.91,8800
3481,2025-04-09,24.29,24.29,24.29,24.29,6700
3480,2025-04-08,25.92,25.92,23.56,25.37,23000
3479,2025-04-04,23.2,27.1,23.11,26.37,24800
3478,2025-04-03,28.91,28.91,26.01,26.37,61900
3477,2025-04-02,30.45,30.45,30.09,30.09,8200
3476,2025-04-01,30.81,30.81,30.81,30.81,2100
3475,2025-03-31,31.72,31.72,30.63,30.81,7703
3474,2025-03-28,32.17,32.17,31.35,32.17,13728
3473,2025-03-27,29.9,33.53,29.9,32.35,104415
3472,2025-03-26,29.81,29.9,29.63,29.81,15400
3471,2025-03-25,29.36,29.9,29.36,29.63,31000
3470,2025-03-24,29.36,29.36,29.36,29.36,14000
3469,2025-03-21,29.36,29.45,29.36,29.36,1500
3468,2025-03-20,29.36,29.36,29.36,29.36,201
3467,2025-03-19,29.9,29.9,29.0,29.9,15200
3466,2025-03-18,29.0,29.9,28.91,29.9,16515
3465,2025-03-17,28.82,28.91,28.82,28.82,5900
3464,2025-03-14,28.91,28.91,28.73,28.73,24100
3463,2025-03-13,29.0,29.0,28.82,28.82,16100
3462,2025-03-12,29.09,29.09,28.73,28.91,11700
3461,2025-03-11,29.09,29.18,29.09,29.18,5900
3460,2025-03-10,29.18,30.45,29.09,29.09,15679
3459,2025-03-07,30.81,30.81,30.36,30.36,6160
3458,2025-03-06,29.27,30.81,29.27,30.72,30630
3457,2025-03-05,28.91,29.09,28.91,29.09,18400
