,Date,Open,High,Low,Close
128,2025-08-11,23.6,23.6,23.6,23.6
127,2025-08-07,22.2,22.2,22.2,22.2
126,2025-08-06,21.8,21.8,21.8,21.8
125,2025-08-05,22.0,22.0,21.0,21.8
124,2025-08-01,22.5,22.5,22.5,22.5
123,2025-07-31,22.5,22.5,22.5,22.5
122,2025-07-30,19.8,22.5,19.8,22.5
121,2025-07-29,19.6,19.6,19.6,19.6
120,2025-07-28,17.2,17.2,17.0,17.0
119,2025-07-25,15.7,18.0,15.5,17.9
118,2025-07-23,15.7,15.7,15.7,15.7
117,2025-07-22,11.6,14.0,11.6,14.0
116,2025-07-21,12.5,12.5,11.7,11.7
115,2025-07-17,10.9,10.9,10.9,10.9
114,2025-07-16,12.6,12.6,12.6,12.6
113,2025-07-15,11.1,11.3,11.1,11.1
112,2025-07-14,13.0,13.0,13.0,13.0
111,2025-07-10,13.1,13.1,13.1,13.1
110,2025-07-09,13.4,13.4,13.2,13.2
109,2025-07-08,11.9,12.0,11.9,12.0
108,2025-07-07,14.0,14.0,14.0,14.0
107,2025-07-03,12.4,12.4,12.4,12.4
106,2025-07-02,10.5,12.8,10.5,12.8
105,2025-07-01,12.3,12.3,12.3,12.3
104,2025-06-25,12.2,12.4,12.2,12.4
103,2025-06-20,10.3,12.7,10.3,12.7
102,2025-06-19,12.8,12.8,11.9,11.9
101,2025-06-18,17.1,17.1,12.8,12.8
100,2025-06-13,15.4,15.4,14.6,14.6
99,2025-06-10,13.2,13.7,13.2,13.5
98,2025-06-05,12.0,12.0,12.0,12.0
97,2025-06-04,13.5,14.0,13.5,14.0
96,2025-06-03,14.0,14.0,12.0,12.0
95,2025-06-02,14.6,15.7,13.4,13.5
94,2025-05-30,14.3,18.7,14.3,14.4
93,2025-05-29,16.8,16.8,16.8,16.8
92,2025-05-28,15.0,19.9,14.8,18.8
91,2025-05-27,19.5,19.5,16.9,16.9
90,2025-05-26,25.1,25.1,18.7,18.7
89,2025-05-23,19.6,22.3,19.6,22.0
88,2025-05-22,17.2,19.6,17.1,19.6
87,2025-05-20,17.1,17.2,17.1,17.2
86,2025-05-09,17.0,17.4,17.0,17.4
85,2025-04-28,17.0,17.4,17.0,17.4
84,2025-04-24,17.4,17.4,17.1,17.1
83,2025-04-18,17.1,17.1,17.1,17.1
82,2025-04-14,17.2,17.2,17.0,17.0
81,2025-04-02,17.0,17.3,16.6,17.1
80,2025-03-28,16.9,17.0,16.9,17.0
79,2025-03-27,16.9,16.9,16.9,16.9
78,2025-03-26,16.9,17.0,16.8,17.0
77,2025-03-04,17.1,17.1,17.0,17.1
76,2025-02-28,17.0,17.0,17.0,17.0
75,2025-02-20,17.2,17.2,17.2,17.2
74,2025-02-19,17.1,17.3,17.1,17.1
73,2025-02-18,17.0,17.2,17.0,17.2
72,2025-02-05,16.6,16.6,16.6,16.6
71,2025-01-24,16.4,17.7,16.4,17.7
70,2025-01-22,17.1,18.0,17.0,17.3
69,2025-01-21,17.0,17.0,17.0,17.0
68,2025-01-17,17.0,17.0,17.0,17.0
67,2025-01-16,17.1,17.1,17.1,17.1
66,2025-01-15,17.0,17.3,17.0,17.3
65,2025-01-13,17.0,17.0,17.0,17.0
64,2025-01-08,17.0,17.0,17.0,17.0
63,2025-01-06,17.0,17.0,17.0,17.0
62,2024-12-31,17.0,17.0,17.0,17.0
61,2024-12-27,17.2,17.2,17.2,17.2
60,2024-12-24,17.0,17.0,17.0,17.0
59,2024-12-23,17.2,17.2,17.2,17.2
58,2024-12-20,17.2,17.2,17.2,17.2
57,2024-12-18,16.9,16.9,16.9,16.9
56,2024-12-17,17.0,17.0,17.0,17.0
55,2024-12-16,17.0,17.0,17.0,17.0
54,2024-12-13,16.9,16.9,16.9,16.9
53,2024-12-12,16.9,16.9,16.9,16.9
52,2024-12-11,16.9,16.9,16.9,16.9
51,2024-12-09,16.8,16.8,16.8,16.8
50,2024-12-06,16.9,17.0,16.9,17.0
49,2024-12-05,16.7,17.3,16.7,17.3
48,2024-12-04,17.0,17.0,17.0,17.0
47,2024-12-03,17.2,17.2,17.2,17.2
46,2024-12-02,17.1,17.3,17.1,17.3
45,2024-11-29,17.1,17.1,17.1,17.1
44,2024-11-28,17.2,17.3,17.2,17.3
43,2024-11-27,17.3,17.3,17.3,17.3
42,2024-11-26,17.3,17.4,17.3,17.4
41,2024-11-25,17.3,17.4,17.3,17.4
40,2024-11-22,17.3,17.3,17.2,17.3
39,2024-11-21,17.2,17.2,17.2,17.2
38,2024-11-20,17.3,17.4,17.1,17.3
37,2024-11-19,17.2,17.2,17.0,17.2
36,2024-11-18,17.2,17.2,17.0,17.1
35,2024-11-15,17.2,17.2,17.0,17.0
34,2024-11-14,17.1,17.2,17.1,17.2
33,2024-11-13,17.0,17.3,16.9,17.3
32,2024-11-12,17.1,17.3,16.9,17.1
31,2024-11-11,16.9,17.2,16.8,17.2
30,2024-11-08,16.8,16.9,16.7,16.7
29,2024-11-07,16.8,17.1,16.7,16.9
28,2024-11-06,17.0,17.2,16.8,16.9
27,2024-11-05,16.8,17.3,16.8,17.3
26,2024-11-04,16.9,17.2,16.9,17.2
25,2024-11-01,16.9,16.9,16.7,16.8
24,2024-10-31,17.1,17.1,16.8,16.9
23,2024-10-30,17.4,17.4,17.3,17.3
22,2024-10-29,17.4,17.4,17.3,17.3
21,2024-10-28,17.3,17.4,17.2,17.4
20,2024-10-25,17.2,17.3,17.2,17.3
19,2024-10-24,17.2,17.2,17.2,17.2
18,2024-10-23,17.2,17.2,17.0,17.1
17,2024-10-22,16.8,17.0,16.6,17.0
16,2024-10-21,16.9,17.2,16.9,17.2
15,2024-10-18,17.0,17.1,16.6,16.8
14,2024-10-17,16.7,17.1,16.7,17.1
13,2024-10-16,16.9,16.9,16.6,16.9
12,2024-10-15,16.9,17.3,16.8,17.3
11,2024-10-14,17.2,17.3,17.2,17.3
10,2024-10-11,17.3,17.4,17.3,17.4
9,2024-10-10,17.5,17.5,17.4,17.4
8,2024-10-09,17.2,17.3,17.2,17.3
7,2024-10-08,17.2,17.3,17.1,17.3
6,2024-10-07,17.5,17.5,17.2,17.2
5,2024-10-04,17.2,17.2,17.2,17.2
4,2024-10-03,17.3,17.3,17.1,17.1
3,2024-10-02,17.3,17.3,17.0,17.0
2,2024-10-01,17.3,17.3,17.1,17.1
1,2024-09-30,18.7,18.7,17.0,17.0
0,2024-09-27,13.0,16.8,13.0,16.8
