,Date,Open,High,Low,Close
4490,2025-10-17,28.8,28.9,28.45,28.8
4489,2025-10-16,29.0,29.0,28.75,28.8
4488,2025-10-15,28.95,29.05,28.4,29.0
4487,2025-10-14,29.0,29.15,28.7,28.95
4486,2025-10-13,29.15,29.2,28.7,29.15
4485,2025-10-10,29.35,29.45,28.95,29.15
4484,2025-10-09,29.55,29.55,28.95,29.35
4483,2025-10-08,29.4,29.45,28.85,29.3
4482,2025-10-07,29.6,29.6,29.2,29.2
4481,2025-10-06,29.5,29.75,29.3,29.6
4480,2025-10-03,29.65,29.65,29.0,29.55
4479,2025-10-02,29.65,29.75,29.25,29.65
4478,2025-10-01,29.65,29.8,29.4,29.65
4477,2025-09-30,29.8,30.0,29.2,29.55
4476,2025-09-29,30.05,30.25,29.75,30.0
4475,2025-09-26,30.3,30.4,30.05,30.25
4474,2025-09-25,30.4,30.45,30.1,30.4
4473,2025-09-24,30.3,30.4,30.0,30.4
4472,2025-09-23,30.05,30.35,29.85,30.25
4471,2025-09-22,30.5,30.8,30.2,30.2
4470,2025-09-19,30.9,31.1,30.6,30.9
4469,2025-09-18,31.3,31.3,30.75,31.1
4468,2025-09-17,31.35,31.35,30.65,31.35
4467,2025-09-16,31.4,31.5,30.95,31.35
4466,2025-09-15,30.25,31.5,30.1,31.5
4465,2025-09-12,30.0,30.1,29.8,30.1
4464,2025-09-11,29.95,30.0,29.5,30.0
4463,2025-09-10,30.05,30.25,29.75,30.0
4462,2025-09-09,30.0,30.15,29.65,30.1
4461,2025-09-08,30.5,30.75,29.9,29.9
4460,2025-09-05,30.4,31.0,30.3,30.7
4459,2025-09-04,29.85,30.7,29.85,30.4
4458,2025-09-03,30.0,30.1,29.8,30.05
4457,2025-08-29,29.9,30.15,29.65,30.0
4456,2025-08-28,30.2,30.35,29.75,30.05
4455,2025-08-27,30.15,30.2,29.75,30.1
4454,2025-08-26,30.3,30.3,29.6,30.05
4453,2025-08-25,30.35,30.35,29.8,30.0
4452,2025-08-22,29.0,30.55,29.0,30.0
4451,2025-08-21,30.25,30.4,29.7,29.7
4450,2025-08-20,31.05,31.4,30.0,30.4
4449,2025-08-19,31.7,31.7,30.7,31.3
4448,2025-08-18,31.5,31.65,31.2,31.45
4447,2025-08-15,32.25,32.25,31.5,31.5
4446,2025-08-14,32.55,32.65,32.1,32.25
4445,2025-08-13,32.7,32.85,32.2,32.65
4444,2025-08-12,33.2,33.2,32.55,32.6
4443,2025-08-11,33.15,33.5,32.65,33.15
4442,2025-08-08,33.3,33.55,32.6,33.0
4441,2025-08-07,33.1,33.9,32.95,33.4
4440,2025-08-06,32.35,33.25,32.1,32.75
4439,2025-08-05,32.4,32.45,31.5,32.45
4438,2025-08-04,32.2,32.55,31.9,32.45
4437,2025-08-01,32.8,32.8,32.05,32.45
4436,2025-07-31,33.0,33.2,32.25,32.75
4435,2025-07-30,31.35,32.8,30.6,32.8
