,Date,Open,High,Low,Close,Volume
2084,2025-10-24,31.0,31.2,30.9,30.9,5200
2083,2025-10-23,31.5,31.5,30.9,31.4,24800
2082,2025-10-22,31.4,31.7,31.4,31.4,4300
2081,2025-10-21,33.1,33.1,31.0,31.3,10500
2080,2025-10-20,31.7,31.8,31.1,31.5,13300
2079,2025-10-17,31.7,31.7,31.5,31.6,8800
2078,2025-10-16,31.5,31.6,31.4,31.5,12500
2077,2025-10-15,31.5,31.6,31.3,31.6,12100
2076,2025-10-14,31.2,31.5,31.0,31.5,13400
2075,2025-10-13,31.4,31.4,31.0,31.2,1100
2074,2025-10-10,31.8,31.8,30.6,31.5,2200
2073,2025-10-09,31.1,31.6,31.1,31.6,7300
2072,2025-10-08,31.4,31.4,31.0,31.0,1000
2071,2025-10-07,31.2,31.5,31.2,31.3,3200
2070,2025-10-06,31.1,31.2,31.1,31.2,800
2069,2025-10-03,30.8,30.8,30.4,30.6,4600
2068,2025-10-02,31.3,31.3,31.0,31.0,2200
2067,2025-10-01,30.7,31.3,30.7,31.0,6100
2066,2025-09-30,31.6,31.6,30.6,30.6,2200
2065,2025-09-29,31.4,31.4,31.4,31.4,3500
2064,2025-09-26,31.3,31.5,31.3,31.4,7700
2063,2025-09-25,31.2,31.3,31.1,31.2,16500
2062,2025-09-24,31.2,31.3,31.2,31.2,15900
2061,2025-09-23,31.4,31.4,31.2,31.3,14400
2060,2025-09-22,31.7,31.7,31.1,31.3,5400
2059,2025-09-19,31.4,31.5,31.4,31.5,1100
2058,2025-09-18,31.7,31.7,31.4,31.4,4400
2057,2025-09-17,31.7,31.7,31.4,31.4,4200
2056,2025-09-16,31.5,31.7,31.5,31.7,4300
2055,2025-09-15,31.5,31.7,31.2,31.3,11800
2054,2025-09-12,31.3,31.6,31.2,31.2,900
2053,2025-09-11,31.5,31.5,31.0,31.0,15700
2052,2025-09-10,31.7,31.7,31.1,31.1,15200
2051,2025-09-09,31.8,31.8,31.3,31.7,6900
2050,2025-09-08,31.5,31.5,31.2,31.5,12700
2049,2025-09-05,31.5,31.8,31.5,31.6,8500
2048,2025-09-04,32.0,32.0,31.5,31.5,3600
2047,2025-09-03,31.9,31.9,31.8,31.9,2100
2046,2025-08-29,31.5,31.8,31.5,31.5,49300
2045,2025-08-28,31.5,31.9,31.5,31.7,9500
2044,2025-08-27,31.5,31.6,31.5,31.5,5000
2043,2025-08-26,31.1,32.2,31.1,31.5,2200
2042,2025-08-25,31.6,31.6,31.3,31.4,5200
2041,2025-08-22,32.0,32.3,31.4,31.5,39000
2040,2025-08-21,31.8,32.0,31.8,32.0,8800
2039,2025-08-20,32.1,32.5,31.5,31.8,13400
2038,2025-08-19,32.5,32.7,32.1,32.5,19300
2037,2025-08-18,32.0,32.6,32.0,32.5,22200
2036,2025-08-15,32.0,32.2,32.0,32.1,9800
2035,2025-08-14,32.2,32.8,31.3,32.0,20400
2034,2025-08-13,32.5,35.3,32.0,32.2,25700
2033,2025-08-12,32.0,32.0,31.6,31.7,29800
2032,2025-08-11,31.8,32.0,31.5,31.7,14800
2031,2025-08-08,32.3,32.5,31.7,31.7,19100
2030,2025-08-07,31.3,32.0,31.3,31.7,10400
2029,2025-08-06,30.8,31.2,30.7,31.2,19100
2028,2025-08-05,30.7,30.8,30.6,30.7,10400
2027,2025-08-04,30.6,30.9,30.5,30.7,27000
2026,2025-08-01,30.6,30.7,30.4,30.6,10600
2025,2025-07-31,30.6,30.6,30.5,30.5,30000
2024,2025-07-30,30.6,30.9,30.5,30.5,17600
2023,2025-07-29,30.5,30.6,30.2,30.3,14000
2022,2025-07-28,30.3,30.6,30.3,30.4,10100
2021,2025-07-25,30.5,30.5,30.2,30.5,23900
2020,2025-07-24,30.5,30.5,30.4,30.4,7800
2019,2025-07-23,30.0,30.5,30.0,30.5,16800
2018,2025-07-22,30.4,30.4,30.0,30.0,15900
2017,2025-07-21,30.4,30.5,30.4,30.4,3100
2016,2025-07-18,30.6,30.6,30.5,30.5,10600
2015,2025-07-17,30.5,30.6,30.4,30.5,34900
2014,2025-07-16,30.5,30.6,30.0,30.6,12100
2013,2025-07-15,30.7,30.7,30.5,30.6,8300
2012,2025-07-14,30.7,30.7,30.5,30.7,18000
2011,2025-07-11,30.9,30.9,30.6,30.7,9400
2010,2025-07-10,30.9,31.0,30.7,31.0,10600
2009,2025-07-09,30.5,30.8,30.5,30.7,7700
2008,2025-07-08,30.6,30.6,30.6,30.6,5100
2007,2025-07-07,30.4,30.7,30.4,30.6,6300
2006,2025-07-04,30.6,30.7,30.6,30.6,1700
2005,2025-07-03,30.4,30.7,30.4,30.4,6600
2004,2025-07-02,30.3,30.4,30.3,30.4,7900
2003,2025-07-01,30.3,30.4,30.0,30.3,6000
