,Date,Open,High,Low,Close,Volume
2091,2025-10-24,2.75,2.79,2.6,2.79,59100
2090,2025-10-23,2.8,2.8,2.66,2.75,27500
2089,2025-10-22,2.84,2.9,2.65,2.65,120700
2088,2025-10-21,2.94,2.94,2.67,2.79,228600
2087,2025-10-20,3.04,3.04,2.8,2.86,40300
2086,2025-10-17,3.0,3.0,2.98,2.98,36300
2085,2025-10-16,3.13,3.13,3.0,3.0,86400
2084,2025-10-15,3.15,3.16,2.96,3.13,44500
2083,2025-10-14,3.17,3.17,3.1,3.16,19100
2082,2025-10-13,3.16,3.23,3.1,3.17,32900
2081,2025-10-10,3.23,3.23,3.15,3.16,16000
2080,2025-10-09,3.24,3.24,3.2,3.23,9600
2079,2025-10-08,3.23,3.24,3.19,3.2,30500
2078,2025-10-07,3.19,3.22,3.19,3.22,13200
2077,2025-10-06,3.22,3.22,3.16,3.19,13400
2076,2025-10-03,3.19,3.23,3.19,3.19,36400
2075,2025-10-02,3.23,3.25,3.19,3.19,34500
2074,2025-10-01,3.23,3.25,3.19,3.19,52500
2073,2025-09-30,3.23,3.26,3.2,3.23,26300
2072,2025-09-29,3.26,3.26,3.2,3.23,29300
2071,2025-09-26,3.27,3.29,3.25,3.26,13600
2070,2025-09-25,3.31,3.32,3.25,3.26,81900
2069,2025-09-24,3.31,3.32,3.27,3.27,15100
2068,2025-09-23,3.34,3.34,3.26,3.31,86200
2067,2025-09-22,3.31,3.34,3.27,3.3,45600
2066,2025-09-19,3.4,3.4,3.3,3.34,37100
2065,2025-09-18,3.31,3.47,3.3,3.45,51400
2064,2025-09-17,3.3,3.36,3.29,3.33,53100
2063,2025-09-16,3.31,3.31,3.26,3.29,88800
2062,2025-09-15,3.32,3.34,3.28,3.32,40900
2061,2025-09-12,3.33,3.33,3.28,3.32,35600
2060,2025-09-11,3.32,3.34,3.29,3.32,61600
2059,2025-09-10,3.34,3.36,3.28,3.32,13900
2058,2025-09-09,3.35,3.35,3.27,3.34,81900
2057,2025-09-08,3.38,3.39,3.25,3.36,284700
2056,2025-09-05,3.39,3.4,3.37,3.38,111100
2055,2025-09-04,3.46,3.46,3.37,3.39,64500
2054,2025-09-03,3.41,3.5,3.31,3.4,21600
2053,2025-08-29,3.39,3.41,3.29,3.41,48700
2052,2025-08-28,3.44,3.47,3.29,3.39,54500
2051,2025-08-27,3.5,3.5,3.44,3.44,50700
2050,2025-08-26,3.38,3.45,3.32,3.32,44400
2049,2025-08-25,3.45,3.5,3.34,3.34,36700
2048,2025-08-22,3.43,3.46,3.35,3.41,40800
2047,2025-08-21,3.41,3.5,3.41,3.46,62500
2046,2025-08-20,3.52,3.54,3.4,3.45,81300
2045,2025-08-19,3.5,3.53,3.48,3.52,135800
2044,2025-08-18,3.45,3.58,3.45,3.51,14000
2043,2025-08-15,3.58,3.58,3.44,3.5,364700
2042,2025-08-14,3.63,3.66,3.49,3.5,197500
2041,2025-08-13,3.62,3.66,3.57,3.63,59300
2040,2025-08-12,3.55,3.64,3.55,3.62,137700
2039,2025-08-11,3.6,3.62,3.53,3.53,125400
2038,2025-08-08,3.66,3.66,3.5,3.61,124300
2037,2025-08-07,3.46,3.68,3.45,3.63,194300
2036,2025-08-06,3.47,3.52,3.46,3.5,42100
2035,2025-08-05,3.46,3.56,3.42,3.49,423700
2034,2025-08-04,3.4,3.46,3.38,3.44,86800
2033,2025-08-01,3.42,3.47,3.39,3.42,27200
2032,2025-07-31,3.35,3.42,3.32,3.42,123000
2031,2025-07-30,3.48,3.5,3.31,3.37,123300
2030,2025-07-29,3.5,3.52,3.41,3.41,262700
2029,2025-07-28,3.47,3.58,3.47,3.52,236000
2028,2025-07-25,3.57,3.58,3.5,3.55,120800
2027,2025-07-24,3.48,3.67,3.48,3.57,331500
2026,2025-07-23,3.52,3.55,3.45,3.48,158200
2025,2025-07-22,3.44,3.56,3.4,3.52,324800
2024,2025-07-21,3.45,3.5,3.43,3.44,161200
2023,2025-07-18,3.44,3.49,3.43,3.45,182800
2022,2025-07-17,3.45,3.49,3.41,3.44,115600
2021,2025-07-16,3.49,3.49,3.34,3.45,169100
2020,2025-07-15,3.38,3.5,3.34,3.49,223000
2019,2025-07-14,3.4,3.4,3.31,3.34,90200
2018,2025-07-11,3.32,3.42,3.31,3.37,143000
2017,2025-07-10,3.3,3.39,3.29,3.3,149800
2016,2025-07-09,3.28,3.35,3.26,3.3,122400
2015,2025-07-08,3.27,3.32,3.25,3.27,91000
2014,2025-07-07,3.28,3.28,3.2,3.25,44600
2013,2025-07-04,3.21,3.27,3.2,3.25,34800
2012,2025-07-03,3.27,3.27,3.2,3.25,57300
2011,2025-07-02,3.29,3.29,3.2,3.2,64500
2010,2025-07-01,3.39,3.43,3.23,3.29,52100
2009,2025-06-30,3.22,3.3,3.19,3.29,53200
2008,2025-06-27,3.35,3.35,3.2,3.22,68800
2007,2025-06-26,3.25,3.25,3.21,3.24,99800
