,Date,Open,High,Low,Close
3765,2025-10-14,30.0,30.0,30.0,30.0
3764,2025-09-18,30.0,30.0,30.0,30.0
3763,2025-09-17,30.0,30.0,30.0,30.0
3762,2025-08-19,29.0,29.8,29.0,29.8
3761,2025-08-18,27.1,27.1,27.1,27.1
3760,2025-05-23,27.1,27.1,27.1,27.1
3759,2025-05-22,27.1,27.1,27.1,27.1
3758,2025-05-21,27.1,27.1,27.1,27.1
3757,2025-05-20,27.1,27.1,27.1,27.1
3756,2025-05-19,27.1,27.1,27.1,27.1
3755,2025-05-16,27.1,27.1,27.1,27.1
3754,2025-05-15,27.1,27.1,27.1,27.1
3753,2025-05-14,27.1,27.1,27.1,27.1
3752,2025-05-13,27.1,27.1,27.1,27.1
3751,2025-05-12,27.1,27.1,27.1,27.1
3750,2025-05-09,27.1,27.1,27.1,27.1
3749,2025-05-08,27.1,27.1,27.1,27.1
3748,2025-05-07,27.1,27.1,27.1,27.1
3747,2025-05-06,27.1,27.1,27.1,27.1
3746,2025-05-05,27.1,27.1,27.1,27.1
3745,2025-04-29,27.1,27.1,27.1,27.1
3744,2025-04-28,27.1,27.1,27.1,27.1
3743,2025-04-25,27.1,27.1,27.1,27.1
3742,2025-04-24,27.1,27.1,27.1,27.1
3741,2025-04-23,27.1,27.1,27.1,27.1
3740,2025-04-22,27.1,27.1,27.1,27.1
3739,2025-04-21,27.1,27.1,27.1,27.1
3738,2025-04-18,27.1,27.1,27.1,27.1
3737,2025-04-17,27.1,27.1,27.1,27.1
3736,2025-04-16,27.1,27.1,27.1,27.1
3735,2025-04-15,27.1,27.1,27.1,27.1
3734,2025-04-14,27.1,27.1,27.1,27.1
3733,2025-04-11,27.1,27.1,27.1,27.1
3732,2025-04-10,27.1,27.1,27.1,27.1
3731,2025-04-09,27.1,27.1,27.1,27.1
3730,2025-04-08,27.1,27.1,27.1,27.1
3729,2025-04-04,27.1,27.1,27.1,27.1
3728,2025-04-03,27.1,27.1,27.1,27.1
3727,2025-04-02,27.1,27.1,27.1,27.1
3726,2025-04-01,27.1,27.1,27.1,27.1
3725,2025-03-31,27.1,27.1,27.1,27.1
3724,2025-03-28,27.1,27.1,27.1,27.1
3723,2025-03-27,27.1,27.1,27.1,27.1
3722,2025-03-26,27.1,27.1,27.1,27.1
3721,2025-03-25,27.1,27.1,27.1,27.1
3720,2025-03-24,27.1,27.1,27.1,27.1
3719,2025-03-21,27.1,27.1,27.1,27.1
3718,2025-03-20,27.1,27.1,27.1,27.1
3717,2025-03-19,27.1,27.1,27.1,27.1
3716,2025-03-18,27.1,27.1,27.1,27.1
3715,2025-03-17,27.1,27.1,27.1,27.1
3714,2025-03-14,27.1,27.1,27.1,27.1
3713,2025-03-13,27.1,27.1,27.1,27.1
3712,2025-03-12,27.1,27.1,27.1,27.1
3711,2025-03-11,27.1,27.1,27.1,27.1
3710,2025-03-10,27.1,27.1,27.1,27.1
3709,2025-03-07,27.1,27.1,27.1,27.1
3708,2025-03-06,27.1,27.1,27.1,27.1
3707,2025-03-05,27.1,27.1,27.1,27.1
3706,2025-03-04,27.1,27.1,27.1,27.1
3705,2025-03-03,27.1,27.1,27.1,27.1
3704,2025-02-28,27.1,27.1,27.1,27.1
3703,2025-02-27,27.1,27.1,27.1,27.1
3702,2025-02-26,27.1,27.1,27.1,27.1
3701,2025-02-25,27.1,27.1,27.1,27.1
3700,2025-02-24,27.1,27.1,27.1,27.1
3699,2025-02-21,27.1,27.1,27.1,27.1
3698,2025-02-20,27.1,27.1,27.1,27.1
3697,2025-02-19,27.1,27.1,27.1,27.1
3696,2025-02-18,27.1,27.1,27.1,27.1
3695,2025-02-17,27.1,27.1,27.1,27.1
3694,2025-02-14,27.1,27.1,27.1,27.1
3693,2025-02-13,27.1,27.1,27.1,27.1
3692,2025-02-12,27.1,27.1,27.1,27.1
3691,2025-02-11,27.1,27.1,27.1,27.1
3690,2025-02-10,27.1,27.1,27.1,27.1
3689,2025-02-07,27.1,27.1,27.1,27.1
3688,2025-02-06,27.1,27.1,27.1,27.1
3687,2025-02-05,27.1,27.1,27.1,27.1
3686,2025-02-04,27.1,27.1,27.1,27.1
3685,2025-02-03,27.1,27.1,27.1,27.1
3684,2025-01-24,27.1,27.1,27.1,27.1
3683,2025-01-23,27.1,27.1,27.1,27.1
3682,2025-01-22,27.1,27.1,27.1,27.1
3681,2025-01-21,27.1,27.1,27.1,27.1
3680,2025-01-20,27.1,27.1,27.1,27.1
3679,2025-01-17,30.11,30.11,30.11,30.11
3678,2025-01-16,30.11,30.11,30.11,30.11
3677,2025-01-15,30.11,30.11,30.11,30.11
3676,2025-01-14,30.11,30.11,30.11,30.11
3675,2025-01-13,30.11,30.11,30.11,30.11
3674,2025-01-10,30.11,30.11,30.11,30.11
3673,2025-01-09,30.11,30.11,30.11,30.11
3672,2025-01-08,30.11,30.11,30.11,30.11
3671,2025-01-07,30.11,30.11,30.11,30.11
3670,2025-01-06,30.11,30.11,30.11,30.11
3669,2025-01-03,30.11,30.11,30.11,30.11
3668,2025-01-02,30.11,30.11,30.11,30.11
3667,2024-12-31,30.11,30.11,30.11,30.11
3666,2024-12-30,30.11,30.11,30.11,30.11
3665,2024-12-27,30.11,30.11,30.11,30.11
3664,2024-12-26,30.11,30.11,30.11,30.11
3663,2024-12-25,30.11,30.11,30.11,30.11
3662,2024-12-24,30.11,30.11,30.11,30.11
3661,2024-12-23,30.11,30.11,30.11,30.11
3660,2024-12-20,30.11,30.11,30.11,30.11
3659,2024-12-19,30.11,30.11,30.11,30.11
3658,2024-12-18,30.5,30.5,30.5,30.5
3657,2024-12-17,30.5,30.5,30.5,30.5
3656,2024-12-16,30.5,30.5,30.5,30.5
3655,2024-12-13,30.5,30.5,30.5,30.5
3654,2024-12-12,30.5,30.5,30.5,30.5
3653,2024-12-11,30.5,30.5,30.5,30.5
3652,2024-12-10,30.5,30.5,30.5,30.5
3651,2024-12-09,30.5,30.5,30.5,30.5
3650,2024-12-06,30.5,30.5,30.5,30.5
3649,2024-12-05,30.5,30.5,30.5,30.5
3648,2024-12-04,30.5,30.5,30.5,30.5
3647,2024-12-03,30.5,30.5,30.5,30.5
3646,2024-12-02,30.5,30.5,30.5,30.5
3645,2024-11-29,30.5,30.5,30.5,30.5
