,Date,Open,High,Low,Close
3552,2025-10-17,54.2,54.7,53.6,54.1
3551,2025-10-16,52.8,54.9,52.8,54.8
3550,2025-10-15,52.3,53.1,52.0,53.1
3549,2025-10-14,53.7,53.8,52.0,52.3
3548,2025-10-13,53.7,54.2,53.7,54.2
3547,2025-10-10,53.7,54.6,53.5,54.5
3546,2025-10-09,53.2,53.7,52.8,53.7
3545,2025-10-08,52.9,53.7,52.9,53.6
3544,2025-10-07,53.5,53.5,52.9,52.9
3543,2025-10-06,52.0,53.5,52.0,53.5
3542,2025-10-03,50.9,53.9,50.7,52.0
3541,2025-10-02,50.7,51.1,50.7,50.9
3540,2025-10-01,50.5,50.9,50.3,50.9
3539,2025-09-30,50.5,50.5,50.0,50.5
3538,2025-09-29,50.6,50.7,50.2,50.5
3537,2025-09-26,50.5,50.7,50.2,50.7
3536,2025-09-25,50.3,50.5,50.0,50.5
3535,2025-09-24,50.0,50.4,49.85,50.3
3534,2025-09-23,50.3,50.3,49.85,50.1
3533,2025-09-22,50.8,50.8,49.95,50.5
3532,2025-09-19,50.5,50.5,49.8,50.2
3531,2025-09-18,51.0,51.0,50.4,50.6
3530,2025-09-17,51.0,51.4,50.7,51.0
3529,2025-09-16,51.4,51.5,50.2,51.2
3528,2025-09-15,51.8,51.9,51.0,51.0
3527,2025-09-12,52.2,52.7,48.4,51.8
3526,2025-09-11,51.9,52.0,51.3,52.0
3525,2025-09-10,52.8,52.9,51.8,51.9
3524,2025-09-09,52.5,52.9,52.0,52.9
3523,2025-09-08,52.5,53.1,52.2,52.8
3522,2025-09-05,53.4,53.6,53.0,53.3
3521,2025-09-04,54.1,54.3,53.0,53.2
3520,2025-09-03,53.6,54.3,53.6,54.1
3519,2025-08-29,53.9,53.9,53.2,53.5
3518,2025-08-28,53.7,53.7,52.8,53.6
3517,2025-08-27,53.1,53.8,52.8,53.4
3516,2025-08-26,52.2,52.8,51.9,52.7
3515,2025-08-25,51.8,52.2,51.5,51.8
3514,2025-08-22,51.5,51.8,50.7,51.7
3513,2025-08-21,52.6,52.9,51.7,51.7
3512,2025-08-20,52.9,53.0,52.0,52.5
3511,2025-08-19,53.3,53.3,52.7,52.9
3510,2025-08-18,53.0,53.3,52.9,53.3
3509,2025-08-15,53.8,53.8,53.0,53.0
3508,2025-08-14,53.9,53.9,53.0,53.8
3507,2025-08-13,53.5,54.1,52.8,53.8
3506,2025-08-12,53.9,53.9,52.8,53.7
3505,2025-08-11,53.8,54.2,52.8,53.9
3504,2025-08-08,54.5,54.5,53.0,53.4
