,Date,Open,High,Low,Close
4815,2025-10-16,13.6,14.0,13.6,14.0
4814,2025-10-14,15.0,15.0,15.0,15.0
4813,2025-10-13,15.0,15.0,14.0,14.0
4812,2025-10-10,14.3,15.4,13.0,15.4
4811,2025-10-08,14.3,14.3,14.3,14.3
4810,2025-10-07,13.6,13.6,13.6,13.6
4809,2025-10-06,13.1,13.5,13.0,13.5
4808,2025-10-03,13.9,13.9,13.9,13.9
4807,2025-10-01,13.2,14.0,13.2,14.0
4806,2025-09-29,12.3,13.2,12.3,13.2
4805,2025-09-26,13.5,13.5,13.5,13.5
4804,2025-09-25,13.8,13.9,13.8,13.9
4803,2025-09-24,12.7,12.7,12.7,12.7
4802,2025-09-23,12.7,12.7,12.7,12.7
4801,2025-09-22,14.0,14.0,14.0,14.0
4800,2025-09-19,14.0,14.0,14.0,14.0
4799,2025-09-18,14.0,14.0,14.0,14.0
4798,2025-09-17,13.0,13.0,13.0,13.0
4797,2025-09-16,12.5,12.5,12.5,12.5
4796,2025-09-15,13.7,13.7,13.7,13.7
4795,2025-09-12,13.7,13.7,13.7,13.7
4794,2025-09-11,12.6,12.6,12.6,12.6
4793,2025-09-10,12.6,12.6,12.6,12.6
4792,2025-09-09,13.37,13.37,13.37,13.37
4791,2025-09-08,13.47,13.47,13.37,13.37
4790,2025-09-05,12.89,13.18,12.89,13.18
4789,2025-09-04,12.79,12.79,12.79,12.79
4788,2025-09-03,12.7,12.79,12.7,12.79
4787,2025-08-29,12.7,12.7,12.7,12.7
4786,2025-08-28,11.73,12.7,11.73,12.7
4785,2025-08-27,12.98,12.98,12.7,12.98
4784,2025-08-26,12.21,13.08,12.21,13.08
4783,2025-08-25,12.12,12.21,12.12,12.21
4782,2025-08-22,12.5,12.5,11.93,12.02
4781,2025-08-21,13.27,14.04,11.83,12.5
4780,2025-08-20,12.98,12.98,12.98,12.98
4779,2025-08-19,12.79,12.79,12.79,12.79
4778,2025-08-18,14.14,14.14,14.14,14.14
4777,2025-08-15,14.14,14.14,14.14,14.14
4776,2025-08-14,13.47,13.47,12.98,12.98
4775,2025-08-13,12.98,12.98,12.98,12.98
4774,2025-08-12,12.79,14.14,12.79,12.98
4773,2025-08-11,14.14,14.14,14.14,14.14
4772,2025-08-08,14.14,14.14,14.14,14.14
4771,2025-08-07,12.98,12.98,12.98,12.98
4770,2025-08-06,12.98,12.98,12.98,12.98
4769,2025-08-05,14.43,14.43,14.43,14.43
4768,2025-08-04,14.43,14.43,14.43,14.43
4767,2025-08-01,11.73,14.14,11.73,14.14
4766,2025-07-31,14.23,14.23,12.89,12.89
4765,2025-07-30,14.23,14.23,14.23,14.23
4764,2025-07-29,13.85,14.23,13.85,14.23
4763,2025-07-28,12.98,13.85,12.98,13.85
