,Date,Open,High,Low,Close
2423,2025-10-17,8.8,8.8,8.6,8.6
2422,2025-10-10,9.4,10.5,9.2,10.5
2421,2025-09-26,10.8,10.8,10.8,10.8
2420,2025-09-19,9.4,11.5,9.4,11.5
2419,2025-09-12,10.0,10.0,10.0,10.0
2418,2025-09-05,11.6,11.6,10.5,10.5
2417,2025-08-29,9.1,10.3,9.1,10.2
2416,2025-08-22,9.2,9.4,9.2,9.4
2415,2025-08-15,10.9,10.9,10.0,10.1
2414,2025-08-08,11.0,11.0,10.2,10.3
2413,2025-08-01,8.5,9.7,8.5,9.7
2412,2025-07-25,7.9,8.8,7.9,8.1
2411,2025-07-18,7.9,8.1,7.7,7.8
2410,2025-07-11,8.0,8.1,7.5,8.1
2409,2025-07-04,8.0,8.2,8.0,8.2
2408,2025-06-27,8.0,8.2,7.9,8.2
2407,2025-06-20,8.8,8.8,8.0,8.1
2406,2025-06-13,9.0,9.0,8.0,8.1
2405,2025-06-06,8.9,8.9,8.0,8.0
2404,2025-05-30,8.1,8.1,8.0,8.0
2403,2025-05-23,8.6,8.6,7.5,7.6
2402,2025-05-16,7.5,7.6,7.5,7.5
2401,2025-05-09,7.5,7.5,7.5,7.5
2400,2025-04-25,7.0,7.0,6.8,6.8
2399,2025-04-18,7.2,7.2,6.8,6.8
2398,2025-04-11,6.3,8.0,6.3,8.0
2397,2025-03-14,7.3,7.3,7.3,7.3
2396,2025-03-07,7.7,7.9,7.3,7.3
2395,2025-02-28,7.5,7.5,7.5,7.5
2394,2025-02-14,7.4,8.0,7.4,8.0
2393,2025-02-07,8.6,8.6,8.4,8.4
2392,2025-01-24,6.3,7.9,6.3,7.9
2391,2025-01-17,7.1,7.1,7.0,7.0
2390,2025-01-10,7.0,7.0,7.0,7.0
2389,2025-01-03,7.0,7.0,7.0,7.0
2388,2024-12-27,6.9,7.0,6.9,7.0
2387,2024-12-20,7.0,7.0,7.0,7.0
2386,2024-12-13,6.3,7.0,6.3,7.0
2385,2024-12-06,7.2,7.2,6.3,6.3
2384,2024-11-29,7.2,7.2,7.2,7.2
2383,2024-11-22,7.1,7.1,7.1,7.1
2382,2024-11-15,7.2,7.2,7.1,7.1
2381,2024-11-08,7.2,7.2,7.2,7.2
2380,2024-11-01,7.0,7.0,7.0,7.0
2379,2024-10-25,7.0,7.3,7.0,7.3
2378,2024-10-18,7.0,7.0,7.0,7.0
2377,2024-10-11,7.1,7.1,7.0,7.0
2376,2024-10-04,7.1,7.1,7.1,7.1
2375,2024-09-27,6.7,7.2,6.7,7.0
2374,2024-09-20,6.3,6.6,6.3,6.6
2373,2024-09-13,6.0,6.5,6.0,6.5
2372,2024-09-06,6.0,6.2,6.0,6.2
2371,2024-08-30,6.0,6.0,6.0,6.0
2370,2024-08-23,6.0,6.2,5.9,5.9
2369,2024-08-16,6.0,6.1,6.0,6.1
2368,2024-08-09,5.7,6.0,5.7,6.0
2367,2024-08-02,6.7,6.7,6.7,6.7
