,Date,Open,High,Low,Close
1612,2025-10-16,5.1,5.1,5.0,5.0
1611,2025-10-10,5.4,5.4,5.4,5.4
1610,2025-10-09,5.2,5.2,5.2,5.2
1609,2025-10-06,5.0,5.0,5.0,5.0
1608,2025-10-03,5.4,5.4,5.4,5.4
1607,2025-10-01,5.4,5.4,5.4,5.4
1606,2025-09-30,5.4,5.4,5.4,5.4
1605,2025-09-29,5.5,5.5,5.5,5.5
1604,2025-09-26,5.5,5.5,5.5,5.5
1603,2025-09-25,5.5,5.5,5.5,5.5
1602,2025-09-24,5.3,5.3,5.3,5.3
1601,2025-09-23,4.7,4.7,4.7,4.7
1600,2025-09-22,5.4,5.4,5.4,5.4
1599,2025-09-19,5.2,5.2,5.1,5.1
1598,2025-09-18,5.2,5.2,5.2,5.2
1597,2025-09-17,5.5,5.5,5.0,5.5
1596,2025-09-16,5.2,5.7,4.8,5.5
1595,2025-09-15,5.2,5.2,5.2,5.2
1594,2025-09-12,5.4,5.4,4.7,5.2
1593,2025-09-11,5.4,5.4,5.0,5.0
1592,2025-09-10,4.8,5.3,4.8,5.2
1591,2025-09-09,4.8,4.8,4.8,4.8
1590,2025-09-08,4.9,4.9,4.9,4.9
1589,2025-09-05,5.3,5.3,4.9,4.9
1588,2025-09-04,4.9,5.5,4.7,5.3
1587,2025-09-03,5.8,5.8,4.5,4.6
1586,2025-08-29,4.8,5.1,4.8,5.1
1585,2025-08-28,4.2,4.7,4.2,4.7
1584,2025-08-27,4.0,4.2,4.0,4.1
1583,2025-08-25,4.2,4.4,4.2,4.2
1582,2025-08-22,4.9,4.9,4.9,4.9
1581,2025-08-21,5.0,5.0,4.8,4.8
1580,2025-08-20,4.7,4.7,4.7,4.7
1579,2025-08-19,4.7,4.7,4.6,4.7
1578,2025-08-18,4.8,4.9,4.3,4.9
1577,2025-08-14,5.0,5.0,5.0,5.0
1576,2025-08-13,5.2,5.2,5.1,5.1
1575,2025-08-11,5.1,5.1,4.7,5.1
1574,2025-08-08,5.1,5.1,5.1,5.1
1573,2025-08-06,4.6,5.2,4.6,5.1
1572,2025-08-04,5.3,5.3,5.2,5.2
1571,2025-08-01,4.7,5.1,4.7,5.1
1570,2025-07-30,5.0,5.0,5.0,5.0
1569,2025-07-29,5.0,5.1,5.0,5.1
1568,2025-07-28,5.2,5.2,5.2,5.2
1567,2025-07-25,5.1,5.4,5.1,5.1
1566,2025-07-24,5.1,5.1,5.1,5.1
1565,2025-07-23,4.9,5.1,4.9,5.0
1564,2025-07-22,4.9,4.9,4.9,4.9
1563,2025-07-21,5.2,5.2,5.2,5.2
1562,2025-07-18,5.2,5.3,5.2,5.3
1561,2025-07-17,5.5,5.5,5.2,5.2
1560,2025-07-16,5.0,5.2,5.0,5.2
1559,2025-07-15,4.9,5.1,4.7,5.1
1558,2025-07-14,5.3,5.3,4.7,4.8
1557,2025-07-11,5.5,5.5,5.0,5.0
1556,2025-07-10,4.7,4.8,4.7,4.8
1555,2025-07-09,4.3,4.8,4.0,4.6
1554,2025-07-08,4.8,4.8,4.7,4.7
1553,2025-07-07,4.7,4.8,4.7,4.7
1552,2025-07-04,4.7,4.7,4.1,4.1
1551,2025-07-03,4.7,4.7,4.7,4.7
1550,2025-07-02,4.7,4.7,4.7,4.7
1549,2025-07-01,4.7,4.7,4.7,4.7
1548,2025-06-30,4.6,4.8,4.6,4.8
1547,2025-06-27,4.7,4.7,4.1,4.7
1546,2025-06-26,4.8,4.8,4.7,4.7
1545,2025-06-24,4.7,4.7,4.7,4.7
1544,2025-06-23,4.0,4.7,4.0,4.7
1543,2025-06-20,4.7,4.7,4.1,4.1
1542,2025-06-19,4.7,4.7,4.7,4.7
1541,2025-06-18,4.4,4.7,4.4,4.7
1540,2025-06-16,4.9,4.9,4.9,4.9
1539,2025-06-13,4.7,4.7,4.7,4.7
1538,2025-06-12,5.4,5.4,4.7,4.7
1537,2025-06-11,4.7,4.7,4.7,4.7
1536,2025-06-10,4.7,4.7,4.7,4.7
1535,2025-06-09,5.2,5.6,5.2,5.6
1534,2025-06-06,6.3,6.3,6.0,6.0
1533,2025-06-05,5.8,7.0,5.3,5.3
1532,2025-06-04,6.3,6.3,5.8,5.8
1531,2025-06-03,6.0,6.0,5.3,5.4
1530,2025-06-02,5.5,6.3,5.0,5.0
1529,2025-05-30,4.7,6.2,4.7,5.5
1528,2025-05-29,5.5,5.6,5.5,5.6
1527,2025-05-28,4.9,4.9,4.9,4.9
1526,2025-05-23,5.7,5.7,5.7,5.7
1525,2025-05-22,5.0,5.0,5.0,5.0
