,Date,Open,High,Low,Close,Volume
1965,2025-10-23,6.9,7.5,6.9,7.5,700
1964,2025-10-22,6.5,6.7,6.5,6.7,1200
1963,2025-10-21,6.7,6.7,6.7,6.7,600
1962,2025-10-20,6.8,6.8,6.7,6.7,2000
1961,2025-10-17,7.0,7.0,6.9,6.9,3300
1960,2025-10-16,6.8,6.9,6.7,6.9,11500
1959,2025-10-15,7.0,7.0,7.0,7.0,5100
1958,2025-10-14,7.0,7.2,6.9,7.2,4314
1957,2025-10-13,6.5,7.0,6.1,7.0,21100
1956,2025-10-10,7.1,7.1,7.1,7.1,0
1955,2025-10-09,7.1,7.1,7.1,7.1,100
1954,2025-10-08,6.8,7.4,6.8,7.4,202
1953,2025-10-07,7.0,7.2,7.0,7.2,200
1952,2025-10-06,7.05,7.05,6.85,6.85,3120
1951,2025-10-03,6.75,6.75,6.75,6.75,500
1950,2025-10-02,6.85,6.85,6.85,6.85,1007
1949,2025-10-01,6.85,6.95,6.56,6.95,400
1948,2025-09-30,6.56,6.95,6.56,6.85,3907
1947,2025-09-29,6.95,6.95,6.85,6.95,2306
1946,2025-09-26,7.05,7.05,6.65,6.95,6910
1945,2025-09-25,6.75,7.24,6.75,7.24,4101
1944,2025-09-24,7.24,7.24,7.24,7.24,0
1943,2025-09-23,7.24,7.24,7.24,7.24,44
1942,2025-09-22,7.24,7.24,7.24,7.24,0
1941,2025-09-19,7.24,7.24,7.24,7.24,0
1940,2025-09-18,7.24,7.24,7.24,7.24,154
1939,2025-09-17,6.95,7.05,6.95,6.95,700
1938,2025-09-16,7.34,7.34,7.34,7.34,100
1937,2025-09-15,7.24,7.34,6.95,7.05,900
1936,2025-09-12,7.05,7.24,7.05,7.24,1309
1935,2025-09-11,7.05,7.05,7.05,7.05,0
1934,2025-09-10,7.05,7.05,7.05,7.05,100
1933,2025-09-09,6.85,6.85,6.65,6.65,1000
1932,2025-09-08,6.95,7.14,6.85,6.85,32400
1931,2025-09-05,7.05,7.05,6.75,6.85,6201
1930,2025-09-04,6.65,7.34,6.65,7.05,500
1929,2025-09-03,6.56,7.14,6.36,6.85,2206
1928,2025-08-29,7.34,7.34,7.34,7.34,1001
1927,2025-08-28,7.44,7.44,7.24,7.44,2100
1926,2025-08-27,7.14,7.53,6.95,7.53,4317
1925,2025-08-26,7.14,7.14,7.14,7.14,520
1924,2025-08-25,7.14,7.14,6.65,6.65,1600
1923,2025-08-22,6.56,7.14,6.36,7.05,801
1922,2025-08-21,6.95,7.24,6.95,7.24,404
1921,2025-08-20,6.75,7.24,6.75,7.24,1700
1920,2025-08-19,6.95,7.14,6.85,6.95,1700
1919,2025-08-18,7.14,7.14,7.14,7.14,1
1918,2025-08-15,7.14,7.14,7.14,7.14,100
1917,2025-08-14,7.14,7.14,6.95,7.14,1500
1916,2025-08-13,7.14,7.73,6.95,7.44,20300
1915,2025-08-12,6.46,7.34,6.46,7.34,3900
1914,2025-08-11,6.85,7.63,6.85,7.63,7700
1913,2025-08-08,7.34,7.44,6.85,7.44,1201
1912,2025-08-07,6.95,7.73,6.95,7.34,5501
1911,2025-08-06,6.65,6.75,6.65,6.75,1100
1910,2025-08-05,6.85,6.85,6.75,6.75,202
1909,2025-08-04,6.75,6.75,6.75,6.75,1
1908,2025-08-01,6.75,6.75,6.75,6.75,0
1907,2025-07-31,6.75,6.75,6.75,6.75,4000
1906,2025-07-30,6.85,6.85,6.85,6.85,0
1905,2025-07-29,6.85,6.85,6.85,6.85,100
1904,2025-07-28,6.85,6.85,6.85,6.85,2100
1903,2025-07-25,6.85,6.85,6.85,6.85,1000
1902,2025-07-24,6.75,6.85,6.75,6.85,2400
1901,2025-07-23,6.85,6.85,6.85,6.85,0
1900,2025-07-22,6.85,6.85,6.85,6.85,500
1899,2025-07-21,7.05,7.05,7.05,7.05,100
1898,2025-07-18,7.05,7.05,6.85,6.85,4829
1897,2025-07-17,7.05,7.05,7.05,7.05,0
1896,2025-07-16,7.05,7.05,7.05,7.05,7
1895,2025-07-15,7.05,7.05,7.05,7.05,111
1894,2025-07-14,6.85,6.85,6.85,6.85,2052
1893,2025-07-11,6.85,6.85,6.85,6.85,3000
1892,2025-07-10,7.24,7.34,6.85,7.05,6460
1891,2025-07-09,7.14,7.24,7.14,7.24,400
1890,2025-07-08,7.24,7.24,7.24,7.24,0
1889,2025-07-07,7.24,7.24,7.24,7.24,100
1888,2025-07-04,7.14,7.14,7.14,7.14,0
1887,2025-07-03,7.14,7.14,7.14,7.14,0
1886,2025-07-02,7.14,7.24,7.14,7.24,3101
1885,2025-07-01,7.05,7.24,7.05,7.14,6100
1884,2025-06-30,7.14,7.14,7.14,7.14,8
1883,2025-06-27,7.05,7.24,6.75,6.75,7100
1882,2025-06-26,6.26,7.05,6.26,6.85,612
1881,2025-06-25,7.24,7.24,7.24,7.24,0
