,Date,Open,High,Low,Close,Volume
6129,2025-10-24,41.2,41.2,41.2,41.2,2500
6128,2025-10-23,40.2,41.2,40.2,41.2,1700
6127,2025-10-22,40.1,41.2,40.1,41.2,800
6126,2025-10-21,41.3,41.3,40.0,41.2,4100
6125,2025-10-20,41.6,41.6,41.0,41.6,600
6124,2025-10-17,40.7,41.75,40.7,41.7,2763
6123,2025-10-16,40.7,41.8,40.7,41.8,6766
6122,2025-10-15,40.85,42.0,40.6,41.8,5500
6121,2025-10-14,40.8,42.0,40.6,42.0,3601
6120,2025-10-13,41.0,42.0,40.65,42.0,6177
6119,2025-10-10,41.8,42.0,41.0,42.0,5708
6118,2025-10-09,43.0,43.0,42.0,42.0,2608
6117,2025-10-08,41.5,41.79,40.92,41.5,1017
6116,2025-10-07,40.77,41.01,40.77,41.01,3407
6115,2025-10-06,40.52,40.82,40.52,40.82,1004
6114,2025-10-03,40.77,40.77,39.65,40.77,5776
6113,2025-10-02,41.01,41.01,40.77,40.77,4756
6112,2025-10-01,39.79,40.82,39.65,40.82,7500
6111,2025-09-30,39.65,40.82,39.45,40.82,6100
6110,2025-09-29,40.92,40.92,39.55,40.82,9500
6109,2025-09-26,39.65,40.92,39.55,40.92,1300
6108,2025-09-25,39.84,40.92,39.26,40.92,10800
6107,2025-09-24,40.72,40.92,40.72,40.92,3821
6106,2025-09-23,39.26,41.01,39.16,41.01,3702
6105,2025-09-22,39.65,40.82,39.16,40.62,9316
6104,2025-09-19,39.74,41.01,39.74,40.92,2000
6103,2025-09-18,40.13,41.01,39.65,41.01,11010
6102,2025-09-17,40.13,41.01,40.04,41.01,7804
6101,2025-09-16,40.13,41.01,40.04,41.01,9633
6100,2025-09-15,41.01,41.01,41.01,41.01,305
6099,2025-09-12,40.33,41.01,39.35,41.01,6855
6098,2025-09-11,40.92,41.01,40.92,41.01,576
6097,2025-09-10,41.01,41.01,40.09,41.01,4001
6096,2025-09-09,41.01,41.01,41.01,41.01,1410
6095,2025-09-08,40.04,41.01,39.16,41.01,11637
6094,2025-09-05,41.01,41.01,40.52,41.01,1151
6093,2025-09-04,40.82,41.01,40.82,41.01,1948
6092,2025-09-03,39.69,41.01,39.69,41.01,344
6091,2025-08-29,40.04,41.01,38.38,41.01,1766
6090,2025-08-28,40.13,41.01,39.65,41.01,510
6089,2025-08-27,40.04,41.01,40.04,41.01,1046
6088,2025-08-26,41.01,41.01,41.01,41.01,0
6087,2025-08-25,40.96,41.01,40.92,41.01,417
6086,2025-08-22,41.01,41.01,39.84,41.01,3920
6085,2025-08-21,41.01,41.01,40.23,41.01,1013
6084,2025-08-20,40.04,41.06,39.74,41.06,5038
6083,2025-08-19,41.11,41.11,41.11,41.11,3
6082,2025-08-18,41.16,41.16,41.11,41.11,1156
6081,2025-08-15,41.01,41.21,41.01,41.16,2179
6080,2025-08-14,40.23,41.5,40.23,41.01,1230
6079,2025-08-13,40.23,41.21,40.23,41.21,992
6078,2025-08-12,41.01,41.01,40.18,41.01,714
6077,2025-08-11,41.16,41.21,40.18,41.21,8669
6076,2025-08-08,40.92,41.21,40.82,41.21,3586
6075,2025-08-07,41.01,41.01,40.04,41.01,1210
6074,2025-08-06,39.26,41.5,39.26,41.01,4055
6073,2025-08-05,40.92,41.31,40.04,41.31,9797
6072,2025-08-04,40.04,41.01,40.04,41.01,4200
6071,2025-08-01,40.72,41.01,39.55,41.01,7912
6070,2025-07-31,41.5,41.5,40.92,41.01,900
6069,2025-07-30,40.04,41.5,40.04,41.5,621
6068,2025-07-29,40.52,41.01,39.74,41.01,1131
6067,2025-07-28,39.84,41.5,39.84,41.01,3023
6066,2025-07-25,41.01,41.01,41.01,41.01,36
6065,2025-07-24,41.01,41.5,40.96,41.01,6105
6064,2025-07-23,41.01,41.01,40.04,40.04,769
6063,2025-07-22,41.01,41.01,41.01,41.01,305
6062,2025-07-21,41.01,41.01,40.77,41.01,1080
6061,2025-07-18,41.01,41.01,40.77,41.01,2900
