,Date,Open,High,Low,Close
3657,2025-10-03,9.3,9.3,9.3,9.3
3656,2025-09-24,9.4,9.4,9.4,9.4
3655,2025-09-19,9.5,9.5,9.5,9.5
3654,2025-09-18,9.5,9.5,9.5,9.5
3653,2025-09-11,10.8,10.8,10.8,10.8
3652,2025-09-09,10.9,11.0,10.9,11.0
3651,2025-09-05,11.0,11.0,11.0,11.0
3650,2025-09-04,10.3,10.3,10.3,10.3
3649,2025-08-29,10.3,10.3,10.3,10.3
3648,2025-08-26,9.0,9.0,9.0,9.0
3647,2025-08-25,8.8,8.8,8.8,8.8
3646,2025-08-21,8.6,9.0,8.6,9.0
3645,2025-08-20,8.5,8.5,8.5,8.5
3644,2025-08-14,9.9,9.9,9.9,9.9
3643,2025-08-08,9.8,9.8,9.8,9.8
3642,2025-08-05,9.8,9.8,9.8,9.8
3641,2025-07-22,9.8,9.8,9.8,9.8
3640,2025-07-21,9.8,9.8,9.8,9.8
3639,2025-07-17,9.8,9.8,9.8,9.8
3638,2025-07-14,9.8,9.8,9.8,9.8
3637,2025-07-10,10.0,10.0,10.0,10.0
3636,2025-07-09,9.1,10.2,9.1,10.2
3635,2025-07-08,9.1,9.1,9.1,9.1
3634,2025-07-07,9.0,9.0,9.0,9.0
3633,2025-07-04,8.5,8.5,8.5,8.5
3632,2025-07-01,10.0,10.0,10.0,10.0
3631,2025-06-27,10.0,10.0,10.0,10.0
3630,2025-06-05,9.5,9.5,9.5,9.5
3629,2025-05-30,9.4,9.4,9.4,9.4
3628,2025-05-28,9.2,10.2,9.2,10.2
3627,2025-05-23,9.1,9.1,9.1,9.1
3626,2025-05-22,8.6,11.2,8.6,11.2
3625,2025-05-21,10.1,10.1,10.1,10.1
3624,2025-05-20,10.0,10.0,10.0,10.0
3623,2025-05-08,10.1,10.1,10.1,10.1
3622,2025-04-29,9.5,11.0,9.5,9.5
3621,2025-04-15,11.0,11.2,11.0,11.2
3620,2025-04-10,11.5,11.5,11.2,11.2
3619,2025-03-27,11.6,11.6,11.6,11.6
3618,2025-03-26,11.7,11.7,11.7,11.7
3617,2025-03-25,11.8,11.8,11.8,11.8
3616,2025-03-21,12.2,12.2,11.9,12.1
3615,2025-03-19,12.3,12.3,12.3,12.3
3614,2025-03-18,12.3,12.3,12.3,12.3
3613,2025-03-13,12.3,12.3,12.3,12.3
3612,2025-03-12,12.3,12.3,12.3,12.3
3611,2025-03-11,12.3,12.3,12.3,12.3
3610,2025-03-10,12.4,12.4,12.4,12.4
3609,2025-03-07,12.4,12.4,12.4,12.4
3608,2025-03-06,10.0,11.0,10.0,11.0
3607,2025-03-03,9.6,9.6,9.6,9.6
3606,2025-02-26,9.5,9.5,9.5,9.5
3605,2025-02-25,9.5,9.5,9.5,9.5
3604,2025-02-24,9.5,9.5,9.5,9.5
3603,2025-02-19,10.8,10.8,10.8,10.8
3602,2025-02-14,9.5,11.1,9.5,9.5
3601,2025-02-12,9.7,9.7,9.7,9.7
3600,2025-02-11,9.6,11.0,9.6,11.0
3599,2025-02-10,9.6,9.6,9.6,9.6
3598,2025-02-07,9.6,9.6,9.6,9.6
3597,2025-02-06,10.9,10.9,10.9,10.9
3596,2025-02-05,10.9,10.9,10.9,10.9
3595,2025-02-04,9.5,9.5,9.5,9.5
3594,2025-02-03,9.5,9.5,9.5,9.5
3593,2025-01-20,11.0,11.0,9.4,9.4
3592,2025-01-17,10.0,10.9,9.4,9.4
3591,2025-01-16,9.5,9.5,9.5,9.5
3590,2025-01-15,9.9,9.9,9.5,9.5
3589,2025-01-14,10.1,10.1,10.1,10.1
3588,2025-01-13,9.4,9.4,9.4,9.4
3587,2025-01-10,9.4,9.4,9.4,9.4
3586,2025-01-08,9.4,9.4,9.4,9.4
3585,2025-01-06,11.0,11.0,11.0,11.0
3584,2024-12-31,10.6,10.6,10.6,10.6
3583,2024-12-30,9.1,9.5,9.1,9.5
3582,2024-12-27,9.8,9.8,9.8,9.8
3581,2024-12-25,8.6,8.6,8.6,8.6
3580,2024-12-24,7.5,7.5,7.5,7.5
3579,2024-12-20,8.4,8.4,8.4,8.4
3578,2024-12-19,9.6,9.6,8.6,8.6
3577,2024-12-18,8.5,8.5,8.5,8.5
3576,2024-12-16,7.4,7.4,7.4,7.4
3575,2024-12-13,8.6,8.6,8.6,8.6
3574,2024-12-12,7.3,8.2,7.3,8.2
3573,2024-12-11,7.2,7.2,7.2,7.2
3572,2024-12-10,6.3,6.3,6.3,6.3
3571,2024-10-25,10.5,10.5,10.5,10.5
3570,2024-10-16,12.6,12.6,11.7,11.7
3569,2024-10-07,11.0,11.0,11.0,11.0
3568,2024-10-03,9.6,9.6,9.6,9.6
3567,2024-10-02,8.4,8.4,8.4,8.4
3566,2024-09-30,8.4,8.4,8.4,8.4
3565,2024-09-18,9.4,9.4,9.4,9.4
3564,2024-09-13,11.0,11.0,11.0,11.0
3563,2024-09-11,10.0,10.0,10.0,10.0
3562,2024-09-10,10.0,10.0,10.0,10.0
3561,2024-09-06,8.7,8.7,8.7,8.7
3560,2024-09-04,9.2,11.0,9.2,11.0
3559,2024-08-28,10.8,10.8,10.8,10.8
3558,2024-08-27,10.8,10.8,10.8,10.8
3557,2024-08-26,9.4,9.4,9.4,9.4
3556,2024-08-23,8.2,8.2,8.2,8.2
3555,2024-08-21,9.5,9.5,9.5,9.5
3554,2024-07-25,15.7,15.7,15.7,15.7
3553,2024-07-24,15.7,15.7,15.7,15.7
3552,2024-07-23,15.7,15.7,15.7,15.7
3551,2024-07-22,15.7,15.7,15.7,15.7
3550,2024-07-19,15.7,15.7,15.7,15.7
3549,2024-07-18,15.7,15.7,15.7,15.7
3548,2024-07-17,15.7,15.7,15.7,15.7
3547,2024-07-16,15.7,15.7,15.7,15.7
3546,2024-07-15,15.7,15.7,15.7,15.7
3545,2024-07-12,13.8,13.8,13.8,13.8
3544,2024-07-11,13.8,13.8,13.8,13.8
3543,2024-07-10,13.8,13.8,13.8,13.8
3542,2024-07-09,13.8,13.8,13.8,13.8
3541,2024-07-08,13.8,13.8,13.8,13.8
3540,2024-07-05,13.1,14.0,13.1,14.0
3539,2024-07-04,13.1,13.1,13.1,13.1
3538,2024-07-03,9.5,9.5,9.5,9.5
3537,2024-07-02,9.5,9.5,9.5,9.5
3536,2024-07-01,9.5,9.5,9.5,9.5
3535,2024-06-28,9.5,9.5,9.5,9.5
3534,2024-06-27,9.5,9.5,9.5,9.5
3533,2024-06-26,9.5,9.5,9.5,9.5
3532,2024-06-25,9.5,9.5,9.5,9.5
