,Date,Open,High,Low,Close
4465,2025-10-17,18.6,18.7,18.4,18.5
4464,2025-10-16,18.6,18.8,18.3,18.6
4463,2025-10-15,19.2,19.4,18.6,18.6
4462,2025-10-14,19.2,19.4,18.9,19.0
4461,2025-10-13,19.1,19.6,19.0,19.2
4460,2025-10-10,19.3,19.5,19.2,19.2
4459,2025-10-09,19.2,19.5,19.2,19.3
4458,2025-10-08,19.5,19.6,19.0,19.2
4457,2025-10-07,19.6,19.6,19.2,19.3
4456,2025-10-06,19.3,19.6,19.2,19.6
4455,2025-10-03,19.4,19.6,19.2,19.2
4454,2025-10-02,19.4,19.8,19.4,19.5
4453,2025-10-01,19.7,19.9,19.4,19.7
4452,2025-09-30,19.7,20.0,19.4,19.9
4451,2025-09-29,19.9,20.0,19.5,19.6
4450,2025-09-26,20.1,20.2,19.8,19.8
4449,2025-09-25,20.0,20.3,20.0,20.2
4448,2025-09-24,20.0,20.3,19.6,20.0
4447,2025-09-23,20.1,20.29,20.0,20.0
4446,2025-09-22,20.39,20.59,19.9,20.1
4445,2025-09-19,20.68,20.78,20.29,20.29
4444,2025-09-18,20.49,20.78,20.19,20.68
4443,2025-09-17,20.88,20.98,20.29,20.29
4442,2025-09-16,21.37,21.66,20.78,20.78
4441,2025-09-15,20.49,21.37,20.29,21.37
4440,2025-09-12,19.61,20.39,19.61,20.39
4439,2025-09-11,20.0,20.19,19.02,19.51
4438,2025-09-10,19.61,19.8,19.51,19.8
4437,2025-09-09,19.41,19.61,19.12,19.51
4436,2025-09-08,20.19,20.39,19.32,19.32
4435,2025-09-05,20.68,20.98,20.19,20.29
4434,2025-09-04,19.8,20.78,19.8,20.59
4433,2025-09-03,19.71,19.9,19.51,19.8
4432,2025-08-29,19.9,20.1,19.71,19.71
4431,2025-08-28,19.32,19.9,19.32,19.8
4430,2025-08-27,19.51,19.71,19.32,19.32
4429,2025-08-26,19.02,19.51,19.02,19.51
4428,2025-08-25,19.02,19.51,18.93,19.02
4427,2025-08-22,19.22,19.71,17.46,19.02
4426,2025-08-21,19.51,19.71,19.12,19.22
4425,2025-08-20,20.59,20.59,19.51,19.51
4424,2025-08-19,20.59,20.78,20.39,20.59
4423,2025-08-18,20.59,20.88,20.39,20.78
4422,2025-08-15,20.98,21.07,20.49,20.59
4421,2025-08-14,21.27,21.46,20.59,20.98
4420,2025-08-13,21.56,21.76,20.78,21.27
4419,2025-08-12,21.85,21.95,21.27,21.46
4418,2025-08-11,20.98,22.24,20.98,21.85
4417,2025-08-08,21.27,21.37,20.59,20.98
4416,2025-08-07,20.98,21.46,20.59,21.17
4415,2025-08-06,20.0,20.68,19.61,20.29
4414,2025-08-05,20.19,20.39,19.61,20.0
4413,2025-08-04,20.29,20.29,19.9,20.1
4412,2025-08-01,20.88,20.98,20.1,20.29
4411,2025-07-31,20.39,20.98,20.0,20.78
4410,2025-07-30,19.71,20.29,19.61,19.9
4409,2025-07-29,20.98,21.56,19.8,19.8
4408,2025-07-28,21.17,21.56,20.98,21.27
4407,2025-07-25,21.17,21.46,21.17,21.17
4406,2025-07-24,20.68,21.37,20.68,21.07
4405,2025-07-23,20.78,20.98,20.59,20.78
4404,2025-07-22,20.29,20.68,20.29,20.59
4403,2025-07-21,20.68,20.78,20.29,20.29
4402,2025-07-18,20.19,20.68,20.1,20.59
4401,2025-07-17,20.29,20.39,20.0,20.19
4400,2025-07-16,20.1,20.29,20.0,20.19
4399,2025-07-15,20.19,20.59,20.1,20.1
4398,2025-07-14,20.0,20.39,19.9,20.19
4397,2025-07-11,20.1,20.29,19.9,20.0
4396,2025-07-10,20.39,20.49,20.0,20.1
4395,2025-07-09,21.07,21.27,20.29,20.39
4394,2025-07-08,20.88,21.56,20.78,20.78
4393,2025-07-07,20.39,20.88,20.0,20.59
4392,2025-07-04,20.68,20.68,19.71,20.39
4391,2025-07-03,22.44,22.44,19.8,20.88
4390,2025-07-02,21.07,22.24,20.68,21.85
4389,2025-07-01,20.19,21.27,19.8,20.98
4388,2025-06-30,20.29,20.68,20.1,20.19
4387,2025-06-27,19.9,20.49,19.71,20.1
4386,2025-06-26,19.8,20.1,19.71,19.9
4385,2025-06-25,19.71,20.0,19.51,19.8
4384,2025-06-24,19.02,20.1,19.02,19.71
4383,2025-06-23,18.54,19.12,18.24,19.02
4382,2025-06-20,18.05,18.83,17.76,18.54
4381,2025-06-19,17.76,18.15,17.76,18.05
4380,2025-06-18,18.34,18.54,17.95,18.05
4379,2025-06-17,18.15,18.44,18.15,18.44
4378,2025-06-16,17.85,18.15,17.76,18.15
4377,2025-06-13,18.15,18.15,17.56,17.95
