,Date,Open,High,Low,Close
2049,2025-10-17,15.7,15.9,15.4,15.8
2048,2025-10-16,15.6,15.8,15.6,15.8
2047,2025-10-15,15.8,15.8,15.8,15.8
2046,2025-10-14,15.8,15.8,15.8,15.8
2045,2025-10-13,15.9,15.9,15.9,15.9
2044,2025-10-10,15.6,15.9,15.5,15.9
2043,2025-10-08,15.6,16.1,15.6,16.1
2042,2025-10-07,15.4,15.4,15.4,15.4
2041,2025-10-06,16.0,16.0,15.5,15.9
2040,2025-10-03,15.5,15.7,15.5,15.7
2039,2025-10-02,15.8,15.8,15.7,15.7
2038,2025-10-01,15.8,15.8,15.8,15.8
2037,2025-09-30,15.8,16.0,15.5,16.0
2036,2025-09-25,15.8,16.1,15.7,16.1
2035,2025-09-24,15.8,16.2,15.8,16.2
2034,2025-09-23,15.8,16.4,15.8,15.8
2033,2025-09-19,16.0,16.0,16.0,16.0
2032,2025-09-16,16.4,16.4,15.8,16.2
2031,2025-09-15,16.5,16.5,15.8,16.4
2030,2025-09-12,15.8,15.9,15.7,15.9
2029,2025-09-11,15.8,16.0,15.8,16.0
2028,2025-09-09,16.0,16.0,15.8,16.0
2027,2025-09-08,16.1,16.1,16.1,16.1
2026,2025-09-05,16.0,16.5,16.0,16.2
2025,2025-09-04,15.9,16.0,15.5,16.0
2024,2025-09-03,16.0,17.0,15.9,15.9
2023,2025-08-29,16.1,16.5,15.8,16.5
2022,2025-08-28,16.4,16.9,16.4,16.9
2021,2025-08-27,16.7,16.7,15.0,16.4
2020,2025-08-26,17.7,17.7,16.5,16.6
2019,2025-08-25,16.5,16.7,16.5,16.6
2018,2025-08-22,16.7,16.7,16.5,16.6
2017,2025-08-21,17.4,17.4,16.7,16.8
2016,2025-08-20,16.6,17.0,16.5,16.9
2015,2025-08-19,16.7,17.2,16.7,17.0
2014,2025-08-18,17.1,17.3,16.7,17.0
2013,2025-08-15,17.2,17.2,16.7,17.2
2012,2025-08-14,17.5,17.7,16.7,17.7
2011,2025-08-13,19.0,19.0,17.5,17.7
2010,2025-08-12,19.2,19.38,18.93,19.2
2009,2025-08-11,17.84,19.2,17.84,19.2
2008,2025-08-08,17.48,17.66,17.3,17.66
2007,2025-08-07,17.39,17.57,17.39,17.48
2006,2025-08-06,17.48,17.48,17.03,17.3
2005,2025-08-05,17.66,17.66,17.21,17.48
2004,2025-08-04,17.21,17.21,16.94,17.21
2003,2025-08-01,17.48,17.48,16.85,17.12
2002,2025-07-31,17.21,17.3,16.94,17.21
2001,2025-07-30,17.21,17.21,16.76,16.94
2000,2025-07-29,17.03,17.21,16.94,17.21
1999,2025-07-28,15.94,17.03,15.94,16.94
1998,2025-07-25,17.03,17.12,15.94,16.3
1997,2025-07-24,15.85,15.85,15.67,15.85
1996,2025-07-23,15.85,15.85,15.85,15.85
1995,2025-07-22,15.76,15.85,15.58,15.85
1994,2025-07-21,15.76,15.85,15.67,15.76
1993,2025-07-18,15.76,15.85,15.49,15.76
1992,2025-07-17,15.76,15.85,15.76,15.85
1991,2025-07-16,15.76,15.76,15.76,15.76
1990,2025-07-15,15.85,15.85,15.85,15.85
1989,2025-07-14,15.85,15.94,15.76,15.85
1988,2025-07-11,15.67,15.94,15.67,15.85
1987,2025-07-10,15.94,15.94,15.94,15.94
1986,2025-07-09,15.94,15.94,15.67,15.85
1985,2025-07-08,15.85,15.85,15.58,15.85
1984,2025-07-07,15.94,16.03,15.85,15.94
1983,2025-07-04,16.03,16.03,16.03,16.03
1982,2025-07-03,16.03,16.12,15.94,16.12
1981,2025-07-02,16.12,16.12,15.94,16.03
1980,2025-07-01,16.21,16.21,15.94,15.94
1979,2025-06-30,16.21,16.21,15.85,15.94
1978,2025-06-27,15.67,15.85,15.67,15.67
1977,2025-06-26,15.76,15.85,15.58,15.85
1976,2025-06-25,16.21,16.21,15.94,15.94
1975,2025-06-24,15.67,16.21,15.67,16.21
1974,2025-06-23,15.58,15.76,15.58,15.76
1973,2025-06-20,16.03,16.03,16.03,16.03
1972,2025-06-19,16.03,16.03,16.03,16.03
1971,2025-06-18,15.76,16.03,15.67,16.03
1970,2025-06-17,16.03,16.03,16.03,16.03
1969,2025-06-16,16.21,16.21,15.76,16.03
1968,2025-06-13,16.57,16.57,16.57,16.57
1967,2025-06-12,15.67,16.57,15.67,16.57
1966,2025-06-11,15.67,16.03,15.67,16.03
1965,2025-06-10,16.03,16.03,16.03,16.03
1964,2025-06-09,15.76,16.03,15.76,16.03
1963,2025-06-06,16.21,16.21,16.21,16.21
1962,2025-06-05,15.85,16.21,15.85,16.21
1961,2025-06-04,15.85,15.94,15.85,15.94
1960,2025-06-03,16.03,16.03,15.85,15.94
1959,2025-06-02,16.21,16.21,16.03,16.12
1958,2025-05-30,16.3,16.3,16.3,16.3
1957,2025-05-29,16.12,16.3,16.12,16.3
1956,2025-05-28,16.3,16.3,16.3,16.3
1955,2025-05-27,15.94,16.3,15.85,16.3
1954,2025-05-26,15.85,15.94,15.76,15.94
1953,2025-05-23,15.58,15.76,15.58,15.76
1952,2025-05-22,15.4,15.58,15.4,15.58
1951,2025-05-21,15.67,15.67,15.67,15.67
1950,2025-05-20,15.67,15.67,15.67,15.67
1949,2025-05-19,15.76,15.76,15.76,15.76
1948,2025-05-16,15.76,15.76,15.76,15.76
1947,2025-05-15,15.67,15.85,14.76,15.76
1946,2025-05-14,15.85,15.85,15.85,15.85
1945,2025-05-13,15.76,15.85,15.76,15.85
1944,2025-05-12,15.76,15.76,15.76,15.76
1943,2025-05-09,15.76,15.76,15.76,15.76
1942,2025-05-08,15.58,15.76,15.58,15.76
1941,2025-05-07,15.67,15.67,15.67,15.67
1940,2025-05-06,15.49,15.67,15.4,15.67
1939,2025-05-05,15.58,15.58,15.58,15.58
1938,2025-04-29,15.31,15.58,15.22,15.58
1937,2025-04-28,16.03,16.03,16.03,16.03
1936,2025-04-25,16.03,16.03,16.03,16.03
1935,2025-04-24,16.21,16.21,16.12,16.12
1934,2025-04-23,16.3,16.3,16.3,16.3
1933,2025-04-22,15.31,16.3,15.22,16.3
1932,2025-04-21,16.57,16.57,16.57,16.57
1931,2025-04-18,16.57,16.57,16.57,16.57
1930,2025-04-17,16.03,16.03,16.03,16.03
1929,2025-04-16,16.21,16.21,16.21,16.21
1928,2025-04-15,15.85,17.57,15.58,16.48
1927,2025-04-14,16.03,16.03,16.03,16.03
1926,2025-04-11,15.13,16.03,15.13,16.03
