,Date,Open,High,Low,Close
1626,2025-10-17,35.8,35.8,35.8,35.8
1625,2025-10-13,33.5,33.5,33.5,33.5
1624,2025-10-07,33.5,33.5,33.5,33.5
1623,2025-09-30,34.5,34.5,34.5,34.5
1622,2025-09-25,34.5,34.5,34.5,34.5
1621,2025-09-24,34.5,34.5,34.5,34.5
1620,2025-09-23,34.5,34.5,34.5,34.5
1619,2025-09-22,34.6,34.6,34.4,34.4
1618,2025-09-19,34.5,34.6,34.5,34.6
1617,2025-09-18,34.0,34.5,33.3,34.5
1616,2025-09-17,34.5,34.6,34.5,34.6
1615,2025-09-15,34.6,34.6,34.6,34.6
1614,2025-08-22,34.6,34.6,34.6,34.6
1613,2025-08-21,34.6,34.6,34.6,34.6
1612,2025-08-19,34.6,34.6,34.6,34.6
1611,2025-08-18,34.0,34.9,34.0,34.3
1610,2025-08-15,35.5,35.5,35.5,35.5
1609,2025-08-14,36.0,36.0,36.0,36.0
1608,2025-08-12,35.5,35.5,35.5,35.5
1607,2025-08-08,35.8,38.0,35.8,38.0
1606,2025-08-05,35.5,36.0,35.5,36.0
1605,2025-08-01,35.0,35.5,34.0,35.5
1604,2025-07-31,33.4,33.4,33.4,33.4
1603,2025-07-29,35.4,36.0,35.4,35.4
1602,2025-07-28,38.0,38.0,33.6,36.0
1601,2025-07-24,34.5,34.5,34.5,34.5
1600,2025-07-22,34.5,34.5,34.5,34.5
1599,2025-07-21,34.5,34.5,34.5,34.5
1598,2025-07-10,33.6,33.8,33.6,33.7
1597,2025-07-09,34.2,36.0,33.5,35.2
1596,2025-07-08,34.0,34.2,34.0,34.2
1595,2025-07-07,34.0,34.0,34.0,34.0
1594,2025-07-03,33.3,33.3,33.3,33.3
1593,2025-07-01,33.2,33.2,33.2,33.2
1592,2025-06-30,33.2,33.3,33.1,33.3
1591,2025-06-25,33.2,33.5,33.2,33.5
1590,2025-06-24,33.8,33.8,33.8,33.8
1589,2025-06-18,34.0,34.0,34.0,34.0
1588,2025-06-11,32.5,34.5,32.5,34.5
1587,2025-06-10,33.7,33.7,33.7,33.7
1586,2025-06-09,33.8,33.8,33.6,33.6
1585,2025-06-06,33.3,33.3,33.3,33.3
1584,2025-06-05,33.3,33.3,33.3,33.3
1583,2025-06-04,33.0,35.4,33.0,35.4
1582,2025-06-03,33.0,33.0,33.0,33.0
1581,2025-06-02,34.1,34.1,32.5,32.5
1580,2025-05-30,33.8,34.5,33.8,34.5
1579,2025-05-29,35.7,35.7,33.0,33.5
1578,2025-05-28,35.47,36.57,35.47,35.65
1577,2025-05-27,35.01,35.47,35.01,35.47
1576,2025-05-26,33.99,35.01,33.99,34.82
1575,2025-05-23,33.9,34.08,33.72,33.72
1574,2025-05-22,33.44,34.08,33.44,33.99
1573,2025-05-21,34.08,34.08,33.44,34.08
1572,2025-05-20,39.15,39.15,34.18,34.18
1571,2025-05-19,34.18,34.18,34.18,34.18
1570,2025-05-16,38.23,38.23,33.9,33.9
1569,2025-05-15,33.44,33.44,33.44,33.44
1568,2025-05-14,33.44,33.44,33.44,33.44
1567,2025-05-13,32.7,33.62,32.7,33.62
1566,2025-05-12,35.47,35.47,32.33,32.43
1565,2025-05-09,32.61,32.89,30.86,32.89
1564,2025-05-08,32.52,33.16,32.33,33.16
1563,2025-05-07,33.16,33.16,33.16,33.16
1562,2025-05-06,33.16,33.16,33.16,33.16
1561,2025-05-05,33.16,33.26,33.16,33.26
1560,2025-04-29,33.26,33.62,33.26,33.62
1559,2025-04-28,33.16,33.62,33.07,33.62
1558,2025-04-25,32.7,33.62,32.7,33.62
1557,2025-04-24,31.32,33.16,31.32,33.16
1556,2025-04-23,32.06,32.7,32.06,32.7
1555,2025-04-22,31.14,31.14,31.14,31.14
1554,2025-04-21,30.77,31.32,30.77,31.32
1553,2025-04-18,30.86,30.86,30.86,30.86
1552,2025-04-17,30.95,31.23,30.86,30.86
1551,2025-04-16,30.86,30.86,30.77,30.77
1550,2025-04-15,30.86,30.86,30.86,30.86
1549,2025-04-14,30.4,31.32,30.4,31.32
1548,2025-04-11,31.32,31.32,29.75,31.23
1547,2025-04-10,30.68,30.68,29.57,30.4
1546,2025-04-09,26.25,32.24,26.25,29.75
1545,2025-04-08,29.75,30.4,29.48,29.48
1544,2025-04-04,29.66,29.66,29.66,29.66
1543,2025-04-03,29.57,30.03,29.57,30.03
1542,2025-04-02,31.32,31.32,31.32,31.32
1541,2025-04-01,32.24,32.24,32.24,32.24
1540,2025-03-31,32.24,32.24,32.24,32.24
1539,2025-03-28,32.24,32.24,32.24,32.24
1538,2025-03-27,31.32,31.32,31.32,31.32
1537,2025-03-26,30.49,30.77,30.49,30.77
1536,2025-03-25,30.22,30.22,30.22,30.22
1535,2025-03-24,31.32,31.32,29.57,29.57
1534,2025-03-21,31.78,31.78,31.32,31.32
1533,2025-03-20,30.12,30.12,30.12,30.12
1532,2025-03-19,32.24,32.24,32.24,32.24
1531,2025-03-18,30.77,32.24,30.77,30.77
1530,2025-03-17,30.77,30.77,30.77,30.77
1529,2025-03-14,31.14,31.14,30.12,30.12
1528,2025-03-13,31.32,31.78,29.57,29.57
1527,2025-03-12,30.49,32.61,30.49,31.32
1526,2025-03-11,30.86,31.6,30.86,31.6
1525,2025-03-10,30.4,32.7,30.4,32.24
1524,2025-03-07,32.7,32.7,32.24,32.24
1523,2025-03-06,31.87,33.44,31.87,33.16
1522,2025-03-05,30.86,38.6,30.86,35.01
1521,2025-03-04,35.01,35.01,34.08,35.01
1520,2025-03-03,30.86,30.86,30.86,30.86
1519,2025-02-28,26.71,27.91,26.71,27.91
1518,2025-02-27,24.41,24.41,24.41,24.41
1517,2025-02-26,24.41,24.41,24.41,24.41
1516,2025-02-25,24.41,24.41,24.41,24.41
1515,2025-02-24,24.96,24.96,24.96,24.96
1514,2025-02-21,24.96,24.96,24.96,24.96
1513,2025-02-20,24.96,24.96,24.96,24.96
1512,2025-02-19,24.41,24.41,24.41,24.41
1511,2025-02-18,22.66,25.79,22.66,24.87
1510,2025-02-17,25.52,25.61,25.52,25.61
1509,2025-02-14,22.29,22.29,22.29,22.29
1508,2025-02-13,25.15,25.15,25.15,25.15
1507,2025-02-12,25.15,25.15,25.15,25.15
1506,2025-02-11,25.15,25.15,25.15,25.15
1505,2025-02-10,25.15,25.15,25.15,25.15
1504,2025-02-07,25.15,25.15,25.15,25.15
1503,2025-02-06,25.06,25.33,25.06,25.33
1502,2025-02-05,24.96,24.96,24.96,24.96
1501,2025-02-04,24.96,24.96,24.96,24.96
1500,2025-02-03,24.87,24.87,24.87,24.87
1499,2025-01-24,24.87,24.87,24.87,24.87
1498,2025-01-23,21.83,21.83,21.83,21.83
1497,2025-01-22,23.95,23.95,23.95,23.95
1496,2025-01-21,21.74,21.74,21.74,21.74
1495,2025-01-20,24.87,25.43,24.87,25.43
1494,2025-01-17,22.2,22.2,22.2,22.2
1493,2025-01-16,22.2,22.2,22.2,22.2
1492,2025-01-15,23.12,23.12,23.12,23.12
1491,2025-01-14,23.03,23.12,23.03,23.12
1490,2025-01-13,25.52,25.52,25.52,25.52
1489,2025-01-10,22.29,22.29,22.29,22.29
1488,2025-01-09,23.03,23.03,23.03,23.03
1487,2025-01-08,21.37,21.37,21.37,21.37
1486,2025-01-07,21.37,21.37,21.37,21.37
1485,2025-01-06,21.37,21.37,21.37,21.37
1484,2025-01-03,21.37,21.37,21.37,21.37
1483,2025-01-02,21.37,21.37,21.37,21.37
1482,2024-12-31,21.37,21.37,21.37,21.37
1481,2024-12-30,21.37,21.37,21.37,21.37
1480,2024-12-27,20.27,20.27,20.27,20.27
1479,2024-12-26,20.27,20.27,20.27,20.27
1478,2024-12-25,23.49,23.49,23.49,23.49
1477,2024-12-24,20.54,20.54,20.54,20.54
1476,2024-12-23,20.36,21.19,20.36,21.19
1475,2024-12-20,19.81,19.81,19.81,19.81
1474,2024-12-19,19.81,19.81,19.81,19.81
1473,2024-12-18,21.1,21.19,20.73,21.19
1472,2024-12-17,19.44,19.44,19.44,19.44
1471,2024-12-16,19.44,19.44,19.44,19.44
1470,2024-12-13,21.65,21.65,21.65,21.65
1469,2024-12-12,21.65,21.65,21.65,21.65
1468,2024-12-11,21.65,21.65,21.65,21.65
1467,2024-12-10,21.65,21.65,21.65,21.65
1466,2024-12-09,21.65,21.65,21.65,21.65
1465,2024-12-06,21.65,21.65,21.65,21.65
1464,2024-12-05,21.65,21.65,21.65,21.65
1463,2024-12-04,20.82,20.82,20.82,20.82
1462,2024-12-03,20.82,20.82,20.82,20.82
1461,2024-12-02,20.82,20.82,20.82,20.82
1460,2024-11-29,20.82,20.82,20.82,20.82
1459,2024-11-28,21.0,21.0,21.0,21.0
1458,2024-11-27,20.91,21.0,20.91,21.0
1457,2024-11-26,19.35,19.35,19.35,19.35
1456,2024-11-25,19.35,19.35,19.35,19.35
1455,2024-11-22,21.19,21.19,21.19,21.19
1454,2024-11-21,18.7,18.7,18.7,18.7
1453,2024-11-20,21.19,21.19,21.19,21.19
1452,2024-11-19,20.08,20.08,20.08,20.08
