,Date,Open,High,Low,Close
4216,2025-10-17,66.5,66.7,66.3,66.3
4215,2025-10-16,66.7,66.7,66.5,66.6
4214,2025-10-15,66.5,66.7,66.5,66.5
4213,2025-10-14,66.7,66.7,66.5,66.5
4212,2025-10-13,66.4,66.8,66.4,66.7
4211,2025-10-10,67.0,67.0,66.4,66.4
4210,2025-10-09,66.8,67.0,66.2,66.3
4209,2025-10-08,67.0,67.0,66.8,66.8
4208,2025-10-07,67.0,67.1,63.0,66.8
4207,2025-10-06,67.1,67.1,66.6,67.0
4206,2025-10-03,67.3,67.3,67.0,67.1
4205,2025-10-02,66.7,67.3,66.7,67.3
4204,2025-10-01,66.7,66.7,66.7,66.7
4203,2025-09-30,66.8,66.9,66.7,66.7
4202,2025-09-29,66.8,67.0,66.8,66.8
4201,2025-09-26,67.0,67.0,66.8,66.8
4200,2025-09-25,66.8,66.8,66.8,66.8
4199,2025-09-24,67.0,67.0,66.8,66.8
4198,2025-09-23,67.0,67.0,66.5,67.0
4197,2025-09-22,67.0,67.2,66.5,67.2
4196,2025-09-19,67.3,67.3,67.0,67.0
4195,2025-09-18,66.5,66.9,66.5,66.9
4194,2025-09-17,66.9,67.5,66.6,67.0
4193,2025-09-16,67.1,67.2,66.9,66.9
4192,2025-09-15,66.9,67.5,66.9,67.5
4191,2025-09-12,67.0,67.2,66.9,66.9
4190,2025-09-11,66.6,67.4,66.2,67.0
4189,2025-09-10,66.6,67.5,66.4,66.6
4188,2025-09-09,66.6,67.5,66.6,66.6
4187,2025-09-08,66.8,66.8,66.2,66.5
4186,2025-09-05,67.1,67.1,66.8,66.8
4185,2025-09-04,67.4,67.4,66.7,67.0
4184,2025-09-03,67.7,67.7,67.1,67.1
4183,2025-08-29,67.6,67.7,67.0,67.7
4182,2025-08-28,67.0,68.0,67.0,67.7
4181,2025-08-27,67.9,68.0,67.2,67.2
4180,2025-08-26,66.7,66.7,66.7,66.7
4179,2025-08-25,67.1,67.1,66.6,66.6
4178,2025-08-22,67.0,68.0,67.0,67.1
4177,2025-08-21,67.0,67.8,67.0,67.8
