,Date,Open,High,Low,Close,Volume
4221,2025-10-24,66.6,66.6,66.0,66.0,200
4220,2025-10-23,66.6,66.6,66.4,66.6,1100
4219,2025-10-22,66.5,66.5,66.0,66.0,4300
4218,2025-10-21,66.5,66.5,65.9,66.5,700
4217,2025-10-20,66.0,66.0,65.9,65.9,3200
4216,2025-10-17,66.5,66.7,66.3,66.3,1200
4215,2025-10-16,66.7,66.7,66.5,66.6,1600
4214,2025-10-15,66.5,66.7,66.5,66.5,1500
4213,2025-10-14,66.7,66.7,66.5,66.5,1700
4212,2025-10-13,66.4,66.8,66.4,66.7,2900
4211,2025-10-10,67.0,67.0,66.4,66.4,1000
4210,2025-10-09,66.8,67.0,66.2,66.3,4100
4209,2025-10-08,67.0,67.0,66.8,66.8,3500
4208,2025-10-07,67.0,67.1,63.0,66.8,5500
4207,2025-10-06,67.1,67.1,66.6,67.0,1400
4206,2025-10-03,67.3,67.3,67.0,67.1,2500
4205,2025-10-02,66.7,67.3,66.7,67.3,500
4204,2025-10-01,66.7,66.7,66.7,66.7,1500
4203,2025-09-30,66.8,66.9,66.7,66.7,3100
4202,2025-09-29,66.8,67.0,66.8,66.8,2200
4201,2025-09-26,67.0,67.0,66.8,66.8,1800
4200,2025-09-25,66.8,66.8,66.8,66.8,100
4199,2025-09-24,67.0,67.0,66.8,66.8,1400
4198,2025-09-23,67.0,67.0,66.5,67.0,1700
4197,2025-09-22,67.0,67.2,66.5,67.2,4000
4196,2025-09-19,67.3,67.3,67.0,67.0,1400
4195,2025-09-18,66.5,66.9,66.5,66.9,2000
4194,2025-09-17,66.9,67.5,66.6,67.0,5900
4193,2025-09-16,67.1,67.2,66.9,66.9,9000
4192,2025-09-15,66.9,67.5,66.9,67.5,800
4191,2025-09-12,67.0,67.2,66.9,66.9,4000
4190,2025-09-11,66.6,67.4,66.2,67.0,4500
4189,2025-09-10,66.6,67.5,66.4,66.6,3200
4188,2025-09-09,66.6,67.5,66.6,66.6,1000
4187,2025-09-08,66.8,66.8,66.2,66.5,1900
4186,2025-09-05,67.1,67.1,66.8,66.8,7100
4185,2025-09-04,67.4,67.4,66.7,67.0,5900
4184,2025-09-03,67.7,67.7,67.1,67.1,4000
4183,2025-08-29,67.6,67.7,67.0,67.7,2200
4182,2025-08-28,67.0,68.0,67.0,67.7,8000
4181,2025-08-27,67.9,68.0,67.2,67.2,700
4180,2025-08-26,66.7,66.7,66.7,66.7,1200
4179,2025-08-25,67.1,67.1,66.6,66.6,3400
4178,2025-08-22,67.0,68.0,67.0,67.1,2400
4177,2025-08-21,67.0,67.8,67.0,67.8,300
4176,2025-08-20,67.3,67.4,67.2,67.2,1500
4175,2025-08-19,67.3,67.8,67.3,67.5,900
4174,2025-08-18,67.3,67.3,66.6,67.3,10800
4173,2025-08-15,68.5,68.5,67.3,67.3,4800
4172,2025-08-14,68.0,68.0,67.3,67.3,7800
4171,2025-08-13,68.2,68.2,68.0,68.1,5500
4170,2025-08-12,68.0,68.0,68.0,68.0,3600
4169,2025-08-11,67.0,68.7,67.0,68.0,8300
4168,2025-08-08,68.1,68.1,68.0,68.0,2800
4167,2025-08-07,68.0,69.0,68.0,68.0,3000
4166,2025-08-06,68.2,68.6,68.0,68.0,800
4165,2025-08-05,68.0,68.5,68.0,68.5,3100
4164,2025-08-04,67.3,68.9,67.2,68.7,1000
4163,2025-08-01,67.8,67.8,67.0,67.2,1000
4162,2025-07-31,68.5,68.5,68.0,68.0,300
4161,2025-07-30,68.0,68.5,67.0,68.5,14800
4160,2025-07-29,69.2,69.2,67.9,69.0,1300
4159,2025-07-28,68.9,69.2,68.8,68.9,3100
4158,2025-07-25,69.0,69.0,68.8,68.9,1700
4157,2025-07-24,68.7,69.0,68.7,68.8,1500
4156,2025-07-23,69.0,69.3,68.7,68.7,4200
4155,2025-07-22,68.0,68.7,68.0,68.7,2200
4154,2025-07-21,69.0,69.0,69.0,69.0,300
4153,2025-07-18,68.6,68.6,66.0,68.6,4800
4152,2025-07-17,68.5,68.9,68.5,68.9,1400
4151,2025-07-16,68.9,69.0,68.5,68.5,1100
4150,2025-07-15,69.2,69.2,68.5,68.9,1800
4149,2025-07-14,69.5,69.5,69.2,69.2,1200
4148,2025-07-11,68.7,69.3,68.7,69.2,6500
4147,2025-07-10,68.0,68.6,68.0,68.5,1700
4146,2025-07-09,68.5,68.5,67.6,68.0,1200
4145,2025-07-08,67.0,69.0,67.0,67.2,3000
4144,2025-07-07,67.3,67.5,67.0,67.0,9000
4143,2025-07-04,67.2,68.0,67.2,67.2,4900
4142,2025-07-03,67.4,67.4,67.2,67.2,5100
4141,2025-07-02,67.2,68.0,67.2,67.3,6200
4140,2025-07-01,67.5,67.5,67.4,67.4,4000
4139,2025-06-30,67.5,68.6,67.2,67.5,3700
4138,2025-06-27,68.0,68.8,67.5,67.5,9000
4137,2025-06-26,68.0,68.0,68.0,68.0,1000
4136,2025-06-25,68.0,68.0,67.9,68.0,2421
4135,2025-06-24,70.0,70.0,68.0,68.0,2255
4134,2025-06-23,68.8,68.8,68.0,68.1,5094
4133,2025-06-20,68.7,68.8,68.7,68.8,2400
4132,2025-06-19,70.0,70.0,68.7,68.8,1700
4131,2025-06-18,69.0,69.1,68.8,68.8,6541
4130,2025-06-17,70.7,70.7,69.9,69.9,1805
4129,2025-06-16,70.7,70.7,68.8,69.9,5573
4128,2025-06-13,70.6,70.7,70.2,70.3,5600
4127,2025-06-12,71.0,71.0,70.51,71.0,6103
4126,2025-06-11,71.0,72.85,71.0,71.0,10225
4125,2025-06-10,71.58,71.58,70.03,71.0,5930
4124,2025-06-09,70.12,71.0,70.03,70.03,8800
4123,2025-06-06,70.42,71.19,69.93,69.93,9083
4122,2025-06-05,70.03,70.03,70.03,70.03,1000
4121,2025-06-04,70.12,70.12,69.93,70.03,2604
4120,2025-06-03,70.03,70.51,69.93,70.03,15239
4119,2025-06-02,71.49,71.49,69.83,70.03,4137
4118,2025-05-30,71.49,71.49,71.49,71.49,101
4117,2025-05-29,71.78,71.78,71.0,71.0,5408
4116,2025-05-28,72.75,72.75,71.39,71.39,2659
4115,2025-05-27,71.68,71.78,71.68,71.78,600
4114,2025-05-26,71.68,71.78,71.68,71.68,27410
4113,2025-05-23,71.29,71.68,71.29,71.68,202
4112,2025-05-22,71.88,72.07,71.29,71.29,1029
4111,2025-05-21,70.22,71.39,69.15,71.29,2101
4110,2025-05-20,70.22,70.22,70.22,70.22,108
4109,2025-05-19,70.9,72.75,70.81,70.81,4500
4108,2025-05-16,70.9,71.49,70.9,70.9,502
4107,2025-05-15,71.97,71.97,71.1,71.1,2260
4106,2025-05-14,72.85,72.85,72.56,72.85,621
4105,2025-05-13,71.0,72.46,71.0,71.29,9067
4104,2025-05-12,72.17,72.17,72.17,72.17,522
4103,2025-05-09,72.75,72.75,72.65,72.65,503
