,Date,Open,High,Low,Close,Volume
3938,2025-10-23,8.6,8.6,8.6,8.6,15600
3937,2025-10-22,8.6,8.6,8.6,8.6,1500
3936,2025-10-21,8.5,8.6,8.5,8.6,7300
3935,2025-10-20,8.5,8.5,8.5,8.5,10100
3934,2025-10-17,8.8,8.8,8.5,8.5,300
3933,2025-10-16,8.5,8.5,8.0,8.0,2300
3932,2025-10-15,8.5,8.5,8.5,8.5,10700
3931,2025-10-14,8.5,8.5,8.5,8.5,2000
3930,2025-10-13,8.5,8.5,8.5,8.5,22700
3929,2025-10-10,8.5,8.8,8.5,8.8,26500
3928,2025-10-09,7.8,8.0,7.8,8.0,200
3927,2025-10-08,7.3,7.3,7.3,7.3,300
3926,2025-10-07,8.4,8.4,7.7,7.7,400
3925,2025-10-06,8.4,8.4,8.4,8.4,37100
3924,2025-10-02,8.1,8.3,7.7,7.7,8900
3923,2025-10-01,7.7,8.3,7.5,7.6,6300
3922,2025-09-30,8.0,8.1,7.6,7.6,300
3921,2025-09-29,8.4,8.4,8.0,8.0,2000
3920,2025-09-26,8.0,8.2,8.0,8.2,3000
3919,2025-09-25,7.5,7.5,7.5,7.5,300
3918,2025-09-24,8.2,8.5,8.2,8.2,15400
3917,2025-09-23,8.2,8.2,8.2,8.2,5300
3916,2025-09-22,8.4,8.4,8.1,8.1,2600
3915,2025-09-19,8.3,8.3,8.3,8.3,1400
3914,2025-09-18,8.3,8.3,8.0,8.3,6200
3913,2025-09-17,8.1,8.3,8.1,8.3,2400
3912,2025-09-16,8.1,8.3,8.0,8.2,6300
3911,2025-09-15,8.9,9.0,7.8,8.0,5600
3910,2025-09-12,7.8,8.8,7.6,8.2,8800
3909,2025-09-11,8.0,8.0,7.6,8.0,39500
3908,2025-09-10,7.2,7.3,7.2,7.3,29800
3907,2025-09-09,6.2,6.7,6.2,6.7,31200
3906,2025-09-08,6.1,6.1,6.1,6.1,6300
3905,2025-09-05,6.1,6.1,6.1,6.1,7500
3904,2025-09-04,6.1,6.2,5.9,6.1,67400
3903,2025-09-03,6.0,6.0,6.0,6.0,8500
3902,2025-08-29,6.0,6.0,5.9,6.0,3800
3901,2025-08-28,6.1,6.1,6.0,6.0,12700
3900,2025-08-27,5.9,6.1,5.9,6.1,6700
3899,2025-08-26,5.9,6.1,5.9,6.0,7100
3898,2025-08-25,6.2,6.2,5.8,6.0,9600
3897,2025-08-22,6.1,6.2,5.9,6.1,6700
3896,2025-08-21,6.0,6.4,6.0,6.1,62600
3895,2025-08-20,5.9,6.0,5.9,5.9,11300
3894,2025-08-19,5.8,6.0,5.8,5.9,4700
3893,2025-08-18,5.9,6.0,5.8,5.9,26300
3892,2025-08-15,5.8,6.0,5.8,5.9,23100
3891,2025-08-14,5.8,6.0,5.8,5.8,28900
3890,2025-08-13,6.0,6.0,5.8,5.9,43900
3889,2025-08-12,5.9,6.1,5.9,6.1,20600
3888,2025-08-11,6.0,6.2,5.9,5.9,53400
3887,2025-08-08,6.0,6.0,5.9,5.9,4200
3886,2025-08-07,5.9,6.0,5.9,5.9,9500
3885,2025-08-06,5.8,6.0,5.8,5.9,5200
3884,2025-08-05,5.8,5.8,5.3,5.8,33100
3883,2025-08-04,5.8,5.9,5.6,5.8,17400
3882,2025-08-01,5.9,5.9,5.8,5.8,1900
3881,2025-07-31,5.8,5.9,5.8,5.9,6100
3880,2025-07-30,5.8,5.9,5.8,5.9,6500
3879,2025-07-29,5.8,5.9,5.8,5.8,5800
3878,2025-07-28,5.7,5.7,5.7,5.7,600
3877,2025-07-25,5.8,5.9,5.5,5.5,9300
3876,2025-07-24,5.8,5.8,5.5,5.5,7300
3875,2025-07-23,5.8,5.9,5.8,5.8,4800
3874,2025-07-22,6.0,6.0,5.8,5.9,4400
3873,2025-07-21,6.1,6.1,5.8,6.0,15300
3872,2025-07-18,6.0,6.0,5.5,6.0,13800
3871,2025-07-17,6.0,6.1,6.0,6.1,1800
3870,2025-07-16,6.0,6.0,6.0,6.0,500
3869,2025-07-15,6.1,6.2,6.1,6.1,7300
3868,2025-07-14,6.1,6.1,6.1,6.1,4700
3867,2025-07-11,5.8,6.0,5.7,6.0,1300
3866,2025-07-10,6.0,6.0,6.0,6.0,3200
3865,2025-07-09,6.0,6.2,6.0,6.0,600
3864,2025-07-08,6.1,6.3,5.9,6.2,7300
3863,2025-07-07,6.3,6.3,6.3,6.3,500
3862,2025-07-03,6.1,6.4,6.1,6.4,200
3861,2025-07-02,6.4,6.4,6.4,6.4,500
3860,2025-07-01,6.4,6.4,6.4,6.4,2300
3859,2025-06-30,6.1,6.5,6.1,6.4,2400
3858,2025-06-27,6.0,6.1,6.0,6.1,2400
3857,2025-06-26,5.8,6.1,5.8,5.9,8300
3856,2025-06-25,6.0,6.0,5.8,5.8,17200
3855,2025-06-24,6.1,6.1,5.9,6.0,4000
3854,2025-06-23,6.2,6.2,6.1,6.1,13200
3853,2025-06-20,6.4,6.4,6.3,6.3,2600
3852,2025-06-19,6.5,6.5,6.5,6.5,100
3851,2025-06-18,6.4,6.5,6.4,6.5,1000
3850,2025-06-17,6.4,6.4,6.4,6.4,200
3849,2025-06-16,6.3,6.6,6.2,6.6,800
3848,2025-06-13,6.3,6.3,6.2,6.3,7400
3847,2025-06-12,6.5,6.5,6.5,6.5,400
3846,2025-06-11,6.4,6.5,6.4,6.5,12200
3845,2025-06-10,6.4,6.4,6.4,6.4,200
3844,2025-06-09,6.2,6.5,6.2,6.3,700
3843,2025-06-06,6.5,6.7,6.1,6.3,2610
3842,2025-06-05,6.5,6.5,6.2,6.5,17735
3841,2025-06-04,6.6,6.6,6.3,6.5,24165
3840,2025-06-03,6.6,7.0,6.6,6.6,4600
