,Date,Open,High,Low,Close,Volume
1465,2025-10-24,36.8,36.8,36.8,36.8,300
1464,2025-09-17,39.55,39.6,39.55,39.55,800
1463,2025-09-11,42.5,42.5,42.5,42.5,100
1462,2025-08-25,42.6,42.6,37.45,42.6,1400
1461,2025-06-27,39.95,39.95,39.95,39.95,100
1460,2025-04-11,37.35,37.35,37.35,37.35,300
1459,2025-04-10,37.4,37.4,37.4,37.4,200
1458,2025-04-04,40.2,40.2,40.2,40.2,100
1457,2025-03-03,40.3,43.2,40.3,43.2,200
1456,2025-02-20,40.4,40.4,40.4,40.4,100
1455,2024-12-31,35.55,38.0,35.55,37.85,600
1454,2024-12-26,31.05,35.6,31.05,35.6,1400
1453,2024-12-18,33.35,33.35,33.35,33.35,200
1452,2024-12-12,35.85,35.85,35.85,35.85,100
1451,2024-12-11,31.2,34.2,31.2,34.2,300
1450,2024-12-10,33.5,33.5,33.5,33.5,100
1449,2024-12-06,36.0,36.0,36.0,36.0,100
1448,2024-12-05,30.55,34.25,30.55,34.25,1000
1447,2024-12-04,32.8,32.8,32.8,32.8,200
1446,2024-12-02,39.2,39.2,35.25,35.25,800
1445,2024-11-29,36.15,37.85,36.15,37.85,200
1444,2024-11-28,38.85,38.85,38.85,38.85,100
1443,2024-11-27,37.45,39.5,34.4,37.7,700
1442,2024-11-25,33.9,36.95,33.9,36.95,400
1441,2024-11-22,34.75,34.75,34.75,34.75,100
1440,2024-11-21,33.8,33.8,29.8,33.2,300
1439,2024-11-20,33.0,33.0,32.0,32.0,500
1438,2024-11-19,34.4,34.4,34.4,34.4,100
1437,2024-11-18,28.8,32.95,28.8,32.95,600
1436,2024-11-15,30.95,30.95,30.95,30.95,300
1435,2024-11-14,38.25,38.25,33.25,33.25,800
1434,2024-11-13,35.75,35.75,35.75,35.75,11300
1433,2024-11-12,31.0,33.45,31.0,33.45,2400
1432,2024-11-11,31.05,32.3,28.95,31.3,8500
1431,2024-11-08,31.25,31.25,27.25,31.1,1600
1430,2024-11-07,29.25,29.25,28.0,29.25,1100
1429,2024-11-06,23.85,27.35,23.85,27.35,10400
1428,2024-11-05,22.35,25.6,22.35,25.6,500
1427,2024-11-01,24.2,26.0,24.0,24.0,500
1426,2024-10-31,24.2,25.8,24.2,25.8,400
1425,2024-10-30,24.2,24.2,24.2,24.2,100
1424,2024-10-29,27.6,27.6,24.2,26.0,1000
1423,2024-10-24,26.0,26.0,26.0,26.0,100
1422,2024-10-21,25.0,25.0,25.0,25.0,100
1421,2024-10-16,25.0,25.0,25.0,25.0,200
1420,2024-10-10,24.0,24.0,24.0,24.0,100
1419,2024-10-08,22.95,22.95,22.9,22.95,2000
1418,2024-10-03,22.0,22.0,21.9,21.9,2100
1417,2024-09-25,21.0,21.0,21.0,21.0,100
1416,2024-09-23,18.8,20.0,18.8,20.0,200
1415,2024-09-20,18.75,18.75,18.75,18.75,100
1414,2024-09-18,19.0,19.0,18.8,18.8,300
1413,2024-09-17,16.95,18.0,16.95,18.0,200
1412,2024-09-16,17.0,17.0,16.95,16.95,300
1411,2024-09-11,17.0,17.0,17.0,17.0,300
1410,2024-09-10,15.9,15.9,15.9,15.9,100
1409,2024-09-09,14.9,14.9,14.9,14.9,100
1408,2024-09-06,14.0,14.0,14.0,14.0,100
1407,2024-09-05,14.05,14.4,13.55,14.0,700
1406,2024-08-30,14.55,14.55,14.55,14.55,100
1405,2024-08-29,14.55,14.55,14.55,14.55,100
1404,2024-08-09,13.7,13.7,13.7,13.7,100
1403,2024-07-25,14.6,14.6,13.7,13.7,1349
1402,2024-07-24,14.7,14.7,14.7,14.7,334
1401,2024-07-23,15.0,15.0,15.0,15.0,0
1400,2024-07-22,15.0,15.0,15.0,15.0,0
1399,2024-07-19,15.0,15.0,15.0,15.0,0
1398,2024-07-18,15.0,15.0,15.0,15.0,0
1397,2024-07-17,15.0,15.0,15.0,15.0,0
1396,2024-07-16,15.0,15.0,15.0,15.0,0
1395,2024-07-15,15.0,15.0,15.0,15.0,1
1394,2024-07-12,15.0,15.0,15.0,15.0,0
1393,2024-07-11,15.0,15.0,15.0,15.0,0
1392,2024-07-10,15.0,15.0,15.0,15.0,0
1391,2024-07-09,15.0,15.0,15.0,15.0,0
1390,2024-07-08,15.0,15.0,15.0,15.0,0
1389,2024-07-05,15.0,15.0,15.0,15.0,0
1388,2024-07-04,15.0,15.0,15.0,15.0,0
1387,2024-07-03,15.0,15.0,15.0,15.0,200
1386,2024-07-02,15.35,15.35,15.35,15.35,0
1385,2024-07-01,15.35,15.35,15.35,15.35,0
1384,2024-06-28,15.35,15.35,15.35,15.35,81
1383,2024-06-27,15.35,15.35,15.35,15.35,0
1382,2024-06-26,15.35,15.35,15.35,15.35,2
1381,2024-06-25,15.45,15.45,15.35,15.35,1200
1380,2024-06-24,17.0,17.0,15.35,15.35,3901
1379,2024-06-21,16.5,16.5,16.5,16.5,1501
1378,2024-06-20,15.45,15.45,15.45,15.45,2521
1377,2024-06-19,14.45,14.45,14.45,14.45,2311
1376,2024-06-18,13.55,13.55,13.5,13.55,4704
1375,2024-06-17,12.7,12.7,12.7,12.7,1236
1374,2024-06-14,11.9,11.9,11.9,11.9,504
1373,2024-06-13,11.15,11.15,11.15,11.15,6000
1372,2024-06-12,10.45,10.45,10.45,10.45,400
1371,2024-06-11,9.8,9.81,9.8,9.81,5400
1370,2024-06-10,9.17,9.17,9.17,9.17,200
1369,2024-06-07,9.86,9.86,9.86,9.86,0
1368,2024-06-06,9.86,9.86,9.86,9.86,0
1367,2024-06-05,9.86,9.86,9.86,9.86,0
1366,2024-06-04,9.86,9.86,9.86,9.86,0
1365,2024-06-03,9.86,9.86,9.86,9.86,400
1364,2024-05-31,10.6,10.6,10.6,10.6,0
1363,2024-05-30,10.6,10.6,10.6,10.6,0
1362,2024-05-29,12.1,12.1,10.6,10.6,1500
1361,2024-05-28,11.35,11.35,11.35,11.35,0
1360,2024-05-27,10.55,11.35,10.55,11.35,500
1359,2024-05-24,11.3,11.3,11.3,11.3,0
1358,2024-05-23,11.3,11.3,11.3,11.3,0
1357,2024-05-22,11.3,11.3,11.3,11.3,0
1356,2024-05-21,11.3,11.3,11.3,11.3,0
1355,2024-05-20,11.3,11.3,11.3,11.3,0
1354,2024-05-17,11.3,11.3,11.3,11.3,0
1353,2024-05-16,11.3,11.3,11.3,11.3,0
1352,2024-05-15,11.3,11.3,11.3,11.3,0
1351,2024-05-14,11.3,11.3,11.3,11.3,0
1350,2024-05-13,11.3,11.3,11.3,11.3,0
1349,2024-05-10,11.3,11.3,11.3,11.3,0
1348,2024-05-09,11.3,11.3,11.3,11.3,0
1347,2024-05-08,11.3,11.3,11.3,11.3,0
1346,2024-05-07,11.3,11.3,11.3,11.3,0
1345,2024-05-06,11.3,11.3,11.3,11.3,0
1344,2024-05-03,11.3,11.3,11.3,11.3,0
1343,2024-05-02,11.3,11.3,11.3,11.3,0
1342,2024-04-26,11.3,11.3,11.3,11.3,0
1341,2024-04-25,11.3,11.3,11.3,11.3,0
1340,2024-04-24,11.3,11.3,11.3,11.3,0
1339,2024-04-23,10.55,11.3,10.55,11.3,200
1338,2024-04-22,9.91,11.3,9.91,11.3,900
1337,2024-04-19,10.7,10.7,10.65,10.65,301
1336,2024-04-17,10.0,10.0,10.0,10.0,100
1335,2024-04-16,9.38,9.38,9.38,9.38,0
1334,2024-04-15,8.51,9.38,8.17,9.38,1700
1333,2024-04-12,8.78,8.78,8.78,8.78,0
1332,2024-04-11,8.78,8.78,8.78,8.78,201
1331,2024-04-10,9.44,9.44,9.44,9.44,0
1330,2024-04-09,9.44,9.44,9.44,9.44,0
1329,2024-04-08,9.44,9.44,9.44,9.44,100
1328,2024-04-05,10.15,10.15,10.15,10.15,1
1327,2024-04-04,10.15,10.15,10.15,10.15,0
1326,2024-04-03,10.15,10.15,10.15,10.15,0
1325,2024-04-02,10.15,10.15,10.15,10.15,0
1324,2024-04-01,10.15,10.15,10.15,10.15,0
1323,2024-03-29,10.15,10.15,10.15,10.15,0
1322,2024-03-28,10.15,10.15,10.15,10.15,100
1321,2024-03-27,9.5,9.5,9.5,9.5,0
1320,2024-03-26,9.5,9.5,9.5,9.5,0
1319,2024-03-25,9.5,9.5,9.5,9.5,0
1318,2024-03-22,9.5,9.5,9.5,9.5,0
1317,2024-03-21,9.5,9.5,9.5,9.5,0
1316,2024-03-20,9.5,9.5,9.5,9.5,1
1315,2024-03-19,9.5,9.5,9.5,9.5,0
1314,2024-03-18,9.5,9.5,9.5,9.5,0
1313,2024-03-15,9.5,9.5,9.5,9.5,0
1312,2024-03-14,9.5,9.5,9.5,9.5,5
1311,2024-03-13,9.5,9.5,9.5,9.5,0
1310,2024-03-12,9.5,9.5,9.5,9.5,0
1309,2024-03-11,9.5,9.5,9.5,9.5,0
