,Date,Open,High,Low,Close
2384,2025-08-19,10.4,10.4,10.4,10.4
2383,2025-07-01,10.5,10.5,10.5,10.5
2382,2025-06-30,10.5,10.5,10.5,10.5
2381,2025-06-27,10.5,10.5,10.5,10.5
2380,2025-06-26,10.5,10.5,10.5,10.5
2379,2025-06-25,10.5,10.5,10.5,10.5
2378,2025-06-24,10.5,10.5,10.5,10.5
2377,2025-06-23,10.5,10.5,10.5,10.5
2376,2025-06-20,10.5,10.5,10.5,10.5
2375,2025-06-19,10.5,10.5,10.5,10.5
2374,2025-06-18,10.5,10.5,10.5,10.5
2373,2025-06-17,10.5,10.5,10.5,10.5
2372,2025-06-16,10.5,10.5,10.5,10.5
2371,2025-06-13,10.5,10.5,10.5,10.5
2370,2025-06-12,10.5,10.5,10.5,10.5
2369,2025-06-11,10.5,10.5,10.5,10.5
2368,2025-06-10,10.5,10.5,10.5,10.5
2367,2025-06-09,10.5,10.5,10.5,10.5
2366,2025-06-06,10.5,10.5,10.5,10.5
2365,2025-06-05,10.5,10.5,10.5,10.5
2364,2025-06-04,10.5,10.5,10.5,10.5
2363,2025-06-03,10.5,10.5,10.5,10.5
2362,2025-06-02,10.5,10.5,10.5,10.5
2361,2025-05-30,10.5,10.5,10.5,10.5
2360,2025-05-29,10.5,10.5,10.5,10.5
2359,2025-05-28,10.5,10.5,10.5,10.5
2358,2025-05-27,10.5,10.5,10.5,10.5
2357,2025-05-26,10.5,10.5,10.5,10.5
2356,2025-05-23,10.5,10.5,10.5,10.5
2355,2025-05-22,10.5,10.5,10.5,10.5
2354,2025-05-21,10.5,10.5,10.5,10.5
2353,2025-05-20,10.5,10.5,10.5,10.5
2352,2025-05-19,10.5,10.5,10.5,10.5
2351,2025-05-16,10.5,10.5,10.5,10.5
2350,2025-05-15,10.5,10.5,10.5,10.5
2349,2025-05-14,10.5,10.5,10.5,10.5
2348,2025-05-13,10.5,10.5,10.5,10.5
2347,2025-05-12,10.5,10.5,10.5,10.5
2346,2025-05-09,10.5,10.5,10.5,10.5
2345,2025-05-08,10.5,10.5,10.5,10.5
2344,2025-05-07,10.5,10.5,10.5,10.5
2343,2025-05-06,10.5,10.5,10.5,10.5
2342,2025-05-05,10.5,10.5,10.5,10.5
2341,2025-04-29,10.5,10.5,10.5,10.5
2340,2025-04-28,10.5,10.5,10.5,10.5
2339,2025-04-25,10.5,10.5,10.5,10.5
2338,2025-04-24,10.5,10.5,10.5,10.5
2337,2025-04-23,10.5,10.5,10.5,10.5
2336,2025-04-22,10.5,10.5,10.5,10.5
2335,2025-04-21,10.5,10.5,10.5,10.5
2334,2025-04-18,10.5,10.5,10.5,10.5
2333,2025-04-17,10.5,10.5,10.5,10.5
2332,2025-04-16,10.5,10.5,10.5,10.5
2331,2025-04-15,10.5,10.5,10.5,10.5
2330,2025-04-14,10.5,10.5,10.5,10.5
2329,2025-04-11,10.5,10.5,10.5,10.5
2328,2025-04-10,10.5,10.5,10.5,10.5
2327,2025-04-09,10.5,10.5,10.5,10.5
2326,2025-04-08,10.5,10.5,10.5,10.5
2325,2025-04-04,10.5,10.5,10.5,10.5
2324,2025-04-03,10.5,10.5,10.5,10.5
2323,2025-04-02,10.5,10.5,10.5,10.5
2322,2025-04-01,10.5,10.5,10.5,10.5
2321,2025-03-31,10.5,10.5,10.5,10.5
2320,2025-03-28,10.5,10.5,10.5,10.5
2319,2025-03-27,10.5,10.5,10.5,10.5
2318,2025-03-26,10.5,10.5,10.5,10.5
2317,2025-03-25,10.5,10.5,10.5,10.5
2316,2025-03-24,10.5,10.5,10.5,10.5
2315,2025-03-21,10.5,10.5,10.5,10.5
2314,2025-03-20,10.5,10.5,10.5,10.5
2313,2025-03-19,10.5,10.5,10.5,10.5
2312,2025-03-18,10.5,10.5,10.5,10.5
2311,2025-03-17,10.5,10.5,10.5,10.5
2310,2025-03-14,10.5,10.5,10.5,10.5
2309,2025-03-13,10.5,10.5,10.5,10.5
2308,2025-03-12,10.5,10.5,10.5,10.5
2307,2025-03-11,10.5,10.5,10.5,10.5
2306,2025-03-10,10.5,10.5,10.5,10.5
2305,2025-03-07,10.5,10.5,10.5,10.5
2304,2025-03-06,10.5,10.5,10.5,10.5
2303,2025-03-05,10.5,10.5,10.5,10.5
2302,2025-03-04,10.5,10.5,10.5,10.5
2301,2025-03-03,10.5,10.5,10.5,10.5
2300,2025-02-28,10.5,10.5,10.5,10.5
2299,2025-02-27,10.5,10.5,10.5,10.5
2298,2025-02-26,10.5,10.5,10.5,10.5
2297,2025-02-25,10.5,10.5,10.5,10.5
2296,2025-02-24,10.5,10.5,10.5,10.5
2295,2025-02-21,10.5,10.5,10.5,10.5
2294,2025-02-20,10.5,10.5,10.5,10.5
2293,2025-02-19,10.5,10.5,10.5,10.5
2292,2025-02-18,10.5,10.5,10.5,10.5
2291,2025-02-17,10.5,10.5,10.5,10.5
2290,2025-02-14,10.5,10.5,10.5,10.5
2289,2025-02-13,10.5,10.5,10.5,10.5
2288,2025-02-12,10.5,10.5,10.5,10.5
2287,2025-02-11,10.5,10.5,10.5,10.5
2286,2025-02-10,10.5,10.5,10.5,10.5
2285,2025-02-07,10.5,10.5,10.5,10.5
2284,2025-02-06,10.5,10.5,10.5,10.5
2283,2025-02-05,10.5,10.5,10.5,10.5
2282,2025-02-04,10.5,10.5,10.5,10.5
2281,2025-02-03,10.5,10.5,10.5,10.5
2280,2025-01-24,10.5,10.5,10.5,10.5
2279,2025-01-23,10.5,10.5,10.5,10.5
2278,2025-01-22,10.5,10.5,10.5,10.5
2277,2025-01-21,10.5,10.5,10.5,10.5
2276,2025-01-20,10.5,10.5,10.5,10.5
2275,2025-01-17,10.5,10.5,10.5,10.5
2274,2025-01-16,10.5,10.5,10.5,10.5
2273,2025-01-15,10.5,10.5,10.5,10.5
2272,2025-01-14,10.5,10.5,10.5,10.5
2271,2025-01-13,10.5,10.5,10.5,10.5
2270,2025-01-10,10.5,10.5,10.5,10.5
2269,2025-01-09,10.5,10.5,10.5,10.5
2268,2025-01-08,10.5,10.5,10.5,10.5
2267,2025-01-07,10.5,10.5,10.5,10.5
2266,2025-01-06,10.5,10.5,10.5,10.5
2265,2025-01-03,10.5,10.5,10.5,10.5
2264,2025-01-02,10.5,10.5,10.5,10.5
2263,2024-12-31,10.5,10.5,10.5,10.5
2262,2024-12-30,10.5,10.5,10.5,10.5
2261,2024-12-27,10.5,10.5,10.5,10.5
2260,2024-12-26,10.5,10.5,10.5,10.5
2259,2024-12-25,10.5,10.5,10.5,10.5
2258,2024-12-24,10.5,10.5,10.5,10.5
2257,2024-12-23,10.5,10.5,10.5,10.5
2256,2024-12-20,10.5,10.5,10.5,10.5
2255,2024-12-19,10.5,10.5,10.5,10.5
2254,2024-12-18,10.5,10.5,10.5,10.5
2253,2024-12-17,10.5,10.5,10.5,10.5
2252,2024-12-16,10.5,10.5,10.5,10.5
2251,2024-12-13,10.5,10.5,10.5,10.5
2250,2024-12-12,10.5,10.5,10.5,10.5
2249,2024-12-11,10.5,10.5,10.5,10.5
2248,2024-12-10,10.5,10.5,10.5,10.5
2247,2024-12-09,10.5,10.5,10.5,10.5
2246,2024-12-06,10.5,10.5,10.5,10.5
2245,2024-12-05,10.5,10.5,10.5,10.5
2244,2024-12-04,10.5,10.5,10.5,10.5
2243,2024-12-03,10.5,10.5,10.5,10.5
2242,2024-12-02,10.5,10.5,10.5,10.5
2241,2024-11-29,10.5,10.5,10.5,10.5
2240,2024-11-28,10.5,10.5,10.5,10.5
2239,2024-11-27,10.5,10.5,10.5,10.5
2238,2024-11-26,10.5,10.5,10.5,10.5
2237,2024-11-25,10.5,10.5,10.5,10.5
2236,2024-11-22,10.5,10.5,10.5,10.5
2235,2024-11-21,10.5,10.5,10.5,10.5
2234,2024-11-20,10.5,10.5,10.5,10.5
2233,2024-11-19,10.5,10.5,10.5,10.5
2232,2024-11-18,10.5,10.5,10.5,10.5
2231,2024-11-15,10.5,10.5,10.5,10.5
2230,2024-11-14,10.5,10.5,10.5,10.5
2229,2024-11-13,10.5,10.5,10.5,10.5
2228,2024-11-12,10.5,10.5,10.5,10.5
2227,2024-11-11,10.5,10.5,10.5,10.5
2226,2024-11-08,10.5,10.5,10.5,10.5
2225,2024-11-07,10.5,10.5,10.5,10.5
2224,2024-11-06,10.5,10.5,10.5,10.5
2223,2024-11-05,10.5,10.5,10.5,10.5
2222,2024-11-04,10.5,10.5,10.5,10.5
2221,2024-11-01,10.5,10.5,10.5,10.5
2220,2024-10-31,10.5,10.5,10.5,10.5
2219,2024-10-30,10.5,10.5,10.5,10.5
2218,2024-10-29,10.5,10.5,10.5,10.5
2217,2024-10-28,10.5,10.5,10.5,10.5
2216,2024-10-25,10.5,10.5,10.5,10.5
2215,2024-10-24,10.5,10.5,10.5,10.5
2214,2024-10-23,10.5,10.5,10.5,10.5
2213,2024-10-22,10.5,10.5,10.5,10.5
2212,2024-10-21,10.12,10.12,10.12,10.12
2211,2024-10-18,10.12,10.12,10.12,10.12
2210,2024-10-17,10.5,10.5,10.02,10.02
2209,2024-10-16,9.54,9.54,9.54,9.54
2208,2024-10-15,9.54,9.54,9.54,9.54
2207,2024-10-14,9.54,9.54,9.54,9.54
2206,2024-10-11,9.54,9.54,9.54,9.54
2205,2024-10-10,9.54,9.54,9.54,9.54
2204,2024-10-09,9.54,9.54,9.54,9.54
2203,2024-10-08,9.54,9.54,9.54,9.54
2202,2024-10-07,9.54,9.54,9.54,9.54
2201,2024-10-04,9.54,9.54,9.54,9.54
2200,2024-10-03,9.54,9.54,9.54,9.54
2199,2024-10-02,9.54,9.54,9.54,9.54
2198,2024-10-01,9.54,9.54,9.54,9.54
2197,2024-09-30,9.54,9.54,9.54,9.54
2196,2024-09-27,9.54,9.54,9.54,9.54
2195,2024-09-26,9.54,9.54,9.54,9.54
2194,2024-09-25,9.54,9.54,9.54,9.54
2193,2024-09-24,9.54,9.54,9.54,9.54
2192,2024-09-23,9.54,9.54,9.54,9.54
2191,2024-09-20,9.54,9.54,9.54,9.54
2190,2024-09-19,9.54,9.54,9.54,9.54
2189,2024-09-18,9.54,9.54,9.54,9.54
2188,2024-09-17,9.54,9.54,9.54,9.54
2187,2024-09-16,9.54,9.54,9.54,9.54
2186,2024-09-13,9.54,9.54,9.54,9.54
2185,2024-09-12,9.54,9.54,9.54,9.54
2184,2024-09-11,9.54,9.54,9.54,9.54
2183,2024-09-10,9.54,9.54,9.54,9.54
2182,2024-09-09,9.54,9.54,9.54,9.54
2181,2024-09-06,9.54,9.54,9.54,9.54
2180,2024-09-05,9.54,9.54,9.54,9.54
2179,2024-09-04,9.54,9.54,9.54,9.54
2178,2024-08-30,9.54,9.54,9.54,9.54
2177,2024-08-29,9.54,9.54,9.54,9.54
2176,2024-08-28,9.54,9.54,9.54,9.54
2175,2024-08-27,9.54,9.54,9.54,9.54
2174,2024-08-26,9.54,9.54,9.54,9.54
2173,2024-08-23,9.54,9.54,9.54,9.54
2172,2024-08-22,9.54,9.54,9.54,9.54
2171,2024-08-21,9.54,9.54,9.54,9.54
2170,2024-08-20,9.54,9.54,9.54,9.54
2169,2024-08-19,9.54,9.54,9.54,9.54
2168,2024-08-16,9.54,9.54,9.54,9.54
2167,2024-08-15,9.54,9.54,9.54,9.54
2166,2024-08-14,9.54,9.54,9.54,9.54
2165,2024-08-13,9.54,9.54,9.54,9.54
2164,2024-08-12,9.54,9.54,9.54,9.54
2163,2024-08-09,9.54,9.54,9.54,9.54
2162,2024-08-08,9.54,9.54,9.54,9.54
2161,2024-08-07,9.54,9.54,9.54,9.54
2160,2024-08-06,9.54,9.54,9.54,9.54
2159,2024-08-05,9.54,9.54,9.54,9.54
2158,2024-08-02,9.54,9.54,9.54,9.54
2157,2024-08-01,9.54,9.54,9.54,9.54
2156,2024-07-31,9.54,9.54,9.54,9.54
2155,2024-07-30,9.54,9.54,9.54,9.54
2154,2024-07-29,9.54,9.54,9.54,9.54
2153,2024-07-26,9.54,9.54,9.54,9.54
2152,2024-07-25,9.54,9.54,9.54,9.54
2151,2024-07-24,9.54,9.54,9.54,9.54
2150,2024-07-23,9.54,9.54,9.54,9.54
2149,2024-07-22,9.54,9.54,9.54,9.54
2148,2024-07-19,9.54,9.54,9.54,9.54
2147,2024-07-18,9.54,9.54,9.54,9.54
2146,2024-07-17,9.54,9.54,9.54,9.54
2145,2024-07-16,9.54,9.54,9.54,9.54
2144,2024-07-15,9.54,9.54,9.54,9.54
2143,2024-07-12,9.54,9.54,9.54,9.54
2142,2024-07-11,9.54,9.54,9.54,9.54
2141,2024-07-10,9.54,9.54,9.54,9.54
2140,2024-07-09,9.54,9.54,9.54,9.54
2139,2024-07-08,9.54,9.54,9.54,9.54
2138,2024-07-05,9.54,9.54,9.54,9.54
2137,2024-07-04,9.54,9.54,9.54,9.54
2136,2024-07-03,9.54,9.54,9.54,9.54
2135,2024-07-02,9.54,9.54,9.54,9.54
2134,2024-07-01,9.54,9.54,9.54,9.54
2133,2024-06-28,9.54,9.54,9.54,9.54
2132,2024-06-27,9.54,9.54,9.54,9.54
2131,2024-06-26,9.26,9.54,9.26,9.54
