,Date,Open,High,Low,Close
2686,2025-10-17,17.9,18.0,17.55,17.65
2685,2025-10-16,18.25,18.25,17.8,18.0
2684,2025-10-15,17.9,18.3,17.9,17.9
2683,2025-10-14,18.3,18.65,17.8,17.8
2682,2025-10-13,18.4,18.55,17.5,18.2
2681,2025-10-10,18.7,18.75,18.55,18.6
2680,2025-10-09,18.75,18.85,18.5,18.7
2679,2025-10-08,18.9,19.1,18.5,18.6
2678,2025-10-07,18.85,19.1,18.5,18.6
2677,2025-10-06,18.0,18.85,18.0,18.85
2676,2025-10-03,18.15,18.15,17.8,17.85
2675,2025-10-02,18.5,18.6,18.15,18.15
2674,2025-10-01,18.15,18.6,18.15,18.35
2673,2025-09-30,18.5,18.5,18.05,18.3
2672,2025-09-29,18.5,18.5,18.15,18.2
2671,2025-09-26,18.8,18.9,18.05,18.05
2670,2025-09-25,18.85,19.1,18.7,18.75
2669,2025-09-24,18.45,18.95,18.3,18.95
2668,2025-09-23,18.4,18.85,18.4,18.45
2667,2025-09-22,18.57,18.62,17.42,18.25
2666,2025-09-19,18.66,18.85,18.53,18.53
2665,2025-09-18,19.03,19.03,18.62,18.62
2664,2025-09-17,19.53,19.53,18.8,18.8
2663,2025-09-16,19.72,19.95,19.3,19.35
2662,2025-09-15,19.49,19.76,19.3,19.44
2661,2025-09-12,19.63,19.63,19.17,19.35
2660,2025-09-11,19.53,19.53,18.53,19.26
2659,2025-09-10,19.4,19.63,19.17,19.35
2658,2025-09-09,19.21,19.72,19.08,19.26
2657,2025-09-08,20.22,20.41,19.26,19.26
2656,2025-09-05,21.55,21.83,20.45,20.45
2655,2025-09-04,21.09,21.32,20.54,21.05
2654,2025-09-03,21.64,21.69,20.77,20.86
2653,2025-08-29,21.41,22.06,21.0,21.23
2652,2025-08-28,20.63,21.28,20.08,20.91
2651,2025-08-27,20.08,20.5,19.86,19.99
2650,2025-08-26,19.12,20.82,19.12,19.95
2649,2025-08-25,21.23,21.32,19.58,19.58
2648,2025-08-22,21.09,21.92,20.45,21.05
2647,2025-08-21,20.63,21.37,20.18,21.37
2646,2025-08-20,19.44,20.08,18.62,19.99
2645,2025-08-19,19.26,19.58,19.21,19.4
2644,2025-08-18,18.8,19.67,18.48,19.17
2643,2025-08-15,19.26,19.4,18.43,18.8
2642,2025-08-14,18.94,19.49,18.75,19.03
2641,2025-08-13,18.85,18.98,18.16,18.98
