,Date,Open,High,Low,Close,Volume
3907,2025-10-24,7.4,7.4,7.2,7.4,6400
3906,2025-10-23,7.4,7.4,7.4,7.4,3100
3905,2025-10-22,7.4,7.4,7.3,7.4,800
3904,2025-10-21,7.2,7.5,7.2,7.5,5500
3903,2025-10-20,7.6,7.6,7.3,7.6,8400
3902,2025-10-17,7.5,7.7,7.3,7.6,16200
3901,2025-10-16,7.3,7.6,7.3,7.6,13300
3900,2025-10-15,7.3,7.5,7.2,7.5,102800
3899,2025-10-14,7.4,7.5,7.3,7.5,17300
3898,2025-10-13,7.1,7.4,7.0,7.4,83400
3897,2025-10-10,7.1,7.1,7.1,7.1,23500
3896,2025-10-09,7.1,7.1,7.0,7.1,38200
3895,2025-10-08,7.0,7.2,7.0,7.2,33804
3894,2025-10-07,7.2,7.3,7.0,7.2,90400
3893,2025-10-06,7.3,7.3,7.2,7.2,14801
3892,2025-10-03,7.3,7.3,7.2,7.2,15165
3891,2025-10-02,7.3,7.3,7.2,7.3,39611
3890,2025-10-01,7.4,7.5,7.3,7.4,16203
3889,2025-09-30,7.4,7.5,7.3,7.4,13001
3888,2025-09-29,7.4,7.6,7.4,7.5,38656
3887,2025-09-26,7.7,7.7,7.4,7.5,41000
3886,2025-09-25,7.59,7.59,7.41,7.59,18101
3885,2025-09-24,7.5,7.59,7.5,7.59,57760
3884,2025-09-23,7.59,7.59,7.41,7.5,21523
3883,2025-09-22,7.59,7.59,7.5,7.59,27903
3882,2025-09-19,7.5,7.59,7.41,7.59,8200
3881,2025-09-18,7.41,7.41,7.41,7.41,27500
3880,2025-09-17,7.5,7.5,7.31,7.41,18200
3879,2025-09-16,7.41,7.5,7.41,7.5,17500
3878,2025-09-15,6.38,7.69,6.38,7.59,17104
3877,2025-09-12,7.31,7.59,7.31,7.59,13601
3876,2025-09-11,7.22,7.41,7.22,7.31,21500
3875,2025-09-10,7.31,7.41,7.22,7.41,8900
3874,2025-09-09,7.41,7.5,7.31,7.41,10900
3873,2025-09-08,7.5,7.5,7.31,7.5,5100
3872,2025-09-05,7.5,7.5,7.41,7.41,3200
3871,2025-09-04,7.41,7.5,7.41,7.5,7504
3870,2025-09-03,7.41,7.5,7.41,7.5,7200
3869,2025-08-29,7.31,7.41,7.31,7.41,35301
3868,2025-08-28,7.41,7.41,7.22,7.41,14227
3867,2025-08-27,7.22,7.41,7.22,7.41,11200
3866,2025-08-26,7.31,7.41,7.31,7.41,3404
3865,2025-08-25,7.22,7.41,7.12,7.41,16043
3864,2025-08-22,7.31,7.41,7.22,7.41,10432
3863,2025-08-21,7.41,7.5,7.31,7.5,21400
3862,2025-08-20,7.41,7.5,7.31,7.5,13800
3861,2025-08-19,7.5,7.5,7.41,7.5,24300
3860,2025-08-18,7.59,7.59,7.31,7.59,12300
3859,2025-08-15,7.59,7.59,7.59,7.59,0
3858,2025-08-14,7.59,7.59,7.5,7.59,33600
3857,2025-08-13,7.59,7.69,7.5,7.5,2500
3856,2025-08-12,7.31,7.69,7.31,7.69,25151
3855,2025-08-11,7.5,7.5,7.31,7.5,3904
3854,2025-08-08,7.31,7.41,7.31,7.31,34700
3853,2025-08-07,7.41,7.41,7.41,7.41,16600
3852,2025-08-06,7.12,7.41,7.03,7.41,32301
3851,2025-08-05,7.5,7.5,7.31,7.41,3310
3850,2025-08-04,7.41,7.41,7.31,7.41,5000
3849,2025-08-01,7.41,7.41,7.31,7.41,9300
3848,2025-07-31,7.31,7.41,7.03,7.31,23164
3847,2025-07-30,7.22,7.31,7.12,7.31,36000
3846,2025-07-29,7.41,7.41,7.22,7.31,13200
3845,2025-07-28,7.22,7.5,7.22,7.5,84900
3844,2025-07-25,7.31,7.41,7.22,7.22,34102
3843,2025-07-24,7.5,7.5,7.31,7.41,37613
3842,2025-07-23,7.41,7.59,7.41,7.5,67510
3841,2025-07-22,7.5,7.5,7.41,7.5,12808
3840,2025-07-21,7.5,7.5,7.5,7.5,19904
3839,2025-07-18,7.41,7.5,7.41,7.5,9390
3838,2025-07-17,7.22,7.5,7.22,7.5,25310
3837,2025-07-16,7.12,7.5,7.03,7.5,11400
3836,2025-07-15,7.5,7.5,7.22,7.41,9304
3835,2025-07-14,7.41,7.5,7.41,7.5,9601
3834,2025-07-11,7.41,7.5,7.31,7.5,5706
3833,2025-07-10,7.31,7.41,7.22,7.41,40776
3832,2025-07-09,7.12,7.22,7.12,7.22,22200
3831,2025-07-08,7.03,7.22,7.03,7.22,6600
3830,2025-07-07,7.22,7.22,7.03,7.12,4414
3829,2025-07-04,7.03,7.22,6.94,7.22,1000
3828,2025-07-03,7.22,7.22,7.12,7.22,6300
3827,2025-07-02,7.03,7.22,7.03,7.22,6130
3826,2025-07-01,7.12,7.12,7.03,7.12,6318
3825,2025-06-30,7.12,7.22,7.12,7.22,3731
3824,2025-06-27,7.03,7.12,6.94,7.12,13300
3823,2025-06-26,6.94,7.03,6.84,7.03,10862
3822,2025-06-25,6.84,7.03,6.84,7.03,10962
3821,2025-06-24,6.94,7.03,6.94,7.03,26400
3820,2025-06-23,7.03,7.03,6.94,7.03,9003
3819,2025-06-20,7.12,7.12,6.09,7.12,18759
3818,2025-06-19,6.94,7.22,6.94,7.22,310
3817,2025-06-18,7.12,7.12,7.12,7.12,20700
3816,2025-06-17,7.12,7.22,7.03,7.22,7600
3815,2025-06-16,6.94,7.12,6.94,7.12,3200
3814,2025-06-13,6.94,7.12,6.94,7.12,18700
3813,2025-06-12,6.94,7.03,6.94,7.03,7900
3812,2025-06-11,6.94,6.94,6.94,6.94,3200
3811,2025-06-10,6.94,6.94,6.94,6.94,1500
3810,2025-06-09,7.03,7.03,6.94,7.03,14500
3809,2025-06-06,7.03,7.03,7.03,7.03,2900
3808,2025-06-05,7.03,7.12,7.03,7.12,1307
3807,2025-06-04,7.12,7.12,7.03,7.03,40705
3806,2025-06-03,7.03,7.12,6.94,7.12,1111
3805,2025-06-02,6.94,7.03,6.94,7.03,11143
3804,2025-05-30,6.84,7.12,6.84,7.12,14222
3803,2025-05-29,6.94,7.03,6.94,7.03,40195
3802,2025-05-28,6.94,7.03,6.94,7.03,20743
3801,2025-05-27,6.84,7.03,6.84,7.03,73112
