,Date,Open,High,Low,Close
4059,2025-10-16,9.5,9.5,9.5,9.5
4058,2025-10-15,9.2,9.2,9.2,9.2
4057,2025-10-14,9.0,10.1,9.0,10.1
4056,2025-10-13,9.0,9.9,9.0,9.9
4055,2025-10-10,9.2,9.9,9.1,9.9
4054,2025-10-09,9.9,9.9,9.9,9.9
4053,2025-10-03,9.9,10.9,9.9,10.9
4052,2025-10-02,9.7,10.4,9.0,10.2
4051,2025-10-01,9.7,9.7,9.7,9.7
4050,2025-09-30,9.8,9.8,9.8,9.8
4049,2025-09-29,10.0,10.0,9.6,9.8
4048,2025-09-26,9.8,10.0,9.8,10.0
4047,2025-09-25,9.4,9.9,9.1,9.9
4046,2025-09-24,9.3,10.0,9.3,9.8
4045,2025-09-23,9.3,9.5,9.2,9.5
4044,2025-09-22,9.5,9.6,9.5,9.5
4043,2025-09-19,9.4,10.0,9.3,10.0
4042,2025-09-16,9.7,10.0,9.7,10.0
4041,2025-09-12,10.4,10.4,9.5,10.2
4040,2025-09-11,10.4,10.4,9.5,10.2
4039,2025-09-10,10.2,10.5,10.2,10.5
4038,2025-09-05,10.9,10.9,10.9,10.9
4037,2025-09-04,9.6,10.2,9.5,10.2
4036,2025-09-03,9.7,10.2,9.7,10.2
4035,2025-08-28,11.0,11.0,10.6,10.7
4034,2025-08-27,10.0,10.8,9.9,10.8
4033,2025-08-26,10.2,11.0,10.2,11.0
4032,2025-08-25,10.9,10.9,10.9,10.9
4031,2025-08-22,10.4,11.5,10.4,11.4
4030,2025-08-21,10.7,11.7,10.0,11.5
4029,2025-08-20,9.4,10.7,9.1,10.7
4028,2025-08-19,9.8,9.9,9.5,9.9
4027,2025-08-18,10.0,10.0,10.0,10.0
4026,2025-08-15,10.0,10.0,10.0,10.0
4025,2025-08-14,9.9,10.4,9.9,10.2
4024,2025-08-13,9.6,10.5,9.5,10.0
4023,2025-08-12,9.9,10.6,9.9,10.5
4022,2025-08-11,11.0,11.0,9.9,11.0
4021,2025-08-08,9.5,11.0,9.0,11.0
4020,2025-08-07,9.9,10.0,9.0,10.0
4019,2025-08-06,10.0,10.4,8.8,10.0
4018,2025-08-05,9.3,10.0,8.6,9.7
4017,2025-08-04,9.5,9.5,8.3,9.3
4016,2025-08-01,9.5,9.5,9.0,9.0
4015,2025-07-31,8.9,8.9,8.9,8.9
4014,2025-07-30,8.1,8.1,8.1,8.1
4013,2025-07-29,7.4,8.1,7.4,8.1
4012,2025-07-24,8.0,8.2,7.9,8.2
4011,2025-07-23,8.1,8.1,8.1,8.1
4010,2025-07-22,8.0,8.4,8.0,8.4
4009,2025-07-21,8.2,8.8,8.0,8.8
4008,2025-07-18,8.8,8.8,8.0,8.8
4007,2025-07-17,8.8,8.8,8.8,8.8
4006,2025-07-16,8.8,8.8,8.8,8.8
4005,2025-07-15,8.5,8.5,8.5,8.5
4004,2025-07-14,9.0,9.0,9.0,9.0
4003,2025-07-11,9.0,9.0,7.9,8.5
4002,2025-07-08,8.0,8.5,8.0,8.5
4001,2025-07-07,8.0,8.0,8.0,8.0
4000,2025-07-04,7.9,8.3,7.9,8.2
3999,2025-07-03,7.3,7.9,7.3,7.9
3998,2025-06-30,7.8,7.9,7.8,7.9
3997,2025-06-27,7.4,7.9,7.4,7.9
3996,2025-06-26,7.6,8.1,7.6,8.1
3995,2025-06-25,8.0,8.2,8.0,8.2
3994,2025-06-24,8.3,8.3,8.2,8.2
3993,2025-06-23,7.9,8.6,7.8,8.4
3992,2025-06-20,7.9,8.6,7.8,8.6
3991,2025-06-19,8.2,8.9,7.9,8.6
3990,2025-06-18,8.0,8.2,7.8,8.2
3989,2025-06-17,7.9,8.2,7.8,8.2
3988,2025-06-16,7.9,8.1,7.9,8.1
3987,2025-06-13,7.5,8.0,7.5,8.0
3986,2025-06-12,7.5,8.0,7.4,8.0
3985,2025-06-11,7.3,8.0,7.3,8.0
3984,2025-06-10,7.9,8.0,7.3,8.0
3983,2025-06-09,7.8,7.9,7.8,7.9
3982,2025-06-06,7.1,7.8,7.1,7.8
3981,2025-06-05,7.3,7.7,7.3,7.7
3980,2025-06-04,7.3,7.8,7.3,7.8
3979,2025-06-03,7.6,7.8,7.2,7.8
3978,2025-06-02,7.0,8.0,6.8,8.0
3977,2025-05-30,7.5,7.5,7.5,7.5
