,Date,Open,High,Low,Close
4450,2025-10-17,29.2,29.2,28.5,28.6
4449,2025-10-16,28.9,29.4,28.5,29.2
4448,2025-10-15,28.6,28.9,28.3,28.9
4447,2025-10-14,28.2,28.6,27.9,28.6
4446,2025-10-13,27.8,28.2,27.2,28.2
4445,2025-10-10,27.6,27.8,27.4,27.8
4444,2025-10-09,28.0,28.1,27.6,27.6
4443,2025-10-08,27.7,28.1,27.5,28.0
4442,2025-10-07,28.1,28.3,27.7,27.7
4441,2025-10-06,27.7,28.1,27.5,28.1
4440,2025-10-03,28.0,28.1,27.5,27.7
4439,2025-10-02,27.8,28.0,27.7,28.0
4438,2025-10-01,27.4,27.8,27.2,27.8
4437,2025-09-30,28.3,28.4,27.1,27.4
4436,2025-09-29,28.5,28.7,28.3,28.3
4435,2025-09-26,28.7,28.9,28.5,28.5
4434,2025-09-25,28.5,28.8,28.3,28.8
4433,2025-09-24,28.3,28.5,28.1,28.5
4432,2025-09-23,28.1,28.4,28.1,28.3
4431,2025-09-22,28.4,28.5,28.0,28.1
4430,2025-09-19,28.3,28.4,28.0,28.4
4429,2025-09-18,27.9,28.4,27.9,28.3
4428,2025-09-17,28.3,28.4,28.0,28.0
4427,2025-09-16,28.6,28.9,28.3,28.3
4426,2025-09-15,28.5,28.7,28.3,28.7
4425,2025-09-12,28.2,28.5,28.1,28.5
4424,2025-09-11,28.6,28.6,28.0,28.2
4423,2025-09-10,28.4,28.7,28.3,28.6
4422,2025-09-09,28.0,28.4,27.9,28.4
4421,2025-09-08,27.9,28.2,27.9,28.1
4420,2025-09-05,28.7,28.9,28.1,28.1
4419,2025-09-04,29.1,29.1,28.5,28.7
4418,2025-09-03,28.7,29.1,28.4,29.1
4417,2025-08-29,28.6,28.9,28.4,28.9
4416,2025-08-28,28.4,28.6,28.1,28.6
4415,2025-08-27,28.1,28.4,28.0,28.4
4414,2025-08-26,27.9,28.1,27.7,28.1
4413,2025-08-25,27.6,28.0,27.6,27.9
4412,2025-08-22,28.2,28.2,27.6,27.7
4411,2025-08-21,27.8,28.3,27.8,28.2
4410,2025-08-20,28.6,28.7,27.8,28.0
4409,2025-08-19,28.3,28.6,28.1,28.6
4408,2025-08-18,28.0,28.3,28.0,28.3
4407,2025-08-15,28.3,28.5,28.1,28.1
4406,2025-08-14,28.1,28.3,27.9,28.3
4405,2025-08-13,27.8,28.2,27.8,28.1
4404,2025-08-12,28.3,28.4,28.0,28.0
4403,2025-08-11,28.1,28.3,27.9,28.3
4402,2025-08-08,27.8,28.1,27.8,28.1
4401,2025-08-07,28.0,28.1,27.7,28.0
4400,2025-08-06,27.7,28.0,27.5,28.0
4399,2025-08-05,28.1,28.5,27.9,27.9
4398,2025-08-04,27.9,28.3,27.9,28.3
4397,2025-08-01,27.2,28.1,27.2,28.1
4396,2025-07-31,27.06,27.25,26.97,27.25
4395,2025-07-30,26.33,27.06,26.33,27.06
4394,2025-07-29,26.79,26.88,26.7,26.7
4393,2025-07-28,26.15,26.79,26.15,26.79
4392,2025-07-25,26.24,26.42,26.05,26.33
4391,2025-07-24,26.24,26.42,25.96,26.24
4390,2025-07-23,26.33,26.51,26.05,26.24
4389,2025-07-22,26.33,26.51,26.05,26.33
4388,2025-07-21,26.6,26.79,26.24,26.33
4387,2025-07-18,26.42,26.7,26.24,26.6
4386,2025-07-17,26.15,26.51,25.96,26.42
4385,2025-07-16,26.24,26.42,25.87,26.15
4384,2025-07-15,26.05,26.42,25.96,26.24
4383,2025-07-14,26.05,26.33,25.78,26.05
4382,2025-07-11,26.15,26.24,25.87,26.05
4381,2025-07-10,26.24,26.42,26.05,26.15
4380,2025-07-09,26.15,26.51,25.87,26.24
4379,2025-07-08,26.33,26.51,26.05,26.15
4378,2025-07-07,26.05,26.6,25.78,26.33
4377,2025-07-04,25.87,26.51,25.78,26.15
4376,2025-07-03,25.87,26.33,25.69,25.96
4375,2025-07-02,25.78,26.42,25.6,25.96
4374,2025-07-01,25.87,26.05,25.6,25.87
4373,2025-06-30,25.69,26.24,25.5,25.87
4372,2025-06-27,25.5,25.96,25.32,25.69
4371,2025-06-26,25.69,25.78,25.41,25.5
4370,2025-06-25,26.15,26.15,25.5,25.69
4369,2025-06-24,25.78,26.42,25.41,26.15
4368,2025-06-23,25.6,26.15,25.23,25.78
4367,2025-06-20,25.69,25.78,25.41,25.6
4366,2025-06-19,25.96,25.96,25.41,25.69
4365,2025-06-18,25.69,26.42,25.32,25.96
4364,2025-06-17,25.41,26.05,25.32,25.69
4363,2025-06-16,25.23,25.5,24.95,25.41
4362,2025-06-13,25.41,25.41,24.95,25.23
4361,2025-06-12,25.23,25.6,25.14,25.41
4360,2025-06-11,25.23,25.5,25.14,25.23
4359,2025-06-10,25.32,25.5,25.05,25.32
4358,2025-06-09,25.23,25.5,25.05,25.32
4357,2025-06-06,25.23,25.41,25.05,25.23
4356,2025-06-05,25.32,25.5,25.05,25.23
4355,2025-06-04,25.41,25.6,25.14,25.32
4354,2025-06-03,25.14,25.5,25.05,25.41
4353,2025-06-02,25.05,25.23,24.77,25.14
4352,2025-05-30,25.23,25.23,24.86,25.05
4351,2025-05-29,25.5,25.5,24.77,25.23
4350,2025-05-28,25.6,25.69,25.32,25.5
4349,2025-05-27,25.41,25.78,24.95,25.6
4348,2025-05-26,25.23,25.6,24.4,25.41
4347,2025-05-23,25.23,25.41,25.05,25.32
4346,2025-05-22,25.32,25.69,25.14,25.32
4345,2025-05-21,25.23,25.41,25.05,25.41
4344,2025-05-20,25.05,25.32,24.77,25.23
4343,2025-05-19,25.14,25.14,24.68,25.05
4342,2025-05-16,25.32,25.41,24.59,25.14
4341,2025-05-15,25.5,25.6,25.05,25.41
4340,2025-05-14,25.23,25.6,25.23,25.5
4339,2025-05-13,25.23,25.5,25.14,25.32
4338,2025-05-12,24.95,25.5,24.95,25.23
4337,2025-05-09,25.23,25.41,24.95,25.05
4336,2025-05-08,25.14,25.41,25.05,25.23
4335,2025-05-07,25.14,25.41,24.95,25.23
4334,2025-05-06,25.23,25.41,25.05,25.14
4333,2025-05-05,25.14,25.32,24.95,25.23
4332,2025-04-29,25.14,25.23,24.86,25.14
4331,2025-04-28,25.23,25.23,24.86,25.14
4330,2025-04-25,25.23,25.32,24.95,25.23
4329,2025-04-24,25.23,25.32,24.59,25.23
4328,2025-04-23,24.95,25.32,24.4,25.23
4327,2025-04-22,25.23,25.23,23.85,24.95
4326,2025-04-21,25.32,25.41,25.05,25.23
4325,2025-04-18,25.05,25.5,24.95,25.32
4324,2025-04-17,24.77,25.05,24.49,25.05
4323,2025-04-16,25.14,25.23,24.86,24.95
4322,2025-04-15,26.15,26.15,25.14,25.23
4321,2025-04-14,26.7,26.7,24.86,26.24
4320,2025-04-11,26.15,26.79,25.87,26.7
4319,2025-04-10,24.31,26.42,24.13,26.24
4318,2025-04-09,24.22,24.4,24.04,24.31
4317,2025-04-08,24.4,24.4,24.04,24.31
4316,2025-04-04,24.68,24.68,23.85,24.4
4315,2025-04-03,25.23,25.23,23.94,24.68
4314,2025-04-02,25.23,25.41,25.14,25.23
4313,2025-04-01,25.05,25.6,24.95,25.23
4312,2025-03-31,25.05,25.14,24.86,25.05
4311,2025-03-28,25.14,25.14,24.77,25.05
4310,2025-03-27,25.32,25.32,24.86,25.14
4309,2025-03-26,25.23,25.41,25.14,25.32
4308,2025-03-25,25.14,25.41,25.05,25.23
4307,2025-03-24,25.14,25.32,25.05,25.14
4306,2025-03-21,25.05,25.41,24.95,25.14
4305,2025-03-20,25.05,25.32,24.95,25.05
4304,2025-03-19,25.14,25.23,24.95,25.05
4303,2025-03-18,25.32,25.41,25.05,25.14
4302,2025-03-17,25.23,25.41,25.05,25.32
4301,2025-03-14,24.95,25.5,24.77,25.23
4300,2025-03-13,25.05,25.14,24.77,24.95
4299,2025-03-12,25.14,25.23,24.77,25.05
4298,2025-03-11,25.41,25.41,24.77,25.23
4297,2025-03-10,25.5,25.6,25.23,25.41
4296,2025-03-07,25.5,25.69,25.32,25.5
4295,2025-03-06,25.41,25.6,25.14,25.6
4294,2025-03-05,25.41,25.6,25.23,25.41
4293,2025-03-04,25.41,25.69,25.05,25.5
4292,2025-03-03,25.23,25.5,25.05,25.41
4291,2025-02-28,25.41,25.6,25.05,25.32
4290,2025-02-27,25.32,25.6,25.14,25.41
4289,2025-02-26,25.23,25.41,24.95,25.32
4288,2025-02-25,25.23,25.32,25.05,25.23
4287,2025-02-24,25.14,25.32,24.95,25.23
4286,2025-02-21,25.05,25.32,24.86,25.23
