,Date,Open,High,Low,Close
3671,2025-10-17,290.0,293.0,286.0,293.0
3670,2025-10-16,298.0,298.0,291.0,291.0
3669,2025-10-15,300.0,300.0,298.0,298.0
3668,2025-10-14,306.7,306.7,295.1,300.0
3667,2025-10-13,307.0,307.0,307.0,307.0
3666,2025-10-10,289.0,307.9,289.0,307.9
3665,2025-10-09,287.0,289.0,285.0,289.0
3664,2025-10-08,282.0,282.0,280.0,280.0
3663,2025-10-07,278.0,280.0,278.0,280.0
3662,2025-10-06,280.0,280.0,277.8,278.0
3661,2025-10-03,285.0,285.0,267.5,280.0
3660,2025-10-02,309.0,309.0,285.5,285.5
3659,2025-10-01,307.6,315.0,306.9,306.9
3658,2025-09-30,331.0,331.0,330.0,330.0
3657,2025-09-29,330.7,332.88,329.38,332.01
3656,2025-09-26,330.43,330.43,325.02,329.82
3655,2025-09-25,349.04,349.04,323.36,330.61
3654,2025-09-24,331.57,331.57,324.58,331.04
3653,2025-09-23,358.22,358.22,314.53,331.57
3652,2025-09-22,334.98,334.98,334.98,334.98
3651,2025-09-19,313.13,313.13,313.13,313.13
3650,2025-09-18,285.44,296.97,285.44,292.69
3649,2025-09-17,284.39,284.39,284.39,284.39
3648,2025-09-16,284.39,284.39,284.39,284.39
3647,2025-09-15,284.39,284.39,284.39,284.39
3646,2025-09-12,284.39,284.39,284.39,284.39
3645,2025-09-11,273.47,275.22,273.47,275.22
3644,2025-09-10,271.81,273.47,271.81,273.47
3643,2025-09-09,268.66,272.59,268.66,271.37
3642,2025-09-08,280.02,280.02,267.44,279.58
3641,2025-09-05,280.02,280.02,280.02,280.02
3640,2025-09-04,280.46,280.46,269.1,280.02
3639,2025-09-03,275.22,275.22,275.22,275.22
3638,2025-08-29,275.74,275.74,275.74,275.74
3637,2025-08-28,275.74,275.74,275.74,275.74
3636,2025-08-27,273.47,283.08,273.47,275.74
3635,2025-08-26,284.83,284.83,266.57,266.57
3634,2025-08-25,284.83,284.83,283.87,283.87
3633,2025-08-22,266.48,266.48,266.48,266.48
3632,2025-08-21,266.48,266.48,266.48,266.48
3631,2025-08-20,266.48,266.48,264.73,266.48
3630,2025-08-19,266.48,266.48,266.48,266.48
3629,2025-08-18,262.2,269.71,262.2,266.48
3628,2025-08-15,266.48,268.23,266.48,266.65
3627,2025-08-14,267.0,268.92,267.0,268.92
3626,2025-08-13,267.44,267.44,267.0,267.0
3625,2025-08-12,269.62,269.62,265.6,268.4
3624,2025-08-11,269.19,269.19,267.35,267.35
3623,2025-08-08,267.0,270.76,265.78,270.76
3622,2025-08-07,257.83,274.78,257.83,265.87
3621,2025-08-06,265.69,269.89,265.69,268.4
3620,2025-08-05,270.85,274.34,262.11,266.39
3619,2025-08-04,254.51,274.78,254.42,270.85
3618,2025-08-01,285.18,286.57,273.47,273.47
3617,2025-07-31,285.18,285.18,285.18,285.18
3616,2025-07-30,270.85,285.18,264.99,285.18
3615,2025-07-29,284.83,284.83,284.83,284.83
3614,2025-07-28,275.22,285.7,267.44,284.83
3613,2025-07-25,265.6,274.34,265.6,267.44
3612,2025-07-24,274.25,274.25,270.76,270.76
3611,2025-07-23,262.98,276.09,262.11,274.25
3610,2025-07-22,261.5,278.89,261.5,278.89
3609,2025-07-21,245.07,261.24,245.07,260.8
3608,2025-07-18,258.7,259.93,258.62,259.84
3607,2025-07-17,259.58,260.28,249.97,259.93
3606,2025-07-16,259.49,259.66,259.49,259.66
3605,2025-07-15,260.71,260.71,257.83,258.88
3604,2025-07-14,260.8,260.8,258.7,260.62
3603,2025-07-11,256.96,260.89,256.96,260.89
3602,2025-07-10,260.8,261.15,260.8,261.15
3601,2025-07-09,260.36,260.71,260.36,260.71
3600,2025-07-08,258.35,260.62,258.35,260.62
3599,2025-07-07,259.23,259.23,257.04,258.35
3598,2025-07-04,256.08,256.08,256.08,256.08
3597,2025-07-03,258.96,258.96,257.13,257.13
3596,2025-07-02,255.12,255.3,255.12,255.3
3595,2025-07-01,254.51,257.48,254.51,257.39
3594,2025-06-30,257.74,257.74,255.82,257.57
3593,2025-06-27,259.49,259.49,254.33,257.57
3592,2025-06-26,254.25,254.25,254.25,254.25
3591,2025-06-25,254.25,254.25,254.25,254.25
3590,2025-06-24,256.78,256.87,255.99,256.78
3589,2025-06-23,256.78,256.78,256.78,256.78
3588,2025-06-20,256.78,256.78,256.78,256.78
3587,2025-06-19,254.33,254.33,254.33,254.33
3586,2025-06-18,256.87,256.87,253.37,253.37
3585,2025-06-17,254.16,257.57,254.16,257.57
3584,2025-06-16,255.03,255.03,251.89,254.16
3583,2025-06-13,252.85,255.56,251.71,255.56
3582,2025-06-12,253.2,253.29,253.2,253.29
3581,2025-06-11,253.29,253.29,253.29,253.29
3580,2025-06-10,253.11,253.11,252.85,252.85
3579,2025-06-09,254.51,254.51,254.51,254.51
3578,2025-06-06,252.94,252.94,252.85,252.85
3577,2025-06-05,253.37,253.37,253.37,253.37
3576,2025-06-04,252.59,253.37,252.59,253.37
3575,2025-06-03,253.46,253.46,253.46,253.46
3574,2025-06-02,253.46,253.46,253.46,253.46
3573,2025-05-30,253.02,253.72,253.02,253.46
3572,2025-05-29,252.94,253.02,252.85,252.94
3571,2025-05-28,253.11,253.11,252.85,252.85
3570,2025-05-27,251.19,252.24,250.4,252.24
3569,2025-05-26,248.22,251.19,248.22,251.19
3568,2025-05-23,244.99,251.63,244.99,251.19
