,Date,Open,High,Low,Close,Volume
2211,2025-10-24,26.5,26.5,25.6,26.0,20600
2210,2025-10-23,26.9,26.9,25.6,26.0,1700
2209,2025-10-22,25.6,25.8,25.4,25.8,9700
2208,2025-10-21,26.3,26.3,25.5,25.5,23600
2207,2025-10-20,26.4,26.4,25.6,25.6,44300
2206,2025-10-17,26.3,26.8,25.6,26.0,13300
2205,2025-10-16,25.7,26.3,25.7,25.8,23200
2204,2025-10-15,25.8,26.1,25.6,25.7,31300
2203,2025-10-14,26.4,26.4,25.8,25.8,20000
2202,2025-10-13,26.0,26.2,25.8,25.8,56600
2201,2025-10-10,26.3,26.3,26.0,26.1,30600
2200,2025-10-09,26.4,26.5,26.1,26.3,8900
2199,2025-10-08,26.8,26.8,26.1,26.1,36501
2198,2025-10-07,26.2,26.7,26.2,26.4,20400
2197,2025-10-06,26.3,26.5,26.0,26.4,51700
2196,2025-10-03,26.4,26.4,26.0,26.3,8400
2195,2025-10-02,26.8,26.8,26.2,26.5,16401
2194,2025-10-01,26.1,26.6,25.9,26.3,11300
2193,2025-09-30,26.3,26.7,25.9,26.0,5145
2192,2025-09-29,26.8,26.8,26.2,26.6,15300
2191,2025-09-26,26.7,26.7,26.0,26.5,14200
2190,2025-09-25,26.3,26.4,26.0,26.1,12900
2189,2025-09-24,26.3,26.4,25.91,26.2,8400
2188,2025-09-23,25.91,26.4,25.91,26.0,21044
2187,2025-09-22,26.0,26.88,25.81,26.0,50001
2186,2025-09-19,25.81,26.0,25.71,25.71,8216
2185,2025-09-18,25.91,26.0,25.81,26.0,25105
2184,2025-09-17,25.91,26.1,25.81,26.0,12010
2183,2025-09-16,26.2,26.2,25.91,26.1,10106
2182,2025-09-15,26.4,26.4,26.1,26.1,16827
2181,2025-09-12,26.3,26.3,26.0,26.2,22200
2180,2025-09-11,26.1,26.3,25.91,26.0,31125
2179,2025-09-10,25.61,26.69,25.61,26.1,57967
2178,2025-09-09,25.42,26.1,25.22,25.42,58315
2177,2025-09-08,25.91,26.3,25.22,25.32,55961
2176,2025-09-05,26.0,26.0,25.52,25.91,106890
2175,2025-09-04,25.91,26.3,25.71,25.91,54964
2174,2025-09-03,26.4,26.4,25.91,26.2,55112
2173,2025-08-29,26.4,26.4,25.91,26.2,50309
2172,2025-08-28,26.2,26.4,26.2,26.2,5752
2171,2025-08-27,26.3,26.59,26.0,26.0,52610
2170,2025-08-26,26.3,26.3,26.0,26.3,46100
2169,2025-08-25,26.1,27.08,25.91,26.1,25000
