,Date,Open,High,Low,Close
2070,2025-10-17,38.0,38.0,38.0,38.0
2069,2025-10-16,38.5,39.0,38.5,39.0
2068,2025-10-13,38.0,38.0,38.0,38.0
2067,2025-10-10,45.0,45.0,37.0,40.0
2066,2025-10-07,39.8,39.8,39.8,39.8
2065,2025-10-06,36.9,37.1,36.9,37.0
2064,2025-10-03,37.0,37.0,37.0,37.0
2063,2025-10-02,40.0,40.0,34.3,34.3
2062,2025-09-30,40.5,40.5,40.1,40.1
2061,2025-09-29,40.5,40.5,40.5,40.5
2060,2025-09-26,43.9,43.9,41.0,43.9
2059,2025-09-16,43.6,44.0,43.6,44.0
2058,2025-09-05,44.0,44.0,44.0,44.0
2057,2025-08-29,41.0,41.0,41.0,41.0
2056,2025-08-28,42.0,42.0,40.5,41.0
2055,2025-08-27,42.5,42.5,42.5,42.5
2054,2025-08-26,42.5,42.5,42.5,42.5
2053,2025-08-22,41.0,41.0,41.0,41.0
2052,2025-08-19,44.5,44.5,40.5,44.5
2051,2025-08-13,39.0,50.0,39.0,50.0
2050,2025-08-12,43.7,43.7,43.7,43.7
2049,2025-08-11,43.7,43.7,43.7,43.7
2048,2025-08-08,43.9,43.9,43.8,43.8
2047,2025-08-07,51.5,51.5,51.5,51.5
2046,2025-08-06,45.0,45.0,45.0,45.0
2045,2025-08-04,45.1,45.3,45.0,45.3
2044,2025-08-01,45.1,45.4,45.1,45.4
2043,2025-07-31,45.1,45.1,45.1,45.1
2042,2025-07-30,45.1,45.2,45.1,45.1
2041,2025-07-29,45.1,45.1,45.0,45.0
2040,2025-07-28,49.4,49.4,44.5,46.0
2039,2025-07-25,41.7,49.5,41.7,49.4
2038,2025-07-24,42.0,45.0,42.0,42.0
2037,2025-07-23,42.0,42.4,39.1,42.4
2036,2025-07-22,36.9,36.9,36.9,36.9
2035,2025-07-18,32.1,32.1,32.1,32.1
2034,2025-07-14,32.1,32.1,32.1,32.1
2033,2025-07-11,32.5,33.0,32.5,33.0
2032,2025-07-03,32.4,32.4,32.4,32.4
2031,2025-06-30,32.4,32.4,32.4,32.4
2030,2025-06-24,32.4,32.4,32.4,32.4
2029,2025-06-20,32.5,32.5,32.5,32.5
2028,2025-06-16,32.4,32.5,32.4,32.5
2027,2025-06-11,32.5,32.5,32.5,32.5
2026,2025-06-09,32.5,32.5,32.5,32.5
2025,2025-06-06,32.4,32.4,32.4,32.4
2024,2025-06-04,32.0,32.3,32.0,32.3
2023,2025-06-03,32.3,32.3,32.3,32.3
2022,2025-05-29,32.3,32.3,32.3,32.3
2021,2025-05-27,32.3,32.3,32.3,32.3
2020,2025-05-26,32.4,32.4,32.4,32.4
2019,2025-05-23,32.4,32.4,32.3,32.4
2018,2025-05-22,32.6,32.6,32.2,32.4
2017,2025-05-20,33.0,33.0,32.2,32.2
2016,2025-05-19,32.2,32.2,32.2,32.2
