,Date,Open,High,Low,Close
3840,2025-10-17,22.1,22.5,21.6,21.6
3839,2025-10-16,21.6,22.25,21.35,21.8
3838,2025-10-15,21.8,21.85,21.1,21.2
3837,2025-10-14,22.8,22.95,21.6,21.7
3836,2025-10-13,21.8,22.4,21.8,22.3
3835,2025-10-10,22.4,22.65,22.2,22.3
3834,2025-10-09,22.15,22.3,22.05,22.3
3833,2025-10-08,22.75,22.8,21.75,22.15
3832,2025-10-07,22.4,22.5,22.0,22.1
3831,2025-10-06,20.6,22.0,20.6,22.0
3830,2025-10-03,21.4,21.6,20.6,20.6
3829,2025-10-02,22.4,22.5,21.55,21.6
3828,2025-10-01,22.5,22.75,22.15,22.35
3827,2025-09-30,21.9,22.45,21.45,22.35
3826,2025-09-29,21.7,22.1,21.5,21.8
3825,2025-09-26,22.3,22.6,21.8,22.0
3824,2025-09-25,22.3,22.45,22.1,22.35
3823,2025-09-24,21.6,22.2,21.2,22.2
3822,2025-09-23,21.3,21.95,21.3,21.4
3821,2025-09-22,22.35,22.45,21.15,21.45
3820,2025-09-19,22.5,22.75,22.2,22.35
3819,2025-09-18,22.6,22.8,22.05,22.5
3818,2025-09-17,22.7,23.05,22.5,22.5
3817,2025-09-16,23.8,23.9,22.75,22.75
3816,2025-09-15,23.4,23.9,23.25,23.55
3815,2025-09-12,23.7,23.9,23.2,23.3
3814,2025-09-11,22.0,23.6,20.7,23.6
3813,2025-09-10,23.35,23.35,21.9,22.1
3812,2025-09-09,23.0,23.1,21.9,22.9
3811,2025-09-08,24.4,24.5,22.9,22.9
3810,2025-09-05,25.2,26.6,24.6,24.6
3809,2025-09-04,24.95,25.4,24.5,24.9
3808,2025-09-03,25.25,25.5,24.55,24.75
3807,2025-08-29,25.2,26.0,25.05,25.25
3806,2025-08-28,24.0,24.8,23.9,24.65
3805,2025-08-27,25.0,25.0,23.8,23.8
3804,2025-08-26,23.25,24.6,22.0,24.5
3803,2025-08-25,26.0,26.0,23.25,23.25
3802,2025-08-22,22.5,25.0,22.3,25.0
3801,2025-08-21,24.7,25.0,23.4,23.4
3800,2025-08-20,23.3,23.8,21.1,23.8
3799,2025-08-19,21.5,22.3,21.4,22.3
3798,2025-08-18,19.8,21.15,19.3,20.85
3797,2025-08-15,21.0,21.0,19.8,19.8
3796,2025-08-14,21.15,21.8,20.7,20.8
3795,2025-08-13,20.2,21.0,19.9,20.85
3794,2025-08-12,20.3,20.35,19.65,20.0
3793,2025-08-11,20.15,20.3,19.5,20.0
3792,2025-08-08,20.6,20.65,19.3,20.0
3791,2025-08-07,20.1,20.1,19.9,20.1
3790,2025-08-06,18.2,18.8,18.1,18.8
3789,2025-08-05,18.0,18.65,17.15,18.1
3788,2025-08-04,17.0,17.6,16.85,17.6
3787,2025-08-01,17.75,18.2,17.1,17.15
3786,2025-07-31,17.3,17.8,16.8,17.75
3785,2025-07-30,17.0,17.4,16.5,17.1
3784,2025-07-29,18.9,18.9,17.3,17.3
3783,2025-07-28,18.0,18.7,17.8,18.55
3782,2025-07-25,17.1,17.9,17.05,17.5
3781,2025-07-24,17.35,17.35,16.8,16.95
3780,2025-07-23,16.05,16.85,15.95,16.85
3779,2025-07-22,15.3,15.85,15.1,15.75
3778,2025-07-21,15.9,15.95,15.4,15.4
3777,2025-07-18,15.8,16.5,15.6,16.1
3776,2025-07-17,16.0,16.1,15.65,15.7
3775,2025-07-16,15.6,15.95,15.5,15.75
3774,2025-07-15,16.0,16.45,15.65,15.65
3773,2025-07-14,16.0,16.4,15.25,15.85
3772,2025-07-11,15.5,16.05,15.2,15.75
3771,2025-07-10,15.6,15.75,15.3,15.35
3770,2025-07-09,15.15,15.75,15.0,15.4
3769,2025-07-08,15.0,15.15,14.75,14.95
3768,2025-07-07,14.6,14.85,14.55,14.85
3767,2025-07-04,14.55,14.75,14.4,14.4
3766,2025-07-03,14.65,15.1,14.5,14.55
3765,2025-07-02,14.15,14.85,14.0,14.65
3764,2025-07-01,14.35,14.4,14.05,14.1
3763,2025-06-30,14.3,14.55,14.3,14.35
3762,2025-06-27,14.2,14.25,14.05,14.15
3761,2025-06-26,14.25,14.25,14.0,14.1
3760,2025-06-25,14.3,14.55,14.15,14.25
3759,2025-06-24,14.25,14.65,14.1,14.3
3758,2025-06-23,14.0,14.1,13.8,14.0
3757,2025-06-20,14.7,14.75,14.2,14.2
3756,2025-06-19,14.1,14.45,14.05,14.45
3755,2025-06-18,14.3,14.45,14.1,14.1
3754,2025-06-17,14.5,14.6,14.2,14.3
3753,2025-06-16,13.85,14.45,13.75,14.35
3752,2025-06-13,13.9,13.95,13.55,13.95
3751,2025-06-12,13.75,14.15,13.6,14.15
3750,2025-06-11,13.8,13.8,13.4,13.55
3749,2025-06-10,13.35,14.0,13.35,13.7
3748,2025-06-09,13.91,13.91,13.45,13.45
3747,2025-06-06,14.45,14.45,13.91,13.91
3746,2025-06-05,14.64,14.64,14.18,14.45
3745,2025-06-04,14.82,14.82,14.45,14.68
3744,2025-06-03,14.86,15.27,14.68,14.82
3743,2025-06-02,13.68,14.55,13.5,14.55
3742,2025-05-30,13.68,14.09,13.59,13.68
3741,2025-05-29,13.91,14.0,13.59,13.64
3740,2025-05-28,13.68,14.14,13.68,13.82
3739,2025-05-27,13.41,13.64,13.36,13.55
3738,2025-05-26,13.0,13.36,12.68,13.36
3737,2025-05-23,13.32,13.45,13.0,13.05
3736,2025-05-22,13.27,13.68,13.27,13.32
3735,2025-05-21,13.64,13.64,13.27,13.36
3734,2025-05-20,13.45,13.68,13.32,13.59
3733,2025-05-19,13.59,13.64,13.41,13.45
3732,2025-05-16,13.86,14.14,13.77,13.86
3731,2025-05-15,14.09,14.09,13.77,13.86
3730,2025-05-14,13.55,13.86,13.5,13.82
3729,2025-05-13,13.64,13.86,13.5,13.55
3728,2025-05-12,13.27,13.41,13.05,13.41
3727,2025-05-09,13.59,13.59,13.09,13.09
3726,2025-05-08,12.95,13.45,12.73,13.32
3725,2025-05-07,12.77,12.95,12.73,12.77
3724,2025-05-06,13.05,13.32,12.86,12.91
3723,2025-05-05,12.82,13.0,12.73,12.95
3722,2025-04-29,12.73,12.86,12.68,12.73
3721,2025-04-28,13.09,13.09,12.73,12.86
3720,2025-04-25,13.09,13.18,12.68,12.91
3719,2025-04-24,12.41,12.91,12.41,12.86
3718,2025-04-23,12.36,12.45,12.05,12.36
3717,2025-04-22,12.64,12.86,12.05,12.05
3716,2025-04-21,13.32,13.45,12.91,12.91
3715,2025-04-18,13.73,13.95,13.55,13.64
3714,2025-04-17,13.09,13.5,13.09,13.45
3713,2025-04-16,13.73,14.0,13.27,13.27
3712,2025-04-15,14.18,14.36,13.68,13.73
3711,2025-04-14,14.27,14.45,14.05,14.32
3710,2025-04-11,13.73,14.36,13.0,14.09
3709,2025-04-10,13.77,13.77,13.77,13.77
3708,2025-04-09,12.91,13.09,12.91,12.91
3707,2025-04-08,13.86,13.91,13.86,13.86
3706,2025-04-04,14.86,15.45,14.86,14.86
3705,2025-04-03,16.0,16.32,15.95,15.95
3704,2025-04-02,17.32,17.36,17.05,17.14
3703,2025-04-01,17.23,17.27,17.0,17.18
3702,2025-03-31,17.0,17.41,17.0,17.09
3701,2025-03-28,17.32,17.59,17.09,17.09
3700,2025-03-27,17.45,17.64,17.27,17.27
3699,2025-03-26,17.77,17.95,17.27,17.5
3698,2025-03-25,18.05,18.32,17.73,17.73
3697,2025-03-24,17.64,18.0,17.5,18.0
3696,2025-03-21,17.77,17.91,17.77,17.77
3695,2025-03-20,18.0,18.41,17.73,17.77
3694,2025-03-19,18.27,18.32,17.91,18.0
3693,2025-03-18,18.59,18.68,18.27,18.32
3692,2025-03-17,18.41,18.55,18.23,18.5
3691,2025-03-14,18.32,18.5,18.18,18.41
3690,2025-03-13,18.64,18.82,18.27,18.36
3689,2025-03-12,18.95,19.0,18.64,18.82
3688,2025-03-11,18.36,18.95,18.36,18.91
3687,2025-03-10,19.0,19.32,18.68,18.82
3686,2025-03-07,19.09,19.36,18.86,18.91
3685,2025-03-06,18.36,18.86,18.18,18.86
3684,2025-03-05,18.59,18.86,18.14,18.18
3683,2025-03-04,18.73,19.0,17.91,18.64
3682,2025-03-03,18.68,18.95,18.18,18.73
3681,2025-02-28,18.14,18.73,18.14,18.41
3680,2025-02-27,18.32,18.32,17.86,18.27
3679,2025-02-26,17.91,18.41,17.86,18.18
3678,2025-02-25,17.77,18.23,17.59,17.91
3677,2025-02-24,17.09,17.77,16.95,17.68
3676,2025-02-21,17.23,17.23,16.91,17.09
3675,2025-02-20,17.64,17.64,17.18,17.23
3674,2025-02-19,17.05,17.45,17.0,17.36
3673,2025-02-18,16.91,17.23,16.91,17.0
3672,2025-02-17,16.77,17.23,16.68,16.91
3671,2025-02-14,16.77,17.14,16.68,16.73
3670,2025-02-13,16.64,16.73,16.55,16.55
3669,2025-02-12,16.77,16.95,16.64,16.64
3668,2025-02-11,16.86,17.0,16.64,16.68
3667,2025-02-10,16.82,16.95,16.55,16.95
3666,2025-02-07,16.95,17.05,16.77,16.86
3665,2025-02-06,17.0,17.27,16.91,16.95
3664,2025-02-05,17.18,17.18,16.82,16.91
3663,2025-02-04,17.05,17.27,16.77,17.09
3662,2025-02-03,17.09,17.18,16.36,17.05
3661,2025-01-24,16.95,17.23,16.64,17.18
3660,2025-01-23,16.36,17.23,16.36,17.09
3659,2025-01-22,16.09,16.5,16.09,16.32
3658,2025-01-21,16.0,16.18,15.95,16.09
3657,2025-01-20,16.32,16.36,15.82,15.91
3656,2025-01-17,16.55,16.64,16.36,16.55
3655,2025-01-16,16.55,17.27,16.55,16.55
3654,2025-01-15,16.36,16.5,16.23,16.5
3653,2025-01-14,16.5,16.59,16.18,16.27
3652,2025-01-13,15.91,16.59,15.91,16.5
3651,2025-01-10,17.18,17.18,16.18,16.18
3650,2025-01-09,17.36,17.45,16.95,17.09
3649,2025-01-08,17.27,17.59,17.09,17.45
3648,2025-01-07,17.05,17.36,16.68,17.27
3647,2025-01-06,17.64,18.0,17.05,17.05
3646,2025-01-03,18.45,18.64,17.82,18.09
3645,2025-01-02,19.0,19.0,18.64,18.68
3644,2024-12-31,19.18,19.18,18.68,19.0
3643,2024-12-30,18.95,19.41,18.91,19.18
3642,2024-12-27,18.59,19.09,18.45,18.91
3641,2024-12-26,19.05,19.05,18.59,18.59
3640,2024-12-25,18.91,19.45,18.5,19.05
3639,2024-12-24,19.05,19.05,18.32,18.91
3638,2024-12-23,19.18,19.23,18.82,19.09
3637,2024-12-20,18.95,19.36,18.73,19.14
3636,2024-12-19,18.41,19.0,18.23,18.95
3635,2024-12-18,19.0,19.05,18.59,18.86
3634,2024-12-17,18.91,19.32,18.77,19.0
3633,2024-12-16,18.45,18.91,18.45,18.91
3632,2024-12-13,18.55,18.77,18.14,18.64
3631,2024-12-12,18.59,18.77,18.27,18.68
3630,2024-12-11,18.45,18.86,18.18,18.64
3629,2024-12-10,17.91,18.45,17.68,18.36
3628,2024-12-09,18.09,18.18,17.09,18.09
3627,2024-12-06,17.18,18.09,16.91,18.09
3626,2024-12-05,15.77,16.91,15.55,16.91
3625,2024-12-04,16.18,16.27,15.73,15.82
3624,2024-12-03,16.36,16.45,16.18,16.18
3623,2024-12-02,16.5,16.68,16.45,16.45
3622,2024-11-29,16.45,16.64,16.36,16.45
3621,2024-11-28,16.36,16.64,16.36,16.45
3620,2024-11-27,16.5,16.55,16.27,16.27
3619,2024-11-26,16.32,16.77,16.27,16.5
3618,2024-11-25,16.09,16.27,15.95,16.23
3617,2024-11-22,16.32,16.41,16.05,16.09
3616,2024-11-21,16.36,16.36,16.18,16.32
3615,2024-11-20,16.0,16.64,15.95,16.23
3614,2024-11-19,16.36,16.45,16.0,16.0
3613,2024-11-18,15.95,16.68,15.77,16.36
3612,2024-11-15,16.77,16.77,15.95,15.95
3611,2024-11-14,17.82,17.82,16.41,16.77
3610,2024-11-13,17.73,17.91,17.36,17.64
3609,2024-11-12,17.86,18.23,17.82,17.82
3608,2024-11-11,18.05,18.05,17.64,17.86
3607,2024-11-08,18.18,18.23,17.91,18.05
3606,2024-11-07,18.45,18.45,18.05,18.09
3605,2024-11-06,17.91,18.32,17.82,18.32
3604,2024-11-05,17.91,17.91,17.68,17.73
3603,2024-11-04,17.82,18.09,17.36,17.73
3602,2024-11-01,18.09,18.09,17.73,17.73
3601,2024-10-31,18.05,18.27,18.0,18.14
3600,2024-10-30,18.14,18.23,17.91,18.05
3599,2024-10-29,18.5,18.5,18.14,18.23
3598,2024-10-28,18.09,18.36,18.0,18.23
3597,2024-10-25,17.86,18.09,17.77,18.05
3596,2024-10-24,18.05,18.27,17.86,17.86
3595,2024-10-23,17.86,18.27,17.68,18.18
3594,2024-10-22,18.32,18.36,17.73,17.73
3593,2024-10-21,18.91,19.0,18.36,18.36
3592,2024-10-18,19.05,19.32,18.86,18.86
3591,2024-10-17,19.18,19.18,18.45,19.0
3590,2024-10-16,19.27,19.32,19.0,19.14
3589,2024-10-15,19.64,19.68,19.18,19.27
3588,2024-10-14,19.77,19.77,19.41,19.59
3587,2024-10-11,19.36,19.59,19.18,19.59
3586,2024-10-10,19.82,19.91,19.36,19.36
3585,2024-10-09,19.73,19.82,19.41,19.68
3584,2024-10-08,20.45,20.68,19.73,19.73
3583,2024-10-07,20.09,20.41,19.77,20.41
3582,2024-10-04,20.09,20.23,19.91,20.0
3581,2024-10-03,20.68,20.73,19.95,20.09
3580,2024-10-02,20.45,20.77,20.41,20.55
3579,2024-10-01,20.55,21.05,20.36,20.73
3578,2024-09-30,19.86,20.77,19.41,20.36
3577,2024-09-27,19.91,20.14,19.77,19.86
3576,2024-09-26,19.82,19.95,19.68,19.82
3575,2024-09-25,19.55,19.95,19.5,19.82
3574,2024-09-24,19.09,19.36,18.86,19.36
3573,2024-09-23,19.05,19.18,18.82,19.09
3572,2024-09-20,19.55,19.59,19.05,19.09
3571,2024-09-19,19.36,19.45,19.18,19.23
3570,2024-09-18,18.64,19.55,18.45,19.32
3569,2024-09-17,18.05,18.59,18.05,18.59
3568,2024-09-16,18.64,18.68,18.05,18.14
3567,2024-09-13,18.5,18.86,18.41,18.64
3566,2024-09-12,18.73,18.91,18.45,18.5
3565,2024-09-11,18.41,18.73,18.05,18.64
3564,2024-09-10,18.86,18.91,18.27,18.41
3563,2024-09-09,18.59,18.82,18.5,18.73
3562,2024-09-06,18.64,18.91,18.36,18.91
3561,2024-09-05,19.0,19.23,18.73,18.91
3560,2024-09-04,19.09,19.27,18.68,18.82
3559,2024-08-30,19.68,19.68,19.27,19.36
3558,2024-08-29,19.5,19.82,19.45,19.55
3557,2024-08-28,20.0,20.0,19.32,19.59
3556,2024-08-27,19.64,19.77,19.18,19.68
3555,2024-08-26,20.27,20.32,19.68,19.73
3554,2024-08-23,19.86,20.36,19.68,20.14
3553,2024-08-22,19.55,20.05,19.41,20.05
3552,2024-08-21,19.55,19.68,19.27,19.55
3551,2024-08-20,19.36,19.95,19.0,19.68
3550,2024-08-19,19.09,19.36,18.91,19.36
3549,2024-08-16,17.64,18.77,17.64,18.77
3548,2024-08-15,17.95,18.09,17.55,17.55
3547,2024-08-14,18.36,18.5,17.91,18.0
3546,2024-08-13,18.32,18.36,17.82,18.36
3545,2024-08-12,18.36,18.5,18.0,18.5
3544,2024-08-09,18.09,18.5,17.68,18.36
3543,2024-08-08,17.73,18.05,17.55,17.82
3542,2024-08-07,18.14,18.18,17.55,18.09
3541,2024-08-06,17.73,18.27,17.0,18.14
3540,2024-08-05,18.0,18.36,17.23,17.23
3539,2024-08-02,17.09,18.59,16.55,18.5
3538,2024-08-01,19.0,19.0,17.68,17.68
3537,2024-07-31,18.91,19.05,18.68,19.0
3536,2024-07-30,19.36,19.36,18.73,19.0
3535,2024-07-29,19.36,19.41,19.0,19.41
3534,2024-07-26,19.5,19.5,18.82,19.36
3533,2024-07-25,19.09,19.45,18.73,19.36
3532,2024-07-24,18.82,19.27,18.0,19.27
3531,2024-07-23,19.27,19.32,18.23,18.82
3530,2024-07-22,20.36,20.45,19.32,19.32
3529,2024-07-19,20.91,21.41,20.45,20.73
3528,2024-07-18,20.86,21.09,20.45,21.09
3527,2024-07-17,20.73,21.41,19.59,20.45
3526,2024-07-16,21.73,21.73,20.18,20.64
3525,2024-07-15,21.64,21.77,21.14,21.45
3524,2024-07-12,21.55,21.64,21.27,21.55
3523,2024-07-11,20.91,21.73,20.73,21.59
3522,2024-07-10,21.23,21.5,20.68,20.82
3521,2024-07-09,20.73,21.59,20.59,21.23
3520,2024-07-08,20.45,20.68,20.09,20.59
3519,2024-07-05,20.18,20.27,19.82,20.18
3518,2024-07-04,19.91,20.36,19.73,20.18
3517,2024-07-03,20.0,20.05,19.64,19.73
3516,2024-07-02,19.91,20.27,19.68,19.95
3515,2024-07-01,18.91,19.86,18.82,19.86
3514,2024-06-28,18.64,19.23,18.09,18.73
3513,2024-06-27,18.95,19.05,18.59,18.59
3512,2024-06-26,18.73,19.55,18.59,19.05
3511,2024-06-25,19.27,19.27,18.5,18.73
3510,2024-06-24,20.36,20.36,19.05,19.05
3509,2024-06-21,20.95,21.14,20.32,20.45
3508,2024-06-20,21.2,21.2,20.47,20.67
3507,2024-06-19,20.63,21.2,20.43,21.16
3506,2024-06-18,20.87,21.36,20.38,20.59
3505,2024-06-17,20.34,21.08,20.34,20.63
3504,2024-06-14,21.93,22.42,20.3,20.3
3503,2024-06-13,22.02,22.14,21.61,21.65
3502,2024-06-12,21.77,22.02,21.44,22.02
3501,2024-06-11,22.02,22.1,21.36,21.77
3500,2024-06-10,20.43,21.81,20.43,21.81
3499,2024-06-07,20.51,20.67,20.18,20.38
3498,2024-06-06,20.34,20.67,20.26,20.38
3497,2024-06-05,20.59,20.75,20.14,20.3
3496,2024-06-04,20.43,20.91,20.22,20.22
3495,2024-06-03,20.38,20.63,20.1,20.26
3494,2024-05-31,20.59,20.67,19.9,19.94
3493,2024-05-30,20.26,20.63,19.65,20.38
3492,2024-05-29,20.38,20.79,19.94,20.47
3491,2024-05-28,18.63,19.9,18.35,19.9
3490,2024-05-27,18.02,18.67,17.94,18.63
3489,2024-05-24,18.47,18.84,17.57,17.94
3488,2024-05-23,18.14,18.92,17.94,18.84
3487,2024-05-22,18.35,18.75,17.98,18.26
3486,2024-05-21,17.37,17.94,17.29,17.94
3485,2024-05-20,17.57,17.69,17.37,17.41
3484,2024-05-17,16.67,17.53,16.63,17.2
