,Date,Open,High,Low,Close
3621,2025-10-17,11.8,11.8,11.8,11.8
3620,2025-10-15,11.4,11.5,11.4,11.5
3619,2025-10-08,11.4,11.4,11.4,11.4
3618,2025-09-30,10.1,10.1,10.1,10.1
3617,2025-09-23,8.8,8.8,8.8,8.8
3616,2025-09-22,10.2,10.2,10.2,10.2
3615,2025-09-16,11.9,12.0,11.9,12.0
3614,2025-09-10,11.8,11.8,11.8,11.8
3613,2025-09-09,10.3,10.3,10.3,10.3
3612,2025-09-08,9.0,9.0,9.0,9.0
3611,2025-08-29,10.5,10.5,10.5,10.5
3610,2025-08-19,9.2,9.2,9.2,9.2
3609,2025-08-13,10.6,10.6,10.6,10.6
3608,2025-08-12,11.2,11.2,10.5,10.6
3607,2025-08-11,12.3,12.3,12.3,12.3
3606,2025-08-08,12.3,12.3,12.3,12.3
3605,2025-08-07,12.3,12.3,12.3,12.3
3604,2025-08-06,12.3,12.3,12.3,12.3
3603,2025-08-05,12.3,12.3,12.3,12.3
3602,2025-08-04,12.3,12.3,12.3,12.3
3601,2025-08-01,12.3,12.3,12.3,12.3
3600,2025-07-31,12.3,12.3,12.3,12.3
3599,2025-07-30,12.3,12.3,12.3,12.3
3598,2025-07-29,12.3,12.3,12.3,12.3
3597,2025-07-28,12.3,12.3,12.3,12.3
3596,2025-07-25,12.3,12.3,12.3,12.3
3595,2025-07-24,12.3,12.3,12.3,12.3
3594,2025-07-23,12.3,12.3,12.3,12.3
3593,2025-07-22,12.3,12.3,12.3,12.3
3592,2025-07-21,12.3,12.3,12.3,12.3
3591,2025-07-18,12.3,12.3,12.3,12.3
3590,2025-07-17,12.3,12.3,12.3,12.3
3589,2025-07-16,12.3,12.3,12.3,12.3
3588,2025-07-15,12.3,12.3,12.3,12.3
3587,2025-07-14,10.7,10.7,10.7,10.7
3586,2025-07-11,10.8,10.8,10.52,10.52
3585,2025-07-10,12.3,12.3,12.3,12.3
3584,2025-07-09,12.3,12.3,12.3,12.3
3583,2025-07-08,12.3,12.3,12.3,12.3
3582,2025-07-07,12.3,12.3,12.3,12.3
3581,2025-07-04,12.3,12.3,12.3,12.3
3580,2025-07-03,12.3,12.3,12.3,12.3
3579,2025-07-02,10.7,10.7,10.7,10.7
3578,2025-07-01,10.7,10.7,10.7,10.7
3577,2025-06-30,10.7,10.7,10.7,10.7
3576,2025-06-27,10.7,10.7,10.7,10.7
3575,2025-06-26,10.7,10.7,10.7,10.7
3574,2025-06-25,10.7,10.7,10.7,10.7
3573,2025-06-24,10.7,10.7,10.7,10.7
3572,2025-06-23,10.7,10.7,10.7,10.7
3571,2025-06-20,10.7,10.7,10.7,10.7
3570,2025-06-19,10.7,10.7,10.7,10.7
3569,2025-06-18,10.7,10.7,10.7,10.7
3568,2025-06-17,10.7,10.7,10.7,10.7
3567,2025-06-16,10.7,10.7,10.7,10.7
3566,2025-06-13,17.56,17.56,17.56,17.56
3565,2025-06-12,17.56,17.56,17.56,17.56
3564,2025-06-11,17.56,17.56,17.56,17.56
3563,2025-06-10,17.56,17.56,17.56,17.56
3562,2025-06-09,17.56,17.56,17.56,17.56
3561,2025-06-06,17.56,17.56,17.56,17.56
3560,2025-06-05,17.56,17.56,17.56,17.56
3559,2025-06-04,17.56,17.56,17.56,17.56
3558,2025-06-03,17.56,17.56,17.56,17.56
3557,2025-06-02,17.56,17.56,17.56,17.56
3556,2025-05-30,17.56,17.56,17.56,17.56
3555,2025-05-29,17.56,17.56,17.56,17.56
3554,2025-05-28,17.56,17.56,17.56,17.56
3553,2025-05-27,17.56,17.56,17.56,17.56
3552,2025-05-26,17.56,17.56,17.56,17.56
3551,2025-05-23,17.56,17.56,17.56,17.56
3550,2025-05-22,17.56,17.56,17.56,17.56
3549,2025-05-21,17.56,17.56,17.56,17.56
3548,2025-05-20,17.56,17.56,17.56,17.56
3547,2025-05-19,17.56,17.56,17.56,17.56
3546,2025-05-16,17.56,17.56,17.56,17.56
3545,2025-05-15,17.56,17.56,17.56,17.56
3544,2025-05-14,17.56,17.56,17.56,17.56
3543,2025-05-13,17.56,17.56,17.56,17.56
3542,2025-05-12,17.56,17.56,17.56,17.56
3541,2025-05-09,17.56,17.56,17.56,17.56
3540,2025-05-08,17.56,17.56,17.56,17.56
3539,2025-05-07,17.56,17.56,17.56,17.56
3538,2025-05-06,17.56,17.56,17.56,17.56
3537,2025-05-05,17.56,17.56,17.56,17.56
3536,2025-04-29,17.56,17.56,17.56,17.56
3535,2025-04-28,17.56,17.56,17.56,17.56
3534,2025-04-25,17.56,17.56,17.56,17.56
3533,2025-04-24,17.56,17.56,17.56,17.56
3532,2025-04-23,17.56,17.56,17.56,17.56
3531,2025-04-22,17.56,17.56,17.56,17.56
3530,2025-04-21,17.56,17.56,17.56,17.56
3529,2025-04-18,17.56,17.56,17.56,17.56
3528,2025-04-17,17.56,17.56,17.56,17.56
3527,2025-04-16,17.56,17.56,17.56,17.56
3526,2025-04-15,17.56,17.56,17.56,17.56
