,Date,Open,High,Low,Close
4417,2025-10-17,4.4,4.4,4.1,4.3
4416,2025-10-16,3.9,4.2,3.9,4.1
4415,2025-10-15,4.1,4.1,4.1,4.1
4414,2025-10-14,4.2,4.3,4.1,4.1
4413,2025-10-13,4.3,4.4,4.2,4.2
4412,2025-10-10,4.3,4.4,4.2,4.3
4411,2025-10-09,4.4,4.4,4.4,4.4
4410,2025-10-08,4.5,4.5,4.4,4.4
4409,2025-10-07,4.4,4.4,4.3,4.4
4408,2025-10-06,4.1,4.5,4.1,4.4
4407,2025-10-03,4.5,4.5,4.5,4.5
4406,2025-10-02,4.4,4.4,4.2,4.3
4405,2025-10-01,4.9,4.9,4.2,4.4
4404,2025-09-30,4.5,4.5,4.2,4.4
4403,2025-09-29,4.6,4.6,4.4,4.5
4402,2025-09-26,4.6,4.6,4.4,4.4
4401,2025-09-25,4.3,4.5,4.2,4.5
4400,2025-09-24,4.2,4.3,4.1,4.3
4399,2025-09-23,4.3,4.4,4.3,4.4
4398,2025-09-22,4.4,4.4,4.3,4.4
4397,2025-09-19,4.4,4.4,4.0,4.4
4396,2025-09-18,3.8,4.4,3.8,4.4
4395,2025-09-17,4.2,4.3,3.7,3.8
4394,2025-09-16,4.5,4.5,4.1,4.1
4393,2025-09-15,4.2,4.7,4.2,4.5
4392,2025-09-12,4.6,4.6,4.5,4.5
4391,2025-09-11,4.4,4.7,4.4,4.7
4390,2025-09-10,4.6,4.7,4.6,4.7
4389,2025-09-09,5.2,5.2,4.5,4.5
4388,2025-09-08,4.8,4.8,4.7,4.8
4387,2025-09-05,5.0,5.0,4.7,4.7
4386,2025-09-04,4.5,4.7,4.5,4.7
4385,2025-09-03,4.4,4.6,4.4,4.5
4384,2025-08-29,4.5,4.7,4.5,4.7
4383,2025-08-28,4.7,4.7,4.5,4.5
4382,2025-08-27,4.7,4.7,4.7,4.7
4381,2025-08-26,4.8,4.8,4.5,4.6
4380,2025-08-25,4.5,4.5,4.2,4.3
4379,2025-08-22,4.5,4.5,4.3,4.4
4378,2025-08-21,4.5,4.5,4.4,4.5
4377,2025-08-20,4.6,4.7,4.5,4.5
4376,2025-08-19,4.8,4.8,4.5,4.7
4375,2025-08-18,4.9,4.9,4.7,4.8
4374,2025-08-15,4.9,4.9,4.6,4.9
4373,2025-08-14,4.8,5.0,4.8,4.9
4372,2025-08-13,5.0,5.0,4.7,4.8
4371,2025-08-12,5.0,5.1,4.9,4.9
4370,2025-08-11,5.1,5.2,4.9,5.0
4369,2025-08-08,5.3,5.4,5.0,5.0
4368,2025-08-07,5.1,5.4,5.1,5.3
4367,2025-08-06,5.1,5.3,5.0,5.3
4366,2025-08-05,5.8,5.8,5.2,5.2
4365,2025-08-04,5.2,5.5,5.2,5.5
4364,2025-08-01,5.9,5.9,5.1,5.5
4363,2025-07-31,6.2,6.2,5.6,5.6
4362,2025-07-30,5.9,5.9,5.8,5.9
4361,2025-07-29,5.9,6.0,5.4,5.7
4360,2025-07-28,5.9,6.4,5.8,5.9
4359,2025-07-25,5.6,6.4,5.5,5.9
4358,2025-07-24,5.5,5.9,5.4,5.5
4357,2025-07-23,5.5,5.5,4.8,5.5
4356,2025-07-22,5.4,5.5,4.8,5.5
4355,2025-07-21,5.6,6.0,5.3,5.4
4354,2025-07-18,5.5,5.5,5.4,5.5
4353,2025-07-17,4.2,4.8,4.2,4.8
4352,2025-07-16,4.2,4.2,4.1,4.2
4351,2025-07-15,3.5,3.7,3.5,3.7
4350,2025-07-14,3.0,3.3,3.0,3.3
4349,2025-07-11,2.9,3.3,2.8,3.3
4348,2025-07-10,2.9,3.0,2.9,3.0
4347,2025-07-09,2.9,3.0,2.8,3.0
4346,2025-07-08,3.0,3.0,2.9,2.9
4345,2025-07-07,3.0,3.0,2.9,3.0
4344,2025-07-04,3.0,3.0,2.9,3.0
4343,2025-07-03,3.0,3.0,3.0,3.0
4342,2025-07-02,3.0,3.0,2.9,3.0
4341,2025-07-01,2.9,2.9,2.8,2.9
4340,2025-06-30,2.7,2.8,2.7,2.8
4339,2025-06-27,2.7,2.8,2.6,2.8
4338,2025-06-26,3.0,3.0,2.5,2.7
4337,2025-06-25,3.1,3.1,2.9,2.9
4336,2025-06-24,2.9,3.0,2.9,3.0
4335,2025-06-23,2.9,3.0,2.9,2.9
4334,2025-06-20,3.0,3.0,2.9,3.0
4333,2025-06-19,3.2,3.2,3.0,3.1
4332,2025-06-18,2.9,3.3,2.9,3.0
4331,2025-06-17,2.9,3.1,2.8,3.0
4330,2025-06-16,3.0,3.0,2.7,2.9
4329,2025-06-13,2.9,2.9,2.5,2.9
4328,2025-06-12,3.0,3.0,2.8,2.9
4327,2025-06-11,2.9,3.1,2.9,2.9
4326,2025-06-10,3.1,3.1,2.9,3.0
4325,2025-06-09,3.1,3.2,2.8,3.0
4324,2025-06-06,3.5,3.5,2.9,3.1
4323,2025-06-05,2.8,3.2,2.7,3.2
4322,2025-06-04,3.3,3.3,2.8,2.8
4321,2025-06-03,2.9,3.3,2.7,2.9
4320,2025-06-02,2.8,2.9,2.7,2.9
4319,2025-05-30,2.6,2.6,2.6,2.6
4318,2025-05-29,2.3,2.3,2.3,2.3
4317,2025-05-28,2.0,2.3,2.0,2.3
4316,2025-05-27,1.9,2.0,1.9,2.0
4315,2025-05-26,1.9,2.0,1.9,1.9
4314,2025-05-23,2.0,2.0,2.0,2.0
4313,2025-05-22,2.0,2.0,2.0,2.0
4312,2025-05-21,2.0,2.0,2.0,2.0
4311,2025-05-20,1.9,2.0,1.8,2.0
4310,2025-05-19,1.9,1.9,1.9,1.9
4309,2025-05-16,1.9,1.9,1.9,1.9
4308,2025-05-15,2.0,2.0,2.0,2.0
4307,2025-05-14,2.0,2.1,2.0,2.0
4306,2025-05-13,2.1,2.2,2.0,2.0
4305,2025-05-12,2.2,2.3,2.2,2.2
4304,2025-05-09,1.9,2.1,1.9,2.1
4303,2025-05-08,1.9,1.9,1.8,1.9
4302,2025-05-07,1.9,1.9,1.8,1.9
4301,2025-05-06,1.9,2.0,1.9,1.9
4300,2025-05-05,1.7,1.8,1.7,1.8
4299,2025-04-29,1.5,1.7,1.5,1.6
4298,2025-04-28,1.7,1.7,1.6,1.6
4297,2025-04-25,1.6,1.6,1.6,1.6
4296,2025-04-24,1.5,1.5,1.5,1.5
4295,2025-04-23,1.6,1.6,1.5,1.5
4294,2025-04-22,1.7,1.7,1.4,1.5
4293,2025-04-21,1.6,1.7,1.6,1.6
4292,2025-04-18,1.5,1.6,1.5,1.6
4291,2025-04-17,1.6,1.6,1.5,1.5
4290,2025-04-16,1.6,1.6,1.6,1.6
4289,2025-04-15,1.7,1.7,1.6,1.6
4288,2025-04-14,1.7,1.7,1.6,1.6
4287,2025-04-11,1.8,1.8,1.6,1.8
4286,2025-04-10,1.6,1.6,1.6,1.6
4285,2025-04-09,1.5,1.6,1.4,1.4
4284,2025-04-08,1.8,1.8,1.6,1.6
4283,2025-04-04,1.8,1.8,1.7,1.8
4282,2025-04-03,2.1,2.1,1.8,1.9
4281,2025-04-02,2.0,2.1,2.0,2.1
4280,2025-04-01,2.0,2.0,2.0,2.0
4279,2025-03-31,2.1,2.1,2.0,2.1
4278,2025-03-28,2.1,2.1,2.1,2.1
4277,2025-03-27,2.1,2.1,2.1,2.1
4276,2025-03-26,2.1,2.1,2.0,2.1
4275,2025-03-25,2.1,2.1,2.1,2.1
4274,2025-03-24,2.2,2.2,2.1,2.2
4273,2025-03-21,2.1,2.2,2.1,2.2
4272,2025-03-20,2.1,2.2,2.1,2.1
4271,2025-03-19,2.0,2.1,2.0,2.0
4270,2025-03-18,2.0,2.0,2.0,2.0
4269,2025-03-17,2.0,2.0,2.0,2.0
4268,2025-03-14,2.1,2.1,2.0,2.0
4267,2025-03-13,2.1,2.1,2.0,2.0
4266,2025-03-12,2.0,2.1,2.0,2.1
4265,2025-03-11,2.0,2.0,2.0,2.0
4264,2025-03-10,2.1,2.1,2.0,2.1
4263,2025-03-07,2.1,2.2,2.0,2.0
4262,2025-03-06,2.1,2.1,2.0,2.1
4261,2025-03-05,2.1,2.1,2.0,2.0
4260,2025-03-04,2.1,2.2,2.1,2.1
4259,2025-03-03,2.1,2.1,2.1,2.1
4258,2025-02-28,2.1,2.1,2.1,2.1
4257,2025-02-27,2.1,2.2,2.1,2.2
4256,2025-02-26,2.1,2.1,2.1,2.1
4255,2025-02-25,2.1,2.2,2.1,2.1
4254,2025-02-24,2.1,2.2,2.1,2.2
4253,2025-02-21,2.3,2.3,2.1,2.2
4252,2025-02-20,2.3,2.3,2.2,2.2
4251,2025-02-19,2.3,2.3,2.1,2.2
4250,2025-02-18,2.4,2.4,2.2,2.2
4249,2025-02-17,2.0,2.3,2.0,2.3
4248,2025-02-14,2.1,2.2,2.0,2.0
4247,2025-02-13,2.3,2.3,2.1,2.2
4246,2025-02-12,2.5,2.5,2.1,2.2
4245,2025-02-11,2.1,2.3,2.1,2.3
4244,2025-02-10,1.9,2.1,1.9,2.1
4243,2025-02-07,1.9,2.0,1.9,2.0
4242,2025-02-06,1.9,1.9,1.9,1.9
4241,2025-02-05,1.9,1.9,1.8,1.9
4240,2025-02-04,2.0,2.0,1.9,1.9
4239,2025-02-03,1.8,1.9,1.8,1.9
4238,2025-01-24,2.0,2.0,1.8,1.9
4237,2025-01-23,1.9,1.9,1.9,1.9
4236,2025-01-22,2.0,2.0,1.9,1.9
4235,2025-01-21,2.0,2.0,2.0,2.0
4234,2025-01-20,1.9,2.0,1.8,2.0
4233,2025-01-17,1.9,1.9,1.8,1.8
4232,2025-01-16,1.9,1.9,1.9,1.9
4231,2025-01-15,1.9,2.0,1.9,1.9
4230,2025-01-14,2.0,2.0,1.8,1.9
4229,2025-01-13,1.8,1.9,1.8,1.9
4228,2025-01-10,1.8,1.9,1.8,1.8
4227,2025-01-09,1.9,1.9,1.8,1.8
4226,2025-01-08,1.9,1.9,1.9,1.9
4225,2025-01-07,1.8,1.9,1.8,1.9
4224,2025-01-06,1.8,1.9,1.8,1.9
4223,2025-01-03,1.9,1.9,1.8,1.9
4222,2025-01-02,1.9,1.9,1.9,1.9
4221,2024-12-31,1.9,1.9,1.8,1.8
4220,2024-12-30,1.9,1.9,1.8,1.9
4219,2024-12-27,1.9,2.0,1.8,1.8
4218,2024-12-26,1.9,1.9,1.8,1.9
4217,2024-12-25,1.9,1.9,1.8,1.8
4216,2024-12-24,1.9,2.0,1.9,1.9
4215,2024-12-23,2.0,2.0,1.8,1.9
