,Date,Open,High,Low,Close
2213,2025-10-17,21.4,21.5,19.2,19.2
2212,2025-10-10,20.8,20.8,20.8,20.8
2211,2025-09-23,27.4,27.4,19.2,19.2
2210,2025-07-04,19.6,19.6,19.6,19.6
2209,2025-06-25,19.6,19.6,19.5,19.5
2208,2025-06-24,19.6,19.6,19.6,19.6
2207,2025-06-20,19.6,19.7,19.6,19.7
2206,2025-06-18,19.6,19.6,19.6,19.6
2205,2025-06-12,19.6,19.6,19.6,19.6
2204,2025-06-11,19.6,19.6,19.6,19.6
2203,2025-06-10,19.6,19.6,19.6,19.6
2202,2025-06-09,19.6,19.6,19.6,19.6
2201,2025-06-06,19.6,19.6,19.6,19.6
2200,2025-06-05,19.6,19.6,19.6,19.6
2199,2025-06-04,19.6,19.6,19.6,19.6
2198,2025-06-03,19.6,19.6,19.6,19.6
2197,2025-06-02,19.6,19.6,19.6,19.6
2196,2025-05-30,19.6,19.6,19.6,19.6
2195,2025-05-29,19.69,19.69,19.6,19.6
2194,2025-05-28,19.88,19.88,19.88,19.88
2193,2025-05-27,19.88,19.88,19.88,19.88
2192,2025-05-26,19.88,19.88,19.88,19.88
2191,2025-05-23,19.88,19.88,19.88,19.88
2190,2025-05-22,19.88,19.88,19.88,19.88
2189,2025-05-21,19.88,19.88,19.88,19.88
2188,2025-05-20,19.88,19.88,19.88,19.88
2187,2025-05-19,19.41,20.8,19.32,20.8
2186,2025-05-16,21.08,21.17,21.08,21.17
2185,2025-05-15,21.17,21.17,21.17,21.17
2184,2025-05-14,21.17,21.17,21.17,21.17
2183,2025-05-13,23.39,23.39,20.43,20.8
2182,2025-05-12,20.34,20.34,20.34,20.34
2181,2025-05-09,20.34,20.34,20.34,20.34
2180,2025-05-08,20.34,20.34,20.34,20.34
2179,2025-05-07,18.95,18.95,18.95,18.95
2178,2025-05-06,18.95,18.95,18.95,18.95
2177,2025-05-05,18.95,18.95,18.95,18.95
2176,2025-04-29,18.95,18.95,18.95,18.95
2175,2025-04-28,18.95,18.95,18.95,18.95
2174,2025-04-25,18.95,18.95,18.95,18.95
2173,2025-04-24,18.95,18.95,18.95,18.95
2172,2025-04-23,18.95,18.95,18.95,18.95
2171,2025-04-22,18.95,18.95,18.95,18.95
2170,2025-04-21,18.95,18.95,18.95,18.95
2169,2025-04-18,18.95,18.95,18.95,18.95
2168,2025-04-17,18.95,18.95,18.95,18.95
2167,2025-04-16,18.95,18.95,18.95,18.95
2166,2025-04-15,18.95,18.95,18.95,18.95
2165,2025-04-14,18.95,18.95,18.95,18.95
2164,2025-04-11,18.95,18.95,18.95,18.95
2163,2025-04-10,18.86,18.86,18.86,18.86
2162,2025-04-09,17.84,17.84,17.84,17.84
2161,2025-04-08,17.84,17.84,17.84,17.84
2160,2025-04-04,17.84,17.84,17.84,17.84
2159,2025-04-03,17.84,17.84,17.84,17.84
2158,2025-04-02,17.84,17.84,17.84,17.84
2157,2025-04-01,17.84,17.84,17.84,17.84
2156,2025-03-31,17.84,17.84,17.84,17.84
2155,2025-03-28,17.84,17.84,17.84,17.84
2154,2025-03-27,17.84,17.84,17.84,17.84
2153,2025-03-26,17.84,17.84,17.84,17.84
2152,2025-03-25,17.84,17.84,17.84,17.84
2151,2025-03-24,17.84,17.84,17.84,17.84
2150,2025-03-21,17.84,17.84,17.84,17.84
2149,2025-03-20,17.84,17.84,17.84,17.84
2148,2025-03-19,17.84,17.84,17.84,17.84
2147,2025-03-18,17.84,17.84,17.84,17.84
2146,2025-03-17,17.84,17.84,17.84,17.84
2145,2025-03-14,17.84,17.84,17.84,17.84
2144,2025-03-13,17.84,17.84,17.84,17.84
2143,2025-03-12,17.84,17.84,17.84,17.84
2142,2025-03-11,17.84,17.84,17.84,17.84
2141,2025-03-10,17.84,17.84,17.84,17.84
2140,2025-03-07,17.84,17.84,17.84,17.84
2139,2025-03-06,18.86,18.86,18.86,18.86
2138,2025-03-05,18.86,18.86,18.86,18.86
2137,2025-03-04,18.86,18.86,18.86,18.86
2136,2025-03-03,18.86,18.86,18.86,18.86
2135,2025-02-28,18.86,18.86,18.86,18.86
2134,2025-02-27,18.86,18.86,18.86,18.86
2133,2025-02-26,19.69,19.69,19.69,19.69
2132,2025-02-25,19.78,19.78,19.41,19.78
2131,2025-02-24,18.86,18.86,18.86,18.86
2130,2025-02-21,18.86,18.86,18.86,18.86
2129,2025-02-20,18.86,18.86,18.86,18.86
2128,2025-02-19,18.86,18.86,18.86,18.86
2127,2025-02-18,18.86,18.86,18.86,18.86
2126,2025-02-17,18.86,18.86,18.86,18.86
2125,2025-02-14,18.86,18.86,18.86,18.86
2124,2025-02-13,18.86,18.86,18.86,18.86
2123,2025-02-12,18.86,18.86,18.86,18.86
2122,2025-02-11,18.86,18.86,18.86,18.86
2121,2025-02-10,18.86,18.86,18.86,18.86
2120,2025-02-07,18.86,18.86,18.86,18.86
2119,2025-02-06,18.86,18.86,18.86,18.86
2118,2025-02-05,18.86,18.86,18.86,18.86
2117,2025-02-04,18.86,18.86,18.86,18.86
2116,2025-02-03,18.86,18.86,18.86,18.86
2115,2025-01-24,18.86,18.86,18.86,18.86
2114,2025-01-23,18.86,18.86,18.86,18.86
2113,2025-01-22,18.86,18.86,18.86,18.86
2112,2025-01-21,18.86,18.86,18.86,18.86
2111,2025-01-20,18.86,18.86,18.86,18.86
2110,2025-01-17,18.86,18.86,18.86,18.86
2109,2025-01-16,18.86,18.86,18.86,18.86
2108,2025-01-15,18.86,18.86,18.86,18.86
2107,2025-01-14,18.86,18.86,18.86,18.86
2106,2025-01-13,18.86,18.86,18.86,18.86
2105,2025-01-10,18.86,18.86,18.86,18.86
2104,2025-01-09,18.86,18.86,18.86,18.86
2103,2025-01-08,18.86,18.86,18.86,18.86
2102,2025-01-07,18.86,18.86,18.86,18.86
2101,2025-01-06,18.86,18.86,18.86,18.86
2100,2025-01-03,18.86,18.86,18.86,18.86
2099,2025-01-02,18.86,18.86,18.86,18.86
2098,2024-12-31,18.86,18.86,18.86,18.86
2097,2024-12-30,18.86,18.86,18.86,18.86
2096,2024-12-27,18.86,18.86,18.86,18.86
2095,2024-12-26,18.86,18.86,18.86,18.86
2094,2024-12-25,18.86,18.86,18.86,18.86
2093,2024-12-24,18.86,18.86,18.86,18.86
2092,2024-12-23,18.86,18.86,18.86,18.86
2091,2024-12-20,18.86,18.86,18.86,18.86
2090,2024-12-19,18.86,18.86,18.86,18.86
2089,2024-12-18,18.86,18.86,18.86,18.86
2088,2024-12-17,18.86,18.86,18.86,18.86
2087,2024-12-16,18.86,18.86,18.86,18.86
2086,2024-12-13,18.86,18.86,18.86,18.86
2085,2024-12-12,18.86,18.86,18.86,18.86
2084,2024-12-11,18.86,18.86,18.86,18.86
2083,2024-12-10,18.86,18.86,18.86,18.86
2082,2024-12-09,18.86,18.86,18.86,18.86
2081,2024-12-06,18.86,18.86,18.86,18.86
2080,2024-12-05,18.86,18.86,18.86,18.86
2079,2024-12-04,18.86,18.86,18.86,18.86
2078,2024-12-03,18.86,18.86,18.86,18.86
2077,2024-12-02,18.86,18.86,18.86,18.86
2076,2024-11-29,18.86,18.86,18.86,18.86
2075,2024-11-28,18.86,18.86,18.86,18.86
2074,2024-11-27,18.86,18.86,18.86,18.86
2073,2024-11-26,18.86,18.86,18.86,18.86
2072,2024-11-25,18.86,18.86,18.86,18.86
2071,2024-11-22,18.86,18.86,18.86,18.86
