,Date,Open,High,Low,Close
4210,2025-10-17,33.7,34.0,32.4,32.4
4209,2025-10-16,31.8,33.8,31.4,33.7
4208,2025-10-15,32.3,32.3,31.5,31.6
4207,2025-10-14,32.4,33.2,32.0,32.0
4206,2025-10-13,32.0,32.7,31.5,32.3
4205,2025-10-10,30.8,32.5,30.7,32.1
4204,2025-10-09,30.8,30.9,30.3,30.7
4203,2025-10-08,30.5,31.6,29.6,30.5
4202,2025-10-07,31.3,31.5,30.6,30.6
4201,2025-10-06,30.0,31.3,30.0,31.2
4200,2025-10-03,30.1,30.5,29.6,30.0
4199,2025-10-02,30.1,30.4,29.4,30.1
4198,2025-10-01,30.2,30.4,29.7,30.1
4197,2025-09-30,30.1,30.4,29.3,30.2
4196,2025-09-29,31.1,31.1,30.2,30.3
4195,2025-09-26,31.1,31.6,30.7,31.0
4194,2025-09-25,31.3,31.3,30.5,31.1
4193,2025-09-24,30.0,30.6,29.5,30.6
4192,2025-09-23,29.3,30.1,29.2,30.0
4191,2025-09-22,29.8,30.3,28.8,29.3
4190,2025-09-19,30.4,30.5,29.9,30.0
4189,2025-09-18,30.3,30.6,29.8,30.1
4188,2025-09-17,31.0,31.6,30.3,30.3
4187,2025-09-16,31.9,32.3,31.0,31.0
4186,2025-09-15,31.4,32.0,31.2,31.9
4185,2025-09-12,31.1,32.4,31.1,31.2
4184,2025-09-11,30.0,31.0,28.9,31.0
4183,2025-09-10,30.5,30.8,29.8,30.0
4182,2025-09-09,30.7,30.7,29.5,30.5
4181,2025-09-08,31.0,31.8,30.5,30.7
4180,2025-09-05,32.8,33.1,31.0,31.0
4179,2025-09-04,31.6,33.0,30.9,32.7
4178,2025-09-03,30.7,32.1,30.0,31.3
4177,2025-08-29,30.0,31.1,29.8,30.0
4176,2025-08-28,29.5,30.3,29.5,30.0
4175,2025-08-27,30.7,30.7,29.5,29.7
4174,2025-08-26,28.8,30.7,28.5,30.7
4173,2025-08-25,28.5,29.1,28.3,28.6
4172,2025-08-22,29.8,29.8,27.5,28.4
4171,2025-08-21,30.4,30.8,29.8,29.8
4170,2025-08-20,32.3,32.5,29.6,30.5
4169,2025-08-19,33.4,33.5,32.2,32.3
4168,2025-08-18,33.5,34.6,32.2,33.4
4167,2025-08-15,34.4,35.5,32.8,33.4
4166,2025-08-14,32.6,34.9,32.2,34.3
4165,2025-08-13,32.8,33.2,31.7,32.6
4164,2025-08-12,32.4,33.4,31.8,32.8
4163,2025-08-11,32.0,32.4,31.3,31.5
4162,2025-08-08,32.2,32.7,31.1,31.5
4161,2025-08-07,31.4,32.4,31.2,32.2
4160,2025-08-06,31.2,32.0,30.8,31.1
4159,2025-08-05,31.3,33.2,30.0,31.1
4158,2025-08-04,30.5,31.0,29.8,30.9
4157,2025-08-01,31.1,31.6,30.4,30.5
4156,2025-07-31,31.0,31.5,30.0,31.1
4155,2025-07-30,29.5,31.5,26.7,30.7
4154,2025-07-29,32.8,33.3,29.6,29.6
4153,2025-07-28,32.2,33.5,31.6,32.7
4152,2025-07-25,31.9,32.4,31.0,31.7
4151,2025-07-24,31.7,31.9,30.7,31.9
4150,2025-07-23,31.9,32.6,31.0,31.7
4149,2025-07-22,31.6,32.0,30.7,31.2
4148,2025-07-21,30.5,32.0,30.5,31.6
4147,2025-07-18,29.1,31.3,29.1,30.4
4146,2025-07-17,28.1,29.9,27.5,29.1
4145,2025-07-16,28.9,29.8,28.4,28.7
4144,2025-07-15,29.1,29.9,28.9,28.9
4143,2025-07-14,28.8,29.4,28.0,29.1
4142,2025-07-11,28.6,29.8,28.0,28.7
4141,2025-07-10,28.8,28.9,27.9,28.5
4140,2025-07-09,27.9,30.2,27.8,28.5
4139,2025-07-08,25.1,27.6,24.7,27.6
4138,2025-07-07,26.5,26.5,24.9,25.1
4137,2025-07-04,24.55,24.82,24.27,24.55
4136,2025-07-03,25.45,26.09,24.45,24.55
4135,2025-07-02,24.55,25.45,24.36,25.45
4134,2025-07-01,24.55,25.27,24.45,24.55
4133,2025-06-30,24.0,24.36,23.91,24.36
4132,2025-06-27,23.91,24.27,23.82,23.91
4131,2025-06-26,24.27,24.45,23.82,23.91
4130,2025-06-25,24.09,24.55,24.0,24.18
4129,2025-06-24,24.09,24.18,23.73,23.91
4128,2025-06-23,24.27,24.27,22.0,23.91
4127,2025-06-20,25.09,25.09,24.27,24.27
4126,2025-06-19,24.36,25.36,24.36,24.73
4125,2025-06-18,24.36,24.55,23.82,24.27
4124,2025-06-17,24.55,24.55,24.09,24.27
4123,2025-06-16,23.36,24.09,23.27,24.0
4122,2025-06-13,23.64,23.82,22.91,23.36
4121,2025-06-12,23.55,24.64,23.45,23.82
4120,2025-06-11,23.91,24.09,23.09,23.27
4119,2025-06-10,23.91,24.73,23.73,23.82
4118,2025-06-09,23.82,24.27,23.82,24.0
4117,2025-06-06,23.82,24.91,23.82,23.82
4116,2025-06-05,24.18,24.27,23.73,24.09
4115,2025-06-04,24.73,25.0,24.0,24.18
4114,2025-06-03,24.0,24.82,23.64,24.55
4113,2025-06-02,23.91,24.0,23.0,23.73
4112,2025-05-30,23.73,24.82,23.73,24.0
4111,2025-05-29,23.36,24.0,23.27,23.73
4110,2025-05-28,24.0,24.0,23.18,23.36
4109,2025-05-27,22.64,24.09,22.55,23.73
4108,2025-05-26,21.82,22.64,21.0,22.64
4107,2025-05-23,21.45,22.0,21.45,21.73
4106,2025-05-22,21.91,22.36,21.55,21.73
4105,2025-05-21,21.73,21.91,21.36,21.91
4104,2025-05-20,21.55,21.82,21.45,21.64
4103,2025-05-19,22.36,22.36,21.55,21.55
4102,2025-05-16,22.91,22.36,22.36,22.36
4101,2025-05-15,22.64,22.82,22.18,22.64
4100,2025-05-14,22.36,22.64,22.64,22.64
4099,2025-05-13,22.09,22.27,21.82,22.27
4098,2025-05-12,21.82,22.09,21.09,21.73
4097,2025-05-09,22.18,22.36,21.73,21.73
4096,2025-05-08,22.27,22.55,21.82,22.18
4095,2025-05-07,22.09,22.09,21.45,22.09
4094,2025-05-06,22.45,23.18,21.64,21.73
4093,2025-05-05,20.82,22.27,20.64,22.27
4092,2025-04-29,20.27,20.64,20.09,20.55
4091,2025-04-28,19.91,20.73,19.73,20.18
4090,2025-04-25,19.82,20.0,19.55,19.73
4089,2025-04-24,18.27,20.0,18.27,19.73
4088,2025-04-23,18.55,19.91,18.55,19.64
4087,2025-04-22,19.55,19.64,17.73,18.55
4086,2025-04-21,19.82,20.09,19.55,19.64
4085,2025-04-18,19.73,20.36,19.64,19.73
4084,2025-04-17,19.18,19.55,18.91,19.55
4083,2025-04-16,18.64,20.18,18.64,19.18
4082,2025-04-15,20.36,20.55,19.64,19.91
4081,2025-04-14,18.91,20.91,18.0,20.36
4080,2025-04-11,21.09,21.18,18.64,20.0
4079,2025-04-10,17.64,19.27,17.55,19.27
4078,2025-04-09,17.55,18.18,17.55,17.55
4077,2025-04-08,21.55,21.55,19.45,19.45
4076,2025-04-04,21.45,22.45,21.18,21.55
4075,2025-04-03,24.55,25.27,23.45,23.45
4074,2025-04-02,25.91,26.82,25.91,26.0
4073,2025-04-01,25.18,25.82,25.18,25.55
4072,2025-03-31,25.64,25.82,25.18,25.27
4071,2025-03-28,26.27,26.64,25.73,26.0
4070,2025-03-27,25.55,26.91,25.0,26.45
4069,2025-03-26,26.36,27.18,26.18,26.91
