,Date,Open,High,Low,Close,Volume
1692,2025-10-24,5.0,5.0,4.7,4.8,522400
1691,2025-10-23,5.2,5.2,5.0,5.0,411000
1690,2025-10-22,4.8,5.3,4.8,5.2,1302400
1689,2025-10-21,4.8,5.1,4.8,4.9,276100
1688,2025-10-20,4.9,5.1,4.6,4.8,719400
1687,2025-10-17,5.0,5.0,4.8,5.0,120800
1686,2025-10-16,5.0,5.1,4.9,5.0,104400
1685,2025-10-15,5.1,5.1,4.8,5.0,277700
1684,2025-10-14,5.3,5.5,5.1,5.1,252200
1683,2025-10-13,5.1,5.4,5.0,5.2,314100
1682,2025-10-10,5.4,5.6,5.2,5.2,351900
1681,2025-10-09,4.9,5.2,4.8,5.2,765400
1680,2025-10-08,4.9,4.9,4.7,4.8,84900
1679,2025-10-07,4.9,5.0,4.8,4.8,277000
1678,2025-10-06,4.6,4.8,4.6,4.8,330900
1677,2025-10-03,4.7,4.7,4.6,4.6,84800
1676,2025-10-02,4.8,4.8,4.6,4.7,108700
1675,2025-10-01,4.9,4.9,4.7,4.8,164800
1674,2025-09-30,4.9,4.9,4.6,4.9,399300
1673,2025-09-29,4.8,5.0,4.7,4.8,241700
1672,2025-09-26,5.3,5.4,4.8,4.8,1007400
1671,2025-09-25,5.3,5.5,5.2,5.2,575400
1670,2025-09-24,4.8,5.2,4.8,5.2,1587600
1669,2025-09-23,4.8,4.9,4.7,4.8,218000
1668,2025-09-22,4.8,4.8,4.6,4.8,155600
1667,2025-09-19,4.8,4.8,4.7,4.7,145700
1666,2025-09-18,4.8,4.9,4.7,4.8,276800
1665,2025-09-17,4.9,4.9,4.8,4.8,324900
1664,2025-09-16,5.0,5.1,4.8,4.9,162600
1663,2025-09-15,5.0,5.0,4.8,4.9,280800
1662,2025-09-12,5.1,5.1,4.9,5.0,315200
1661,2025-09-11,5.0,5.1,4.9,5.0,382100
1660,2025-09-10,4.8,5.0,4.8,5.0,889300
1659,2025-09-09,4.8,4.9,4.6,4.8,139900
1658,2025-09-08,4.8,4.9,4.7,4.8,88300
1657,2025-09-05,4.8,4.9,4.7,4.7,304900
1656,2025-09-04,4.8,4.8,4.5,4.7,524600
1655,2025-09-03,4.8,4.9,4.7,4.8,47300
1654,2025-08-29,4.9,4.9,4.7,4.8,293600
1653,2025-08-28,4.7,4.8,4.6,4.7,208300
1652,2025-08-27,4.7,4.9,4.7,4.8,225900
1651,2025-08-26,4.6,4.7,4.6,4.7,74500
1650,2025-08-25,4.7,4.8,4.5,4.6,87800
1649,2025-08-22,4.6,4.8,4.6,4.7,60700
1648,2025-08-21,4.6,4.8,4.6,4.7,86800
1647,2025-08-20,4.8,4.9,4.5,4.8,212600
1646,2025-08-19,4.6,4.9,4.6,4.8,103500
1645,2025-08-18,4.8,4.8,4.6,4.6,107500
1644,2025-08-15,4.9,4.9,4.6,4.7,289500
1643,2025-08-14,4.9,5.0,4.9,4.9,130600
1642,2025-08-13,4.9,5.0,4.8,4.9,216200
1641,2025-08-12,5.0,5.1,4.9,4.9,174000
1640,2025-08-11,5.0,5.1,4.9,5.0,161200
1639,2025-08-08,5.1,5.1,4.9,5.0,197800
1638,2025-08-07,5.1,5.1,4.9,5.0,120800
1637,2025-08-06,5.0,5.1,4.9,5.1,259400
1636,2025-08-05,5.4,5.6,5.0,5.0,409600
1635,2025-08-04,5.1,5.5,4.8,5.4,565100
1634,2025-08-01,5.2,5.3,4.8,5.0,568100
1633,2025-07-31,5.2,5.2,5.0,5.2,994700
1632,2025-07-30,4.8,4.8,4.5,4.8,332300
1631,2025-07-29,4.4,4.5,4.3,4.4,437900
1630,2025-07-28,4.4,4.5,4.3,4.4,431200
1629,2025-07-25,4.3,4.4,4.2,4.4,387400
1628,2025-07-24,4.3,4.3,4.2,4.2,270300
1627,2025-07-23,4.4,4.4,4.2,4.3,127200
1626,2025-07-22,4.3,4.4,4.2,4.4,156800
1625,2025-07-21,4.4,4.4,4.2,4.3,70600
1624,2025-07-18,4.3,4.4,4.3,4.3,89000
1623,2025-07-17,4.3,4.5,4.3,4.4,187100
1622,2025-07-16,4.2,4.3,4.2,4.3,36100
1621,2025-07-15,4.2,4.3,4.1,4.3,116200
1620,2025-07-14,4.2,4.2,4.1,4.2,63800
1619,2025-07-11,4.2,4.3,4.1,4.2,115500
1618,2025-07-10,4.3,4.4,4.1,4.2,152300
1617,2025-07-09,4.3,4.3,4.2,4.3,85000
1616,2025-07-08,4.4,4.4,4.3,4.3,114100
1615,2025-07-07,4.2,4.5,4.2,4.3,352000
1614,2025-07-04,4.1,4.2,4.1,4.1,80500
1613,2025-07-03,4.1,4.2,4.0,4.1,49700
1612,2025-07-02,4.0,4.3,4.0,4.1,266100
1611,2025-07-01,4.1,4.1,4.0,4.0,157900
1610,2025-06-30,4.2,4.3,4.1,4.1,432500
1609,2025-06-27,4.3,4.3,4.2,4.2,1800
1608,2025-06-26,4.4,4.4,4.1,4.2,162500
1607,2025-06-25,4.3,4.4,4.2,4.3,109100
1606,2025-06-24,4.3,4.4,4.3,4.3,99900
1605,2025-06-23,4.2,4.3,4.2,4.3,36900
1604,2025-06-20,4.4,4.4,4.3,4.3,37500
1603,2025-06-19,4.4,4.4,4.3,4.4,124000
1602,2025-06-18,4.4,4.5,4.3,4.4,75100
1601,2025-06-17,4.4,4.5,4.3,4.4,116100
1600,2025-06-16,4.4,4.4,4.2,4.3,48200
1599,2025-06-13,4.4,4.4,4.2,4.3,205200
1598,2025-06-12,4.2,4.4,4.2,4.4,83600
1597,2025-06-11,4.4,4.5,4.2,4.2,126800
1596,2025-06-10,4.4,4.5,4.3,4.4,63000
1595,2025-06-09,4.2,4.5,4.1,4.4,383700
1594,2025-06-06,4.3,4.3,4.1,4.2,224100
1593,2025-06-05,4.3,4.4,4.2,4.3,216100
