,Date,Open,High,Low,Close
3848,2025-10-16,19.3,19.3,19.3,19.3
3847,2025-10-15,19.3,19.3,19.3,19.3
3846,2025-10-14,19.29,19.29,19.29,19.29
3845,2025-10-13,19.29,19.29,19.29,19.29
3844,2025-10-10,19.29,19.29,19.29,19.29
3843,2025-10-09,19.29,19.29,19.29,19.29
3842,2025-10-08,19.29,19.29,19.29,19.29
3841,2025-10-07,19.29,19.29,19.29,19.29
3840,2025-10-06,19.29,19.29,19.29,19.29
3839,2025-10-03,19.29,19.29,19.29,19.29
3838,2025-10-02,19.29,19.29,19.29,19.29
3837,2025-10-01,19.29,19.29,19.29,19.29
3836,2025-09-30,19.29,19.29,19.29,19.29
3835,2025-09-29,19.29,19.29,19.29,19.29
3834,2025-09-26,19.29,19.29,19.29,19.29
3833,2025-09-25,19.29,19.29,19.29,19.29
3832,2025-09-24,19.29,19.29,19.29,19.29
3831,2025-09-23,19.29,19.29,19.29,19.29
3830,2025-09-22,19.29,19.29,19.29,19.29
3829,2025-09-19,19.29,19.29,19.29,19.29
3828,2025-09-18,19.29,19.29,19.29,19.29
3827,2025-09-17,19.29,19.29,19.29,19.29
3826,2025-09-16,19.29,19.29,19.29,19.29
3825,2025-09-15,19.29,19.29,19.29,19.29
3824,2025-09-12,19.29,19.29,19.29,19.29
3823,2025-09-11,19.29,19.29,19.29,19.29
3822,2025-09-10,19.29,19.29,19.29,19.29
3821,2025-09-09,19.29,19.29,19.29,19.29
3820,2025-09-08,19.29,19.29,19.29,19.29
3819,2025-09-05,19.29,19.29,19.29,19.29
3818,2025-09-04,19.29,19.29,19.29,19.29
3817,2025-09-03,19.29,19.29,19.29,19.29
3816,2025-08-29,19.29,19.29,19.29,19.29
3815,2025-08-28,19.29,19.29,19.29,19.29
3814,2025-08-27,19.29,19.29,19.29,19.29
3813,2025-08-26,19.29,19.29,19.29,19.29
3812,2025-08-25,19.29,19.29,19.29,19.29
3811,2025-08-22,19.29,19.29,19.29,19.29
3810,2025-08-21,19.29,19.29,19.29,19.29
3809,2025-08-20,19.29,19.29,19.29,19.29
3808,2025-08-19,19.29,19.29,19.29,19.29
3807,2025-08-18,19.29,19.29,19.29,19.29
3806,2025-08-15,19.29,19.29,19.29,19.29
3805,2025-08-14,19.29,19.29,19.29,19.29
3804,2025-08-13,19.29,19.29,19.29,19.29
3803,2025-08-12,19.29,19.29,19.29,19.29
3802,2025-08-11,19.29,19.29,19.29,19.29
