,Date,Open,High,Low,Close
2752,2025-10-17,17.0,17.0,17.0,17.0
2751,2025-10-15,17.0,17.0,17.0,17.0
2750,2025-10-14,17.0,17.0,17.0,17.0
2749,2025-10-13,17.0,17.0,16.6,16.6
2748,2025-10-10,17.5,17.5,17.0,17.0
2747,2025-10-09,17.0,17.0,17.0,17.0
2746,2025-10-08,17.5,17.5,17.0,17.0
2745,2025-09-30,17.5,17.5,17.0,17.0
2744,2025-09-29,18.0,18.3,17.5,18.3
2743,2025-09-26,18.9,18.9,18.0,18.0
2742,2025-09-25,18.5,19.0,18.5,19.0
2741,2025-09-24,18.0,18.0,18.0,18.0
2740,2025-09-23,18.9,18.9,18.9,18.9
2739,2025-09-22,20.0,20.1,18.9,18.9
2738,2025-09-19,18.9,18.9,18.9,18.9
2737,2025-09-17,16.2,16.5,16.2,16.5
2736,2025-09-15,16.1,16.1,16.1,16.1
2735,2025-09-09,16.1,16.1,16.1,16.1
2734,2025-09-04,16.0,16.3,16.0,16.3
2733,2025-09-03,16.0,16.0,16.0,16.0
2732,2025-08-29,16.5,16.5,16.5,16.5
2731,2025-08-27,16.5,16.5,16.5,16.5
2730,2025-08-22,16.5,16.5,16.5,16.5
2729,2025-08-20,16.5,16.5,16.5,16.5
2728,2025-08-19,16.5,16.5,16.5,16.5
2727,2025-08-18,16.5,16.5,16.5,16.5
2726,2025-08-15,16.5,16.5,16.5,16.5
2725,2025-08-14,16.2,16.2,16.2,16.2
2724,2025-08-12,16.5,16.5,16.5,16.5
2723,2025-08-11,16.5,16.5,16.5,16.5
2722,2025-08-08,16.5,16.5,16.1,16.1
2721,2025-08-07,16.5,16.5,16.5,16.5
2720,2025-08-05,16.5,16.5,16.5,16.5
2719,2025-07-31,16.5,16.5,16.5,16.5
2718,2025-07-30,16.5,16.5,16.5,16.5
2717,2025-07-29,16.0,16.0,16.0,16.0
2716,2025-07-28,16.0,16.0,16.0,16.0
2715,2025-07-25,16.0,16.0,16.0,16.0
2714,2025-07-24,17.1,17.1,17.1,17.1
2713,2025-07-23,17.1,17.1,17.1,17.1
2712,2025-07-22,17.0,17.0,17.0,17.0
2711,2025-07-21,16.5,16.5,16.5,16.5
2710,2025-07-18,16.4,16.5,16.4,16.5
2709,2025-07-17,16.0,17.0,16.0,17.0
2708,2025-07-16,17.0,17.0,17.0,17.0
2707,2025-07-15,16.8,16.8,15.9,16.8
2706,2025-07-14,15.9,15.9,15.9,15.9
2705,2025-07-11,15.5,15.5,15.5,15.5
2704,2025-07-09,14.2,14.6,14.2,14.6
2703,2025-07-04,14.6,14.6,14.6,14.6
2702,2025-07-02,13.6,13.6,13.6,13.6
2701,2025-07-01,13.6,13.6,13.5,13.5
2700,2025-06-27,14.5,14.5,12.4,12.4
2699,2025-06-25,14.5,14.5,14.5,14.5
2698,2025-06-24,14.5,14.5,14.5,14.5
2697,2025-06-23,14.5,14.5,14.5,14.5
2696,2025-06-20,14.5,14.5,14.5,14.5
2695,2025-06-19,14.5,14.5,14.5,14.5
2694,2025-06-18,14.5,14.5,14.5,14.5
2693,2025-06-17,14.5,14.6,14.5,14.5
2692,2025-06-16,14.1,14.1,14.1,14.1
2691,2025-06-13,14.1,14.1,14.1,14.1
2690,2025-06-12,14.0,14.0,14.0,14.0
2689,2025-06-11,14.0,14.0,14.0,14.0
2688,2025-06-10,14.19,14.19,13.9,13.9
2687,2025-06-09,13.52,13.52,13.52,13.52
2686,2025-06-06,13.52,13.52,13.52,13.52
2685,2025-06-05,13.52,13.52,13.52,13.52
2684,2025-06-04,13.52,13.52,13.52,13.52
2683,2025-06-03,13.52,13.52,13.52,13.52
2682,2025-06-02,13.52,13.52,13.52,13.52
2681,2025-05-30,13.52,13.52,13.52,13.52
2680,2025-05-29,13.52,13.52,13.52,13.52
2679,2025-05-28,13.52,13.52,13.52,13.52
2678,2025-05-27,13.52,13.52,13.52,13.52
2677,2025-05-26,13.52,13.52,13.52,13.52
2676,2025-05-23,13.52,13.52,13.52,13.52
2675,2025-05-22,13.52,13.52,13.52,13.52
2674,2025-05-21,15.53,15.53,15.53,15.53
2673,2025-05-20,13.52,13.52,13.52,13.52
2672,2025-05-19,13.52,13.52,13.52,13.52
2671,2025-05-16,13.52,13.52,13.52,13.52
2670,2025-05-15,11.79,13.71,11.79,13.71
2669,2025-05-14,13.62,13.62,13.62,13.62
2668,2025-05-13,13.62,13.62,13.62,13.62
2667,2025-05-12,13.52,13.52,13.33,13.33
2666,2025-05-09,11.79,11.79,11.79,11.79
2665,2025-05-08,13.42,13.42,11.41,12.56
2664,2025-05-07,13.42,13.42,13.42,13.42
2663,2025-05-06,12.37,12.37,12.37,12.37
2662,2025-05-05,14.48,14.48,14.48,14.48
2661,2025-04-29,14.38,15.73,13.71,14.19
2660,2025-04-28,15.73,15.73,15.73,15.73
2659,2025-04-25,15.73,15.73,15.73,15.73
2658,2025-04-24,15.73,15.73,15.73,15.73
2657,2025-04-23,15.73,15.73,15.73,15.73
2656,2025-04-22,15.73,15.73,15.73,15.73
2655,2025-04-21,15.73,15.73,15.73,15.73
2654,2025-04-18,15.73,15.73,15.73,15.73
2653,2025-04-17,15.05,15.05,15.05,15.05
2652,2025-04-16,15.05,15.05,15.05,15.05
2651,2025-04-15,15.05,15.05,15.05,15.05
2650,2025-04-14,14.38,16.21,14.38,15.25
2649,2025-04-11,15.34,15.34,15.34,15.34
2648,2025-04-10,14.67,14.67,14.67,14.67
2647,2025-04-09,14.67,14.67,14.58,14.67
2646,2025-04-08,14.1,14.1,14.1,14.1
2645,2025-04-04,14.1,14.1,14.1,14.1
2644,2025-04-03,14.1,14.1,14.1,14.1
2643,2025-04-02,14.1,14.1,14.1,14.1
2642,2025-04-01,14.1,14.1,14.1,14.1
2641,2025-03-31,14.67,14.67,14.67,14.67
2640,2025-03-28,15.44,15.44,15.44,15.44
2639,2025-03-27,15.44,15.44,15.44,15.44
2638,2025-03-26,15.53,15.53,15.53,15.53
2637,2025-03-25,15.53,15.53,15.53,15.53
2636,2025-03-24,15.53,15.53,15.53,15.53
2635,2025-03-21,15.53,15.53,15.53,15.53
2634,2025-03-20,15.53,15.53,15.53,15.53
