,Date,Open,High,Low,Close
3959,2025-10-16,17.6,18.2,17.6,18.2
3958,2025-10-15,19.3,19.3,19.3,19.3
3957,2025-10-14,17.6,17.9,17.5,17.9
3956,2025-10-08,18.6,18.6,18.4,18.4
3955,2025-10-06,17.5,18.8,17.5,18.8
3954,2025-10-03,17.3,18.7,17.3,17.9
3953,2025-10-02,17.8,18.8,17.7,18.8
3952,2025-10-01,17.0,17.8,17.0,17.8
3951,2025-09-30,16.9,16.9,16.9,16.9
3950,2025-09-25,18.6,18.6,18.6,18.6
3949,2025-09-23,17.6,18.6,17.6,18.6
3948,2025-09-17,18.8,18.8,18.8,18.8
3947,2025-09-15,18.4,18.5,18.4,18.5
3946,2025-09-11,18.5,18.5,18.5,18.5
3945,2025-09-10,18.1,18.5,18.1,18.5
3944,2025-09-05,18.3,18.7,18.3,18.6
3943,2025-09-04,18.2,18.4,17.8,18.4
3942,2025-08-29,18.6,18.6,18.5,18.6
3941,2025-08-28,18.7,18.7,17.8,18.6
3940,2025-08-27,18.8,18.8,17.9,18.7
3939,2025-08-26,19.3,19.3,19.3,19.3
3938,2025-08-25,17.5,18.4,17.5,18.4
3937,2025-08-22,17.8,18.5,17.8,18.5
3936,2025-08-21,18.0,18.4,18.0,18.3
3935,2025-08-20,18.5,18.5,17.9,18.3
3934,2025-08-19,18.5,18.6,17.9,18.5
3933,2025-08-15,17.8,18.5,17.8,18.5
3932,2025-08-13,18.0,18.7,17.9,18.7
3931,2025-08-12,17.8,18.8,17.8,18.7
3930,2025-08-08,18.9,19.0,18.6,19.0
3929,2025-08-07,18.7,18.7,18.5,18.5
3928,2025-08-04,18.9,18.9,18.7,18.7
3927,2025-08-01,17.2,18.5,17.2,18.5
3926,2025-07-29,17.7,18.6,17.7,18.0
3925,2025-07-28,18.5,18.9,18.5,18.9
3924,2025-07-25,19.0,19.0,19.0,19.0
3923,2025-07-24,19.4,19.4,18.0,19.1
3922,2025-07-23,18.2,18.5,18.2,18.5
3921,2025-07-22,18.5,18.5,17.8,18.5
3920,2025-07-21,18.5,18.5,18.5,18.5
3919,2025-07-18,19.0,19.0,19.0,19.0
3918,2025-07-17,18.9,19.1,18.9,19.0
3917,2025-07-16,19.0,19.0,19.0,19.0
3916,2025-07-15,19.0,19.0,19.0,19.0
3915,2025-07-14,17.9,18.2,17.9,18.2
3914,2025-07-11,17.8,17.8,17.8,17.8
3913,2025-07-10,17.8,17.8,17.8,17.8
3912,2025-07-09,17.8,17.89,17.8,17.8
3911,2025-07-08,17.52,17.8,17.14,17.71
3910,2025-07-07,17.52,17.52,17.52,17.52
3909,2025-07-04,17.33,17.52,17.33,17.52
3908,2025-07-03,17.33,17.33,17.33,17.33
3907,2025-07-02,17.52,17.52,17.42,17.52
3906,2025-07-01,16.85,17.71,16.85,17.42
3905,2025-06-30,17.71,17.71,17.71,17.71
3904,2025-06-27,17.52,17.52,17.52,17.52
3903,2025-06-26,17.99,17.99,17.99,17.99
3902,2025-06-25,17.42,17.42,17.42,17.42
3901,2025-06-24,17.14,17.42,17.04,17.42
3900,2025-06-23,18.18,18.18,18.18,18.18
3899,2025-06-20,17.52,18.18,17.52,18.18
3898,2025-06-19,17.52,17.52,17.52,17.52
3897,2025-06-18,16.38,17.52,16.38,17.52
3896,2025-06-17,17.52,17.61,17.52,17.61
3895,2025-06-16,17.52,17.89,17.52,17.89
3894,2025-06-13,17.61,17.61,17.61,17.61
3893,2025-06-12,17.61,17.61,17.61,17.61
3892,2025-06-11,17.61,17.61,17.61,17.61
3891,2025-06-10,18.37,18.65,17.99,18.65
3890,2025-06-09,18.37,18.37,18.37,18.37
3889,2025-06-06,18.37,18.37,18.37,18.37
3888,2025-06-05,18.37,18.37,18.37,18.37
3887,2025-06-04,18.75,18.75,18.75,18.75
3886,2025-06-03,18.75,18.75,18.75,18.75
3885,2025-06-02,17.71,17.99,17.71,17.71
3884,2025-05-30,18.18,18.18,18.18,18.18
3883,2025-05-29,18.94,18.94,17.33,17.33
3882,2025-05-28,17.33,17.52,17.33,17.52
3881,2025-05-27,16.85,17.33,16.85,17.33
3880,2025-05-26,17.71,17.71,17.71,17.71
3879,2025-05-23,17.14,17.71,17.14,17.71
3878,2025-05-22,16.57,17.89,16.57,17.8
3877,2025-05-21,17.89,17.89,17.89,17.89
3876,2025-05-20,16.76,17.89,16.76,17.89
3875,2025-05-19,18.18,18.18,18.18,18.18
3874,2025-05-16,16.76,18.18,16.76,18.18
3873,2025-05-15,17.52,17.52,17.52,17.52
3872,2025-05-14,16.38,17.71,16.38,17.71
3871,2025-05-13,17.71,17.71,17.71,17.71
3870,2025-05-12,17.61,17.71,17.61,17.71
3869,2025-05-09,17.99,17.99,17.52,17.52
3868,2025-05-08,17.52,18.37,17.52,18.37
3867,2025-05-07,18.75,18.75,18.75,18.75
3866,2025-05-06,17.52,18.94,17.52,18.94
3865,2025-05-05,17.52,17.52,17.52,17.52
3864,2025-04-29,20.64,20.64,17.52,17.89
3863,2025-04-28,18.27,18.84,18.27,18.84
3862,2025-04-25,17.52,17.52,17.52,17.52
3861,2025-04-24,17.52,17.52,17.52,17.52
3860,2025-04-23,17.04,17.52,17.04,17.52
3859,2025-04-22,16.95,17.14,16.95,17.04
3858,2025-04-21,16.76,17.14,16.76,16.85
3857,2025-04-18,18.27,18.27,18.27,18.27
3856,2025-04-17,18.27,18.27,18.27,18.27
3855,2025-04-16,18.27,18.27,18.27,18.27
3854,2025-04-15,18.27,18.27,18.27,18.27
3853,2025-04-14,18.27,18.27,18.27,18.27
3852,2025-04-11,18.18,18.18,18.18,18.18
3851,2025-04-10,17.99,18.18,17.99,18.18
3850,2025-04-09,17.42,17.42,16.57,16.57
3849,2025-04-08,17.52,17.52,17.52,17.52
3848,2025-04-04,17.52,17.52,17.52,17.52
3847,2025-04-03,18.27,18.27,18.27,18.27
3846,2025-04-02,18.27,18.27,18.27,18.27
3845,2025-04-01,18.08,18.08,18.08,18.08
3844,2025-03-31,18.56,18.94,18.18,18.94
3843,2025-03-28,18.75,18.75,18.75,18.75
3842,2025-03-27,18.08,18.75,18.08,18.75
3841,2025-03-26,19.31,19.31,19.31,19.31
3840,2025-03-25,18.65,19.88,18.65,19.31
3839,2025-03-24,20.64,20.64,20.64,20.64
3838,2025-03-21,18.84,18.84,18.84,18.84
3837,2025-03-20,18.84,18.84,18.84,18.84
3836,2025-03-19,18.18,18.65,17.99,18.65
3835,2025-03-18,18.46,18.46,17.42,17.42
3834,2025-03-17,19.41,19.41,18.46,18.46
3833,2025-03-14,22.16,22.16,18.46,20.17
3832,2025-03-13,21.68,21.68,18.46,20.26
3831,2025-03-12,19.5,20.83,18.94,19.79
3830,2025-03-11,17.42,19.13,17.42,18.94
3829,2025-03-10,17.23,17.42,17.23,17.42
3828,2025-03-07,18.75,18.75,18.75,18.75
3827,2025-03-06,19.03,19.03,19.03,19.03
3826,2025-03-05,19.03,19.03,19.03,19.03
3825,2025-03-04,19.03,19.03,19.03,19.03
3824,2025-03-03,19.13,19.13,19.13,19.13
3823,2025-02-28,19.5,19.5,19.5,19.5
3822,2025-02-27,19.5,19.5,19.5,19.5
3821,2025-02-26,19.13,19.13,19.13,19.13
3820,2025-02-25,19.13,19.13,19.13,19.13
3819,2025-02-24,19.13,19.13,19.13,19.13
3818,2025-02-21,19.13,19.13,19.13,19.13
3817,2025-02-20,19.13,19.13,19.13,19.13
3816,2025-02-19,19.13,19.13,19.13,19.13
3815,2025-02-18,19.13,19.13,19.13,19.13
3814,2025-02-17,18.94,18.94,18.65,18.65
3813,2025-02-14,17.61,18.75,17.61,17.99
3812,2025-02-13,18.94,18.94,18.94,18.94
3811,2025-02-12,18.94,18.94,18.94,18.94
3810,2025-02-11,18.94,18.94,18.94,18.94
3809,2025-02-10,17.52,18.94,17.52,18.94
3808,2025-02-07,18.94,18.94,18.46,18.46
3807,2025-02-06,19.41,19.41,19.41,19.41
3806,2025-02-05,18.94,19.41,17.99,19.41
3805,2025-02-04,19.88,19.88,19.88,19.88
3804,2025-02-03,19.88,19.88,19.88,19.88
3803,2025-01-24,19.88,19.88,19.88,19.88
3802,2025-01-23,18.46,19.88,18.46,19.88
3801,2025-01-22,18.84,18.84,18.84,18.84
3800,2025-01-21,18.75,18.75,18.75,18.75
3799,2025-01-20,18.65,18.75,18.65,18.75
3798,2025-01-17,17.42,18.84,17.42,18.75
3797,2025-01-16,18.94,18.94,18.94,18.94
3796,2025-01-15,17.71,18.94,17.71,18.94
3795,2025-01-14,19.13,19.13,19.13,19.13
3794,2025-01-13,17.71,19.22,17.71,19.22
3793,2025-01-10,19.41,19.41,19.41,19.41
3792,2025-01-09,19.41,19.41,19.41,19.41
3791,2025-01-08,19.41,19.41,19.41,19.41
3790,2025-01-07,19.41,19.41,19.41,19.41
3789,2025-01-06,19.41,19.41,19.41,19.41
3788,2025-01-03,19.41,19.41,19.41,19.41
3787,2025-01-02,19.41,19.41,19.41,19.41
3786,2024-12-31,17.33,19.41,17.33,19.41
3785,2024-12-30,17.33,18.94,17.33,18.94
3784,2024-12-27,18.94,18.94,18.94,18.94
3783,2024-12-26,18.94,18.94,18.94,18.94
3782,2024-12-25,17.14,18.94,17.14,18.94
3781,2024-12-24,18.94,18.94,18.94,18.94
3780,2024-12-23,18.94,18.94,18.94,18.94
3779,2024-12-20,18.94,18.94,18.94,18.94
3778,2024-12-19,18.94,18.94,18.94,18.94
3777,2024-12-18,18.94,18.94,18.94,18.94
3776,2024-12-17,17.14,18.94,17.14,18.94
3775,2024-12-16,18.84,18.84,18.84,18.84
3774,2024-12-13,18.84,18.84,18.84,18.84
3773,2024-12-12,17.42,18.84,17.42,18.84
3772,2024-12-11,18.84,18.84,18.84,18.84
3771,2024-12-10,18.18,18.84,18.18,18.84
3770,2024-12-09,18.08,18.84,16.85,18.84
3769,2024-12-06,18.18,18.18,18.18,18.18
3768,2024-12-05,16.57,18.18,16.57,18.18
3767,2024-12-04,18.94,18.94,16.66,16.66
3766,2024-12-03,17.52,17.52,17.04,17.42
3765,2024-12-02,17.99,18.94,17.33,18.94
3764,2024-11-29,18.94,18.94,18.94,18.94
3763,2024-11-28,18.94,18.94,18.94,18.94
3762,2024-11-27,18.94,18.94,18.94,18.94
3761,2024-11-26,18.94,18.94,18.94,18.94
3760,2024-11-25,18.94,18.94,18.94,18.94
3759,2024-11-22,18.94,18.94,18.94,18.94
3758,2024-11-21,18.94,18.94,18.94,18.94
3757,2024-11-20,18.94,18.94,18.94,18.94
3756,2024-11-19,18.94,18.94,18.94,18.94
3755,2024-11-18,18.94,18.94,18.94,18.94
3754,2024-11-15,18.94,18.94,18.94,18.94
3753,2024-11-14,18.94,18.94,18.94,18.94
3752,2024-11-13,18.94,18.94,18.94,18.94
3751,2024-11-12,18.94,18.94,18.94,18.94
3750,2024-11-11,18.94,18.94,18.94,18.94
3749,2024-11-08,18.94,18.94,18.94,18.94
3748,2024-11-07,18.94,18.94,18.94,18.94
3747,2024-11-06,18.94,18.94,18.94,18.94
3746,2024-11-05,18.94,18.94,18.94,18.94
3745,2024-11-04,18.94,18.94,18.94,18.94
3744,2024-11-01,18.94,18.94,18.94,18.94
3743,2024-10-31,18.94,18.94,18.94,18.94
3742,2024-10-30,18.94,18.94,18.94,18.94
3741,2024-10-29,18.94,18.94,18.94,18.94
3740,2024-10-28,18.46,18.46,18.46,18.46
3739,2024-10-25,18.46,18.46,18.46,18.46
3738,2024-10-24,18.46,18.46,18.46,18.46
3737,2024-10-23,18.46,18.46,18.46,18.46
3736,2024-10-22,18.46,18.46,18.46,18.46
3735,2024-10-21,18.46,18.46,18.46,18.46
3734,2024-10-18,18.46,18.46,18.46,18.46
3733,2024-10-17,18.46,18.46,18.46,18.46
3732,2024-10-16,18.46,18.46,18.46,18.46
3731,2024-10-15,18.46,18.46,18.46,18.46
3730,2024-10-14,18.46,18.46,18.46,18.46
3729,2024-10-11,18.46,18.46,18.46,18.46
3728,2024-10-10,18.46,18.46,18.46,18.46
3727,2024-10-09,18.46,18.46,18.46,18.46
3726,2024-10-08,18.46,18.46,18.46,18.46
3725,2024-10-07,18.46,18.46,18.46,18.46
3724,2024-10-04,18.46,18.46,18.46,18.46
3723,2024-10-03,18.46,18.46,18.46,18.46
3722,2024-10-02,18.46,18.46,18.46,18.46
3721,2024-10-01,18.46,18.46,18.46,18.46
3720,2024-09-30,17.8,18.94,17.8,18.46
3719,2024-09-27,19.31,19.31,18.94,18.94
3718,2024-09-26,19.79,19.79,17.99,18.94
3717,2024-09-25,18.46,18.94,18.46,18.94
3716,2024-09-24,17.52,17.99,17.52,17.99
3715,2024-09-23,17.04,17.99,17.04,17.52
3714,2024-09-20,16.85,17.04,16.85,17.04
3713,2024-09-19,16.28,16.85,16.28,16.85
3712,2024-09-18,16.38,16.38,16.38,16.38
3711,2024-09-17,16.38,16.38,16.38,16.38
3710,2024-09-16,16.38,16.38,16.38,16.38
3709,2024-09-13,15.34,16.47,15.24,16.38
3708,2024-09-12,16.76,16.76,16.76,16.76
3707,2024-09-11,16.76,16.76,16.76,16.76
3706,2024-09-10,16.76,16.76,16.76,16.76
3705,2024-09-09,16.76,16.76,16.76,16.76
3704,2024-09-06,15.91,15.91,15.91,15.91
3703,2024-09-05,17.14,17.14,17.14,17.14
3702,2024-09-04,17.14,17.14,17.14,17.14
3701,2024-08-30,17.14,17.14,17.14,17.14
3700,2024-08-29,17.14,17.14,17.14,17.14
3699,2024-08-28,15.91,16.1,15.15,16.1
3698,2024-08-27,16.47,16.47,16.47,16.47
3697,2024-08-26,15.91,16.38,15.91,16.38
3696,2024-08-23,15.91,15.91,15.91,15.91
