,Date,Open,High,Low,Close
4693,2025-10-17,35.1,35.1,34.5,35.0
4692,2025-10-16,33.0,35.1,33.0,35.1
4691,2025-10-15,32.4,33.0,32.4,33.0
4690,2025-10-14,31.5,32.5,31.0,32.4
4689,2025-10-13,31.5,31.5,31.5,31.5
4688,2025-10-10,31.6,31.6,31.5,31.5
4687,2025-10-09,31.5,31.5,31.5,31.5
4686,2025-10-08,31.6,31.6,30.8,31.0
4685,2025-10-07,31.7,31.7,31.6,31.6
4684,2025-10-06,31.2,32.3,31.2,31.6
4683,2025-10-03,31.1,31.2,31.1,31.2
4682,2025-10-02,31.5,31.5,31.1,31.1
4681,2025-10-01,31.1,31.1,31.1,31.1
4680,2025-09-30,31.1,31.1,31.1,31.1
4679,2025-09-29,31.0,31.1,31.0,31.1
4678,2025-09-26,31.8,31.8,31.0,31.0
4677,2025-09-25,31.9,31.9,31.8,31.8
4676,2025-09-24,32.0,32.4,31.7,31.7
4675,2025-09-23,31.4,31.8,31.4,31.4
4674,2025-09-22,31.01,31.4,31.01,31.4
4673,2025-09-19,31.01,31.01,31.01,31.01
4672,2025-09-18,31.1,31.1,31.01,31.01
4671,2025-09-17,31.01,31.4,30.91,30.91
4670,2025-09-16,31.1,31.1,30.81,30.91
4669,2025-09-15,30.22,30.42,30.02,30.42
4668,2025-09-12,29.83,30.02,29.83,30.02
4667,2025-09-11,29.63,29.93,29.63,29.83
4666,2025-09-10,29.63,29.93,29.63,29.63
4665,2025-09-09,29.53,29.53,29.44,29.53
4664,2025-09-08,29.44,29.53,29.44,29.44
4663,2025-09-05,29.44,29.63,29.44,29.44
4662,2025-09-04,29.44,30.22,29.44,29.44
4661,2025-09-03,29.44,29.53,29.04,29.44
4660,2025-08-29,29.53,30.42,28.45,29.53
4659,2025-08-28,30.91,31.4,29.44,29.53
4658,2025-08-27,30.91,31.89,30.91,31.89
4657,2025-08-26,31.89,31.89,31.89,31.89
4656,2025-08-25,31.59,31.59,31.59,31.59
4655,2025-08-22,31.3,31.59,31.01,31.59
4654,2025-08-21,31.4,31.4,31.4,31.4
4653,2025-08-20,31.01,31.01,30.91,31.01
4652,2025-08-19,31.4,31.4,31.01,31.01
4651,2025-08-18,31.89,32.09,31.01,31.01
4650,2025-08-15,32.38,32.38,32.38,32.38
4649,2025-08-14,31.79,32.38,31.69,32.38
4648,2025-08-13,32.77,32.77,32.28,32.77
4647,2025-08-12,32.38,32.87,32.38,32.87
4646,2025-08-11,32.58,33.46,32.58,32.87
4645,2025-08-08,34.34,34.34,34.34,34.34
4644,2025-08-07,35.62,35.62,34.15,34.34
