,Date,Open,High,Low,Close
2041,2025-10-17,33.2,33.35,31.9,31.95
2040,2025-10-16,33.8,33.9,33.2,33.2
2039,2025-10-15,32.75,34.65,32.75,33.7
2038,2025-10-14,31.9,32.85,31.9,32.5
2037,2025-10-13,31.6,31.85,31.25,31.7
2036,2025-10-10,32.3,32.35,31.7,32.1
2035,2025-10-09,31.3,32.1,31.1,32.1
2034,2025-10-08,31.4,31.65,30.7,31.1
2033,2025-10-07,31.9,31.9,30.9,31.05
2032,2025-10-06,30.25,31.55,30.0,31.55
2031,2025-10-03,30.15,30.2,29.5,29.5
2030,2025-10-02,31.1,31.5,30.15,30.15
2029,2025-10-01,31.1,31.55,30.85,30.9
2028,2025-09-30,31.25,31.25,30.3,31.1
2027,2025-09-29,30.5,31.2,30.05,31.1
2026,2025-09-26,30.95,31.1,30.4,30.4
2025,2025-09-25,31.7,31.85,30.9,30.95
2024,2025-09-24,30.1,31.6,29.55,31.6
2023,2025-09-23,29.6,30.65,29.6,29.9
2022,2025-09-22,30.35,30.4,29.3,29.5
2021,2025-09-19,30.9,30.95,30.0,30.4
2020,2025-09-18,31.1,31.25,30.3,30.8
2019,2025-09-17,31.7,31.95,31.0,31.0
2018,2025-09-16,31.55,32.85,31.5,31.7
2017,2025-09-15,31.5,32.2,30.95,31.55
2016,2025-09-12,32.1,32.3,31.55,31.6
2015,2025-09-11,32.05,32.35,30.45,32.25
2014,2025-09-10,32.85,32.95,31.8,32.45
2013,2025-09-09,31.5,32.55,31.35,32.4
2012,2025-09-08,33.3,33.35,31.2,31.2
2011,2025-09-05,35.5,35.5,33.5,33.5
2010,2025-09-04,34.7,35.0,33.8,34.9
2009,2025-09-03,35.15,35.4,34.35,34.5
2008,2025-08-29,34.0,36.3,33.65,35.0
2007,2025-08-28,33.1,34.2,32.6,34.0
2006,2025-08-27,34.5,34.7,32.5,33.3
2005,2025-08-26,33.05,34.35,32.75,34.3
2004,2025-08-25,35.95,36.0,33.45,33.5
2003,2025-08-22,38.0,38.25,35.95,35.95
2002,2025-08-21,37.0,38.9,36.7,38.65
2001,2025-08-20,35.6,36.55,33.7,36.55
2000,2025-08-19,32.7,34.2,32.7,34.2
1999,2025-08-18,32.05,32.55,31.6,32.0
1998,2025-08-15,32.8,32.8,30.9,31.1
1997,2025-08-14,29.4,30.8,29.2,30.8
1996,2025-08-13,29.3,29.55,28.0,28.8
1995,2025-08-12,29.6,29.8,29.2,29.6
1994,2025-08-11,29.5,29.95,29.0,29.6
1993,2025-08-08,29.5,29.55,28.0,29.55
1992,2025-08-07,27.85,28.95,27.4,28.95
1991,2025-08-06,26.55,27.1,26.3,27.1
1990,2025-08-05,26.65,27.65,25.6,26.5
1989,2025-08-04,25.25,26.4,25.25,26.4
1988,2025-08-01,25.9,25.9,25.0,25.8
1987,2025-07-31,25.8,26.1,25.55,25.8
1986,2025-07-30,23.8,25.25,23.5,25.25
1985,2025-07-29,25.1,25.8,23.55,23.6
1984,2025-07-28,24.35,25.15,24.0,25.1
1983,2025-07-25,23.5,24.15,23.4,24.05
1982,2025-07-24,23.9,23.9,23.15,23.5
1981,2025-07-23,22.8,23.6,22.5,23.35
1980,2025-07-22,22.15,22.6,21.8,22.5
1979,2025-07-21,21.6,22.5,21.35,22.3
1978,2025-07-18,20.9,21.65,20.8,21.35
1977,2025-07-17,21.0,21.3,20.75,20.9
1976,2025-07-16,20.75,21.0,20.5,20.85
1975,2025-07-15,21.15,21.2,20.75,20.75
1974,2025-07-14,20.25,21.2,20.2,21.0
1973,2025-07-11,20.2,20.35,19.9,20.15
1972,2025-07-10,20.15,20.25,19.9,20.15
1971,2025-07-09,19.8,20.15,19.7,20.05
1970,2025-07-08,19.35,19.6,19.05,19.6
1969,2025-07-07,18.9,19.35,18.9,19.3
1968,2025-07-04,18.7,18.85,18.6,18.75
1967,2025-07-03,18.55,18.85,18.5,18.65
1966,2025-07-02,18.45,18.6,18.35,18.6
1965,2025-07-01,18.5,18.6,18.4,18.45
1964,2025-06-30,18.55,18.65,18.5,18.5
1963,2025-06-27,18.5,18.75,18.45,18.5
1962,2025-06-26,18.5,18.55,18.35,18.35
1961,2025-06-25,18.6,18.7,18.4,18.4
1960,2025-06-24,18.55,18.75,18.45,18.55
1959,2025-06-23,18.35,18.5,18.25,18.4
1958,2025-06-20,18.6,18.85,18.45,18.45
1957,2025-06-19,18.5,18.75,18.5,18.5
1956,2025-06-18,18.8,18.95,18.5,18.5
1955,2025-06-17,18.9,19.0,18.6,18.8
1954,2025-06-16,18.15,18.8,18.15,18.8
1953,2025-06-13,18.05,18.4,17.9,18.15
1952,2025-06-12,18.05,18.3,18.05,18.2
1951,2025-06-11,18.05,18.05,17.9,18.0
1950,2025-06-10,17.9,18.2,17.85,17.95
1949,2025-06-09,17.75,17.9,17.65,17.85
1948,2025-06-06,18.1,18.1,17.8,17.8
1947,2025-06-05,18.2,18.4,18.05,18.1
1946,2025-06-04,18.3,18.55,18.2,18.25
1945,2025-06-03,18.1,18.4,18.0,18.3
1944,2025-06-02,17.95,18.15,17.8,18.0
1943,2025-05-30,18.25,18.3,17.9,17.95
1942,2025-05-29,18.1,18.55,18.0,18.15
1941,2025-05-28,18.2,18.3,18.0,18.0
1940,2025-05-27,18.15,18.3,18.05,18.1
1939,2025-05-26,18.1,18.2,17.3,18.15
1938,2025-05-23,18.25,18.35,18.1,18.1
