,Date,Open,High,Low,Close
2375,2025-10-17,25.4,25.45,25.35,25.4
2374,2025-10-16,25.4,25.4,25.1,25.4
2373,2025-10-15,25.5,25.6,25.4,25.4
2372,2025-10-14,25.55,25.55,25.5,25.5
2371,2025-10-13,25.55,25.55,25.5,25.55
2370,2025-10-10,25.5,25.55,25.5,25.55
2369,2025-10-09,25.55,25.55,25.5,25.55
2368,2025-10-08,25.3,25.55,25.3,25.55
2367,2025-10-07,25.55,25.6,25.55,25.55
2366,2025-10-06,25.7,25.7,25.7,25.7
2365,2025-10-03,25.45,25.8,25.45,25.8
2364,2025-10-02,25.5,25.5,25.4,25.45
2363,2025-10-01,25.3,25.55,25.3,25.5
2362,2025-09-30,25.5,25.5,25.4,25.4
2361,2025-09-29,25.4,25.55,25.4,25.5
2360,2025-09-26,25.75,25.95,25.75,25.75
2359,2025-09-25,25.55,25.75,25.55,25.75
2358,2025-09-24,25.45,26.0,25.4,25.55
2357,2025-09-23,25.5,25.5,25.4,25.45
2356,2025-09-22,26.0,26.0,25.45,25.5
2355,2025-09-19,26.0,26.0,25.45,25.45
2354,2025-09-18,25.4,25.5,25.4,25.45
2353,2025-09-17,25.4,25.4,25.4,25.4
2352,2025-09-16,25.5,25.5,25.3,25.4
2351,2025-09-15,25.4,25.5,25.2,25.5
2350,2025-09-12,25.5,25.5,25.4,25.5
2349,2025-09-11,25.5,25.5,25.4,25.5
2348,2025-09-10,25.5,25.5,25.5,25.5
2347,2025-09-09,25.5,25.55,25.5,25.5
2346,2025-09-08,25.5,25.5,25.4,25.5
2345,2025-09-05,25.5,25.5,25.5,25.5
2344,2025-09-04,25.5,25.55,25.5,25.5
2343,2025-09-03,25.5,25.6,25.5,25.5
2342,2025-08-29,25.55,25.55,25.5,25.5
2341,2025-08-28,25.7,25.7,25.5,25.5
2340,2025-08-27,25.45,25.7,25.45,25.7
2339,2025-08-26,25.8,25.8,25.15,25.5
2338,2025-08-25,25.5,25.7,25.15,25.6
2337,2025-08-22,25.6,25.6,24.5,25.6
2336,2025-08-21,25.55,25.65,25.55,25.55
2335,2025-08-20,25.05,25.6,25.0,25.55
2334,2025-08-19,25.75,25.75,25.55,25.6
2333,2025-08-18,25.65,25.65,25.6,25.6
2332,2025-08-15,25.85,25.85,25.6,25.6
2331,2025-08-14,25.65,26.1,25.65,25.85
2330,2025-08-13,25.6,25.7,25.6,25.65
2329,2025-08-12,25.65,25.7,25.6,25.6
2328,2025-08-11,25.7,25.75,25.6,25.7
2327,2025-08-08,25.7,26.05,25.65,25.65
2326,2025-08-07,25.65,25.75,25.5,25.7
2325,2025-08-06,25.65,25.65,25.6,25.65
2324,2025-08-05,25.7,25.75,25.65,25.65
2323,2025-08-04,25.7,25.75,25.6,25.7
2322,2025-08-01,25.6,25.85,25.6,25.65
2321,2025-07-31,25.6,25.65,25.5,25.6
2320,2025-07-30,25.7,25.75,25.65,25.65
2319,2025-07-29,25.75,25.75,25.65,25.65
2318,2025-07-28,25.85,25.85,25.6,25.7
2317,2025-07-25,25.55,25.9,25.55,25.75
2316,2025-07-24,25.55,26.0,25.55,25.55
2315,2025-07-23,25.65,25.65,25.5,25.55
2314,2025-07-22,26.0,26.0,25.6,25.65
2313,2025-07-21,25.65,25.7,25.6,25.65
2312,2025-07-18,25.85,25.85,25.6,25.65
2311,2025-07-17,26.6,26.6,25.8,25.85
2310,2025-07-16,26.15,26.35,26.15,26.2
2309,2025-07-15,25.85,25.9,25.65,25.7
2308,2025-07-14,25.25,26.0,25.1,25.9
2307,2025-07-11,25.4,25.4,25.0,25.0
2306,2025-07-10,25.2,25.4,25.0,25.4
2305,2025-07-09,25.2,25.2,25.0,25.0
2304,2025-07-08,25.2,25.3,25.2,25.2
2303,2025-07-07,25.2,25.85,25.1,25.25
2302,2025-07-04,25.35,25.35,25.2,25.2
2301,2025-07-03,25.4,25.95,25.35,25.9
2300,2025-07-02,25.35,25.4,25.3,25.4
2299,2025-07-01,25.45,25.65,25.35,25.35
2298,2025-06-30,25.4,25.4,25.4,25.4
2297,2025-06-27,25.3,25.5,25.1,25.4
2296,2025-06-26,25.3,25.3,25.25,25.3
2295,2025-06-25,25.3,25.3,25.3,25.3
2294,2025-06-24,25.3,25.4,25.3,25.3
2293,2025-06-23,25.3,25.3,25.3,25.3
2292,2025-06-20,25.3,25.6,25.3,25.3
2291,2025-06-19,25.2,25.5,25.2,25.4
2290,2025-06-18,25.05,25.3,25.05,25.2
2289,2025-06-17,24.8,25.05,24.8,25.05
2288,2025-06-16,24.6,24.8,24.6,24.8
2287,2025-06-13,24.55,24.6,24.55,24.6
2286,2025-06-12,24.55,24.6,24.55,24.6
2285,2025-06-11,24.7,24.75,24.55,24.55
2284,2025-06-10,24.8,24.85,24.5,24.85
2283,2025-06-09,25.0,25.0,24.4,24.95
2282,2025-06-06,26.2,26.2,24.5,25.0
2281,2025-06-05,24.45,24.55,24.3,24.55
2280,2025-06-04,24.5,24.5,24.45,24.45
2279,2025-06-03,24.5,24.75,24.25,24.6
2278,2025-06-02,24.5,24.5,24.15,24.15
2277,2025-05-30,24.5,24.5,24.5,24.5
2276,2025-05-29,24.45,24.5,24.4,24.5
2275,2025-05-28,24.3,24.5,24.1,24.45
2274,2025-05-27,24.05,24.3,24.05,24.1
2273,2025-05-26,24.1,24.3,23.8,23.95
2272,2025-05-23,24.4,24.4,24.0,24.05
2271,2025-05-22,24.15,24.5,22.86,24.4
2270,2025-05-21,24.25,24.35,24.25,24.35
2269,2025-05-20,24.2,24.4,24.1,24.25
2268,2025-05-19,24.3,24.3,24.1,24.2
2267,2025-05-16,24.4,24.4,24.3,24.3
2266,2025-05-15,24.45,24.45,24.35,24.4
2265,2025-05-14,24.5,24.5,24.45,24.45
2264,2025-05-13,24.5,24.6,24.3,24.5
2263,2025-05-12,24.8,24.8,24.3,24.3
2262,2025-05-09,24.3,24.3,24.2,24.2
2261,2025-05-08,24.4,24.5,24.3,24.35
2260,2025-05-07,24.4,24.5,24.35,24.5
2259,2025-05-06,24.5,24.5,24.35,24.5
2258,2025-05-05,24.75,24.8,24.3,24.5
2257,2025-04-29,24.4,24.8,23.9,24.8
2256,2025-04-28,24.8,24.8,24.4,24.4
2255,2025-04-25,24.5,24.89,24.5,24.8
2254,2025-04-24,24.5,24.89,24.5,24.8
2253,2025-04-23,24.4,24.5,24.4,24.5
2252,2025-04-22,24.89,24.89,24.25,24.3
2251,2025-04-21,24.94,24.94,24.84,24.89
2250,2025-04-18,25.04,25.24,24.8,24.89
2249,2025-04-17,24.8,25.14,24.25,25.14
2248,2025-04-16,24.5,24.8,24.3,24.8
2247,2025-04-15,24.84,24.84,24.45,24.5
2246,2025-04-14,25.29,25.39,24.84,24.89
2245,2025-04-11,25.54,25.54,24.8,25.29
2244,2025-04-10,24.4,25.69,24.4,25.54
2243,2025-04-09,22.86,24.8,22.86,24.3
2242,2025-04-08,25.54,25.54,24.0,24.0
2241,2025-04-04,24.6,25.79,24.3,25.79
2240,2025-04-03,25.59,25.59,24.6,24.6
2239,2025-04-02,25.89,26.13,25.79,25.79
2238,2025-04-01,26.13,26.13,25.89,25.94
2237,2025-03-31,26.23,26.23,26.13,26.13
2236,2025-03-28,25.99,26.28,25.99,26.28
2235,2025-03-27,26.13,26.13,25.89,25.89
2234,2025-03-26,26.28,26.28,25.89,26.13
2233,2025-03-25,25.89,26.23,24.84,26.13
2232,2025-03-24,26.18,26.23,26.18,26.23
2231,2025-03-21,26.23,26.23,26.23,26.23
2230,2025-03-20,26.08,26.28,26.08,26.28
2229,2025-03-19,26.23,26.68,26.03,26.08
2228,2025-03-18,26.18,26.23,26.08,26.23
2227,2025-03-17,25.89,26.23,25.84,26.23
2226,2025-03-14,26.18,26.18,25.89,25.89
2225,2025-03-13,26.03,26.38,25.94,26.18
2224,2025-03-12,26.03,26.38,26.03,26.03
2223,2025-03-11,26.08,26.08,25.84,26.03
2222,2025-03-10,26.18,26.38,26.08,26.18
2221,2025-03-07,26.18,26.28,26.08,26.13
2220,2025-03-06,26.28,26.28,26.18,26.18
2219,2025-03-05,26.58,26.68,26.18,26.18
2218,2025-03-04,26.13,26.68,26.03,26.68
2217,2025-03-03,26.23,26.23,26.18,26.18
2216,2025-02-28,26.18,26.28,26.18,26.28
2215,2025-02-27,26.38,26.38,26.08,26.13
2214,2025-02-26,26.38,26.38,26.13,26.28
2213,2025-02-25,26.83,26.83,25.59,25.59
2212,2025-02-24,26.78,26.88,26.28,26.88
2211,2025-02-21,26.93,26.93,26.58,26.93
2210,2025-02-20,26.98,26.98,26.28,26.93
2209,2025-02-19,27.08,27.08,26.68,26.98
2208,2025-02-18,27.13,27.13,26.78,26.98
2207,2025-02-17,27.32,27.32,27.13,27.13
2206,2025-02-14,26.78,27.37,26.13,27.32
2205,2025-02-13,26.58,27.52,26.58,27.47
2204,2025-02-12,26.78,26.78,26.38,26.73
2203,2025-02-11,27.18,27.18,27.13,27.13
2202,2025-02-10,26.43,27.37,26.18,27.37
2201,2025-02-07,26.43,27.67,26.43,27.52
2200,2025-02-06,27.18,27.22,26.33,27.22
2199,2025-02-05,27.57,27.57,26.08,27.52
2198,2025-02-04,27.67,27.67,27.62,27.62
2197,2025-02-03,27.77,27.77,26.98,27.67
2196,2025-01-24,26.48,28.07,26.48,27.77
2195,2025-01-23,26.38,26.38,26.28,26.28
2194,2025-01-22,26.28,26.48,26.28,26.48
2193,2025-01-21,26.28,26.38,26.28,26.28
2192,2025-01-20,26.28,26.33,26.28,26.28
2191,2025-01-17,26.03,26.33,26.03,26.33
2190,2025-01-16,26.28,26.28,25.99,26.08
2189,2025-01-15,25.89,26.38,25.79,26.38
2188,2025-01-14,26.28,26.28,26.28,26.28
