,Date,Open,High,Low,Close
2732,2025-10-17,17.6,17.8,17.6,17.7
2731,2025-10-16,17.6,17.9,17.5,17.6
2730,2025-10-15,17.9,18.0,17.9,17.9
2729,2025-10-14,18.0,18.0,17.8,18.0
2728,2025-10-13,18.2,18.2,18.0,18.0
2727,2025-10-10,18.1,18.1,18.0,18.1
2726,2025-10-09,18.1,18.2,18.1,18.1
2725,2025-10-08,18.1,18.1,18.0,18.1
2724,2025-10-07,18.1,18.1,18.0,18.1
2723,2025-10-06,17.8,18.2,17.8,18.2
2722,2025-10-03,18.0,18.1,18.0,18.1
2721,2025-10-02,18.3,18.3,18.1,18.1
2720,2025-10-01,18.3,18.3,18.3,18.3
2719,2025-09-30,18.4,18.4,18.1,18.3
2718,2025-09-29,18.3,18.4,18.3,18.4
2717,2025-09-26,18.5,18.5,18.3,18.4
2716,2025-09-25,18.5,18.6,18.3,18.6
2715,2025-09-24,18.5,18.6,18.5,18.5
2714,2025-09-23,18.4,18.6,18.4,18.6
2713,2025-09-22,18.4,18.5,18.3,18.5
2712,2025-09-19,18.6,18.6,18.4,18.6
2711,2025-09-18,18.6,18.7,18.4,18.6
2710,2025-09-17,18.6,18.6,18.3,18.5
2709,2025-09-16,18.7,18.7,18.5,18.5
2708,2025-09-15,18.6,18.6,18.4,18.5
2707,2025-09-12,18.3,18.5,18.3,18.3
2706,2025-09-11,18.7,18.7,18.0,18.6
2705,2025-09-10,18.9,19.3,18.5,18.8
2704,2025-09-09,19.3,19.3,18.7,18.8
2703,2025-09-08,19.0,19.3,19.0,19.0
2702,2025-09-05,19.0,19.3,19.0,19.3
2701,2025-09-04,19.2,19.2,18.9,19.2
2700,2025-09-03,19.2,19.3,19.1,19.3
2699,2025-08-29,19.4,19.4,19.0,19.3
2698,2025-08-28,19.5,19.5,19.4,19.4
2697,2025-08-27,18.9,19.2,18.8,19.1
2696,2025-08-26,18.8,19.1,18.8,19.1
2695,2025-08-25,18.8,19.0,18.7,18.7
2694,2025-08-22,19.7,19.7,19.1,19.2
2693,2025-08-21,19.2,19.4,19.2,19.4
2692,2025-08-20,19.5,19.5,19.2,19.3
2691,2025-08-19,19.4,19.6,19.4,19.4
2690,2025-08-18,19.3,19.6,19.3,19.6
2689,2025-08-15,19.7,19.7,19.3,19.6
2688,2025-08-14,19.7,19.7,19.6,19.7
2687,2025-08-13,20.0,20.0,19.7,19.7
2686,2025-08-12,19.8,19.9,19.7,19.8
2685,2025-08-11,19.8,19.8,19.6,19.8
2684,2025-08-08,19.9,19.9,19.8,19.8
2683,2025-08-07,19.9,20.0,19.8,19.8
2682,2025-08-06,19.9,19.9,19.7,19.8
2681,2025-08-05,20.1,20.1,19.9,19.9
2680,2025-08-04,19.9,20.9,19.8,20.0
2679,2025-08-01,20.0,20.0,19.8,20.0
2678,2025-07-31,19.8,20.2,19.6,19.9
2677,2025-07-30,20.0,20.0,19.5,19.8
2676,2025-07-29,20.9,21.0,19.8,20.0
2675,2025-07-28,21.0,21.0,20.7,20.9
2674,2025-07-25,21.0,21.2,20.9,21.1
2673,2025-07-24,21.2,21.2,20.9,21.0
2672,2025-07-23,21.0,21.3,20.9,21.3
2671,2025-07-22,21.1,21.3,20.8,21.3
2670,2025-07-21,21.6,21.6,20.5,21.3
2669,2025-07-18,22.2,22.3,21.8,21.9
2668,2025-07-17,22.4,22.4,22.2,22.4
2667,2025-07-16,22.8,22.8,22.1,22.4
2666,2025-07-15,22.4,23.2,22.2,22.6
2665,2025-07-14,23.1,23.1,22.0,22.3
2664,2025-07-11,24.0,24.3,22.5,23.2
2663,2025-07-10,28.7,28.7,22.5,24.1
2662,2025-07-09,25.46,25.64,21.43,25.2
2661,2025-07-08,24.59,25.29,24.59,25.03
2660,2025-07-07,22.57,24.67,22.57,24.59
2659,2025-07-04,22.48,22.65,22.39,22.48
2658,2025-07-03,22.83,22.83,22.3,22.48
2657,2025-07-02,22.04,23.18,21.86,22.74
2656,2025-07-01,22.83,22.83,21.78,22.04
2655,2025-06-30,21.95,22.57,21.78,22.39
2654,2025-06-27,20.37,21.86,19.76,21.25
2653,2025-06-26,19.85,19.85,19.49,19.76
2652,2025-06-25,19.32,19.85,19.32,19.85
2651,2025-06-24,18.97,19.58,18.97,19.41
2650,2025-06-23,19.41,19.41,18.79,18.97
2649,2025-06-20,19.05,19.05,18.88,18.97
2648,2025-06-19,18.88,19.14,18.7,19.05
2647,2025-06-18,19.05,19.05,18.79,19.05
2646,2025-06-17,18.88,19.41,18.79,18.97
2645,2025-06-16,18.97,18.97,18.7,18.88
2644,2025-06-13,19.05,19.05,18.62,19.05
