,Date,Open,High,Low,Close
4430,2025-10-17,27.5,27.9,27.0,27.0
4429,2025-10-16,28.4,28.65,27.5,27.5
4428,2025-10-15,28.2,29.4,28.15,28.25
4427,2025-10-14,28.25,28.95,27.55,27.8
4426,2025-10-13,26.8,28.2,26.8,28.05
4425,2025-10-10,27.3,28.2,27.15,27.3
4424,2025-10-09,26.65,27.7,26.65,26.85
4423,2025-10-08,28.5,28.5,26.75,26.9
4422,2025-10-07,29.2,29.2,27.95,27.95
4421,2025-10-06,27.9,29.25,27.85,29.0
4420,2025-10-03,27.65,28.5,27.35,27.8
4419,2025-10-02,29.75,29.75,28.0,28.05
4418,2025-10-01,29.8,29.8,29.3,29.45
4417,2025-09-30,30.6,30.75,28.7,29.5
4416,2025-09-29,31.0,32.45,30.3,30.35
4415,2025-09-26,32.6,33.15,30.9,30.9
4414,2025-09-25,30.35,32.15,30.1,32.15
4413,2025-09-24,29.2,30.05,28.75,30.05
4412,2025-09-23,29.05,29.9,28.75,29.4
4411,2025-09-22,30.3,30.3,28.0,29.3
4410,2025-09-19,29.8,30.4,29.5,30.0
4409,2025-09-18,29.5,29.65,29.05,29.45
4408,2025-09-17,29.95,30.45,29.2,29.2
4407,2025-09-16,32.25,32.25,30.2,30.2
4406,2025-09-15,30.3,31.8,29.9,31.6
4405,2025-09-12,30.45,30.8,29.75,30.3
4404,2025-09-11,30.6,30.6,28.6,29.9
4403,2025-09-10,29.2,30.9,28.05,30.5
4402,2025-09-09,28.0,29.0,27.7,29.0
4401,2025-09-08,30.6,30.8,28.85,28.85
4400,2025-09-05,32.95,33.05,31.0,31.0
4399,2025-09-04,34.3,34.3,32.35,32.8
4398,2025-09-03,29.95,32.1,29.7,32.1
4397,2025-08-29,31.25,31.8,30.0,30.0
4396,2025-08-28,31.9,32.15,31.0,31.15
4395,2025-08-27,32.0,32.2,30.15,31.85
4394,2025-08-26,29.5,31.5,29.15,31.3
4393,2025-08-25,32.1,32.4,29.55,29.55
4392,2025-08-22,33.3,33.5,31.75,31.75
4391,2025-08-21,36.0,36.0,33.75,34.1
4390,2025-08-20,34.35,36.05,32.6,35.1
4389,2025-08-19,37.5,38.65,34.0,35.0
4388,2025-08-18,35.0,36.2,33.9,36.2
4387,2025-08-15,33.85,33.85,33.0,33.85
4386,2025-08-14,31.65,31.65,31.65,31.65
4385,2025-08-13,29.2,29.6,28.3,29.6
4384,2025-08-12,26.05,27.7,26.05,27.7
4383,2025-08-11,25.3,26.3,25.2,25.9
4382,2025-08-08,25.95,26.25,24.95,25.1
4381,2025-08-07,26.0,26.15,24.95,25.95
4380,2025-08-06,25.0,25.5,24.3,25.35
4379,2025-08-05,27.0,27.0,24.5,24.6
4378,2025-08-04,25.2,26.55,25.1,26.3
4377,2025-08-01,26.15,27.9,24.85,25.75
4376,2025-07-31,25.25,26.1,24.35,26.1
4375,2025-07-30,23.2,24.4,22.55,24.4
4374,2025-07-29,26.25,26.25,22.85,22.85
4373,2025-07-28,24.05,24.55,24.0,24.55
4372,2025-07-25,22.2,22.95,21.9,22.95
4371,2025-07-24,20.25,21.45,19.95,21.45
4370,2025-07-23,20.2,20.6,19.65,20.05
4369,2025-07-22,18.0,19.4,17.75,19.4
4368,2025-07-21,18.65,18.95,18.1,18.15
4367,2025-07-18,17.25,18.2,17.0,17.95
4366,2025-07-17,17.25,17.65,17.0,17.2
4365,2025-07-16,16.75,17.7,16.75,17.2
4364,2025-07-15,17.1,17.35,16.85,16.85
4363,2025-07-14,17.1,17.25,16.7,16.9
4362,2025-07-11,17.45,17.45,16.95,17.0
4361,2025-07-10,16.85,17.8,16.6,17.3
4360,2025-07-09,17.15,17.2,16.6,16.7
4359,2025-07-08,16.8,17.25,16.55,16.9
4358,2025-07-07,16.9,17.05,16.4,16.55
4357,2025-07-04,17.4,17.4,16.8,16.8
4356,2025-07-03,15.9,17.0,15.8,17.0
4355,2025-07-02,15.8,16.1,15.65,15.9
4354,2025-07-01,16.15,16.15,15.75,15.75
4353,2025-06-30,15.65,16.25,15.65,16.05
4352,2025-06-27,15.9,15.95,15.6,15.6
4351,2025-06-26,15.9,15.95,15.45,15.8
4350,2025-06-25,16.1,16.15,15.85,15.85
4349,2025-06-24,16.3,16.35,16.05,16.05
4348,2025-06-23,16.4,16.65,16.2,16.2
4347,2025-06-20,16.3,16.6,16.0,16.25
4346,2025-06-19,16.7,16.8,16.25,16.25
4345,2025-06-18,16.65,16.85,16.55,16.55
4344,2025-06-17,16.85,16.85,16.35,16.5
4343,2025-06-16,16.5,17.3,16.5,16.75
4342,2025-06-13,16.25,16.65,16.05,16.4
4341,2025-06-12,16.25,16.6,16.15,16.25
4340,2025-06-11,16.59,16.59,16.2,16.25
4339,2025-06-10,16.35,16.64,16.3,16.35
4338,2025-06-09,17.17,17.17,16.35,16.49
4337,2025-06-06,16.93,17.27,16.83,17.12
4336,2025-06-05,17.46,17.46,16.93,16.93
4335,2025-06-04,17.46,17.51,17.17,17.46
4334,2025-06-03,17.51,17.51,17.03,17.51
4333,2025-06-02,17.32,17.46,16.69,17.46
4332,2025-05-30,16.84,17.27,16.03,16.61
4331,2025-05-29,18.39,18.43,17.03,17.03
4330,2025-05-28,19.52,19.56,18.16,18.32
4329,2025-05-27,18.08,19.21,17.73,19.13
4328,2025-05-26,17.38,18.24,16.76,17.97
4327,2025-05-23,17.0,17.66,16.8,17.07
4326,2025-05-22,18.01,18.2,16.76,17.03
4325,2025-05-21,17.69,18.01,17.07,17.85
4324,2025-05-20,16.84,17.85,16.65,17.54
4323,2025-05-19,16.69,17.27,16.61,16.69
4322,2025-05-16,17.07,17.23,16.49,16.69
4321,2025-05-15,17.0,17.46,16.3,17.23
4320,2025-05-14,18.55,18.55,17.07,17.07
4319,2025-05-13,17.85,18.63,17.69,18.35
4318,2025-05-12,18.08,18.08,17.42,17.69
4317,2025-05-09,17.77,18.47,17.66,17.93
4316,2025-05-08,18.04,18.66,17.77,17.77
4315,2025-05-07,17.97,18.24,17.54,18.16
4314,2025-05-06,18.98,18.98,17.73,17.89
4313,2025-05-05,17.66,18.59,17.46,18.59
4312,2025-04-29,16.22,17.38,16.18,17.38
4311,2025-04-28,15.91,16.3,15.68,16.26
4310,2025-04-25,15.41,15.95,15.13,15.91
4309,2025-04-24,14.71,15.52,14.63,15.48
4308,2025-04-23,14.24,14.75,14.2,14.63
4307,2025-04-22,14.05,14.2,13.19,14.2
4306,2025-04-21,13.66,14.16,13.54,14.16
4305,2025-04-18,13.12,13.81,12.92,13.7
4304,2025-04-17,12.84,13.08,12.34,13.04
4303,2025-04-16,12.65,13.27,12.65,13.04
4302,2025-04-15,12.34,12.88,12.15,12.88
4301,2025-04-14,12.34,12.53,12.03,12.53
4300,2025-04-11,12.03,12.3,11.37,12.26
4299,2025-04-10,11.56,11.56,11.56,11.56
4298,2025-04-09,10.83,11.02,10.83,10.83
4297,2025-04-08,11.64,11.8,11.64,11.64
4296,2025-04-04,11.91,12.65,11.91,12.49
4295,2025-04-03,12.81,13.04,12.81,12.81
4294,2025-04-02,13.62,13.85,13.62,13.74
4293,2025-04-01,13.81,13.85,13.66,13.78
4292,2025-03-31,13.89,13.93,13.66,13.7
4291,2025-03-28,13.66,14.05,13.46,14.05
4290,2025-03-27,13.66,13.78,13.54,13.58
4289,2025-03-26,13.89,14.01,13.7,13.7
4288,2025-03-25,13.66,13.93,13.58,13.85
4287,2025-03-24,13.74,13.85,13.46,13.58
4286,2025-03-21,13.7,13.93,13.7,13.78
4285,2025-03-20,13.97,13.97,13.66,13.81
4284,2025-03-19,13.78,13.97,13.7,13.93
4283,2025-03-18,13.66,13.81,13.66,13.78
4282,2025-03-17,13.85,13.85,13.58,13.62
4281,2025-03-14,14.09,14.2,13.74,13.74
4280,2025-03-13,14.28,14.32,14.01,14.2
4279,2025-03-12,14.16,14.32,14.12,14.28
4278,2025-03-11,14.24,14.32,14.05,14.12
4277,2025-03-10,14.75,14.75,14.36,14.44
4276,2025-03-07,14.44,14.82,14.44,14.63
4275,2025-03-06,14.2,14.55,14.2,14.44
4274,2025-03-05,14.2,14.47,14.2,14.2
4273,2025-03-04,14.16,14.4,14.01,14.36
4272,2025-03-03,14.2,14.55,14.12,14.36
4271,2025-02-28,14.24,14.28,14.12,14.24
4270,2025-02-27,14.44,14.47,14.05,14.32
4269,2025-02-26,14.24,14.51,14.24,14.44
4268,2025-02-25,14.01,14.24,13.93,14.24
4267,2025-02-24,14.12,14.2,13.89,13.97
4266,2025-02-21,14.16,14.2,13.97,14.12
4265,2025-02-20,13.97,14.16,13.97,14.12
4264,2025-02-19,13.93,14.05,13.85,13.97
4263,2025-02-18,14.36,14.4,13.85,13.85
4262,2025-02-17,14.44,14.55,14.32,14.36
4261,2025-02-14,14.44,14.51,14.32,14.36
4260,2025-02-13,14.09,14.55,14.01,14.4
4259,2025-02-12,13.74,14.09,13.74,14.01
4258,2025-02-11,13.58,13.81,13.58,13.74
4257,2025-02-10,13.97,13.97,13.58,13.58
4256,2025-02-07,14.05,14.12,13.89,14.01
4255,2025-02-06,14.09,14.2,14.01,14.05
4254,2025-02-05,13.97,14.16,13.93,14.09
4253,2025-02-04,13.66,13.97,13.62,13.93
4252,2025-02-03,13.74,13.81,13.54,13.62
4251,2025-01-24,13.12,13.58,13.12,13.58
4250,2025-01-23,13.04,13.19,12.96,13.19
4249,2025-01-22,12.96,13.12,12.96,12.96
4248,2025-01-21,13.08,13.31,12.96,12.96
4247,2025-01-20,13.04,13.15,12.88,13.04
4246,2025-01-17,13.04,13.15,12.96,13.0
4245,2025-01-16,12.88,13.12,12.73,12.88
4244,2025-01-15,12.34,12.88,12.34,12.81
4243,2025-01-14,12.22,12.53,12.18,12.46
4242,2025-01-13,12.26,12.3,11.95,12.15
4241,2025-01-10,12.38,12.42,12.15,12.15
4240,2025-01-09,12.34,12.46,12.18,12.34
4239,2025-01-08,12.11,12.42,12.11,12.34
4238,2025-01-07,12.18,12.26,12.03,12.11
4237,2025-01-06,12.26,12.42,12.07,12.11
4236,2025-01-03,12.38,12.46,12.26,12.26
4235,2025-01-02,12.34,12.42,12.26,12.42
4234,2024-12-31,12.42,12.42,12.22,12.34
4233,2024-12-30,12.53,12.53,12.38,12.38
4232,2024-12-27,12.65,12.69,12.46,12.57
4231,2024-12-26,12.57,12.69,12.57,12.61
4230,2024-12-25,12.61,12.65,12.46,12.57
4229,2024-12-24,12.3,12.73,12.18,12.53
4228,2024-12-23,12.34,12.42,12.22,12.3
4227,2024-12-20,12.07,12.53,12.07,12.26
4226,2024-12-19,12.18,12.18,11.91,12.03
4225,2024-12-18,12.26,12.26,12.15,12.22
4224,2024-12-17,12.22,12.3,12.18,12.22
4223,2024-12-16,12.3,12.34,12.18,12.22
4222,2024-12-13,12.38,12.38,12.18,12.26
4221,2024-12-12,12.42,12.46,12.34,12.34
4220,2024-12-11,12.46,12.53,12.38,12.38
4219,2024-12-10,12.61,12.65,12.38,12.46
4218,2024-12-09,12.57,12.69,12.53,12.61
4217,2024-12-06,12.65,12.73,12.53,12.53
4216,2024-12-05,12.42,12.65,12.26,12.57
4215,2024-12-04,12.57,12.61,12.15,12.38
4214,2024-12-03,12.46,12.77,12.46,12.49
4213,2024-12-02,12.49,12.61,12.42,12.46
4212,2024-11-29,12.38,12.53,12.38,12.42
4211,2024-11-28,12.49,12.57,12.38,12.38
4210,2024-11-27,12.46,12.61,12.38,12.46
4209,2024-11-26,12.42,12.53,12.38,12.46
4208,2024-11-25,12.26,12.46,12.26,12.38
4207,2024-11-22,12.34,12.42,12.11,12.22
4206,2024-11-21,12.26,12.46,12.18,12.34
4205,2024-11-20,12.42,12.65,12.03,12.18
4204,2024-11-19,13.43,13.66,12.42,12.46
4203,2024-11-18,13.54,13.78,13.35,13.35
4202,2024-11-15,13.81,14.01,13.5,13.54
4201,2024-11-14,13.39,14.05,13.27,13.89
4200,2024-11-13,13.43,13.58,13.15,13.31
4199,2024-11-12,13.74,13.81,13.39,13.43
4198,2024-11-11,13.19,13.7,13.19,13.58
4197,2024-11-08,13.31,13.35,13.12,13.15
4196,2024-11-07,13.23,13.35,13.19,13.27
4195,2024-11-06,13.04,13.31,12.92,13.23
4194,2024-11-05,12.92,13.04,12.88,12.88
4193,2024-11-04,12.96,13.08,12.77,12.96
4192,2024-11-01,13.12,13.19,12.96,12.96
4191,2024-10-31,13.19,13.19,13.04,13.12
4190,2024-10-30,13.23,13.27,13.08,13.15
4189,2024-10-29,13.04,13.31,13.0,13.19
4188,2024-10-28,12.96,13.04,12.92,13.0
4187,2024-10-25,12.92,13.04,12.88,12.92
4186,2024-10-24,13.12,13.12,12.88,12.88
4185,2024-10-23,13.12,13.15,13.04,13.08
4184,2024-10-22,13.08,13.27,13.04,13.12
4183,2024-10-21,13.43,13.43,13.15,13.15
4182,2024-10-18,13.43,13.54,13.35,13.39
4181,2024-10-17,13.43,13.5,13.27,13.43
4180,2024-10-16,13.35,13.5,13.27,13.43
4179,2024-10-15,13.58,13.66,13.35,13.35
4178,2024-10-14,13.78,13.81,13.54,13.58
4177,2024-10-11,13.39,13.74,13.39,13.66
4176,2024-10-10,13.54,13.58,13.39,13.39
4175,2024-10-09,13.5,13.58,13.43,13.5
4174,2024-10-08,13.31,13.54,13.23,13.43
4173,2024-10-07,13.31,13.43,13.23,13.27
4172,2024-10-04,13.31,13.35,13.23,13.27
4171,2024-10-03,13.54,13.66,13.27,13.31
4170,2024-10-02,13.62,13.74,13.54,13.54
