,Date,Open,High,Low,Close,Volume
3890,2025-10-24,3.0,3.0,2.9,2.9,162500
3889,2025-10-17,3.2,3.2,2.9,3.1,369500
3888,2025-10-10,3.4,3.4,3.0,3.3,356800
3887,2025-10-03,3.5,3.5,3.3,3.4,57300
3886,2025-09-26,3.5,3.6,3.4,3.4,191200
3885,2025-09-19,3.4,3.4,3.3,3.4,47200
3884,2025-09-12,3.6,3.6,3.4,3.4,76400
3883,2025-09-05,3.5,3.5,3.4,3.4,79800
3882,2025-08-29,3.5,3.5,3.4,3.4,277700
3881,2025-08-22,3.8,3.8,3.4,3.4,190600
3880,2025-08-15,3.6,3.8,3.6,3.6,116900
3879,2025-08-08,3.5,3.6,3.4,3.5,224500
3878,2025-08-01,3.7,3.7,3.4,3.5,146600
3877,2025-07-25,3.4,3.8,3.4,3.8,260600
3876,2025-07-18,3.2,3.5,3.2,3.4,82300
3875,2025-07-11,3.5,3.6,3.0,3.3,539400
3874,2025-07-04,3.5,3.6,3.5,3.6,227900
3873,2025-06-27,3.5,3.6,3.4,3.5,146800
3872,2025-06-20,3.4,3.6,3.4,3.6,100000
3871,2025-06-13,3.4,3.5,3.3,3.5,44400
3870,2025-06-06,3.6,3.6,3.4,3.4,47100
3869,2025-05-30,3.7,3.8,3.5,3.5,45900
3868,2025-05-23,3.8,3.9,3.5,3.7,31000
3867,2025-05-16,4.0,4.0,3.7,3.8,127400
3866,2025-05-09,3.6,4.0,3.6,3.8,98600
3865,2025-04-25,3.0,3.9,3.0,3.6,379900
3864,2025-04-18,3.2,3.5,3.2,3.4,461600
3863,2025-04-11,3.1,3.3,2.8,3.2,688100
3862,2025-04-04,3.0,3.1,2.9,2.9,364600
3861,2025-03-28,3.3,3.5,3.3,3.4,94500
3860,2025-03-21,3.2,3.4,3.2,3.2,67300
3859,2025-03-14,3.3,3.4,3.3,3.3,37800
3858,2025-03-07,3.7,3.7,3.2,3.3,346000
3857,2025-02-28,4.0,4.0,3.6,3.7,181800
3856,2025-02-21,3.9,4.3,3.9,3.9,401500
3855,2025-02-14,3.7,3.9,3.7,3.9,430600
3854,2025-02-07,3.4,3.4,3.2,3.4,187500
3853,2025-01-24,2.9,3.2,2.9,3.0,153700
3852,2025-01-17,3.0,3.0,2.9,2.9,24800
3851,2025-01-10,2.7,2.9,2.7,2.9,160700
3850,2025-01-03,2.9,2.9,2.7,2.8,53100
3849,2024-12-27,2.9,2.9,2.7,2.8,72500
3848,2024-12-20,2.8,2.9,2.7,2.8,128100
3847,2024-12-13,2.8,2.8,2.7,2.7,59200
3846,2024-12-06,2.8,2.9,2.8,2.8,99500
3845,2024-11-29,2.9,2.9,2.7,2.8,58100
3844,2024-11-22,2.9,3.0,2.9,2.9,72400
3843,2024-11-15,3.0,3.0,2.8,3.0,144900
3842,2024-11-08,3.0,3.3,2.9,3.0,558000
3841,2024-11-01,2.9,2.9,2.8,2.8,23400
3840,2024-10-25,3.2,3.2,2.8,2.8,18400
3839,2024-10-18,3.0,3.1,2.9,3.0,68700
3838,2024-10-11,3.2,3.2,3.0,3.0,49200
3837,2024-10-04,3.1,3.2,2.9,3.0,37500
3836,2024-09-27,2.9,3.2,2.9,3.2,175900
3835,2024-09-20,3.0,3.0,2.8,2.9,75700
3834,2024-09-13,2.8,2.9,2.8,2.8,47000
3833,2024-09-06,2.9,2.9,2.8,2.9,22300
3832,2024-08-30,2.8,3.0,2.8,2.9,24000
3831,2024-08-23,3.0,3.1,2.8,2.8,38500
3830,2024-08-16,2.7,3.0,2.7,2.9,73800
3829,2024-08-09,2.9,2.9,2.7,2.8,45600
3828,2024-08-02,3.0,3.1,2.9,2.9,23100
3827,2024-07-26,3.0,3.1,2.9,3.0,32000
3826,2024-07-25,3.0,3.0,3.0,3.0,0
3825,2024-07-24,3.0,3.0,3.0,3.0,0
3824,2024-07-23,3.0,3.0,3.0,3.0,0
3823,2024-07-22,3.0,3.0,3.0,3.0,0
3822,2024-07-19,3.1,3.2,2.9,2.9,135410
3821,2024-07-18,3.3,3.3,3.3,3.3,0
3820,2024-07-17,3.3,3.3,3.3,3.3,0
3819,2024-07-16,3.3,3.3,3.3,3.3,0
3818,2024-07-15,3.3,3.3,3.3,3.3,0
3817,2024-07-12,3.2,3.6,3.1,3.3,210579
3816,2024-07-11,3.5,3.5,3.5,3.5,0
3815,2024-07-10,3.5,3.5,3.5,3.5,0
3814,2024-07-09,3.5,3.5,3.5,3.5,0
3813,2024-07-08,3.5,3.5,3.5,3.5,0
3812,2024-07-05,4.2,4.2,3.4,3.4,395474
3811,2024-07-04,4.0,4.0,4.0,4.0,0
3810,2024-07-03,4.0,4.0,4.0,4.0,0
3809,2024-07-02,4.0,4.0,4.0,4.0,0
3808,2024-07-01,4.0,4.0,4.0,4.0,0
3807,2024-06-28,4.0,4.0,3.8,4.0,680117
3806,2024-06-27,3.5,3.5,3.5,3.5,0
3805,2024-06-26,3.5,3.5,3.5,3.5,0
3804,2024-06-25,3.5,3.5,3.5,3.5,0
3803,2024-06-24,3.5,3.5,3.5,3.5,0
3802,2024-06-21,3.5,3.5,3.5,3.5,165310
3801,2024-06-20,3.1,3.1,3.1,3.1,0
3800,2024-06-19,3.1,3.1,3.1,3.1,0
3799,2024-06-18,3.1,3.1,3.1,3.1,0
3798,2024-06-17,3.1,3.1,3.1,3.1,0
3797,2024-06-14,2.8,3.1,2.8,3.1,292458
3796,2024-06-13,2.7,2.7,2.7,2.7,0
3795,2024-06-12,2.7,2.7,2.7,2.7,0
3794,2024-06-11,2.7,2.7,2.7,2.7,0
3793,2024-06-10,2.7,2.7,2.7,2.7,0
3792,2024-06-07,2.6,2.8,2.6,2.8,35808
3791,2024-06-06,2.6,2.6,2.6,2.6,0
3790,2024-06-05,2.6,2.6,2.6,2.6,0
3789,2024-06-04,2.6,2.6,2.6,2.6,0
3788,2024-06-03,2.6,2.6,2.6,2.6,0
3787,2024-05-31,3.1,3.1,2.6,2.7,50056
3786,2024-05-30,2.7,2.7,2.7,2.7,0
3785,2024-05-29,2.7,2.7,2.7,2.7,0
3784,2024-05-28,2.7,2.7,2.7,2.7,0
3783,2024-05-27,2.7,2.7,2.7,2.7,0
3782,2024-05-24,2.7,2.9,2.6,2.6,47775
3781,2024-05-23,2.6,2.6,2.6,2.6,0
3780,2024-05-22,2.6,2.6,2.6,2.6,0
3779,2024-05-21,2.6,2.6,2.6,2.6,0
3778,2024-05-20,2.6,2.6,2.6,2.6,0
3777,2024-05-17,2.7,2.7,2.5,2.6,46168
3776,2024-05-16,2.6,2.6,2.6,2.6,0
3775,2024-05-15,2.6,2.6,2.6,2.6,0
3774,2024-05-14,2.6,2.6,2.6,2.6,0
3773,2024-05-13,2.6,2.6,2.6,2.6,0
3772,2024-05-10,2.8,2.8,2.5,2.6,72515
3771,2024-05-09,2.8,2.8,2.8,2.8,0
3770,2024-05-08,2.8,2.8,2.8,2.8,0
3769,2024-05-07,2.8,2.8,2.8,2.8,0
3768,2024-05-06,2.8,2.8,2.8,2.8,0
3767,2024-05-03,2.7,3.0,2.7,2.8,93150
3766,2024-05-02,2.7,2.7,2.7,2.7,0
3765,2024-04-26,2.8,2.8,2.5,2.8,69400
3764,2024-04-25,2.8,2.8,2.8,2.8,0
3763,2024-04-24,2.8,2.8,2.8,2.8,0
3762,2024-04-23,2.8,2.8,2.8,2.8,0
3761,2024-04-22,2.8,2.8,2.8,2.8,0
3760,2024-04-19,2.8,2.9,2.7,2.9,33400
3759,2024-04-17,2.8,2.8,2.8,2.8,0
3758,2024-04-16,2.8,2.8,2.8,2.8,0
3757,2024-04-15,2.8,2.8,2.8,2.8,0
3756,2024-04-12,2.9,3.0,2.8,2.9,145992
3755,2024-04-11,2.9,2.9,2.9,2.9,0
3754,2024-04-10,2.9,2.9,2.9,2.9,0
3753,2024-04-09,2.9,2.9,2.9,2.9,0
3752,2024-04-08,2.9,2.9,2.9,2.9,0
3751,2024-04-05,2.9,3.1,2.8,3.1,72007
3750,2024-04-04,2.9,2.9,2.9,2.9,0
3749,2024-04-03,2.9,2.9,2.9,2.9,0
3748,2024-04-02,2.9,2.9,2.9,2.9,0
3747,2024-04-01,2.9,2.9,2.9,2.9,0
3746,2024-03-29,2.9,3.0,2.7,2.8,33173
3745,2024-03-28,2.7,2.7,2.7,2.7,0
3744,2024-03-27,2.7,2.7,2.7,2.7,0
3743,2024-03-26,2.7,2.7,2.7,2.7,0
3742,2024-03-25,2.7,2.7,2.7,2.7,0
3741,2024-03-22,2.9,2.9,2.7,2.8,22717
3740,2024-03-21,2.8,2.8,2.8,2.8,0
3739,2024-03-20,2.8,2.8,2.8,2.8,0
3738,2024-03-19,2.8,2.8,2.8,2.8,0
3737,2024-03-18,2.8,2.8,2.8,2.8,0
3736,2024-03-15,3.0,3.0,2.7,2.8,115409
3735,2024-03-14,2.8,2.8,2.8,2.8,0
3734,2024-03-13,2.8,2.8,2.8,2.8,0
3733,2024-03-12,2.8,2.8,2.8,2.8,0
3732,2024-03-11,2.8,2.8,2.8,2.8,0
3731,2024-03-08,2.9,3.0,2.8,2.9,21094
3730,2024-03-07,2.8,2.8,2.8,2.8,0
3729,2024-03-06,2.8,2.8,2.8,2.8,0
3728,2024-03-05,2.8,2.8,2.8,2.8,0
3727,2024-03-04,2.8,2.8,2.8,2.8,0
3726,2024-03-01,3.0,3.0,2.7,2.8,64502
3725,2024-02-29,3.0,3.0,3.0,3.0,0
3724,2024-02-28,3.0,3.0,3.0,3.0,0
3723,2024-02-27,3.0,3.0,3.0,3.0,0
3722,2024-02-26,3.0,3.0,3.0,3.0,0
3721,2024-02-23,3.0,3.1,2.9,3.0,56320
3720,2024-02-22,3.0,3.0,3.0,3.0,0
3719,2024-02-21,3.0,3.0,3.0,3.0,0
3718,2024-02-20,3.0,3.0,3.0,3.0,0
3717,2024-02-19,3.0,3.0,3.0,3.0,0
3716,2024-02-16,3.1,3.1,2.9,3.0,19605
3715,2024-02-15,3.0,3.0,3.0,3.0,0
3714,2024-02-07,3.0,3.0,3.0,3.0,0
3713,2024-02-06,3.0,3.0,3.0,3.0,0
3712,2024-02-05,3.0,3.0,3.0,3.0,0
3711,2024-02-02,3.1,3.1,2.8,3.0,29437
3710,2024-02-01,3.1,3.1,3.1,3.1,0
3709,2024-01-31,3.1,3.1,3.1,3.1,0
3708,2024-01-30,3.1,3.1,3.1,3.1,0
3707,2024-01-29,3.1,3.1,3.1,3.1,0
3706,2024-01-26,3.0,3.2,3.0,3.0,71320
3705,2024-01-25,3.0,3.0,3.0,3.0,0
3704,2024-01-24,3.0,3.0,3.0,3.0,0
3703,2024-01-23,3.0,3.0,3.0,3.0,0
3702,2024-01-22,3.0,3.0,3.0,3.0,0
3701,2024-01-19,3.1,3.1,2.9,3.0,49613
3700,2024-01-18,2.8,2.8,2.8,2.8,0
3699,2024-01-17,2.8,2.8,2.8,2.8,0
3698,2024-01-16,2.8,2.8,2.8,2.8,0
3697,2024-01-15,2.8,2.8,2.8,2.8,0
3696,2024-01-12,2.6,2.9,2.6,2.9,83218
3695,2024-01-11,2.6,2.6,2.6,2.6,0
3694,2024-01-10,2.6,2.6,2.6,2.6,0
3693,2024-01-09,2.6,2.6,2.6,2.6,0
3692,2024-01-08,2.6,2.6,2.6,2.6,0
3691,2024-01-05,2.6,2.7,2.6,2.7,12700
3690,2024-01-04,2.6,2.6,2.6,2.6,0
3689,2024-01-03,2.6,2.6,2.6,2.6,0
3688,2024-01-02,2.6,2.6,2.6,2.6,0
3687,2023-12-29,2.8,2.8,2.6,2.6,19300
3686,2023-12-28,2.7,2.7,2.7,2.7,0
3685,2023-12-27,2.7,2.7,2.7,2.7,0
3684,2023-12-26,2.7,2.7,2.7,2.7,0
3683,2023-12-25,2.7,2.7,2.7,2.7,0
3682,2023-12-22,2.6,2.8,2.6,2.8,13501
3681,2023-12-21,2.6,2.6,2.6,2.6,0
3680,2023-12-20,2.6,2.6,2.6,2.6,0
3679,2023-12-19,2.6,2.6,2.6,2.6,0
3678,2023-12-18,2.6,2.6,2.6,2.6,0
3677,2023-12-15,2.8,3.0,2.6,2.6,56446
3676,2023-12-14,2.8,2.8,2.8,2.8,0
3675,2023-12-13,2.8,2.8,2.8,2.8,0
3674,2023-12-12,2.8,2.8,2.8,2.8,0
3673,2023-12-11,2.8,2.8,2.8,2.8,0
3672,2023-12-08,3.0,3.0,2.6,2.8,37907
3671,2023-12-07,2.9,2.9,2.9,2.9,0
3670,2023-12-06,2.9,2.9,2.9,2.9,0
3669,2023-12-05,2.9,2.9,2.9,2.9,0
3668,2023-12-04,2.9,2.9,2.9,2.9,0
3667,2023-12-01,2.9,3.0,2.8,2.8,16215
3666,2023-11-30,2.9,2.9,2.9,2.9,0
3665,2023-11-29,2.9,2.9,2.9,2.9,0
3664,2023-11-28,2.9,2.9,2.9,2.9,0
3663,2023-11-27,2.9,2.9,2.9,2.9,0
3662,2023-11-24,3.0,3.0,2.8,2.9,15517
3661,2023-11-23,2.9,2.9,2.9,2.9,0
3660,2023-11-22,2.9,2.9,2.9,2.9,0
3659,2023-11-21,2.9,2.9,2.9,2.9,0
3658,2023-11-20,2.9,2.9,2.9,2.9,0
3657,2023-11-17,3.0,3.0,2.8,2.9,33165
3656,2023-11-16,2.9,2.9,2.9,2.9,0
3655,2023-11-15,2.9,2.9,2.9,2.9,0
3654,2023-11-14,2.9,2.9,2.9,2.9,0
3653,2023-11-13,2.9,2.9,2.9,2.9,0
3652,2023-11-10,2.8,3.0,2.8,3.0,69281
3651,2023-11-09,2.7,2.7,2.7,2.7,0
3650,2023-11-08,2.7,2.7,2.7,2.7,0
3649,2023-11-07,2.7,2.7,2.7,2.7,0
3648,2023-11-06,2.7,2.7,2.7,2.7,0
3647,2023-11-03,3.1,3.1,2.7,2.7,66964
3646,2023-11-02,3.0,3.0,3.0,3.0,0
3645,2023-11-01,3.0,3.0,3.0,3.0,0
3644,2023-10-31,3.0,3.0,3.0,3.0,0
3643,2023-10-30,3.0,3.0,3.0,3.0,0
3642,2023-10-27,2.9,3.0,2.7,3.0,68948
3641,2023-10-26,3.0,3.0,3.0,3.0,0
3640,2023-10-25,3.0,3.0,3.0,3.0,0
3639,2023-10-24,3.0,3.0,3.0,3.0,0
3638,2023-10-23,3.0,3.0,3.0,3.0,0
3637,2023-10-20,3.3,3.5,2.9,3.1,39319
3636,2023-10-19,3.1,3.1,3.1,3.1,0
3635,2023-10-18,3.1,3.1,3.1,3.1,0
3634,2023-10-17,3.1,3.1,3.1,3.1,0
3633,2023-10-16,3.1,3.1,3.1,3.1,0
3632,2023-10-13,3.4,3.4,3.0,3.2,65817
3631,2023-10-12,3.2,3.2,3.2,3.2,0
3630,2023-10-11,3.2,3.2,3.2,3.2,0
3629,2023-10-10,3.2,3.2,3.2,3.2,0
3628,2023-10-09,3.2,3.2,3.2,3.2,0
3627,2023-10-06,3.4,3.5,3.1,3.2,12867
3626,2023-10-05,3.1,3.1,3.1,3.1,0
3625,2023-10-04,3.1,3.1,3.1,3.1,0
3624,2023-10-03,3.1,3.1,3.1,3.1,0
3623,2023-10-02,3.1,3.1,3.1,3.1,0
3622,2023-09-29,3.2,3.3,3.0,3.0,31628
3621,2023-09-28,3.0,3.0,3.0,3.0,0
