,Date,Open,High,Low,Close
4051,2025-10-17,8.0,8.0,8.0,8.0
4050,2025-10-16,8.2,8.2,8.2,8.2
4049,2025-10-15,8.2,8.3,8.2,8.3
4048,2025-10-13,8.8,8.8,8.8,8.8
4047,2025-10-10,8.8,8.8,8.8,8.8
4046,2025-10-03,8.8,8.8,8.8,8.8
4045,2025-10-02,8.8,8.8,8.8,8.8
4044,2025-10-01,8.9,8.9,8.9,8.9
4043,2025-09-30,9.0,9.0,9.0,9.0
4042,2025-09-26,9.0,9.0,9.0,9.0
4041,2025-09-25,8.7,8.7,8.7,8.7
4040,2025-09-24,8.7,8.7,8.7,8.7
4039,2025-09-23,8.8,8.8,8.7,8.7
4038,2025-09-22,9.0,9.0,9.0,9.0
4037,2025-09-17,8.0,9.0,8.0,9.0
4036,2025-09-15,8.7,8.7,8.7,8.7
4035,2025-09-12,8.7,8.7,8.7,8.7
4034,2025-09-11,8.5,8.6,8.5,8.6
4033,2025-09-10,8.9,9.5,8.5,8.5
4032,2025-09-09,9.3,9.3,9.0,9.0
4031,2025-09-08,8.8,8.8,8.5,8.5
4030,2025-09-05,8.9,9.3,8.8,8.8
4029,2025-09-04,8.5,8.5,8.5,8.5
4028,2025-08-29,8.6,8.7,8.4,8.7
4027,2025-08-26,8.3,8.3,8.3,8.3
4026,2025-08-20,8.8,8.8,8.2,8.2
4025,2025-08-19,8.7,8.7,8.2,8.2
4024,2025-08-18,8.1,8.1,8.1,8.1
4023,2025-08-15,8.5,8.9,8.4,8.4
4022,2025-08-14,9.0,9.0,9.0,9.0
4021,2025-08-13,9.0,9.4,9.0,9.3
4020,2025-08-12,8.1,9.3,8.1,9.3
4019,2025-08-11,8.5,9.0,8.5,9.0
4018,2025-08-08,8.6,9.1,8.1,8.5
4017,2025-08-07,8.5,8.5,8.5,8.5
4016,2025-08-06,8.3,8.3,8.3,8.3
4015,2025-08-05,8.3,8.3,8.2,8.3
4014,2025-08-04,8.5,8.5,8.3,8.3
4013,2025-08-01,8.3,8.4,8.3,8.4
4012,2025-07-31,8.3,8.4,8.3,8.4
4011,2025-07-30,8.5,8.5,8.4,8.5
