,Date,Open,High,Low,Close
1714,2025-10-17,100.8,100.8,97.8,100.0
1713,2025-10-16,99.4,100.8,96.5,99.8
1712,2025-10-15,98.0,99.0,96.2,98.8
1711,2025-10-14,99.7,99.7,95.8,97.4
1710,2025-10-13,97.8,102.0,97.4,98.6
1709,2025-10-10,95.2,98.8,94.4,98.6
1708,2025-10-09,95.8,96.6,94.3,94.6
1707,2025-10-08,97.0,97.1,95.9,96.3
1706,2025-10-07,95.1,97.2,95.1,95.5
1705,2025-10-06,94.8,95.5,93.8,94.6
1704,2025-10-03,95.5,96.4,94.6,94.6
1703,2025-10-02,96.9,96.9,95.22,95.52
1702,2025-10-01,96.9,97.1,94.92,95.32
1701,2025-09-30,97.4,98.98,96.31,97.1
1700,2025-09-29,98.98,98.98,96.9,97.3
1699,2025-09-26,100.17,100.17,98.39,98.68
1698,2025-09-25,99.97,100.66,99.28,100.17
1697,2025-09-24,100.76,100.76,98.88,99.37
1696,2025-09-23,99.57,102.24,98.88,99.87
1695,2025-09-22,99.87,100.66,98.39,98.68
1694,2025-09-19,102.64,102.64,99.87,99.87
1693,2025-09-18,103.82,103.82,101.75,102.14
1692,2025-09-17,101.35,105.7,101.35,103.82
1691,2025-09-16,102.93,104.32,102.04,102.74
1690,2025-09-15,100.26,102.84,100.26,102.84
1689,2025-09-12,97.79,100.86,97.79,99.37
1688,2025-09-11,98.88,98.88,96.9,97.59
1687,2025-09-10,99.18,99.18,98.19,98.29
1686,2025-09-09,98.19,99.28,98.09,98.29
1685,2025-09-08,101.45,101.45,98.19,98.19
1684,2025-09-05,104.32,104.62,101.65,101.65
1683,2025-09-04,100.96,106.79,100.96,104.02
1682,2025-09-03,98.98,100.76,98.09,100.46
1681,2025-08-29,99.87,100.46,97.89,97.89
1680,2025-08-28,101.35,101.45,98.78,99.28
1679,2025-08-27,99.77,102.34,99.37,100.56
1678,2025-08-26,97.69,99.08,97.69,98.78
1677,2025-08-25,97.79,100.26,97.5,98.09
1676,2025-08-22,101.35,101.35,96.7,97.5
1675,2025-08-21,101.45,102.74,98.78,101.45
1674,2025-08-20,107.78,107.78,102.64,102.84
1673,2025-08-19,108.08,109.26,107.28,107.28
1672,2025-08-18,109.26,110.25,107.68,107.98
1671,2025-08-15,111.44,111.83,108.37,108.57
1670,2025-08-14,114.6,114.6,111.14,111.24
1669,2025-08-13,115.0,115.69,112.72,113.61
1668,2025-08-12,117.67,117.77,114.7,115.29
1667,2025-08-11,116.68,117.37,115.79,116.68
1666,2025-08-08,115.69,119.35,113.22,116.68
1665,2025-08-07,117.17,117.27,114.21,115.49
1664,2025-08-06,115.29,116.18,112.53,116.09
1663,2025-08-05,113.22,114.21,111.34,113.71
1662,2025-08-04,110.75,112.23,109.36,112.23
1661,2025-08-01,109.36,111.44,106.1,107.78
1660,2025-07-31,112.92,114.11,109.46,109.76
1659,2025-07-30,110.75,114.7,110.75,112.72
1658,2025-07-29,120.63,120.63,112.72,112.72
1657,2025-07-28,120.44,121.62,119.94,120.34
1656,2025-07-25,119.15,121.92,118.75,120.14
1655,2025-07-24,119.64,120.53,118.95,119.05
1654,2025-07-23,119.74,120.73,119.05,119.64
1653,2025-07-22,119.15,120.14,118.66,119.64
1652,2025-07-21,120.24,122.22,119.35,119.55
1651,2025-07-18,122.22,122.71,120.24,120.24
1650,2025-07-17,124.19,124.19,121.03,122.71
1649,2025-07-16,124.59,126.37,122.71,122.71
1648,2025-07-15,123.11,127.36,123.11,123.9
1647,2025-07-14,121.92,122.61,119.15,122.41
1646,2025-07-11,121.03,122.02,119.64,121.33
1645,2025-07-10,119.25,123.4,119.25,120.73
1644,2025-07-09,119.64,119.94,117.77,119.15
1643,2025-07-08,118.66,120.24,117.67,118.46
1642,2025-07-07,121.03,121.03,117.77,119.25
1641,2025-07-04,117.07,120.63,116.28,119.64
1640,2025-07-03,115.2,117.67,114.8,116.09
1639,2025-07-02,114.6,115.49,114.21,115.2
1638,2025-07-01,116.68,117.17,113.81,114.6
1637,2025-06-30,117.67,117.96,116.68,116.68
1636,2025-06-27,113.61,116.68,113.61,116.48
1635,2025-06-26,113.61,114.31,112.72,112.92
1634,2025-06-25,113.12,114.7,112.82,112.82
1633,2025-06-24,113.12,114.7,112.72,113.02
1632,2025-06-23,112.43,112.62,109.26,111.64
1631,2025-06-20,114.8,115.49,112.72,112.72
1630,2025-06-19,115.2,115.69,114.01,114.6
1629,2025-06-18,116.68,116.78,113.81,114.21
1628,2025-06-17,119.84,119.84,116.18,116.68
1627,2025-06-16,116.68,120.24,115.69,119.64
1626,2025-06-13,120.53,121.52,115.39,116.68
1625,2025-06-12,124.49,124.69,120.63,121.62
1624,2025-06-11,113.91,121.62,113.81,121.62
1623,2025-06-10,111.24,116.48,109.36,113.71
1622,2025-06-09,108.08,111.24,107.09,109.36
1621,2025-06-06,111.54,111.73,107.78,108.27
1620,2025-06-05,108.08,112.43,106.79,110.75
1619,2025-06-04,106.89,108.67,106.79,108.08
1618,2025-06-03,108.27,108.27,106.69,106.69
1617,2025-06-02,104.81,107.28,104.42,106.99
1616,2025-05-30,108.08,108.08,105.21,105.8
1615,2025-05-29,108.77,109.76,107.09,108.27
1614,2025-05-28,110.05,111.24,108.17,108.37
1613,2025-05-27,109.76,111.14,109.16,109.76
1612,2025-05-26,109.26,110.05,105.8,110.05
1611,2025-05-23,106.69,110.75,106.3,107.78
1610,2025-05-22,111.73,112.13,107.78,107.78
1609,2025-05-21,114.21,114.7,111.83,112.23
1608,2025-05-20,115.49,115.49,112.82,113.32
1607,2025-05-19,118.66,118.66,115.2,115.2
1606,2025-05-16,113.42,119.55,113.42,118.75
1605,2025-05-15,114.21,115.49,112.92,113.42
1604,2025-05-14,114.6,116.58,113.42,114.7
1603,2025-05-13,114.21,116.18,112.92,113.81
1602,2025-05-12,114.6,114.6,111.64,112.62
1601,2025-05-09,111.73,114.9,111.73,113.02
1600,2025-05-08,111.64,113.12,109.66,111.44
1599,2025-05-07,112.92,113.22,110.05,111.24
1598,2025-05-06,110.05,116.28,110.05,113.22
1597,2025-05-05,111.73,111.73,106.99,109.76
1596,2025-04-29,111.04,111.73,108.08,108.77
1595,2025-04-28,110.15,114.21,109.16,110.84
1594,2025-04-25,107.78,109.76,105.31,107.88
1593,2025-04-24,106.0,109.46,104.81,106.79
1592,2025-04-23,96.9,102.34,96.9,102.34
1591,2025-04-22,95.02,96.9,90.18,95.72
1590,2025-04-21,99.87,102.84,96.9,96.9
1589,2025-04-18,101.65,102.54,99.47,99.87
1588,2025-04-17,98.78,99.47,93.94,97.89
1587,2025-04-16,97.5,106.3,97.5,98.88
1586,2025-04-15,109.76,110.05,102.74,102.74
1585,2025-04-14,111.24,113.71,110.45,110.45
1584,2025-04-11,99.08,111.54,99.08,110.75
1583,2025-04-10,106.49,106.49,105.7,106.49
1582,2025-04-09,99.57,99.57,99.57,99.57
1581,2025-04-08,106.99,106.99,106.99,106.99
1580,2025-04-04,115.0,115.0,115.0,115.0
1579,2025-04-03,123.6,131.51,123.6,123.6
1578,2025-04-02,134.58,134.58,131.81,132.89
