,Date,Open,High,Low,Close
3530,2025-10-17,35.6,35.6,35.6,35.6
3529,2025-10-10,33.0,33.0,33.0,33.0
3528,2025-09-26,28.8,28.8,28.8,28.8
3527,2025-09-19,25.3,25.3,25.3,25.3
3526,2025-08-29,22.5,22.5,22.5,22.5
3525,2025-08-22,19.6,19.6,19.6,19.6
3524,2025-08-08,17.2,17.2,17.2,17.2
3523,2025-08-01,14.6,16.9,14.6,16.9
3522,2025-07-25,22.4,22.4,16.7,16.7
3521,2025-07-18,19.6,19.6,19.6,19.6
3520,2025-07-11,17.4,17.4,17.4,17.4
3519,2025-07-04,20.4,20.4,20.4,20.4
3518,2025-02-21,23.9,23.9,23.9,23.9
3517,2024-11-01,28.1,28.1,28.1,28.1
3516,2024-10-11,33.0,33.0,33.0,33.0
3515,2024-10-04,35.0,35.0,26.1,26.1
3514,2024-09-27,30.6,30.6,30.6,30.6
3513,2024-08-09,35.9,35.9,35.9,35.9
3512,2024-07-25,31.9,31.9,31.9,31.9
3511,2024-07-24,31.9,31.9,31.9,31.9
3510,2024-07-23,31.9,31.9,31.9,31.9
3509,2024-07-22,31.9,31.9,31.9,31.9
3508,2024-07-19,31.9,31.9,31.9,31.9
3507,2024-07-18,31.9,31.9,31.9,31.9
3506,2024-07-17,31.9,31.9,31.9,31.9
3505,2024-07-16,31.9,31.9,31.9,31.9
3504,2024-07-15,31.9,31.9,31.9,31.9
3503,2024-07-12,31.9,31.9,31.9,31.9
3502,2024-07-11,28.0,28.0,28.0,28.0
3501,2024-07-10,28.0,28.0,28.0,28.0
3500,2024-07-09,28.0,28.0,28.0,28.0
3499,2024-07-08,28.0,28.0,28.0,28.0
3498,2024-07-05,28.0,28.0,28.0,28.0
3497,2024-07-04,28.0,28.0,28.0,28.0
3496,2024-07-03,28.0,28.0,28.0,28.0
3495,2024-07-02,28.0,28.0,28.0,28.0
3494,2024-07-01,28.0,28.0,28.0,28.0
3493,2024-06-28,28.0,28.0,28.0,28.0
3492,2024-06-27,24.6,24.6,24.6,24.6
3491,2024-06-26,24.6,24.6,24.6,24.6
3490,2024-06-25,24.6,24.6,24.6,24.6
3489,2024-06-24,24.6,24.6,24.6,24.6
3488,2024-06-21,29.9,29.9,23.8,23.8
3487,2024-06-20,27.9,27.9,27.9,27.9
3486,2024-06-19,27.9,27.9,27.9,27.9
3485,2024-06-18,27.9,27.9,27.9,27.9
3484,2024-06-17,27.9,27.9,27.9,27.9
3483,2024-06-14,27.9,27.9,27.9,27.9
3482,2024-06-13,25.0,25.0,25.0,25.0
3481,2024-06-12,25.0,25.0,25.0,25.0
3480,2024-06-11,25.0,25.0,25.0,25.0
3479,2024-06-10,25.0,25.0,25.0,25.0
3478,2024-06-07,25.0,25.0,25.0,25.0
3477,2024-06-06,25.0,25.0,25.0,25.0
3476,2024-06-05,25.0,25.0,25.0,25.0
3475,2024-06-04,25.0,25.0,25.0,25.0
3474,2024-06-03,25.0,25.0,25.0,25.0
3473,2024-05-31,25.0,25.0,25.0,25.0
3472,2024-05-30,25.0,25.0,25.0,25.0
3471,2024-05-29,25.0,25.0,25.0,25.0
3470,2024-05-28,25.0,25.0,25.0,25.0
3469,2024-05-27,25.0,25.0,25.0,25.0
3468,2024-05-24,25.0,25.0,25.0,25.0
3467,2024-05-23,25.0,25.0,25.0,25.0
3466,2024-05-22,25.0,25.0,25.0,25.0
3465,2024-05-21,25.0,25.0,25.0,25.0
3464,2024-05-20,25.0,25.0,25.0,25.0
3463,2024-05-17,25.0,25.0,25.0,25.0
3462,2024-05-16,25.5,25.5,25.5,25.5
3461,2024-05-15,25.5,25.5,25.5,25.5
3460,2024-05-14,25.5,25.5,25.5,25.5
3459,2024-05-13,25.5,25.5,25.5,25.5
3458,2024-05-10,25.5,25.5,25.5,25.5
3457,2024-05-09,25.5,25.5,25.5,25.5
3456,2024-05-08,25.5,25.5,25.5,25.5
3455,2024-05-07,25.5,25.5,25.5,25.5
3454,2024-05-06,25.5,25.5,25.5,25.5
3453,2024-05-03,25.5,25.5,25.5,25.5
3452,2024-05-02,22.4,22.4,22.4,22.4
3451,2024-04-26,22.4,22.4,22.4,22.4
3450,2024-04-25,22.4,22.4,22.4,22.4
3449,2024-04-24,22.4,22.4,22.4,22.4
3448,2024-04-23,22.4,22.4,22.4,22.4
3447,2024-04-22,22.4,22.4,22.4,22.4
3446,2024-04-19,25.6,25.6,19.1,19.1
3445,2024-04-17,22.4,22.4,22.4,22.4
3444,2024-04-16,22.4,22.4,22.4,22.4
3443,2024-04-15,22.4,22.4,22.4,22.4
3442,2024-04-12,22.4,22.4,22.4,22.4
3441,2024-04-11,22.4,22.4,22.4,22.4
3440,2024-04-10,22.4,22.4,22.4,22.4
3439,2024-04-09,22.4,22.4,22.4,22.4
3438,2024-04-08,22.4,22.4,22.4,22.4
3437,2024-04-05,22.4,22.4,22.4,22.4
3436,2024-04-04,22.4,22.4,22.4,22.4
3435,2024-04-03,22.4,22.4,22.4,22.4
3434,2024-04-02,22.4,22.4,22.4,22.4
3433,2024-04-01,22.4,22.4,22.4,22.4
3432,2024-03-29,22.4,22.4,22.4,22.4
3431,2024-03-28,22.4,22.4,22.4,22.4
3430,2024-03-27,22.4,22.4,22.4,22.4
3429,2024-03-26,22.4,22.4,22.4,22.4
3428,2024-03-25,22.4,22.4,22.4,22.4
3427,2024-03-22,22.4,22.4,22.4,22.4
3426,2024-03-21,22.4,22.4,22.4,22.4
3425,2024-03-20,22.4,22.4,22.4,22.4
3424,2024-03-19,22.4,22.4,22.4,22.4
3423,2024-03-18,22.4,22.4,22.4,22.4
3422,2024-03-15,22.4,22.4,22.4,22.4
3421,2024-03-14,22.4,22.4,22.4,22.4
3420,2024-03-13,22.4,22.4,22.4,22.4
3419,2024-03-12,22.4,22.4,22.4,22.4
3418,2024-03-11,22.4,22.4,22.4,22.4
3417,2024-03-08,22.4,22.4,22.4,22.4
3416,2024-03-07,22.4,22.4,22.4,22.4
3415,2024-03-06,22.4,22.4,22.4,22.4
3414,2024-03-05,22.4,22.4,22.4,22.4
3413,2024-03-04,22.4,22.4,22.4,22.4
3412,2024-03-01,22.4,22.4,22.4,22.4
3411,2024-02-29,22.4,22.4,22.4,22.4
3410,2024-02-28,22.4,22.4,22.4,22.4
3409,2024-02-27,22.4,22.4,22.4,22.4
3408,2024-02-26,22.4,22.4,22.4,22.4
3407,2024-02-23,25.6,25.6,19.1,19.1
3406,2024-02-22,22.4,22.4,22.4,22.4
3405,2024-02-21,22.4,22.4,22.4,22.4
3404,2024-02-20,22.4,22.4,22.4,22.4
3403,2024-02-19,22.4,22.4,22.4,22.4
3402,2024-02-16,22.4,22.4,22.4,22.4
3401,2024-02-15,22.4,22.4,22.4,22.4
3400,2024-02-07,22.4,22.4,22.4,22.4
3399,2024-02-06,22.4,22.4,22.4,22.4
3398,2024-02-05,22.4,22.4,22.4,22.4
3397,2024-02-02,22.4,22.4,22.4,22.4
3396,2024-02-01,19.5,19.5,19.5,19.5
3395,2024-01-31,19.5,19.5,19.5,19.5
3394,2024-01-30,19.5,19.5,19.5,19.5
3393,2024-01-29,19.5,19.5,19.5,19.5
3392,2024-01-26,19.5,19.5,19.5,19.5
3391,2024-01-25,17.0,17.0,17.0,17.0
3390,2024-01-24,17.0,17.0,17.0,17.0
3389,2024-01-23,17.0,17.0,17.0,17.0
3388,2024-01-22,17.0,17.0,17.0,17.0
3387,2024-01-19,17.0,17.0,17.0,17.0
3386,2024-01-18,14.9,14.9,14.9,14.9
3385,2024-01-17,14.9,14.9,14.9,14.9
3384,2024-01-16,14.9,14.9,14.9,14.9
3383,2024-01-15,14.9,14.9,14.9,14.9
3382,2024-01-12,13.9,15.9,13.9,15.9
3381,2024-01-11,13.9,13.9,13.9,13.9
3380,2024-01-10,13.9,13.9,13.9,13.9
3379,2024-01-09,13.9,13.9,13.9,13.9
3378,2024-01-08,13.9,13.9,13.9,13.9
3377,2024-01-05,13.9,13.9,13.9,13.9
3376,2024-01-04,13.2,13.2,13.2,13.2
3375,2024-01-03,13.2,13.2,13.2,13.2
3374,2024-01-02,13.2,13.2,13.2,13.2
3373,2023-12-29,13.2,13.2,13.2,13.2
3372,2023-12-28,12.6,12.6,12.6,12.6
3371,2023-12-27,12.6,12.6,12.6,12.6
3370,2023-12-26,12.6,12.6,12.6,12.6
3369,2023-12-25,12.6,12.6,12.6,12.6
3368,2023-12-22,13.3,13.3,10.9,12.8
3367,2023-12-21,12.8,12.8,12.8,12.8
3366,2023-12-20,12.8,12.8,12.8,12.8
3365,2023-12-19,12.8,12.8,12.8,12.8
3364,2023-12-18,12.8,12.8,12.8,12.8
3363,2023-12-15,13.4,13.4,10.8,10.8
3362,2023-12-14,12.4,12.4,12.4,12.4
3361,2023-12-13,12.4,12.4,12.4,12.4
3360,2023-12-12,12.4,12.4,12.4,12.4
3359,2023-12-11,12.4,12.4,12.4,12.4
3358,2023-12-08,13.0,13.0,10.0,10.0
3357,2023-12-07,11.7,11.7,11.7,11.7
3356,2023-12-06,11.7,11.7,11.7,11.7
3355,2023-12-05,11.7,11.7,11.7,11.7
3354,2023-12-04,11.7,11.7,11.7,11.7
3353,2023-12-01,13.9,13.9,11.0,11.0
3352,2023-11-30,12.9,12.9,12.9,12.9
3351,2023-11-29,12.9,12.9,12.9,12.9
3350,2023-11-28,12.9,12.9,12.9,12.9
3349,2023-11-27,12.9,12.9,12.9,12.9
3348,2023-11-24,16.5,16.5,12.3,12.3
3347,2023-11-23,14.4,14.4,14.4,14.4
3346,2023-11-22,14.4,14.4,14.4,14.4
3345,2023-11-21,14.4,14.4,14.4,14.4
3344,2023-11-20,14.4,14.4,14.4,14.4
3343,2023-11-17,14.4,14.4,14.4,14.4
3342,2023-11-16,16.9,16.9,16.9,16.9
3341,2023-11-15,16.9,16.9,16.9,16.9
3340,2023-11-14,16.9,16.9,16.9,16.9
3339,2023-11-13,16.9,16.9,16.9,16.9
3338,2023-11-10,15.5,18.2,15.3,15.3
3337,2023-11-09,17.9,17.9,17.9,17.9
3336,2023-11-08,17.9,17.9,17.9,17.9
3335,2023-11-07,17.9,17.9,17.9,17.9
3334,2023-11-06,17.9,17.9,17.9,17.9
3333,2023-11-03,17.9,17.9,17.9,17.9
3332,2023-11-02,21.0,21.0,21.0,21.0
3331,2023-11-01,21.0,21.0,21.0,21.0
3330,2023-10-31,21.0,21.0,21.0,21.0
3329,2023-10-30,21.0,21.0,21.0,21.0
3328,2023-10-27,21.0,21.0,21.0,21.0
3327,2023-10-26,19.4,19.4,19.4,19.4
3326,2023-10-25,19.4,19.4,19.4,19.4
3325,2023-10-24,19.4,19.4,19.4,19.4
3324,2023-10-23,19.4,19.4,19.4,19.4
3323,2023-10-20,19.4,19.4,19.4,19.4
3322,2023-10-19,19.4,19.4,19.4,19.4
3321,2023-10-18,19.4,19.4,19.4,19.4
3320,2023-10-17,19.4,19.4,19.4,19.4
3319,2023-10-16,19.4,19.4,19.4,19.4
3318,2023-10-13,19.4,19.4,19.4,19.4
3317,2023-10-12,19.4,19.4,19.4,19.4
3316,2023-10-11,19.4,19.4,19.4,19.4
3315,2023-10-10,19.4,19.4,19.4,19.4
3314,2023-10-09,19.4,19.4,19.4,19.4
3313,2023-10-06,19.4,19.4,19.4,19.4
3312,2023-10-05,19.4,19.4,19.4,19.4
3311,2023-10-04,19.4,19.4,19.4,19.4
3310,2023-10-03,19.4,19.4,19.4,19.4
3309,2023-10-02,19.4,19.4,19.4,19.4
3308,2023-09-29,19.4,19.4,19.4,19.4
3307,2023-09-28,19.4,19.4,19.4,19.4
3306,2023-09-27,19.4,19.4,19.4,19.4
3305,2023-09-26,19.4,19.4,19.4,19.4
3304,2023-09-25,19.4,19.4,19.4,19.4
3303,2023-09-22,19.4,19.4,19.4,19.4
3302,2023-09-21,19.4,19.4,19.4,19.4
3301,2023-09-20,19.4,19.4,19.4,19.4
3300,2023-09-19,19.4,19.4,19.4,19.4
3299,2023-09-18,19.4,19.4,19.4,19.4
3298,2023-09-15,19.5,19.5,19.3,19.3
3297,2023-09-14,19.5,19.5,19.5,19.5
3296,2023-09-13,19.5,19.5,19.5,19.5
3295,2023-09-12,19.5,19.5,19.5,19.5
3294,2023-09-11,19.5,19.5,19.5,19.5
3293,2023-09-08,18.0,20.9,18.0,20.9
3292,2023-09-07,19.0,19.0,19.0,19.0
3291,2023-09-06,19.0,19.0,19.0,19.0
3290,2023-09-05,19.0,19.0,19.0,19.0
3289,2023-08-31,19.0,19.0,19.0,19.0
3288,2023-08-30,19.0,19.0,19.0,19.0
3287,2023-08-29,19.0,19.0,19.0,19.0
3286,2023-08-28,19.0,19.0,19.0,19.0
3285,2023-08-25,19.0,19.0,19.0,19.0
3284,2023-08-24,19.0,19.0,19.0,19.0
3283,2023-08-23,19.0,19.0,19.0,19.0
3282,2023-08-22,19.0,19.0,19.0,19.0
3281,2023-08-21,19.0,19.0,19.0,19.0
3280,2023-08-18,19.0,19.0,19.0,19.0
3279,2023-08-17,19.0,19.0,19.0,19.0
3278,2023-08-16,19.0,19.0,19.0,19.0
3277,2023-08-15,19.0,19.0,19.0,19.0
3276,2023-08-14,19.0,19.0,19.0,19.0
3275,2023-08-11,19.0,19.0,19.0,19.0
3274,2023-08-10,17.3,17.3,17.3,17.3
3273,2023-08-09,17.3,17.3,17.3,17.3
3272,2023-08-08,17.3,17.3,17.3,17.3
3271,2023-08-07,17.3,17.3,17.3,17.3
3270,2023-08-04,17.3,17.3,17.3,17.3
3269,2023-08-03,15.3,15.3,15.3,15.3
3268,2023-08-02,15.3,15.3,15.3,15.3
3267,2023-08-01,15.3,15.3,15.3,15.3
3266,2023-07-31,15.3,15.3,15.3,15.3
3265,2023-07-28,16.1,16.1,14.9,14.9
3264,2023-07-27,14.1,14.1,14.1,14.1
3263,2023-07-26,14.1,14.1,14.1,14.1
3262,2023-07-25,14.1,14.1,14.1,14.1
3261,2023-07-24,14.1,14.1,14.1,14.1
3260,2023-07-21,14.2,14.2,13.7,13.7
3259,2023-07-20,12.4,12.4,12.4,12.4
3258,2023-07-19,12.4,12.4,12.4,12.4
3257,2023-07-18,12.4,12.4,12.4,12.4
3256,2023-07-17,12.4,12.4,12.4,12.4
3255,2023-07-14,12.4,12.4,12.0,12.4
3254,2023-07-13,10.8,10.8,10.8,10.8
3253,2023-07-12,10.8,10.8,10.8,10.8
3252,2023-07-11,10.8,10.8,10.8,10.8
3251,2023-07-10,10.8,10.8,10.8,10.8
3250,2023-07-07,14.3,14.3,10.7,13.8
3249,2023-07-06,12.5,12.5,12.5,12.5
3248,2023-07-05,12.5,12.5,12.5,12.5
3247,2023-07-04,12.5,12.5,12.5,12.5
3246,2023-07-03,12.5,12.5,12.5,12.5
3245,2023-06-30,12.5,12.5,12.5,12.5
3244,2023-06-29,10.9,10.9,10.9,10.9
3243,2023-06-28,10.9,10.9,10.9,10.9
3242,2023-06-27,10.9,10.9,10.9,10.9
3241,2023-06-26,10.9,10.9,10.9,10.9
3240,2023-06-23,10.9,10.9,10.9,10.9
3239,2023-06-22,9.5,9.5,9.5,9.5
3238,2023-06-21,9.5,9.5,9.5,9.5
3237,2023-06-20,9.5,9.5,9.5,9.5
3236,2023-06-19,9.5,9.5,9.5,9.5
3235,2023-06-16,9.5,9.5,9.5,9.5
3234,2023-06-15,8.3,8.3,8.3,8.3
3233,2023-06-14,8.3,8.3,8.3,8.3
3232,2023-06-13,8.3,8.3,8.3,8.3
3231,2023-06-12,8.3,8.3,8.3,8.3
3230,2023-06-09,8.3,8.3,8.3,8.3
3229,2023-06-08,7.3,7.3,7.3,7.3
3228,2023-06-07,7.3,7.3,7.3,7.3
3227,2023-06-06,7.3,7.3,7.3,7.3
3226,2023-06-05,7.3,7.3,7.3,7.3
3225,2023-06-02,7.3,7.3,7.3,7.3
3224,2023-06-01,6.4,6.4,6.4,6.4
3223,2023-05-31,6.4,6.4,6.4,6.4
3222,2023-05-30,6.4,6.4,6.4,6.4
