,Date,Open,High,Low,Close,Volume
3954,2025-10-24,7.0,7.0,6.8,7.0,14300
3953,2025-10-23,7.1,7.1,6.9,7.1,7600
3952,2025-10-22,7.1,7.1,6.8,7.1,17300
3951,2025-10-21,7.0,7.3,6.3,7.0,76900
3950,2025-10-20,7.5,7.5,7.0,7.0,61100
3949,2025-10-17,7.4,7.5,7.3,7.3,29600
3948,2025-10-16,7.4,7.4,7.2,7.4,47900
3947,2025-10-15,7.2,7.5,7.2,7.3,25500
3946,2025-10-14,7.2,7.4,7.2,7.3,56500
3945,2025-10-13,7.3,7.3,7.2,7.2,47400
3944,2025-10-10,7.7,7.7,7.3,7.5,25100
3943,2025-10-09,7.6,7.7,7.4,7.6,9000
3942,2025-10-08,8.0,8.0,7.5,7.6,48100
3941,2025-10-07,7.7,7.7,7.4,7.6,29600
3940,2025-10-06,7.2,7.9,7.2,7.7,98200
3939,2025-10-03,7.6,7.6,7.2,7.2,21500
3938,2025-10-02,7.1,7.7,7.1,7.6,123600
3937,2025-10-01,7.1,7.3,7.0,7.1,42700
3936,2025-09-30,7.3,7.3,7.0,7.1,57800
3935,2025-09-29,7.2,7.3,7.2,7.3,33000
3934,2025-09-26,7.3,7.4,7.2,7.4,32000
3933,2025-09-25,7.4,7.5,7.3,7.4,29700
3932,2025-09-24,7.4,7.4,7.0,7.4,50400
3931,2025-09-23,7.3,7.5,7.3,7.4,39000
3930,2025-09-22,7.4,7.4,7.2,7.3,53700
3929,2025-09-19,7.7,7.7,7.4,7.5,19500
3928,2025-09-18,7.5,7.5,7.4,7.5,28900
3927,2025-09-17,7.7,7.7,7.5,7.5,26200
3926,2025-09-16,7.4,7.8,7.4,7.7,120100
3925,2025-09-15,7.8,7.8,7.5,7.7,50500
3924,2025-09-12,7.6,7.8,7.1,7.7,72100
3923,2025-09-11,7.5,7.7,7.3,7.4,126300
3922,2025-09-10,8.4,8.4,7.6,7.8,54200
3921,2025-09-09,7.9,8.0,7.5,8.0,77600
3920,2025-09-08,8.3,8.9,7.5,7.9,228000
3919,2025-09-05,8.7,8.9,8.2,8.2,130900
3918,2025-09-04,10.0,10.0,8.5,8.6,150600
3917,2025-09-03,8.3,9.1,8.3,9.1,394400
3916,2025-08-29,7.6,8.3,7.6,8.3,235400
3915,2025-08-28,7.0,7.7,7.0,7.6,271700
3914,2025-08-27,7.2,7.4,7.0,7.0,137300
3913,2025-08-26,6.8,7.2,6.8,7.2,60000
3912,2025-08-25,7.4,7.4,6.7,6.8,73700
3911,2025-08-22,7.7,7.7,7.0,7.4,180000
3910,2025-08-21,7.3,7.5,7.1,7.5,187000
3909,2025-08-20,7.6,7.8,7.0,7.1,198700
3908,2025-08-19,7.6,7.7,7.5,7.7,61900
3907,2025-08-18,7.3,8.0,7.3,7.5,380100
3906,2025-08-15,7.4,7.5,7.2,7.3,97500
3905,2025-08-14,7.3,7.4,7.1,7.3,140300
3904,2025-08-13,7.1,7.1,6.7,7.1,66300
3903,2025-08-12,7.1,7.1,7.0,7.1,55300
3902,2025-08-11,7.3,7.3,7.1,7.1,63800
3901,2025-08-08,7.2,7.3,7.0,7.2,106300
3900,2025-08-07,7.3,7.4,7.1,7.2,122300
3899,2025-08-06,7.1,7.2,7.0,7.2,40100
3898,2025-08-05,7.0,7.4,7.0,7.1,219500
3897,2025-08-04,7.0,7.1,6.9,7.0,69500
3896,2025-08-01,7.2,7.3,6.9,7.1,117300
3895,2025-07-31,7.4,7.6,7.0,7.2,103400
3894,2025-07-30,7.2,7.5,6.6,7.4,129100
3893,2025-07-29,8.3,8.3,7.2,7.2,296300
3892,2025-07-28,7.3,8.0,7.3,8.0,352100
3891,2025-07-25,7.1,7.3,6.8,7.3,207200
3890,2025-07-24,7.6,7.7,6.9,7.1,400900
3889,2025-07-23,7.0,7.0,6.8,7.0,187700
3888,2025-07-22,6.0,6.4,6.0,6.4,138600
3887,2025-07-21,5.6,5.9,5.6,5.9,224500
3886,2025-07-18,5.5,5.5,5.3,5.4,48100
3885,2025-07-17,5.4,5.5,5.4,5.4,60200
3884,2025-07-16,5.4,5.5,5.3,5.4,29800
3883,2025-07-15,5.3,5.6,5.3,5.4,77900
3882,2025-07-14,5.1,5.2,5.1,5.2,5300
3881,2025-07-11,5.2,5.3,5.1,5.3,10100
3880,2025-07-10,5.2,5.3,5.2,5.2,6900
3879,2025-07-09,5.2,5.3,5.2,5.2,14400
3878,2025-07-08,5.2,5.2,5.0,5.1,20800
3877,2025-07-07,5.2,5.2,5.1,5.1,4200
3876,2025-07-04,5.1,5.1,4.9,5.1,900
3875,2025-07-03,5.0,5.2,5.0,5.1,3800
3874,2025-07-02,4.9,5.0,4.9,5.0,30700
3873,2025-07-01,4.9,4.9,4.8,4.8,5800
3872,2025-06-30,4.9,4.9,4.8,4.8,700
3871,2025-06-27,4.8,4.8,4.8,4.8,18500
3870,2025-06-26,4.9,4.9,4.8,4.8,500
3869,2025-06-25,4.8,4.9,4.8,4.9,15500
3868,2025-06-24,4.9,4.9,4.9,4.9,800
3867,2025-06-23,4.8,4.9,4.8,4.9,1300
3866,2025-06-20,4.8,4.9,4.8,4.9,18000
3865,2025-06-19,4.9,4.9,4.6,4.8,26100
3864,2025-06-18,5.0,5.0,4.9,5.0,6900
3863,2025-06-17,5.0,5.0,4.9,5.0,2800
3862,2025-06-16,5.0,5.0,4.8,5.0,9000
3861,2025-06-13,4.9,5.0,4.9,5.0,13100
3860,2025-06-12,5.1,5.1,5.0,5.0,700
3859,2025-06-11,5.1,5.1,5.0,5.0,16100
3858,2025-06-10,5.0,5.1,5.0,5.1,3100
3857,2025-06-09,5.2,5.2,5.0,5.2,11300
3856,2025-06-06,5.1,5.2,5.1,5.2,200
3855,2025-06-05,5.1,5.2,5.1,5.2,4500
3854,2025-06-04,5.3,5.4,5.2,5.3,59600
3853,2025-06-03,5.4,5.4,5.1,5.3,25000
3852,2025-06-02,5.2,5.3,5.1,5.3,6600
3851,2025-05-30,5.2,5.3,5.1,5.1,6700
3850,2025-05-29,5.1,5.2,5.1,5.2,1300
3849,2025-05-28,5.1,5.2,5.1,5.2,5500
3848,2025-05-27,5.0,5.1,4.9,5.1,6900
3847,2025-05-26,4.8,5.0,4.8,5.0,11400
3846,2025-05-23,4.9,5.0,4.9,5.0,10300
3845,2025-05-22,5.2,5.2,5.0,5.0,12000
3844,2025-05-21,5.3,5.3,5.1,5.2,11600
3843,2025-05-20,5.0,5.3,5.0,5.3,4300
3842,2025-05-19,5.2,5.2,5.2,5.2,1100
3841,2025-05-16,5.4,5.4,5.2,5.2,4800
3840,2025-05-15,5.3,5.4,5.3,5.3,300
3839,2025-05-14,5.3,5.3,5.3,5.3,1600
3838,2025-05-13,5.5,5.5,5.3,5.3,2300
3837,2025-05-12,5.2,5.2,5.2,5.2,3300
3836,2025-05-09,5.2,5.2,5.1,5.1,1100
3835,2025-05-08,5.2,5.3,5.1,5.2,11900
3834,2025-05-07,5.0,5.4,5.0,5.4,11400
3833,2025-05-06,5.4,5.5,5.3,5.3,8500
3832,2025-05-05,5.6,5.6,5.3,5.4,10700
3831,2025-04-29,5.8,5.8,5.3,5.5,24900
3830,2025-04-28,5.1,5.3,5.1,5.3,57400
3829,2025-04-25,4.5,4.9,4.4,4.9,48200
3828,2025-04-24,4.5,4.5,4.3,4.5,11200
3827,2025-04-23,4.5,4.5,4.5,4.5,3100
3826,2025-04-22,4.4,4.6,4.1,4.3,35300
3825,2025-04-21,4.3,4.4,4.3,4.4,20400
3824,2025-04-18,4.5,4.6,4.4,4.4,17300
3823,2025-04-17,4.0,4.3,4.0,4.3,13100
3822,2025-04-16,4.3,4.3,4.3,4.3,100
3821,2025-04-15,4.4,4.4,4.3,4.3,15100
3820,2025-04-14,4.4,4.4,4.2,4.4,19400
3819,2025-04-11,4.4,4.4,4.2,4.4,42700
3818,2025-04-10,4.0,4.0,4.0,4.0,13500
3817,2025-04-09,3.8,4.0,3.7,3.7,85100
3816,2025-04-08,4.1,4.2,4.1,4.1,79600
3815,2025-04-04,4.1,4.5,4.1,4.5,10000
3814,2025-04-03,5.0,5.0,4.5,4.5,50500
3813,2025-04-02,5.0,5.0,5.0,5.0,10100
3812,2025-04-01,4.9,5.0,4.9,5.0,10200
3811,2025-03-31,4.9,4.9,4.9,4.9,600
3810,2025-03-28,4.9,4.9,4.9,4.9,1100
3809,2025-03-27,4.9,5.0,4.9,5.0,20400
3808,2025-03-26,5.1,5.1,5.0,5.0,4700
3807,2025-03-25,4.9,5.1,4.9,5.0,26600
3806,2025-03-24,5.1,5.1,4.9,4.9,11700
3805,2025-03-21,5.0,5.0,5.0,5.0,6000
3804,2025-03-20,5.1,5.1,4.9,5.0,34900
3803,2025-03-19,5.2,5.2,5.0,5.0,2800
