,Date,Open,High,Low,Close
1919,2025-10-17,12.4,12.5,12.4,12.5
1918,2025-10-16,12.4,12.4,12.3,12.3
1917,2025-10-15,12.6,12.6,12.6,12.6
1916,2025-10-14,12.7,12.7,12.3,12.6
1915,2025-10-10,12.5,12.8,12.5,12.8
1914,2025-10-09,12.5,12.5,12.5,12.5
1913,2025-10-08,12.5,12.6,12.5,12.6
1912,2025-10-07,12.3,12.6,12.2,12.6
1911,2025-10-06,12.3,12.3,12.3,12.3
1910,2025-10-02,12.3,12.3,12.3,12.3
1909,2025-10-01,12.5,12.5,12.3,12.3
1908,2025-09-30,12.6,12.6,12.6,12.6
1907,2025-09-29,12.5,12.6,11.7,12.5
1906,2025-09-26,12.9,12.9,12.9,12.9
1905,2025-09-25,13.0,13.0,12.9,12.9
1904,2025-09-24,13.0,13.1,12.9,12.9
1903,2025-09-23,12.8,13.0,12.6,13.0
1902,2025-09-22,12.8,13.0,12.6,12.7
1901,2025-09-19,13.0,13.0,12.9,13.0
1900,2025-09-18,13.2,13.2,13.2,13.2
1899,2025-09-17,13.2,13.39,12.83,13.2
1898,2025-09-16,13.2,13.29,13.01,13.2
1897,2025-09-15,12.92,13.2,12.83,13.11
1896,2025-09-12,12.55,12.64,12.55,12.64
1895,2025-09-11,12.55,12.64,12.55,12.64
1894,2025-09-10,12.55,12.64,12.55,12.64
1893,2025-09-09,12.27,12.27,12.27,12.27
1892,2025-09-08,12.36,12.36,12.36,12.36
1891,2025-09-05,12.36,12.36,12.36,12.36
1890,2025-09-04,12.83,12.83,12.55,12.55
1889,2025-09-03,12.83,13.29,12.83,12.92
1888,2025-08-29,12.83,12.92,12.83,12.92
1887,2025-08-28,12.92,12.92,12.92,12.92
1886,2025-08-27,12.92,12.92,12.92,12.92
1885,2025-08-26,12.64,12.92,12.18,12.92
1884,2025-08-25,12.92,12.92,12.92,12.92
1883,2025-08-22,12.92,12.92,12.92,12.92
1882,2025-08-21,12.64,12.64,12.64,12.64
1881,2025-08-20,12.64,12.64,12.64,12.64
1880,2025-08-19,12.83,12.83,12.36,12.83
1879,2025-08-18,13.01,13.01,12.64,12.64
1878,2025-08-15,12.83,12.83,12.64,12.83
1877,2025-08-14,12.55,13.01,12.55,13.01
1876,2025-08-13,13.39,13.39,13.01,13.01
1875,2025-08-12,12.36,13.2,12.36,13.2
1874,2025-08-11,12.36,12.36,12.36,12.36
1873,2025-08-08,12.36,12.55,12.36,12.36
1872,2025-08-07,12.46,13.67,12.46,12.55
1871,2025-08-06,12.46,12.46,12.46,12.46
1870,2025-08-05,12.46,12.46,12.27,12.46
1869,2025-08-04,12.18,12.46,12.18,12.46
1868,2025-08-01,12.18,12.27,12.08,12.27
1867,2025-07-31,12.18,12.27,12.18,12.27
1866,2025-07-30,12.46,12.46,12.18,12.36
1865,2025-07-29,12.08,12.46,12.08,12.46
1864,2025-07-28,12.27,12.27,12.08,12.27
1863,2025-07-25,12.27,12.27,12.18,12.27
1862,2025-07-24,12.08,12.08,12.08,12.08
1861,2025-07-23,12.18,12.18,12.08,12.08
1860,2025-07-22,12.18,12.18,12.08,12.08
1859,2025-07-21,12.27,12.27,12.18,12.18
1858,2025-07-18,12.36,12.36,12.27,12.27
1857,2025-07-17,12.27,12.36,12.27,12.36
1856,2025-07-16,12.46,12.46,12.27,12.36
1855,2025-07-15,12.08,12.36,12.08,12.36
1854,2025-07-14,12.18,12.46,12.08,12.46
1853,2025-07-11,12.36,12.36,12.08,12.08
1852,2025-07-10,12.46,12.46,12.46,12.46
1851,2025-07-09,12.46,12.55,12.18,12.46
1850,2025-07-08,12.36,12.74,12.18,12.74
1849,2025-07-07,12.55,12.55,12.55,12.55
1848,2025-07-04,12.55,12.74,12.27,12.74
1847,2025-07-03,12.18,12.92,12.18,12.36
1846,2025-07-02,12.18,12.18,12.18,12.18
1845,2025-07-01,12.18,12.18,12.18,12.18
1844,2025-06-30,12.18,12.18,12.18,12.18
1843,2025-06-27,12.27,12.46,12.27,12.46
1842,2025-06-26,12.92,12.92,12.92,12.92
1841,2025-06-25,12.18,12.55,12.18,12.55
1840,2025-06-24,12.27,12.92,12.18,12.27
1839,2025-06-23,12.64,12.64,12.64,12.64
1838,2025-06-20,12.64,12.64,12.64,12.64
1837,2025-06-19,12.27,12.64,12.18,12.18
1836,2025-06-18,12.83,12.83,12.27,12.27
1835,2025-06-17,12.92,12.92,12.92,12.92
1834,2025-06-16,12.55,12.55,12.36,12.36
1833,2025-06-13,12.55,12.55,12.55,12.55
1832,2025-06-12,12.55,12.55,12.55,12.55
1831,2025-06-11,12.36,12.74,12.18,12.74
1830,2025-06-10,12.36,12.36,12.36,12.36
1829,2025-06-09,12.36,12.36,12.36,12.36
1828,2025-06-06,12.55,12.55,12.46,12.46
1827,2025-06-05,12.46,12.92,12.46,12.92
1826,2025-06-04,12.46,12.46,12.46,12.46
1825,2025-06-03,12.55,12.64,12.55,12.55
1824,2025-06-02,12.55,12.55,12.36,12.55
1823,2025-05-30,12.55,12.55,12.46,12.55
1822,2025-05-29,12.46,12.55,12.18,12.55
