,Date,Open,High,Low,Close,Volume
1727,2025-10-24,13.7,14.2,13.7,13.7,4500
1726,2025-10-23,14.2,14.2,13.7,14.2,800
1725,2025-10-22,14.0,14.25,13.7,14.25,7200
1724,2025-10-21,14.0,14.35,13.7,14.35,13400
1723,2025-10-20,14.2,14.45,13.7,13.7,4400
1722,2025-10-17,14.55,14.55,13.75,14.05,10700
1721,2025-10-16,14.7,14.95,14.6,14.6,3000
1720,2025-10-15,14.2,14.4,14.0,14.4,13700
1719,2025-10-14,14.6,14.7,14.2,14.2,3300
1718,2025-10-13,14.4,15.1,14.4,14.7,67000
1717,2025-10-10,14.0,14.15,14.0,14.15,1500
1716,2025-10-09,13.9,14.15,13.9,14.0,1900
1715,2025-10-08,13.9,14.0,13.9,13.9,1100
1714,2025-10-07,14.0,14.0,13.8,13.9,3500
1713,2025-10-03,13.95,14.0,13.45,14.0,21600
1712,2025-10-02,14.0,14.0,13.5,14.0,7700
1711,2025-10-01,14.0,14.0,13.65,14.0,4100
1710,2025-09-30,13.9,14.6,13.5,14.0,21100
1709,2025-09-29,15.1,15.2,14.3,14.35,16600
1708,2025-09-26,14.2,15.05,14.2,15.05,65600
1707,2025-09-25,14.0,14.1,13.8,14.1,6400
1706,2025-09-23,13.95,14.1,13.95,14.1,1100
1705,2025-09-22,13.95,14.2,13.9,14.2,700
1704,2025-09-19,14.0,14.25,14.0,14.25,5300
1703,2025-09-18,13.85,14.25,13.85,14.25,6400
1702,2025-09-17,14.15,14.2,14.0,14.2,4200
1701,2025-09-16,14.1,14.3,13.9,14.15,19300
1700,2025-09-12,14.3,14.7,14.1,14.4,5000
1699,2025-09-11,14.0,14.2,13.95,14.2,8800
1698,2025-09-10,14.0,14.3,13.95,14.3,1900
1697,2025-09-09,14.3,14.3,13.95,14.3,12700
1696,2025-09-08,14.1,14.3,13.9,14.3,25000
1695,2025-09-05,14.35,14.35,14.2,14.2,10900
1694,2025-09-04,14.3,14.35,14.3,14.35,11200
1693,2025-09-03,14.5,14.5,14.2,14.4,7600
1692,2025-08-29,14.4,14.4,14.3,14.3,6400
1691,2025-08-28,14.25,14.4,14.05,14.4,6700
1690,2025-08-27,13.75,14.4,13.75,14.4,16100
1689,2025-08-26,14.35,14.45,14.35,14.35,2500
1688,2025-08-25,14.35,14.35,14.05,14.05,4500
1687,2025-08-22,14.0,14.4,14.0,14.35,3200
1686,2025-08-21,14.3,14.45,14.05,14.05,2900
1685,2025-08-20,14.4,14.4,14.1,14.3,9100
1684,2025-08-19,14.5,14.6,14.05,14.4,11000
1683,2025-08-18,14.5,14.5,14.15,14.2,5200
1682,2025-08-15,14.05,14.5,14.05,14.5,14400
1681,2025-08-14,14.15,14.5,14.15,14.3,2400
1680,2025-08-13,14.2,14.5,14.1,14.5,14200
1679,2025-08-12,14.5,14.5,14.2,14.5,7200
1678,2025-08-11,14.65,14.7,14.2,14.5,43100
1677,2025-08-08,14.8,14.8,14.45,14.65,9300
1676,2025-08-07,14.35,14.8,14.3,14.8,29200
1675,2025-08-05,14.6,14.9,14.2,14.9,15400
1674,2025-08-04,14.5,14.65,14.5,14.6,34500
1673,2025-08-01,14.5,14.65,14.4,14.5,8000
1672,2025-07-31,14.2,14.55,14.2,14.5,37600
1671,2025-07-30,14.55,14.6,14.3,14.5,13200
1670,2025-07-29,14.75,14.85,14.55,14.55,15300
1669,2025-07-28,15.05,15.05,14.0,14.75,44000
1668,2025-07-25,14.6,15.05,14.55,15.0,26400
1667,2025-07-24,15.35,15.35,14.45,14.6,70900
1666,2025-07-23,16.4,16.4,15.35,15.5,71200
1665,2025-07-22,15.05,15.35,14.35,15.35,111700
1664,2025-07-21,14.5,14.6,14.15,14.35,22700
1663,2025-07-18,14.1,14.5,14.1,14.4,9000
1662,2025-07-17,14.75,14.75,14.0,14.45,8100
1661,2025-07-16,14.25,14.3,14.25,14.3,33100
1660,2025-07-15,14.5,14.5,14.1,14.25,7100
1659,2025-07-14,14.5,14.5,14.2,14.35,20300
1658,2025-07-11,14.3,14.5,14.3,14.35,5600
1657,2025-07-10,14.4,14.6,14.25,14.5,3500
1656,2025-07-09,14.3,14.6,14.25,14.4,12400
1655,2025-07-08,14.65,14.65,14.2,14.2,10500
1654,2025-07-07,14.15,14.55,14.15,14.5,4900
1653,2025-07-04,14.3,14.5,14.1,14.5,6000
1652,2025-07-03,14.25,14.6,14.25,14.55,7000
1651,2025-07-02,14.25,14.5,14.25,14.5,5300
1650,2025-07-01,14.6,14.6,14.3,14.5,2000
1649,2025-06-30,14.4,14.55,14.1,14.5,3800
1648,2025-06-27,14.2,14.45,14.2,14.45,4000
1647,2025-06-26,14.5,14.55,14.2,14.45,4500
1646,2025-06-25,14.5,14.5,14.2,14.2,5600
1645,2025-06-24,14.25,14.55,14.15,14.45,7600
1644,2025-06-23,13.7,14.65,13.4,14.65,17900
1643,2025-06-20,14.2,14.65,14.2,14.35,3000
1642,2025-06-19,14.6,14.6,14.4,14.4,7900
1641,2025-06-18,14.75,14.8,14.4,14.7,4400
1640,2025-06-17,14.1,14.8,14.1,14.8,3300
1639,2025-06-16,14.55,14.6,14.35,14.6,8200
1638,2025-06-13,14.6,14.75,14.2,14.6,20900
1637,2025-06-12,15.25,15.25,14.7,14.7,6200
1636,2025-06-11,14.5,14.85,14.45,14.8,11000
1635,2025-06-10,15.3,15.3,14.6,14.6,1900
1634,2025-06-09,14.55,15.15,14.55,14.95,8400
1633,2025-06-06,15.4,15.4,14.55,14.55,23000
1632,2025-06-05,14.6,15.7,14.45,15.4,45500
1631,2025-06-04,14.65,14.7,14.65,14.7,11200
1630,2025-06-03,14.55,14.65,14.55,14.6,9100
1629,2025-06-02,14.45,14.5,14.4,14.45,10500
1628,2025-05-30,14.8,15.5,14.5,14.9,16700
1627,2025-05-29,14.6,14.9,14.5,14.8,14000
